ds,symbol,close,volume
1990-01-02,ORI,2.629469,201728
1990-01-03,ORI,2.642296,721153
1990-01-04,ORI,2.629469,851740
1990-01-05,ORI,2.616643,416125
1990-01-08,ORI,2.629469,1050545
1990-01-09,ORI,2.603816,455106
1990-01-10,ORI,2.565336,121816
1990-01-11,ORI,2.590989,278716
1990-01-12,ORI,2.565336,50676
1990-01-15,ORI,2.565336,807886
1990-01-16,ORI,2.578163,775727
1990-01-17,ORI,2.552509,70166
1990-01-18,ORI,2.488376,195881
1990-01-19,ORI,2.462722,134485
1990-01-22,ORI,2.372936,469724
1990-01-23,ORI,2.411416,233888
1990-01-24,ORI,2.372936,639293
1990-01-25,ORI,2.437069,156900
1990-01-26,ORI,2.411416,163721
1990-01-29,ORI,2.437069,589591
1990-01-30,ORI,2.398589,475571
1990-01-31,ORI,2.347282,592515
1990-02-01,ORI,2.321629,540865
1990-02-02,ORI,2.398589,341086
1990-02-05,ORI,2.449896,356678
1990-02-06,ORI,2.488376,668528
1990-02-07,ORI,2.488376,36058
1990-02-08,ORI,2.565336,211473
1990-02-09,ORI,2.565336,202703
1990-02-12,ORI,2.539683,209524
1990-02-13,ORI,2.514029,135460
1990-02-14,ORI,2.565336,918983
1990-02-15,ORI,2.578163,76013
1990-02-16,ORI,2.578163,494087
1990-02-20,ORI,2.565336,147154
1990-02-21,ORI,2.449896,660732
1990-02-22,ORI,2.488376,183212
1990-02-23,ORI,2.475549,81861
1990-02-26,ORI,2.475549,162747
1990-02-27,ORI,2.501203,115969
1990-02-28,ORI,2.488376,54574
1990-03-01,ORI,2.501203,222193
1990-03-02,ORI,2.539683,483368
1990-03-05,ORI,2.514029,24363
1990-03-06,ORI,2.501203,76988
1990-03-07,ORI,2.475549,506756
1990-03-08,ORI,2.462722,270920
1990-03-09,ORI,2.475549,470699
1990-03-12,ORI,2.488376,274818
1990-03-13,ORI,2.462722,75039
1990-03-14,ORI,2.475549,63345
1990-03-15,ORI,2.462722,213422
1990-03-16,ORI,2.475549,446335
1990-03-19,ORI,2.488376,163721
1990-03-20,ORI,2.475549,282614
1990-03-21,ORI,2.462722,30210
1990-03-22,ORI,2.462722,199779
1990-03-23,ORI,2.424242,867333
1990-03-26,ORI,2.398589,286512
1990-03-27,ORI,2.334456,292359
1990-03-28,ORI,2.321629,451208
1990-03-29,ORI,2.372936,192957
1990-03-30,ORI,2.360109,172492
1990-04-02,ORI,2.372936,84784
1990-04-03,ORI,2.385762,531120
1990-04-04,ORI,2.398589,141307
1990-04-05,ORI,2.411416,371296
1990-04-06,ORI,2.449896,851740
1990-04-09,ORI,2.424242,122791
1990-04-10,ORI,2.475549,75039
1990-04-11,ORI,2.539683,674376
1990-04-12,ORI,2.526856,25338
1990-04-16,ORI,2.578163,446335
1990-04-17,ORI,2.565336,184186
1990-04-18,ORI,2.526856,379093
1990-04-19,ORI,2.501203,1213291
1990-04-20,ORI,2.501203,217320
1990-04-23,ORI,2.475549,282614
1990-04-24,ORI,2.514029,399558
1990-04-25,ORI,2.488376,122791
1990-04-26,ORI,2.501203,1107068
1990-04-27,ORI,2.449896,3015200
1990-04-30,ORI,2.478114,253378
1990-05-01,ORI,2.478114,0
1990-05-02,ORI,2.478114,1856
1990-05-03,ORI,2.558923,557803
1990-05-04,ORI,2.558923,475200
1990-05-07,ORI,2.558923,990309
1990-05-08,ORI,2.518519,1568531
1990-05-09,ORI,2.424242,283078
1990-05-10,ORI,2.424242,255234
1990-05-11,ORI,2.424242,264516
1990-05-14,ORI,2.424242,286791
1990-05-15,ORI,2.43771,90956
1990-05-16,ORI,2.478114,1159228
1990-05-17,ORI,2.505051,1148091
1990-05-18,ORI,2.451178,20419
