ds,symbol,close,volume
1990-01-02,OSK,1.583333,120600
1990-01-03,OSK,1.625,215400
1990-01-04,OSK,1.625,129000
1990-01-05,OSK,1.583333,514200
1990-01-08,OSK,1.625,105000
1990-01-09,OSK,1.541667,19200
1990-01-10,OSK,1.5625,479400
1990-01-11,OSK,1.666667,388800
1990-01-12,OSK,1.583333,159000
1990-01-15,OSK,1.583333,294000
1990-01-16,OSK,1.541667,225000
1990-01-17,OSK,1.541667,164400
1990-01-18,OSK,1.583333,20400
1990-01-19,OSK,1.583333,24600
1990-01-22,OSK,1.583333,573000
1990-01-23,OSK,1.625,12000
1990-01-24,OSK,1.583333,55200
1990-01-25,OSK,1.604167,57600
1990-01-26,OSK,1.541667,405600
1990-01-29,OSK,1.583333,15000
1990-01-30,OSK,1.583333,12000
1990-01-31,OSK,1.541667,21000
1990-02-01,OSK,1.541667,10200
1990-02-02,OSK,1.541667,600
1990-02-05,OSK,1.541667,433200
1990-02-06,OSK,1.541667,10800
1990-02-07,OSK,1.541667,8400
1990-02-08,OSK,1.583333,11400
1990-02-09,OSK,1.541667,10200
1990-02-12,OSK,1.583333,96600
1990-02-13,OSK,1.541667,15000
1990-02-14,OSK,1.541667,20400
1990-02-15,OSK,1.583333,2400
1990-02-16,OSK,1.583333,267600
1990-02-20,OSK,1.583333,51000
1990-02-21,OSK,1.583333,83400
1990-02-22,OSK,1.541667,12600
1990-02-23,OSK,1.583333,1800
1990-02-26,OSK,1.541667,51600
1990-02-27,OSK,1.583333,123000
1990-02-28,OSK,1.625,123000
1990-03-01,OSK,1.604167,49800
1990-03-02,OSK,1.625,9000
1990-03-05,OSK,1.541667,4200
1990-03-06,OSK,1.541667,13200
1990-03-07,OSK,1.625,4800
1990-03-08,OSK,1.541667,14400
1990-03-09,OSK,1.541667,20400
1990-03-12,OSK,1.625,9600
1990-03-13,OSK,1.5625,5400
1990-03-14,OSK,1.583333,14400
1990-03-15,OSK,1.583333,22200
1990-03-16,OSK,1.583333,18600
1990-03-19,OSK,1.625,187800
1990-03-20,OSK,1.541667,37200
1990-03-21,OSK,1.583333,39000
1990-03-22,OSK,1.583333,227400
1990-03-23,OSK,1.625,53400
1990-03-26,OSK,1.666667,30600
1990-03-27,OSK,1.666667,108000
1990-03-28,OSK,1.708333,13200
1990-03-29,OSK,1.645833,103800
1990-03-30,OSK,1.666667,10800
1990-04-02,OSK,1.645833,63600
1990-04-03,OSK,1.583333,99000
1990-04-04,OSK,1.583333,12600
1990-04-05,OSK,1.583333,24000
1990-04-06,OSK,1.666667,31200
1990-04-09,OSK,1.583333,85200
1990-04-10,OSK,1.666667,21000
1990-04-11,OSK,1.583333,30600
1990-04-12,OSK,1.625,16800
1990-04-16,OSK,1.625,21000
1990-04-17,OSK,1.625,8400
1990-04-18,OSK,1.583333,111600
1990-04-19,OSK,1.541667,36000
1990-04-20,OSK,1.604167,54000
1990-04-23,OSK,1.5625,67200
1990-04-24,OSK,1.541667,10200
1990-04-25,OSK,1.541667,4200
1990-04-26,OSK,1.583333,64200
1990-04-27,OSK,1.520833,11400
1990-04-30,OSK,1.520833,1200
1990-05-01,OSK,1.541667,152400
1990-05-02,OSK,1.541667,3000
1990-05-03,OSK,1.541667,51000
1990-05-04,OSK,1.583333,61800
1990-05-07,OSK,1.541667,1800
1990-05-08,OSK,1.625,268800
1990-05-09,OSK,1.5625,14400
1990-05-10,OSK,1.583333,68400
1990-05-11,OSK,1.625,36600
1990-05-14,OSK,1.583333,42000
1990-05-15,OSK,1.625,19200
1990-05-16,OSK,1.625,22200
1990-05-17,OSK,1.583333,39600
1990-05-18,OSK,1.625,36600
1990-05-21,OSK,1.583333,22800
1990-05-22,OSK,1.583333,21000
1990-05-23,OSK,1.625,69600
1990-05-24,OSK,1.583333,43800
1990-05-25,OSK,1.583333,67800
1990-05-29,OSK,1.583333,13200
1990-05-30,OSK,1.583333,834600
1990-05-31,OSK,1.583333,18600
1990-06-01,OSK,1.583333,73200
1990-06-04,OSK,1.583333,14400
1990-06-05,OSK,1.625,620400
1990-06-06,OSK,1.625,11400
1990-06-07,OSK,1.666667,88200
1990-06-08,OSK,1.708333,82200
1990-06-11,OSK,1.729167,312000
1990-06-12,OSK,1.666667,119400
1990-06-13,OSK,1.666667,664800
1990-06-14,OSK,1.708333,22200
1990-06-15,OSK,1.666667,52800
1990-06-18,OSK,1.6875,21000
1990-06-19,OSK,1.666667,22200
1990-06-20,OSK,1.708333,9000
1990-06-21,OSK,1.666667,51600
1990-06-22,OSK,1.666667,10800
1990-06-25,OSK,1.625,39600
1990-06-26,OSK,1.604167,36000
1990-06-27,OSK,1.666667,1200
1990-06-28,OSK,1.583333,25200
1990-06-29,OSK,1.625,79200
1990-07-02,OSK,1.583333,159000
1990-07-03,OSK,1.604167,1200
1990-07-05,OSK,1.645833,15000
1990-07-06,OSK,1.645833,101400
1990-07-09,OSK,1.625,11400
1990-07-10,OSK,1.625,55200
1990-07-11,OSK,1.958333,770400
1990-07-12,OSK,2.041667,1521000
1990-07-13,OSK,2.125,940200
1990-07-16,OSK,2.041667,66000
1990-07-17,OSK,2.0,246000
1990-07-18,OSK,1.916667,84000
1990-07-19,OSK,1.916667,19800
1990-07-20,OSK,1.958333,90000
1990-07-23,OSK,1.833333,114000
1990-07-24,OSK,1.833333,32400
1990-07-25,OSK,1.833333,6000
1990-07-26,OSK,1.875,48600
1990-07-27,OSK,1.75,46200
1990-07-30,OSK,1.770833,40800
1990-07-31,OSK,1.791667,523200
1990-08-01,OSK,1.75,3600
1990-08-02,OSK,1.833333,55800
1990-08-03,OSK,1.729167,260400
1990-08-06,OSK,1.6875,58200
1990-08-07,OSK,1.6875,104400
1990-08-08,OSK,1.6875,14400
1990-08-09,OSK,1.729167,49200
1990-08-10,OSK,1.666667,107400
1990-08-13,OSK,1.708333,99600
1990-08-14,OSK,1.708333,11400
1990-08-15,OSK,1.666667,15000
1990-08-16,OSK,1.666667,73800
1990-08-17,OSK,1.583333,35400
1990-08-20,OSK,1.625,102600
1990-08-21,OSK,1.604167,9000
1990-08-22,OSK,1.541667,46800
1990-08-23,OSK,1.5,42600
1990-08-24,OSK,1.5,89400
1990-08-27,OSK,1.5,19800
1990-08-28,OSK,1.5,51600
1990-08-29,OSK,1.541667,144000
1990-08-30,OSK,1.5,13200
1990-08-31,OSK,1.5625,21000
1990-09-04,OSK,1.520833,39000
1990-09-05,OSK,1.520833,121200
1990-09-06,OSK,1.5,21000
1990-09-07,OSK,1.541667,25200
1990-09-10,OSK,1.541667,30600
1990-09-11,OSK,1.5,580800
1990-09-12,OSK,1.5,5400
1990-09-13,OSK,1.541667,19800
1990-09-14,OSK,1.5,16200
1990-09-17,OSK,1.5,7800
1990-09-18,OSK,1.5,87000
1990-09-19,OSK,1.416667,13200
1990-09-20,OSK,1.416667,18600
1990-09-21,OSK,1.333333,210000
1990-09-24,OSK,1.3125,12600
1990-09-25,OSK,1.375,90600
1990-09-26,OSK,1.375,135600
1990-09-27,OSK,1.291667,72600
1990-09-28,OSK,1.333333,334800
1990-10-01,OSK,1.333333,322200
1990-10-02,OSK,1.375,158400
1990-10-03,OSK,1.375,12000
1990-10-04,OSK,1.458333,2199000
1990-10-05,OSK,1.5,430200
1990-10-08,OSK,1.541667,45600
1990-10-09,OSK,1.416667,83400
1990-10-10,OSK,1.5,4200
1990-10-11,OSK,1.4375,673200
1990-10-12,OSK,1.416667,2400
1990-10-15,OSK,1.416667,10200
1990-10-16,OSK,1.416667,56400
1990-10-17,OSK,1.416667,48000
1990-10-18,OSK,1.458333,2400
1990-10-19,OSK,1.416667,23400
1990-10-22,OSK,1.333333,28200
1990-10-23,OSK,1.291667,37200
1990-10-24,OSK,1.291667,48000
1990-10-25,OSK,1.333333,30000
1990-10-26,OSK,1.25,9000
1990-10-29,OSK,1.208333,28800
1990-10-30,OSK,1.291667,14400
1990-10-31,OSK,1.208333,9000
1990-11-01,OSK,1.25,56400
1990-11-02,OSK,1.25,600
1990-11-05,OSK,1.25,37200
1990-11-06,OSK,1.291667,6600
1990-11-07,OSK,1.291667,33000
1990-11-08,OSK,1.291667,6600
1990-11-09,OSK,1.270833,9600
1990-11-12,OSK,1.25,72000
1990-11-13,OSK,1.229167,24000
1990-11-14,OSK,1.25,163800
1990-11-15,OSK,1.208333,18000
1990-11-16,OSK,1.1875,77400
1990-11-19,OSK,1.208333,21000
1990-11-20,OSK,1.25,47400
1990-11-21,OSK,1.208333,121800
1990-11-23,OSK,1.25,196800
1990-11-26,OSK,1.25,27000
1990-11-27,OSK,1.291667,212400
1990-11-28,OSK,1.25,6000
1990-11-29,OSK,1.3125,185400
1990-11-30,OSK,1.291667,105600
1990-12-03,OSK,1.25,20400
1990-12-04,OSK,1.25,22200
1990-12-05,OSK,1.291667,28800
1990-12-06,OSK,1.291667,7800
1990-12-07,OSK,1.333333,4200
1990-12-10,OSK,1.333333,13800
1990-12-11,OSK,1.291667,53400
1990-12-12,OSK,1.291667,43800
1990-12-13,OSK,1.333333,99600
1990-12-14,OSK,1.25,43200
1990-12-17,OSK,1.291667,22800
1990-12-18,OSK,1.291667,51000
1990-12-19,OSK,1.291667,26400
1990-12-20,OSK,1.270833,22200
1990-12-21,OSK,1.25,34200
1990-12-24,OSK,1.291667,30600
1990-12-26,OSK,1.25,168600
1990-12-27,OSK,1.25,35400
1990-12-28,OSK,1.25,93000
1990-12-31,OSK,1.208333,314400
1991-01-02,OSK,1.25,40800
1991-01-03,OSK,1.208333,72000
1991-01-04,OSK,1.270833,54600
1991-01-07,OSK,1.270833,105600
1991-01-08,OSK,1.291667,228600
1991-01-09,OSK,1.25,135000
1991-01-10,OSK,1.291667,15600
1991-01-11,OSK,1.291667,51600
1991-01-14,OSK,1.291667,401400
1991-01-15,OSK,1.25,43800
1991-01-16,OSK,1.25,84600
1991-01-17,OSK,1.375,118200
1991-01-18,OSK,1.416667,91800
1991-01-21,OSK,1.541667,76200
1991-01-22,OSK,1.708333,493800
1991-01-23,OSK,1.666667,270000
1991-01-24,OSK,1.708333,264600
1991-01-25,OSK,1.708333,253200
1991-01-28,OSK,1.541667,116400
1991-01-29,OSK,1.541667,158400
1991-01-30,OSK,1.583333,151800
1991-01-31,OSK,1.541667,58800
1991-02-01,OSK,1.583333,103200
1991-02-04,OSK,1.583333,54600
1991-02-05,OSK,1.708333,19800
1991-02-06,OSK,1.666667,34200
1991-02-07,OSK,1.708333,102000
1991-02-08,OSK,1.625,12000
1991-02-11,OSK,1.708333,46200
1991-02-12,OSK,1.6875,25200
1991-02-13,OSK,1.708333,63600
1991-02-14,OSK,1.666667,460800
1991-02-15,OSK,1.666667,24000
1991-02-19,OSK,1.583333,76200
1991-02-20,OSK,1.625,52200
1991-02-21,OSK,1.666667,61800
1991-02-22,OSK,1.625,34800
1991-02-25,OSK,1.6875,91200
1991-02-26,OSK,1.6875,208800
1991-02-27,OSK,1.708333,67200
1991-02-28,OSK,1.6875,109800
1991-03-01,OSK,1.6875,19800
1991-03-04,OSK,1.708333,97200
1991-03-05,OSK,1.666667,36600
1991-03-06,OSK,1.75,1568400
1991-03-07,OSK,1.770833,319200
1991-03-08,OSK,1.791667,46800
1991-03-11,OSK,1.791667,52200
1991-03-12,OSK,1.770833,100200
1991-03-13,OSK,1.770833,15600
1991-03-14,OSK,1.833333,41400
1991-03-15,OSK,1.833333,39600
1991-03-18,OSK,1.8125,35400
1991-03-19,OSK,1.791667,58200
1991-03-20,OSK,1.708333,48000
1991-03-21,OSK,1.75,45600
1991-03-22,OSK,1.708333,29400
1991-03-25,OSK,1.75,600
1991-03-26,OSK,1.75,43800
1991-03-27,OSK,1.75,64800
1991-03-28,OSK,1.708333,60600
1991-04-01,OSK,1.708333,57000
1991-04-02,OSK,1.708333,106800
1991-04-03,OSK,1.75,146400
1991-04-04,OSK,1.708333,69600
1991-04-05,OSK,1.6875,66600
1991-04-08,OSK,1.6875,301800
1991-04-09,OSK,1.6875,304800
1991-04-10,OSK,1.6875,557400
1991-04-11,OSK,1.6875,22200
1991-04-12,OSK,1.6875,42000
1991-04-15,OSK,1.6875,98400
1991-04-16,OSK,1.708333,79800
1991-04-17,OSK,1.708333,22800
1991-04-18,OSK,1.645833,36000
1991-04-19,OSK,1.625,15000
1991-04-22,OSK,1.6875,77400
1991-04-23,OSK,1.625,14400
1991-04-24,OSK,1.583333,73200
1991-04-25,OSK,1.625,53400
1991-04-26,OSK,1.583333,16200
1991-04-29,OSK,1.541667,10200
1991-04-30,OSK,1.5,100800
1991-05-01,OSK,1.541667,90000
1991-05-02,OSK,1.583333,99000
1991-05-03,OSK,1.583333,15000
1991-05-06,OSK,1.583333,20400
1991-05-07,OSK,1.666667,201600
1991-05-08,OSK,1.666667,52200
1991-05-09,OSK,1.666667,18000
1991-05-10,OSK,1.666667,106800
1991-05-13,OSK,1.666667,46800
1991-05-14,OSK,1.645833,4800
1991-05-15,OSK,1.6875,4800
1991-05-16,OSK,1.6875,92400
1991-05-17,OSK,1.666667,24000
1991-05-20,OSK,1.645833,46200
1991-05-21,OSK,1.666667,129600
1991-05-22,OSK,1.666667,15000
1991-05-23,OSK,1.666667,1146000
1991-05-24,OSK,1.666667,9600
1991-05-28,OSK,1.625,40200
1991-05-29,OSK,1.625,27000
1991-05-30,OSK,1.625,260400
1991-05-31,OSK,1.666667,31200
1991-06-03,OSK,1.666667,12000
1991-06-04,OSK,1.6875,8400
1991-06-05,OSK,1.645833,76800
1991-06-06,OSK,1.666667,49200
1991-06-07,OSK,1.666667,130200
1991-06-10,OSK,1.666667,43800
1991-06-11,OSK,1.708333,25200
1991-06-12,OSK,1.6875,27000
1991-06-13,OSK,1.666667,30000
1991-06-14,OSK,1.6875,3000
1991-06-17,OSK,1.708333,25200
1991-06-18,OSK,1.645833,10800
1991-06-19,OSK,1.75,61200
1991-06-20,OSK,1.75,40800
1991-06-21,OSK,1.729167,9600
1991-06-24,OSK,1.6875,18600
1991-06-25,OSK,1.708333,16200
1991-06-26,OSK,1.708333,19200
1991-06-27,OSK,1.75,45600
1991-06-28,OSK,1.6875,14400
1991-07-01,OSK,1.729167,21600
1991-07-02,OSK,1.729167,15000
1991-07-03,OSK,1.729167,9000
1991-07-05,OSK,1.729167,0
1991-07-08,OSK,1.729167,60000
1991-07-09,OSK,1.6875,86400
1991-07-10,OSK,1.625,301800
1991-07-11,OSK,1.625,9600
1991-07-12,OSK,1.666667,19200
1991-07-15,OSK,1.708333,1800
1991-07-16,OSK,1.625,13800
1991-07-17,OSK,1.625,1200
1991-07-18,OSK,1.625,10200
1991-07-19,OSK,1.625,5400
1991-07-22,OSK,1.625,52800
1991-07-23,OSK,1.729167,7200
1991-07-24,OSK,1.708333,30600
1991-07-25,OSK,1.6875,52200
1991-07-26,OSK,1.666667,10200
