ds,symbol,close,volume
2021-05-20,OTLY,20.2,43594023
2021-05-21,OTLY,22.46,16954181
2021-05-24,OTLY,20.73,7579968
2021-05-25,OTLY,21.2,5137443
2021-05-26,OTLY,21.62,2520858
2021-05-27,OTLY,22.12,4867050
2021-05-28,OTLY,23.71,3247938
2021-06-01,OTLY,25.15,6703668
2021-06-02,OTLY,23.81,2961791
2021-06-03,OTLY,23.88,1404157
2021-06-04,OTLY,23.83,1764512
2021-06-07,OTLY,25.0,2435286
2021-06-08,OTLY,26.99,3229632
2021-06-09,OTLY,26.31,2842042
2021-06-10,OTLY,26.65,1380568
2021-06-11,OTLY,28.73,3666376
2021-06-14,OTLY,27.37,4358066
2021-06-15,OTLY,27.82,2038761
2021-06-16,OTLY,27.49,2357276
2021-06-17,OTLY,26.73,3733832
2021-06-18,OTLY,26.0,2416025
2021-06-21,OTLY,26.33,1535011
2021-06-22,OTLY,25.8,1419666
2021-06-23,OTLY,25.84,1675289
2021-06-24,OTLY,24.81,3164839
2021-06-25,OTLY,24.4,2575574
2021-06-28,OTLY,25.3,2000669
2021-06-29,OTLY,25.75,2679087
2021-06-30,OTLY,24.46,2184067
2021-07-01,OTLY,23.4,2751018
2021-07-02,OTLY,23.09,2633600
2021-07-06,OTLY,22.21,3756555
2021-07-07,OTLY,22.45,1937781
2021-07-08,OTLY,23.44,2575614
2021-07-09,OTLY,23.0,1120209
2021-07-12,OTLY,22.42,1574218
2021-07-13,OTLY,21.13,2296735
2021-07-14,OTLY,20.54,8467332
2021-07-15,OTLY,19.48,6174798
2021-07-16,OTLY,19.28,2394350
2021-07-19,OTLY,19.68,1558628
2021-07-20,OTLY,19.45,2193278
2021-07-21,OTLY,18.87,3301196
2021-07-22,OTLY,19.04,1004996
2021-07-23,OTLY,18.47,1525299
2021-07-26,OTLY,18.65,1486384
2021-07-27,OTLY,17.5,3317323
2021-07-28,OTLY,18.12,1441451
2021-07-29,OTLY,18.29,1469363
2021-07-30,OTLY,17.75,1865561
2021-08-02,OTLY,18.5,1647990
2021-08-03,OTLY,18.45,726830
2021-08-04,OTLY,18.04,1968157
2021-08-05,OTLY,18.19,852584
2021-08-06,OTLY,18.47,890976
2021-08-09,OTLY,19.12,974776
2021-08-10,OTLY,19.07,1634081
2021-08-11,OTLY,17.41,2798041
2021-08-12,OTLY,16.99,2974738
2021-08-13,OTLY,16.87,2762591
2021-08-16,OTLY,16.43,4805396
2021-08-17,OTLY,15.93,6447106
2021-08-18,OTLY,15.16,2810440
2021-08-19,OTLY,15.74,3625510
2021-08-20,OTLY,15.63,2398577
2021-08-23,OTLY,16.19,2026183
2021-08-24,OTLY,17.4,4030432
2021-08-25,OTLY,17.69,2202109
2021-08-26,OTLY,17.85,976884
2021-08-27,OTLY,18.3,1294524
2021-08-30,OTLY,18.81,1423141
2021-08-31,OTLY,18.22,2136658
2021-09-01,OTLY,17.83,1326404
2021-09-02,OTLY,17.66,926358
2021-09-03,OTLY,16.84,2435361
2021-09-07,OTLY,17.16,756602
2021-09-08,OTLY,16.89,1959280
2021-09-09,OTLY,16.49,985334
