ds,symbol,close,volume
2019-10-31,OYST,18.78,1022116
2019-11-01,OYST,17.9,107407
2019-11-04,OYST,18.0,77277
2019-11-05,OYST,17.02,75451
2019-11-06,OYST,16.28,38431
2019-11-07,OYST,16.19,90562
2019-11-08,OYST,15.5,26264
2019-11-11,OYST,15.16,30764
2019-11-12,OYST,14.65,49114
2019-11-13,OYST,14.19,47444
2019-11-14,OYST,13.55,30872
2019-11-15,OYST,13.8,62713
2019-11-18,OYST,14.88,25887
2019-11-19,OYST,15.2,91931
2019-11-20,OYST,14.48,134186
2019-11-21,OYST,14.5,52944
2019-11-22,OYST,14.89,33909
2019-11-25,OYST,16.58,223686
2019-11-26,OYST,17.51,173293
2019-11-27,OYST,17.36,74624
2019-11-29,OYST,16.91,20070
2019-12-02,OYST,17.06,92664
2019-12-03,OYST,17.49,84707
2019-12-04,OYST,17.87,118572
2019-12-05,OYST,18.45,146572
2019-12-06,OYST,16.99,345904
2019-12-09,OYST,17.33,93553
2019-12-10,OYST,16.8,83199
2019-12-11,OYST,16.28,83943
2019-12-12,OYST,16.9,50140
2019-12-13,OYST,18.15,59981
2019-12-16,OYST,17.0,63314
2019-12-17,OYST,16.41,54340
2019-12-18,OYST,17.4,66714
2019-12-19,OYST,17.57,30908
2019-12-20,OYST,19.24,764311
2019-12-23,OYST,20.93,107775
2019-12-24,OYST,22.54,44248
2019-12-26,OYST,26.15,151989
2019-12-27,OYST,24.58,96726
2019-12-30,OYST,24.26,42322
2019-12-31,OYST,24.44,92522
2020-01-02,OYST,23.65,60176
2020-01-03,OYST,25.86,58371
2020-01-06,OYST,27.13,235824
2020-01-07,OYST,27.48,159322
2020-01-08,OYST,26.84,91755
2020-01-09,OYST,26.68,66999
2020-01-10,OYST,26.78,139423
2020-01-13,OYST,28.04,179062
2020-01-14,OYST,26.48,131611
2020-01-15,OYST,25.41,119431
2020-01-16,OYST,24.74,102941
2020-01-17,OYST,26.27,126090
2020-01-21,OYST,28.38,89924
2020-01-22,OYST,30.04,56896
2020-01-23,OYST,35.15,115723
2020-01-24,OYST,34.43,75494
2020-01-27,OYST,34.66,152016
2020-01-28,OYST,30.82,165465
2020-01-29,OYST,32.66,117899
2020-01-30,OYST,31.94,57466
2020-01-31,OYST,31.5,36429
2020-02-03,OYST,32.65,83019
2020-02-04,OYST,32.15,132445
2020-02-05,OYST,32.94,62919
2020-02-06,OYST,31.9,40218
2020-02-07,OYST,32.16,71185
2020-02-10,OYST,35.11,107432
2020-02-11,OYST,35.21,184968
2020-02-12,OYST,35.29,71508
2020-02-13,OYST,33.87,16431
2020-02-14,OYST,33.21,45072
2020-02-18,OYST,34.2,81772
2020-02-19,OYST,35.08,37550
2020-02-20,OYST,36.74,37334
2020-02-21,OYST,38.9,58489
2020-02-24,OYST,38.05,49508
2020-02-25,OYST,37.92,75509
2020-02-26,OYST,40.96,108149
2020-02-27,OYST,34.3,318572
2020-02-28,OYST,35.41,86916
2020-03-02,OYST,36.58,59421
2020-03-03,OYST,35.82,35595
2020-03-04,OYST,35.84,23306
2020-03-05,OYST,32.2,104963
2020-03-06,OYST,31.76,37556
2020-03-09,OYST,32.18,25641
2020-03-10,OYST,33.83,56504
2020-03-11,OYST,31.31,105900
2020-03-12,OYST,27.51,44718
2020-03-13,OYST,31.44,52592
2020-03-16,OYST,27.51,50845
2020-03-17,OYST,31.65,28695
2020-03-18,OYST,30.25,20466
2020-03-19,OYST,32.07,25504
2020-03-20,OYST,35.63,149615
2020-03-23,OYST,34.51,48556
2020-03-24,OYST,36.36,54648
2020-03-25,OYST,35.73,48635
2020-03-26,OYST,36.2,26251
2020-03-27,OYST,35.66,22643
2020-03-30,OYST,35.89,230193
2020-03-31,OYST,35.0,119987
2020-04-01,OYST,31.75,165759
2020-04-02,OYST,31.0,84477
2020-04-03,OYST,30.7,67362
2020-04-06,OYST,30.48,117133
2020-04-07,OYST,30.97,130651
2020-04-08,OYST,28.76,65996
2020-04-09,OYST,29.48,102073
2020-04-13,OYST,29.41,23662
2020-04-14,OYST,29.1,37162
2020-04-15,OYST,29.01,43313
2020-04-16,OYST,29.23,55169
2020-04-17,OYST,30.35,34981
2020-04-20,OYST,30.07,19006
2020-04-21,OYST,29.47,31473
2020-04-22,OYST,30.29,59382
2020-04-23,OYST,29.99,112431
2020-04-24,OYST,30.32,56906
2020-04-27,OYST,35.93,203642
2020-04-28,OYST,33.1,145026
2020-04-29,OYST,32.26,66753
2020-04-30,OYST,29.4,61079
2020-05-01,OYST,29.95,67598
2020-05-04,OYST,30.18,165077
2020-05-05,OYST,30.65,100872
2020-05-06,OYST,30.29,42800
2020-05-07,OYST,30.6,42911
2020-05-08,OYST,33.82,81607
2020-05-11,OYST,35.17,291471
2020-05-12,OYST,32.18,134557
2020-05-13,OYST,30.01,277101
2020-05-14,OYST,32.03,258407
2020-05-15,OYST,29.5,1478533
2020-05-18,OYST,29.88,266134
2020-05-19,OYST,28.87,182089
2020-05-20,OYST,28.96,101019
2020-05-21,OYST,28.67,213457
2020-05-22,OYST,29.06,208367
2020-05-26,OYST,28.9,184542
2020-05-27,OYST,28.91,189456
2020-05-28,OYST,28.18,195003
2020-05-29,OYST,28.46,226719
2020-06-01,OYST,29.12,429462
2020-06-02,OYST,29.09,63495
2020-06-03,OYST,29.66,88814
2020-06-04,OYST,30.55,61751
2020-06-05,OYST,29.08,162040
2020-06-08,OYST,28.03,125678
2020-06-09,OYST,27.96,111545
2020-06-10,OYST,29.65,56462
2020-06-11,OYST,27.86,198803
2020-06-12,OYST,28.75,75373
2020-06-15,OYST,30.79,102869
2020-06-16,OYST,31.55,86637
2020-06-17,OYST,29.76,74252
2020-06-18,OYST,32.58,101837
2020-06-19,OYST,32.02,242834
2020-06-22,OYST,31.52,60008
2020-06-23,OYST,31.11,33736
2020-06-24,OYST,29.18,105451
2020-06-25,OYST,28.97,50719
2020-06-26,OYST,28.45,250989
2020-06-29,OYST,28.53,60240
2020-06-30,OYST,28.88,165303
2020-07-01,OYST,29.12,140850
2020-07-02,OYST,28.4,62970
2020-07-06,OYST,27.75,92109
2020-07-07,OYST,26.41,89684
2020-07-08,OYST,26.1,76390
2020-07-09,OYST,26.7,63729
2020-07-10,OYST,25.45,53216
2020-07-13,OYST,24.44,49028
2020-07-14,OYST,24.8,41414
2020-07-15,OYST,25.09,36631
2020-07-16,OYST,25.01,26798
2020-07-17,OYST,25.12,47444
2020-07-20,OYST,25.94,45997
2020-07-21,OYST,26.53,118909
2020-07-22,OYST,25.32,50117
2020-07-23,OYST,24.07,44506
2020-07-24,OYST,24.49,66720
2020-07-27,OYST,23.43,49727
2020-07-28,OYST,23.56,38994
2020-07-29,OYST,23.34,28982
2020-07-30,OYST,23.42,87149
2020-07-31,OYST,22.37,42116
2020-08-03,OYST,23.26,41884
2020-08-04,OYST,24.48,86843
2020-08-05,OYST,26.91,135483
2020-08-06,OYST,25.46,72896
2020-08-07,OYST,25.24,22663
2020-08-10,OYST,25.88,35835
2020-08-11,OYST,24.93,38844
2020-08-12,OYST,25.63,66948
2020-08-13,OYST,25.16,42195
2020-08-14,OYST,25.22,42027
2020-08-17,OYST,25.31,44163
2020-08-18,OYST,24.82,74514
2020-08-19,OYST,23.93,47054
2020-08-20,OYST,22.82,50546
2020-08-21,OYST,22.9,39366
2020-08-24,OYST,22.82,102204
2020-08-25,OYST,22.86,50601
2020-08-26,OYST,22.34,46082
2020-08-27,OYST,22.1,30076
2020-08-28,OYST,21.56,26739
2020-08-31,OYST,22.76,76000
2020-09-01,OYST,22.47,47047
2020-09-02,OYST,21.76,35230
2020-09-03,OYST,20.38,53598
2020-09-04,OYST,20.04,49290
2020-09-08,OYST,20.49,55013
2020-09-09,OYST,21.15,37962
2020-09-10,OYST,20.88,22758
2020-09-11,OYST,20.82,77086
2020-09-14,OYST,22.15,58468
2020-09-15,OYST,22.06,72316
2020-09-16,OYST,22.27,179650
2020-09-17,OYST,22.3,43379
2020-09-18,OYST,20.99,384789
2020-09-21,OYST,20.3,80605
2020-09-22,OYST,19.31,77358
2020-09-23,OYST,17.83,88766
2020-09-24,OYST,18.24,72485
2020-09-25,OYST,19.08,57115
2020-09-28,OYST,19.19,37865
2020-09-29,OYST,20.37,47103
2020-09-30,OYST,21.11,118292
2020-10-01,OYST,21.57,127154
2020-10-02,OYST,20.51,77739
2020-10-05,OYST,22.68,82654
2020-10-06,OYST,22.22,78483
2020-10-07,OYST,22.98,50797
2020-10-08,OYST,24.19,75013
2020-10-09,OYST,25.18,88604
2020-10-12,OYST,23.48,127129
2020-10-13,OYST,22.6,64575
2020-10-14,OYST,22.34,86054
2020-10-15,OYST,23.09,23125
2020-10-16,OYST,23.75,20365
2020-10-19,OYST,24.52,40213
2020-10-20,OYST,22.54,79536
2020-10-21,OYST,22.51,33263
2020-10-22,OYST,22.28,218375
2020-10-23,OYST,21.39,52029
2020-10-26,OYST,20.98,35685
2020-10-27,OYST,20.66,40978
2020-10-28,OYST,19.56,49012
2020-10-29,OYST,19.19,53153
2020-10-30,OYST,19.83,27208
2020-11-02,OYST,22.53,122894
2020-11-03,OYST,22.13,62446
2020-11-04,OYST,22.49,35607
2020-11-05,OYST,22.97,32480
2020-11-06,OYST,22.7,41130
2020-11-09,OYST,24.76,37738
