ds,symbol,close,volume
1995-06-12,PAAS,4.875,13300
1995-06-13,PAAS,5.125,76000
1995-06-14,PAAS,5.125,2500
1995-06-15,PAAS,5.015625,29500
1995-06-16,PAAS,5.375,14300
1995-06-19,PAAS,5.5,26800
1995-06-20,PAAS,5.828125,29900
1995-06-21,PAAS,5.5,54500
1995-06-22,PAAS,5.625,17000
1995-06-23,PAAS,5.5,16400
1995-06-26,PAAS,5.5,34400
1995-06-27,PAAS,5.75,23900
1995-06-28,PAAS,5.375,35400
1995-06-29,PAAS,5.625,16300
1995-06-30,PAAS,5.625,24100
1995-07-03,PAAS,5.625,3300
1995-07-05,PAAS,5.375,14900
1995-07-06,PAAS,5.5,18600
1995-07-07,PAAS,5.5,6000
1995-07-10,PAAS,5.625,9300
1995-07-11,PAAS,5.609375,9900
1995-07-12,PAAS,5.375,13100
1995-07-13,PAAS,5.3125,18100
1995-07-14,PAAS,5.5,17700
1995-07-17,PAAS,5.953125,17100
1995-07-18,PAAS,6.0,15200
1995-07-19,PAAS,5.75,10500
1995-07-20,PAAS,5.703125,4500
1995-07-21,PAAS,5.5,8900
1995-07-24,PAAS,5.640625,8200
1995-07-25,PAAS,5.75,11600
1995-07-26,PAAS,5.8125,29100
1995-07-27,PAAS,5.8125,25400
1995-07-28,PAAS,5.875,23200
1995-07-31,PAAS,5.796875,12400
1995-08-01,PAAS,5.765625,71900
1995-08-02,PAAS,6.0,26000
1995-08-03,PAAS,5.875,24200
1995-08-04,PAAS,6.125,39000
1995-08-07,PAAS,6.125,4200
1995-08-08,PAAS,5.9375,13500
1995-08-09,PAAS,6.375,61200
1995-08-10,PAAS,6.0,29200
1995-08-11,PAAS,6.25,11300
1995-08-14,PAAS,6.5,39000
1995-08-15,PAAS,6.25,20300
1995-08-16,PAAS,6.28125,131700
1995-08-17,PAAS,6.65625,93400
1995-08-18,PAAS,6.875,44400
1995-08-21,PAAS,7.3125,108300
1995-08-22,PAAS,7.375,16500
1995-08-23,PAAS,6.875,39000
1995-08-24,PAAS,6.9375,27300
1995-08-25,PAAS,7.03125,22000
1995-08-28,PAAS,7.0,64100
1995-08-29,PAAS,7.0,49100
1995-08-30,PAAS,6.625,38900
1995-08-31,PAAS,6.75,56200
1995-09-01,PAAS,6.875,58600
1995-09-05,PAAS,6.75,8800
1995-09-06,PAAS,7.125,32000
1995-09-07,PAAS,7.25,70600
1995-09-08,PAAS,7.125,18300
1995-09-11,PAAS,7.5,49900
1995-09-12,PAAS,7.25,32100
1995-09-13,PAAS,7.421875,27400
1995-09-14,PAAS,7.625,12200
1995-09-15,PAAS,7.125,29100
1995-09-18,PAAS,7.5,25800
1995-09-19,PAAS,7.375,52800
1995-09-20,PAAS,7.25,36900
1995-09-21,PAAS,7.375,3600
1995-09-22,PAAS,7.0,10100
1995-09-25,PAAS,7.0,10900
1995-09-26,PAAS,7.125,16200
1995-09-27,PAAS,7.0,69200
1995-09-28,PAAS,6.875,7800
1995-09-29,PAAS,6.875,13700
1995-10-02,PAAS,6.75,35600
1995-10-03,PAAS,6.625,38500
1995-10-04,PAAS,6.625,25700
1995-10-05,PAAS,6.75,2500
1995-10-06,PAAS,6.625,19400
1995-10-09,PAAS,6.875,11500
1995-10-10,PAAS,6.625,82000
1995-10-11,PAAS,6.5625,15100
1995-10-12,PAAS,6.875,22600
1995-10-13,PAAS,6.875,95300
1995-10-16,PAAS,6.75,8900
1995-10-17,PAAS,6.625,3900
1995-10-18,PAAS,6.875,6700
1995-10-19,PAAS,6.5,13100
1995-10-20,PAAS,6.5,11400
1995-10-23,PAAS,6.375,30100
1995-10-24,PAAS,6.375,33800
1995-10-25,PAAS,6.3125,13300
1995-10-26,PAAS,6.375,6500
1995-10-27,PAAS,6.484375,44000
1995-10-30,PAAS,6.375,24400
1995-10-31,PAAS,6.625,19900
1995-11-01,PAAS,6.625,13200
1995-11-02,PAAS,6.75,11200
1995-11-03,PAAS,6.5625,12700
1995-11-06,PAAS,7.125,62400
1995-11-07,PAAS,7.25,32600
1995-11-08,PAAS,7.375,26100
1995-11-09,PAAS,7.5,13800
1995-11-10,PAAS,7.25,16900
1995-11-13,PAAS,7.34375,14400
1995-11-14,PAAS,7.375,10000
1995-11-15,PAAS,7.0,15300
1995-11-16,PAAS,7.25,11100
1995-11-17,PAAS,7.1875,6900
1995-11-20,PAAS,7.0,2300
1995-11-21,PAAS,6.875,24100
1995-11-22,PAAS,6.625,20100
1995-11-24,PAAS,6.6875,7500
1995-11-27,PAAS,7.0,28700
1995-11-28,PAAS,6.875,10500
1995-11-29,PAAS,6.875,53900
1995-11-30,PAAS,6.75,5100
1995-12-01,PAAS,6.625,62100
1995-12-04,PAAS,6.5,14200
1995-12-05,PAAS,6.5,1700
1995-12-06,PAAS,6.5,29500
1995-12-07,PAAS,6.875,47000
1995-12-08,PAAS,6.984375,12500
1995-12-11,PAAS,7.0,7900
1995-12-12,PAAS,6.625,55900
1995-12-13,PAAS,6.5625,21600
1995-12-14,PAAS,6.4375,4700
1995-12-15,PAAS,6.5625,4200
1995-12-18,PAAS,6.4375,10600
1995-12-19,PAAS,6.484375,12600
1995-12-20,PAAS,6.5625,31500
1995-12-21,PAAS,6.5,13000
1995-12-22,PAAS,6.5,19900
1995-12-26,PAAS,6.4375,18100
1995-12-27,PAAS,6.453125,16000
1995-12-28,PAAS,6.625,14000
1995-12-29,PAAS,6.625,11500
1996-01-02,PAAS,7.40625,55000
1996-01-03,PAAS,7.375,37300
1996-01-04,PAAS,7.375,21700
1996-01-05,PAAS,7.5,28000
1996-01-08,PAAS,7.625,37200
1996-01-09,PAAS,7.625,36700
1996-01-10,PAAS,7.875,69500
1996-01-11,PAAS,7.75,55400
1996-01-12,PAAS,7.78125,21200
1996-01-15,PAAS,7.53125,53600
1996-01-16,PAAS,7.3125,75600
1996-01-17,PAAS,7.625,56600
1996-01-18,PAAS,7.75,14800
1996-01-19,PAAS,7.75,73000
1996-01-22,PAAS,7.9375,59800
1996-01-23,PAAS,8.25,68200
1996-01-24,PAAS,8.25,14000
1996-01-25,PAAS,8.0,28200
1996-01-26,PAAS,8.125,48200
1996-01-29,PAAS,8.125,28900
1996-01-30,PAAS,8.375,99700
1996-01-31,PAAS,8.375,65300
1996-02-01,PAAS,10.0,217500
1996-02-02,PAAS,10.859375,275800
1996-02-05,PAAS,10.5,236000
1996-02-06,PAAS,9.75,91100
1996-02-07,PAAS,9.3125,89400
1996-02-08,PAAS,9.25,144900
1996-02-09,PAAS,9.25,109800
1996-02-12,PAAS,9.75,80100
1996-02-13,PAAS,10.125,97400
1996-02-14,PAAS,10.375,125700
1996-02-15,PAAS,10.375,72400
1996-02-16,PAAS,10.625,90600
1996-02-20,PAAS,9.875,109400
1996-02-21,PAAS,10.125,45700
1996-02-22,PAAS,9.75,61500
1996-02-23,PAAS,9.75,24600
1996-02-26,PAAS,10.0,40700
1996-02-27,PAAS,9.9375,82200
1996-02-28,PAAS,10.0,36400
1996-02-29,PAAS,10.0,35600
1996-03-01,PAAS,9.625,52500
1996-03-04,PAAS,9.5,36900
1996-03-05,PAAS,9.375,59100
1996-03-06,PAAS,8.9375,76600
1996-03-07,PAAS,9.625,51600
1996-03-08,PAAS,10.0,76400
1996-03-11,PAAS,10.125,39300
1996-03-12,PAAS,10.125,32700
1996-03-13,PAAS,10.125,50600
1996-03-14,PAAS,10.0,31000
1996-03-15,PAAS,9.875,40400
1996-03-18,PAAS,10.25,18900
1996-03-19,PAAS,9.875,28000
1996-03-20,PAAS,9.875,33600
1996-03-21,PAAS,9.578125,27700
1996-03-22,PAAS,9.625,19000
1996-03-25,PAAS,9.625,54900
1996-03-26,PAAS,9.625,70300
1996-03-27,PAAS,9.75,60700
1996-03-28,PAAS,9.4375,46800
1996-03-29,PAAS,9.1875,23200
1996-04-01,PAAS,8.625,114800
1996-04-02,PAAS,8.75,30600
1996-04-03,PAAS,9.25,56800
1996-04-04,PAAS,9.25,11800
1996-04-08,PAAS,9.5625,48400
1996-04-09,PAAS,9.3125,25600
1996-04-10,PAAS,9.375,15300
1996-04-11,PAAS,9.125,11700
1996-04-12,PAAS,9.375,24000
1996-04-15,PAAS,8.875,52500
1996-04-16,PAAS,8.875,32000
1996-04-17,PAAS,9.25,26000
1996-04-18,PAAS,9.25,41200
1996-04-19,PAAS,9.0,27300
1996-04-22,PAAS,9.1875,26900
1996-04-23,PAAS,9.25,49600
1996-04-24,PAAS,9.5,16600
1996-04-25,PAAS,9.25,156500
1996-04-26,PAAS,9.25,12900
1996-04-29,PAAS,8.9375,45100
1996-04-30,PAAS,9.25,97700
1996-05-01,PAAS,9.125,32600
1996-05-02,PAAS,9.25,45000
1996-05-03,PAAS,9.0,41100
1996-05-06,PAAS,9.0,106600
1996-05-07,PAAS,9.15625,35700
1996-05-08,PAAS,9.125,43000
1996-05-09,PAAS,9.0625,84400
1996-05-10,PAAS,9.125,311300
1996-05-13,PAAS,8.75,34500
1996-05-14,PAAS,8.875,24000
1996-05-15,PAAS,8.75,20200
1996-05-16,PAAS,8.75,30500
1996-05-17,PAAS,8.75,33000
1996-05-20,PAAS,8.5,66300
1996-05-21,PAAS,8.5625,55700
1996-05-22,PAAS,8.875,41100
1996-05-23,PAAS,8.78125,27600
1996-05-24,PAAS,8.75,15900
1996-05-28,PAAS,8.625,19300
