ds,symbol,close,volume
2003-10-01,PBA,25.95,100
2003-10-02,PBA,26.0,300
2003-10-06,PBA,26.1,1500
2003-10-07,PBA,26.05,800
2003-10-09,PBA,26.25,400
2003-10-10,PBA,26.15,200
2003-10-15,PBA,26.25,300
2003-10-21,PBA,26.25,1000
2003-10-24,PBA,26.5,800
2003-10-27,PBA,26.65,1300
2003-10-28,PBA,26.15,1200
2003-10-29,PBA,26.7,1500
2003-10-30,PBA,26.56,100
2003-10-31,PBA,26.75,600
2003-11-05,PBA,26.45,1100
2003-11-06,PBA,26.45,200
2003-11-10,PBA,26.6,300
2003-11-13,PBA,26.45,100
2003-11-19,PBA,26.85,2000
2003-11-20,PBA,26.9,500
2003-11-25,PBA,27.1,200
2003-11-28,PBA,27.1,500
2003-12-02,PBA,27.01,400
2003-12-03,PBA,27.0,900
2003-12-08,PBA,26.8,400
2003-12-09,PBA,26.6,500
2003-12-12,PBA,26.7,1800
2003-12-16,PBA,26.85,400
2003-12-22,PBA,26.14,900
2003-12-23,PBA,26.15,100
2003-12-26,PBA,26.39,100
2003-12-29,PBA,25.81,1000
2003-12-30,PBA,25.57,1400
2004-01-02,PBA,25.75,3300
2004-01-05,PBA,26.15,800
2004-01-06,PBA,26.0,400
2004-01-07,PBA,25.81,200
2004-01-08,PBA,25.9,1400
2004-01-09,PBA,26.26,1600
2004-01-12,PBA,26.2,600
2004-01-13,PBA,26.4,2200
2004-01-14,PBA,27.5,1500
2004-01-20,PBA,27.0,9900
2004-01-21,PBA,26.75,400
2004-01-22,PBA,26.75,1000
2004-01-26,PBA,26.53,500
2004-01-28,PBA,26.74,400
2004-01-30,PBA,26.7,400
2004-02-03,PBA,26.5,200
2004-02-04,PBA,26.35,100
2004-02-10,PBA,26.55,3400
2004-02-11,PBA,26.4,1400
2004-02-12,PBA,26.4,1000
2004-02-13,PBA,26.5,600
2004-02-17,PBA,26.5,400
2004-02-18,PBA,26.5,800
2004-02-19,PBA,26.5,600
2004-02-27,PBA,26.3,100
2004-03-01,PBA,27.0,1400
2004-03-02,PBA,27.35,1700
2004-03-04,PBA,27.3,200
2004-03-05,PBA,27.3,800
2004-03-09,PBA,27.15,1300
2004-03-10,PBA,27.25,200
2004-03-11,PBA,26.8,200
2004-03-16,PBA,27.25,1000
2004-03-17,PBA,27.0,1100
2004-03-19,PBA,26.75,1000
2004-03-24,PBA,26.85,200
2004-03-25,PBA,27.25,2400
2004-03-26,PBA,27.1,400
2004-03-29,PBA,27.25,800
2004-03-30,PBA,26.75,5200
2004-03-31,PBA,26.8,2800
2004-04-01,PBA,26.89,1800
2004-04-02,PBA,26.75,1500
2004-04-05,PBA,26.75,1200
2004-04-06,PBA,26.75,1200
2004-04-08,PBA,26.8,400
2004-04-14,PBA,26.7,700
2004-04-15,PBA,26.95,700
2004-04-16,PBA,26.95,100
2004-04-19,PBA,26.5,1600
2004-04-20,PBA,26.4,500
2004-04-21,PBA,26.0,2100
2004-04-22,PBA,26.0,500
2004-04-23,PBA,25.8,1400
2004-04-27,PBA,25.68,100
2004-04-29,PBA,25.2,200
2004-04-30,PBA,25.47,300
2004-05-04,PBA,25.55,100
2004-05-05,PBA,25.7,200
2004-05-06,PBA,25.78,300
2004-05-10,PBA,25.6,300
2004-05-11,PBA,25.4,600
2004-05-12,PBA,25.45,1100
2004-05-13,PBA,25.79,3100
2004-05-14,PBA,25.79,200
2004-05-17,PBA,25.8,1000
2004-05-18,PBA,25.25,3800
2004-05-20,PBA,25.3,300
2004-05-25,PBA,25.25,700
2004-05-27,PBA,25.12,800
2004-05-28,PBA,25.6,300
2004-06-02,PBA,25.42,200
2004-06-04,PBA,25.5,2200
2004-06-08,PBA,25.5,1000
2004-06-10,PBA,25.5,1600
2004-06-14,PBA,25.0,100
2004-06-15,PBA,25.0,1000
2004-06-16,PBA,25.0,500
2004-06-21,PBA,25.0,5900
2004-06-22,PBA,24.95,2000
2004-06-23,PBA,25.1,200
2004-06-28,PBA,25.0,300
2004-07-06,PBA,25.65,1500
2004-07-07,PBA,25.35,1000
2004-07-08,PBA,25.3,100
2004-07-12,PBA,25.6,1300
2004-07-14,PBA,25.3,300
2004-07-15,PBA,25.42,100
2004-07-19,PBA,25.28,700
2004-07-20,PBA,25.46,1100
2004-07-23,PBA,25.3,2800
2004-07-27,PBA,25.26,200
2004-07-28,PBA,25.4,1400
2004-07-29,PBA,25.4,200
2004-07-30,PBA,25.55,200
2004-08-05,PBA,26.7485,100
2004-08-06,PBA,25.5,400
2004-08-10,PBA,25.42,100
2004-08-13,PBA,25.75,1700
2004-08-16,PBA,25.5,500
2004-08-17,PBA,25.75,200
2004-08-19,PBA,25.65,1500
2004-08-23,PBA,25.75,1300
2004-08-25,PBA,25.7,300
2004-08-27,PBA,26.05,1000
2004-08-30,PBA,26.0,500
2004-09-01,PBA,25.8,1500
2004-09-02,PBA,25.8,800
2004-09-07,PBA,25.8,800
2004-09-09,PBA,25.5,3500
2004-09-10,PBA,25.42,700
2004-09-13,PBA,25.6,200
2004-09-14,PBA,25.65,1200
2004-09-15,PBA,25.1,1500
2004-09-16,PBA,25.0,2000
2004-09-22,PBA,25.0,600
2004-09-23,PBA,25.24,400
2004-09-24,PBA,25.25,3000
2008-07-24,PBA,10.0,5000
2008-07-25,PBA,10.05,5500
2008-07-30,PBA,10.1,100
2008-08-05,PBA,9.9,100
2008-08-12,PBA,9.9,2000
2008-09-09,PBA,9.0,11000
2008-09-10,PBA,8.0,1100
2008-09-12,PBA,8.2,1200
2008-09-17,PBA,7.6,7900
2008-09-19,PBA,8.5,1000
2008-09-26,PBA,8.5,200
2008-09-30,PBA,7.735,200
2008-10-06,PBA,6.66,2000
2008-10-07,PBA,6.7,1000
2008-10-09,PBA,6.0,1100
2008-10-10,PBA,5.5799,3800
2008-10-13,PBA,6.4999,1100
2008-10-14,PBA,7.1,4100
2008-10-16,PBA,6.5,10400
2008-10-23,PBA,6.1,300
2008-10-27,PBA,4.71,10700
2008-10-29,PBA,5.0,5800
2008-11-03,PBA,5.5,300
2008-11-04,PBA,5.01,300
2008-11-05,PBA,4.81,2200
2008-11-06,PBA,5.0,500
2008-11-19,PBA,5.2,800
2008-11-20,PBA,4.91,5500
2008-11-21,PBA,4.91,6000
2008-11-24,PBA,5.0,300
2008-11-25,PBA,4.38,2800
2008-11-26,PBA,4.6,430
2008-12-02,PBA,4.24,1000
2008-12-03,PBA,5.33,3800
2008-12-05,PBA,4.38,7500
2008-12-08,PBA,3.85,1490
2008-12-10,PBA,4.18,200
2008-12-11,PBA,4.41,4300
2008-12-16,PBA,4.62,4100
2008-12-19,PBA,4.18,1200
2008-12-22,PBA,3.71,600
2008-12-23,PBA,3.92,500
2008-12-29,PBA,3.8,1950
2008-12-30,PBA,4.29,700
2008-12-31,PBA,4.36,2200
2009-01-06,PBA,5.14,200
2009-01-07,PBA,4.595,900
2009-01-09,PBA,4.84,200
2009-01-15,PBA,5.3699,6650
2009-01-16,PBA,5.58,400
2009-01-20,PBA,4.87,150
2009-01-21,PBA,5.0,1000
2009-01-26,PBA,5.81,300
2009-01-27,PBA,5.05,3100
2009-02-03,PBA,6.56,6300
2009-02-04,PBA,5.57,12000
2009-02-06,PBA,7.05,600
2009-02-09,PBA,7.5,400
2009-02-10,PBA,8.3,2200
2009-02-11,PBA,8.05,100
2009-02-13,PBA,5.59,9230
2009-02-17,PBA,5.54,500
2009-02-18,PBA,5.65,400
2009-02-19,PBA,5.59,1300
2009-02-23,PBA,5.0,5800
2009-02-24,PBA,5.27,100
2009-02-26,PBA,5.02,5100
2009-03-02,PBA,4.54,2500
2009-03-03,PBA,4.29,1900
2009-03-04,PBA,4.8,3600
2009-03-05,PBA,4.15,7500
2009-03-06,PBA,4.01,10000
2009-03-09,PBA,4.46,300
2009-03-10,PBA,4.85,1000
2009-03-12,PBA,4.9,1020
2009-03-13,PBA,5.5899,2240
2009-03-16,PBA,4.7101,200
2009-03-17,PBA,4.85,6150
2009-03-19,PBA,4.7743,100
2009-03-20,PBA,4.64,1000
2009-03-23,PBA,5.15,1900
2009-03-24,PBA,5.22,400
2009-03-25,PBA,4.95,600
2009-03-26,PBA,4.95,1000
2009-03-27,PBA,4.48,1800
2009-03-31,PBA,4.77,200
2009-04-01,PBA,4.85,7200
2009-04-02,PBA,5.2,750
2009-04-03,PBA,5.47,1300
2009-04-13,PBA,5.5,650
2009-04-15,PBA,5.5,630
2009-04-16,PBA,5.5201,710
2009-04-20,PBA,5.52,685
2009-04-24,PBA,5.65,1602
2009-04-27,PBA,5.5,4000
2009-04-28,PBA,5.59,2800
2009-04-29,PBA,5.55,20000
2009-05-04,PBA,6.29,200
2009-05-05,PBA,6.19,2300
2009-05-08,PBA,6.34,1800
2009-05-12,PBA,6.4,200
2009-05-19,PBA,6.84,600
2009-05-28,PBA,6.71,10000
2009-05-29,PBA,6.9518,500
2009-06-01,PBA,7.16,100
2009-06-03,PBA,6.7,10000
2009-06-08,PBA,6.68,100
2009-06-11,PBA,7.07,100
2009-06-19,PBA,6.38,1500
2009-06-23,PBA,6.03,100
2009-06-24,PBA,6.17,100
2009-07-01,PBA,6.51,200
2009-07-06,PBA,6.04,7400
2009-07-08,PBA,5.738,100
2009-07-15,PBA,6.3,100
2009-07-16,PBA,6.1,2000
2009-07-21,PBA,6.58,2000
2009-07-24,PBA,6.84,460
2009-07-27,PBA,6.85,1000
2009-07-31,PBA,6.82,2500
2010-10-06,PBA,10.9143194351,7700.0
2010-10-07,PBA,10.9335584132,41600.0
2010-10-08,PBA,11.078663294,27600.0
2010-10-11,PBA,11.0768285141,0.0
2010-10-12,PBA,11.5543955172,76300.0
2010-10-13,PBA,11.4288965704,49500.0
2010-10-14,PBA,11.3827125386,52800.0
2010-10-15,PBA,11.2576853923,24700.0
2010-10-18,PBA,11.3939833296,17900.0
2010-10-19,PBA,11.1868628873,47900.0
2010-10-20,PBA,11.4233398084,32000.0
2010-10-21,PBA,11.3257773079,16300.0
2010-10-22,PBA,11.2751545953,16100.0
2010-10-25,PBA,11.421485874,35000.0
2010-10-26,PBA,11.2319143616,32000.0
2010-10-27,PBA,11.160462512,34800.0
2010-10-28,PBA,11.1098397994,24700.0
2010-10-29,PBA,11.3988638493,26100.0
2010-11-01,PBA,11.3589984631,70900.0
2010-11-02,PBA,11.5060679896,22000.0
2010-11-03,PBA,11.5664461208,24000.0
2010-11-04,PBA,11.0592170868,53600.0
2010-11-05,PBA,10.8707002143,117800.0
2010-11-08,PBA,11.1765457697,31800.0
2010-11-09,PBA,11.0176642769,42000.0
2010-11-10,PBA,11.1971639787,41600.0
2010-11-11,PBA,11.0876923626,36400.0
2010-11-12,PBA,10.9418884039,33800.0
2010-11-15,PBA,11.0070124144,20700.0
2010-11-16,PBA,10.9985225637,23700.0
2010-11-17,PBA,11.1372604354,18700.0
2010-11-18,PBA,11.2366075089,15700.0
2010-11-19,PBA,11.3993911692,20800.0
2010-11-22,PBA,11.3364819024,41600.0
2010-11-23,PBA,11.2869078054,17400.0
