ds,symbol,close,volume
2011-02-03,PCRX,7.02,1710451.0
2011-02-04,PCRX,7.03,140997.0
2011-02-07,PCRX,7.04,287779.0
2011-02-08,PCRX,6.72,14400.0
2011-02-09,PCRX,6.2305,13676.0
2011-02-10,PCRX,6.65,9237.0
2011-02-11,PCRX,6.92,24295.0
2011-02-14,PCRX,7.0,12138.0
2011-02-15,PCRX,6.91,11850.0
2011-02-16,PCRX,6.58,28437.0
2011-02-17,PCRX,6.94,13068.0
2011-02-18,PCRX,6.45,54128.0
2011-02-22,PCRX,6.93,26578.0
2011-02-23,PCRX,6.91,16774.0
2011-02-24,PCRX,6.89,7747.0
2011-02-25,PCRX,7.1,21551.0
2011-02-28,PCRX,6.9,9028.0
2011-03-01,PCRX,6.93,1008.0
2011-03-02,PCRX,6.9411,15572.0
2011-03-03,PCRX,7.05,9900.0
2011-03-04,PCRX,6.93,3588.0
2011-03-07,PCRX,6.909,7099.0
2011-03-08,PCRX,6.9,9385.0
2011-03-09,PCRX,6.81,10429.0
2011-03-10,PCRX,6.8,1686.0
2011-03-11,PCRX,6.88,1002.0
2011-03-14,PCRX,6.87,10486.0
2011-03-15,PCRX,6.84,9760.0
2011-03-16,PCRX,6.85,39173.0
2011-03-17,PCRX,7.05,17416.0
2011-03-18,PCRX,7.0,42521.0
2011-03-21,PCRX,7.0,9250.0
2011-03-22,PCRX,7.01,12970.0
2011-03-23,PCRX,7.0499,19361.0
2011-03-24,PCRX,7.07,9390.0
2011-03-25,PCRX,7.05,7900.0
2011-03-28,PCRX,7.04,15188.0
2011-03-29,PCRX,7.02,11305.0
2011-03-30,PCRX,7.19,92338.0
2011-03-31,PCRX,7.1,71374.0
2011-04-01,PCRX,7.03,35070.0
2011-04-04,PCRX,7.12,10725.0
2011-04-05,PCRX,7.04,46745.0
2011-04-06,PCRX,7.16,31020.0
2011-04-07,PCRX,7.07,31629.0
2011-04-08,PCRX,7.05,39633.0
2011-04-11,PCRX,7.06,35972.0
2011-04-12,PCRX,7.068,27824.0
2011-04-13,PCRX,7.02,16142.0
2011-04-14,PCRX,6.95,72399.0
2011-04-15,PCRX,7.15,14975.0
2011-04-18,PCRX,7.16,59013.0
2011-04-19,PCRX,7.19,42950.0
2011-04-20,PCRX,7.8,65788.0
2011-04-21,PCRX,7.87,53880.0
2011-04-25,PCRX,8.639,199297.0
2011-04-26,PCRX,9.0,251125.0
2011-04-27,PCRX,10.32,436922.0
