ds,symbol,close,volume
1990-01-02,PEAK,7.257514,58414
1990-01-03,PEAK,7.200592,34697
1990-01-04,PEAK,7.229053,41724
1990-01-05,PEAK,7.172131,72907
1990-01-08,PEAK,7.285974,120780
1990-01-09,PEAK,7.200592,85644
1990-01-10,PEAK,7.172131,149328
1990-01-11,PEAK,7.257514,107604
1990-01-12,PEAK,7.200592,18007
1990-01-15,PEAK,7.172131,34697
1990-01-16,PEAK,7.172131,12737
1990-01-17,PEAK,7.172131,31183
1990-01-18,PEAK,7.229053,12737
1990-01-19,PEAK,7.257514,41724
1990-01-22,PEAK,7.229053,25474
1990-01-23,PEAK,7.115209,305683
1990-01-24,PEAK,7.058288,32501
1990-01-25,PEAK,7.058288,14933
1990-01-26,PEAK,7.058288,28548
1990-01-29,PEAK,7.001366,144497
1990-01-30,PEAK,6.716758,143179
1990-01-31,PEAK,6.574454,72468
1990-02-01,PEAK,6.602914,99259
1990-02-02,PEAK,6.545993,1984306
1990-02-05,PEAK,6.517532,125611
1990-02-06,PEAK,6.403689,294264
1990-02-07,PEAK,6.46061,223114
1990-02-08,PEAK,6.46061,130003
1990-02-09,PEAK,6.517532,60170
1990-02-12,PEAK,6.489071,59731
1990-02-13,PEAK,6.517532,82570
1990-02-14,PEAK,6.432149,151085
1990-02-15,PEAK,6.517532,134834
1990-02-16,PEAK,6.46061,52704
1990-02-20,PEAK,6.432149,64562
1990-02-21,PEAK,6.375228,39528
1990-02-22,PEAK,6.46061,47873
1990-02-23,PEAK,6.375228,51826
1990-02-26,PEAK,6.46061,68076
1990-02-27,PEAK,6.489071,43481
1990-02-28,PEAK,6.46061,32062
1990-03-01,PEAK,6.489071,12298
1990-03-02,PEAK,6.489071,75103
1990-03-05,PEAK,6.489071,328082
1990-03-06,PEAK,6.517532,129125
1990-03-07,PEAK,6.517532,79495
1990-03-08,PEAK,6.489071,100138
1990-03-09,PEAK,6.489071,68515
1990-03-12,PEAK,6.517532,23278
1990-03-13,PEAK,6.489071,132638
1990-03-14,PEAK,6.489071,71150
1990-03-15,PEAK,6.46061,42602
1990-03-16,PEAK,6.432149,72468
1990-03-19,PEAK,6.517532,65880
1990-03-20,PEAK,6.545993,105847
1990-03-21,PEAK,6.602914,72468
1990-03-22,PEAK,6.602914,68076
1990-03-23,PEAK,6.631375,19325
1990-03-26,PEAK,6.602914,91793
1990-03-27,PEAK,6.602914,21521
1990-03-28,PEAK,6.545993,55339
1990-03-29,PEAK,6.602914,60170
1990-03-30,PEAK,6.659836,119462
1990-04-02,PEAK,6.545993,137030
1990-04-03,PEAK,6.545993,52265
