ds,symbol,close,volume
2017-03-15,PFHD,13.5,10000
2017-03-16,PFHD,13.5,0
2017-03-17,PFHD,13.5,0
2017-03-20,PFHD,13.5,0
2017-03-21,PFHD,13.5,0
2017-03-22,PFHD,13.5,0
2017-03-23,PFHD,13.5,0
2017-03-24,PFHD,13.5,0
2017-03-27,PFHD,13.5,0
2017-03-28,PFHD,13.5,0
2017-03-29,PFHD,13.5,0
2017-03-30,PFHD,13.5,0
2017-03-31,PFHD,13.5,0
2017-04-03,PFHD,13.5,0
2017-04-04,PFHD,13.5,0
2017-04-05,PFHD,13.5,0
2017-04-06,PFHD,13.5,0
2017-04-07,PFHD,13.5,0
2017-04-10,PFHD,13.5,0
2017-04-11,PFHD,13.5,0
2017-04-12,PFHD,13.5,0
2017-04-13,PFHD,13.5,0
2017-04-17,PFHD,13.5,0
2017-04-18,PFHD,13.5,0
2017-04-19,PFHD,13.5,0
2017-04-20,PFHD,13.5,0
2017-04-21,PFHD,13.5,0
2017-04-24,PFHD,13.5,0
2017-04-25,PFHD,13.5,0
2017-04-26,PFHD,13.5,0
2017-04-27,PFHD,13.5,0
2017-04-28,PFHD,13.5,0
2017-05-01,PFHD,13.5,0
2017-05-02,PFHD,13.5,0
2017-05-03,PFHD,13.5,0
2017-05-04,PFHD,13.5,0
2017-05-05,PFHD,13.5,0
2017-05-08,PFHD,13.5,0
2017-05-09,PFHD,13.5,0
2017-05-10,PFHD,13.5,0
2017-05-11,PFHD,13.5,0
2017-05-12,PFHD,13.5,0
2017-05-15,PFHD,13.5,0
2017-05-16,PFHD,13.5,0
2017-05-17,PFHD,13.5,0
2017-05-18,PFHD,13.5,0
2017-05-19,PFHD,13.5,0
2017-05-22,PFHD,13.5,0
2017-05-23,PFHD,13.5,0
2017-05-24,PFHD,13.5,0
2017-05-25,PFHD,13.5,0
2017-05-26,PFHD,13.5,0
2017-05-30,PFHD,13.5,0
2017-05-31,PFHD,13.5,0
2017-06-01,PFHD,13.5,0
2017-06-02,PFHD,13.5,0
2017-06-05,PFHD,13.5,0
2017-06-06,PFHD,13.5,0
2017-06-07,PFHD,12.55,500
2017-06-08,PFHD,13.0,4300
2017-06-09,PFHD,13.0,0
2017-06-12,PFHD,13.0,7701
2017-06-13,PFHD,13.0,4000
2017-06-14,PFHD,13.0,0
2017-06-15,PFHD,13.3,100
2017-06-16,PFHD,13.3,0
2017-06-19,PFHD,13.3,0
2017-06-20,PFHD,13.5,100
2017-06-21,PFHD,13.5,0
2017-06-22,PFHD,13.5,0
2017-06-23,PFHD,13.5,0
2017-06-26,PFHD,13.5,0
2017-06-27,PFHD,13.5,0
2017-06-28,PFHD,13.5,0
2017-06-29,PFHD,13.5,0
2017-06-30,PFHD,13.5,0
2017-07-03,PFHD,13.5,0
2017-07-05,PFHD,13.5,0
2017-07-06,PFHD,13.5,0
2017-07-07,PFHD,13.5,0
2017-07-10,PFHD,13.5,0
2017-07-11,PFHD,13.5,0
2017-07-12,PFHD,13.5,0
2017-07-13,PFHD,13.5,0
2017-07-14,PFHD,13.5,0
2017-07-17,PFHD,13.5,0
2017-07-18,PFHD,13.5,0
2017-07-19,PFHD,13.5,0
2017-07-20,PFHD,13.5,0
2017-07-21,PFHD,13.5,0
2017-07-24,PFHD,13.5,0
2017-07-25,PFHD,13.5,1600
2017-07-26,PFHD,13.5,0
2017-07-27,PFHD,13.5,0
2017-07-28,PFHD,13.5,0
2017-07-31,PFHD,13.5,0
2017-08-01,PFHD,13.5,0
2017-08-02,PFHD,13.5,0
2017-08-03,PFHD,13.5,0
2017-08-04,PFHD,13.5,9100
2017-08-07,PFHD,13.5,0
2017-08-08,PFHD,13.5,0
2017-08-09,PFHD,13.5,0
2017-08-10,PFHD,13.5,0
2017-08-11,PFHD,13.5,0
2017-08-14,PFHD,13.5,0
2017-08-15,PFHD,13.5,0
2017-08-16,PFHD,13.5,0
2017-08-17,PFHD,13.75,100
2017-08-18,PFHD,13.75,0
2017-08-21,PFHD,13.75,0
2017-08-22,PFHD,13.75,0
2017-08-23,PFHD,13.75,0
2017-08-24,PFHD,13.75,0
2017-08-25,PFHD,13.75,0
2017-08-28,PFHD,13.75,0
2017-08-29,PFHD,13.75,0
2017-08-30,PFHD,13.75,0
2017-08-31,PFHD,13.75,0
2017-09-01,PFHD,13.75,0
2017-09-05,PFHD,13.75,0
2017-09-06,PFHD,13.8,1500
2017-09-07,PFHD,13.8,0
2017-09-08,PFHD,13.8,0
2017-09-11,PFHD,13.8,0
2017-09-12,PFHD,13.8,0
2017-09-13,PFHD,13.9,1000
2017-09-14,PFHD,13.9,0
2017-09-15,PFHD,13.9,0
2017-09-18,PFHD,13.9,0
2017-09-19,PFHD,13.9,0
2017-09-20,PFHD,13.9,0
2017-09-21,PFHD,13.9,0
2017-09-22,PFHD,13.9,0
2017-09-25,PFHD,13.9,0
2017-09-26,PFHD,13.9,0
2017-09-27,PFHD,13.9,0
2017-09-28,PFHD,13.9,0
2017-09-29,PFHD,13.9,0
2017-10-02,PFHD,13.9,0
2017-10-03,PFHD,13.9,0
2017-10-04,PFHD,13.9,0
2017-10-05,PFHD,13.9,0
2017-10-06,PFHD,13.9,0
2017-10-09,PFHD,13.9,0
2017-10-10,PFHD,13.9,0
2017-10-11,PFHD,13.9,0
2017-10-12,PFHD,13.9,0
2017-10-13,PFHD,13.9,0
2017-10-16,PFHD,13.9,0
2017-10-17,PFHD,13.9,0
2017-10-18,PFHD,13.9,0
2017-10-19,PFHD,13.9,0
2017-10-20,PFHD,13.9,0
2017-10-23,PFHD,13.9,0
2017-10-24,PFHD,13.9,0
2017-10-25,PFHD,13.9,0
2017-10-26,PFHD,13.9,0
2017-10-27,PFHD,13.9,0
2017-10-30,PFHD,13.9,0
2017-10-31,PFHD,13.9,0
2017-11-01,PFHD,13.9,0
2017-11-02,PFHD,13.9,0
2017-11-03,PFHD,14.05,5000
2017-11-06,PFHD,15.05,5000
2017-11-07,PFHD,15.05,0
2017-11-08,PFHD,15.05,0
2017-11-09,PFHD,15.05,0
2017-11-10,PFHD,15.05,0
2017-11-13,PFHD,15.05,0
2017-11-14,PFHD,15.05,0
2017-11-15,PFHD,15.05,0
2017-11-16,PFHD,15.05,0
2017-11-17,PFHD,15.05,0
2017-11-20,PFHD,15.05,0
2017-11-21,PFHD,15.05,0
2017-11-22,PFHD,15.05,0
2017-11-24,PFHD,15.25,200
2017-11-27,PFHD,15.25,0
2017-11-28,PFHD,15.25,0
2017-11-29,PFHD,15.25,0
2017-11-30,PFHD,15.1,700
2017-12-01,PFHD,15.13,5400
2017-12-04,PFHD,15.1,6500
2017-12-05,PFHD,15.1,0
2017-12-06,PFHD,15.1,0
2017-12-07,PFHD,15.1,0
2017-12-08,PFHD,15.1,0
2017-12-11,PFHD,15.1,0
2017-12-12,PFHD,15.1,0
2017-12-13,PFHD,15.1,0
2017-12-14,PFHD,15.1,0
2017-12-15,PFHD,15.1,0
2017-12-18,PFHD,15.1,0
2017-12-19,PFHD,15.1,0
2017-12-20,PFHD,15.2,7000
2017-12-21,PFHD,15.2,0
2017-12-22,PFHD,15.315,200
2017-12-26,PFHD,15.315,0
2017-12-27,PFHD,15.315,0
2017-12-28,PFHD,15.51,20000
2017-12-29,PFHD,15.51,0
2018-01-02,PFHD,15.51,0
2018-01-03,PFHD,15.51,0
2018-01-04,PFHD,15.51,0
2018-01-05,PFHD,15.51,0
2018-01-08,PFHD,15.51,0
2018-01-09,PFHD,15.51,0
2018-01-10,PFHD,15.51,0
2018-01-11,PFHD,15.51,0
2018-01-12,PFHD,15.61,5000
2018-01-16,PFHD,15.85,4000
2018-01-17,PFHD,15.85,0
2018-01-18,PFHD,15.85,0
2018-01-19,PFHD,15.85,0
2018-01-22,PFHD,16.05,2000
2018-01-23,PFHD,16.049999,0
2018-01-24,PFHD,16.049999,0
2018-01-25,PFHD,16.1,50000
2018-01-26,PFHD,16.1,0
2018-01-29,PFHD,16.1,0
2018-01-30,PFHD,16.51,2400
2018-01-31,PFHD,16.51,0
