ds,symbol,close,volume
1990-01-02,PG,8.8125,5742400
1990-01-03,PG,8.796875,6478400
1990-01-04,PG,8.625,6286400
1990-01-05,PG,8.46875,4283200
1990-01-08,PG,8.625,2887200
1990-01-09,PG,8.625,5472000
1990-01-10,PG,8.671875,4456000
1990-01-11,PG,8.796875,3821600
1990-01-12,PG,8.46875,6524800
1990-01-15,PG,8.5,3548000
1990-01-16,PG,8.609375,5158400
1990-01-17,PG,8.5625,4715200
1990-01-18,PG,8.6875,4432800
1990-01-19,PG,8.625,6000000
1990-01-22,PG,8.421875,4911200
1990-01-23,PG,8.265625,6199200
1990-01-24,PG,8.28125,5979200
1990-01-25,PG,7.84375,13050400
1990-01-26,PG,7.890625,12151200
1990-01-29,PG,7.828125,4562400
1990-01-30,PG,7.84375,5979200
1990-01-31,PG,8.0,6228000
1990-02-01,PG,8.078125,5135200
1990-02-02,PG,8.140625,3768000
1990-02-05,PG,8.203125,3948000
1990-02-06,PG,8.140625,4194400
1990-02-07,PG,8.234375,4373600
1990-02-08,PG,8.1875,4962400
1990-02-09,PG,8.28125,4240000
1990-02-12,PG,8.140625,2880800
1990-02-13,PG,8.140625,4260000
1990-02-14,PG,8.203125,2314400
1990-02-15,PG,8.328125,2984800
1990-02-16,PG,8.359375,5103200
1990-02-20,PG,8.15625,3996800
1990-02-21,PG,8.078125,4656000
1990-02-22,PG,7.890625,4048000
1990-02-23,PG,7.8125,4683200
1990-02-26,PG,7.890625,2842400
1990-02-27,PG,7.890625,2995200
1990-02-28,PG,7.984375,3504000
1990-03-01,PG,7.921875,3273600
1990-03-02,PG,7.921875,4338400
1990-03-05,PG,7.921875,3295200
1990-03-06,PG,7.921875,3928800
1990-03-07,PG,7.921875,5844000
1990-03-08,PG,8.125,4908000
1990-03-09,PG,8.109375,5536000
1990-03-12,PG,8.015625,3555200
1990-03-13,PG,8.015625,3976000
1990-03-14,PG,8.140625,4073600
1990-03-15,PG,8.078125,3354400
1990-03-16,PG,8.28125,8744000
1990-03-19,PG,8.4375,5091200
1990-03-20,PG,8.515625,6793600
1990-03-21,PG,8.5,2896800
1990-03-22,PG,8.34375,4032000
1990-03-23,PG,8.40625,3397600
1990-03-26,PG,8.515625,4994400
1990-03-27,PG,8.625,2451200
1990-03-28,PG,8.609375,2824800
1990-03-29,PG,8.53125,2586400
1990-03-30,PG,8.46875,3866400
1990-04-02,PG,8.453125,2668800
1990-04-03,PG,8.65625,3745600
1990-04-04,PG,8.53125,3900000
1990-04-05,PG,8.59375,3765600
1990-04-06,PG,8.578125,3424800
1990-04-09,PG,8.71875,3129600
1990-04-10,PG,8.859375,5066400
