ds,symbol,close,volume
2013-09-26,PINC,30.65,19034073.0
2013-09-27,PINC,31.69,843346.0
2013-09-30,PINC,31.7,649153.0
2013-10-01,PINC,30.8,1740442.0
2013-10-02,PINC,30.66,638402.0
2013-10-03,PINC,31.06,663364.0
2013-10-04,PINC,31.12,854407.0
2013-10-07,PINC,30.99,319903.0
2013-10-08,PINC,30.55,723227.0
2013-10-09,PINC,30.5,1100946.0
2013-10-10,PINC,30.45,387454.0
2013-10-11,PINC,30.26,123001.0
2013-10-14,PINC,30.66,137826.0
2013-10-15,PINC,30.91,329753.0
2013-10-16,PINC,31.4,220304.0
2013-10-17,PINC,31.3,192071.0
2013-10-18,PINC,31.66,157695.0
2013-10-21,PINC,30.74,479422.0
2013-10-22,PINC,31.07,421998.0
2013-10-23,PINC,31.12,251207.0
2013-10-24,PINC,31.45,249196.0
2013-10-25,PINC,31.41,295012.0
2013-10-28,PINC,31.95,184268.0
2013-10-29,PINC,31.91,384647.0
2013-10-30,PINC,31.9,254392.0
2013-10-31,PINC,30.81,215165.0
2013-11-01,PINC,30.91,206497.0
2013-11-04,PINC,31.68,126434.0
2013-11-05,PINC,31.32,256204.0
2013-11-06,PINC,31.24,267109.0
2013-11-07,PINC,30.96,79016.0
2013-11-08,PINC,30.98,245092.0
2013-11-11,PINC,31.15,184049.0
2013-11-12,PINC,31.0,315392.0
2013-11-13,PINC,31.07,111517.0
2013-11-14,PINC,31.148,44695.0
2013-11-15,PINC,31.17,622317.0
2013-11-18,PINC,31.126,204486.0
2013-11-19,PINC,31.03,58053.0
2013-11-20,PINC,31.15,56273.0
2013-11-21,PINC,31.09,277634.0
2013-11-22,PINC,31.19,275855.0
2013-11-25,PINC,31.08,178124.0
2013-11-26,PINC,31.02,165323.0
2013-11-27,PINC,32.24,126228.0
2013-11-29,PINC,32.91,38974.0
2013-12-02,PINC,34.45,374125.0
2013-12-03,PINC,35.25,399279.0
2013-12-04,PINC,35.0,371252.0
2013-12-05,PINC,35.5,447851.0
2013-12-06,PINC,35.83,400961.0
2013-12-09,PINC,36.7,299989.0
2013-12-10,PINC,36.0,296817.0
2013-12-11,PINC,35.98,336938.0
2013-12-12,PINC,36.21,288820.0
2013-12-13,PINC,36.64,344262.0
2013-12-16,PINC,37.4,450879.0
2013-12-17,PINC,37.05,474601.0
2013-12-18,PINC,37.72,760745.0
2013-12-19,PINC,37.94,430885.0
2013-12-20,PINC,38.25,3079803.0
2013-12-23,PINC,37.72,570794.0
2013-12-24,PINC,38.08,92039.0
2013-12-26,PINC,37.24,417863.0
2013-12-27,PINC,38.01,143410.0
2013-12-30,PINC,37.28,426584.0
2013-12-31,PINC,36.76,266309.0
2014-01-02,PINC,36.14,294644.0
2014-01-03,PINC,36.55,336021.0
2014-01-06,PINC,36.58,230050.0
2014-01-07,PINC,36.65,386044.0
2014-01-08,PINC,37.43,176227.0
2014-01-09,PINC,38.44,166124.0
2014-01-10,PINC,38.13,118286.0
2014-01-13,PINC,37.24,88166.0
2014-01-14,PINC,36.67,61431.0
2014-01-15,PINC,37.63,71958.0
2014-01-16,PINC,37.92,68044.0
2014-01-17,PINC,37.9,104137.0
2014-01-21,PINC,37.8,125207.0
2014-01-22,PINC,37.09,176899.0
2014-01-23,PINC,36.74,330138.0
2014-01-24,PINC,35.48,145735.0
2014-01-27,PINC,35.4,123959.0
2014-01-28,PINC,35.28,194502.0
2014-01-29,PINC,35.59,146729.0
2014-01-30,PINC,35.66,65373.0
2014-01-31,PINC,34.69,151417.0
2014-02-03,PINC,34.01,105151.0
2014-02-04,PINC,33.96,91910.0
2014-02-05,PINC,33.78,141631.0
2014-02-06,PINC,33.98,284181.0
2014-02-07,PINC,33.95,198075.0
2014-02-10,PINC,34.57,103080.0
2014-02-11,PINC,34.48,74745.0
2014-02-12,PINC,34.4,103845.0
2014-02-13,PINC,35.71,127881.0
2014-02-14,PINC,35.01,595288.0
2014-02-18,PINC,34.51,305272.0
2014-02-19,PINC,34.67,324342.0
2014-02-20,PINC,34.97,167286.0
2014-02-21,PINC,34.04,184496.0
2014-02-24,PINC,33.93,106574.0
2014-02-25,PINC,33.6,108442.0
2014-02-26,PINC,33.5,172811.0
2014-02-27,PINC,33.76,280158.0
2014-02-28,PINC,33.45,385026.0
2014-03-03,PINC,33.72,115783.0
2014-03-04,PINC,34.51,192799.0
2014-03-05,PINC,34.11,117500.0
2014-03-06,PINC,34.7,117028.0
2014-03-07,PINC,34.69,95003.0
2014-03-10,PINC,34.95,155390.0
2014-03-11,PINC,34.95,147367.0
2014-03-12,PINC,34.84,348789.0
2014-03-13,PINC,34.68,171366.0
2014-03-14,PINC,34.83,248494.0
2014-03-17,PINC,34.62,393939.0
2014-03-18,PINC,34.59,171794.0
2014-03-19,PINC,34.5,118820.0
2014-03-20,PINC,34.57,119573.0
2014-03-21,PINC,34.05,454491.0
2014-03-24,PINC,33.71,65723.0
2014-03-25,PINC,33.99,79688.0
2014-03-26,PINC,33.24,145372.0
2014-03-27,PINC,32.91,232667.0
2014-03-28,PINC,32.83,148991.0
2014-03-31,PINC,32.95,216090.0
2014-04-01,PINC,32.94,294833.0
2014-04-02,PINC,32.66,205631.0
2014-04-03,PINC,32.41,89347.0
2014-04-04,PINC,31.53,117843.0
2014-04-07,PINC,31.44,146875.0
2014-04-08,PINC,31.7,104525.0
2014-04-09,PINC,33.2,186663.0
2014-04-10,PINC,32.62,148950.0
2014-04-11,PINC,32.05,147632.0
2014-04-14,PINC,31.97,107576.0
2014-04-15,PINC,31.1,275261.0
2014-04-16,PINC,31.6,127637.0
2014-04-17,PINC,32.89,194799.0
2014-04-21,PINC,32.78,52268.0
2014-04-22,PINC,32.25,90873.0
2014-04-23,PINC,31.89,83435.0
2014-04-24,PINC,31.56,308987.0
2014-04-25,PINC,30.91,106160.0
2014-04-28,PINC,30.75,352758.0
2014-04-29,PINC,30.4,304456.0
2014-04-30,PINC,30.0,379455.0
2014-05-01,PINC,30.01,243426.0
2014-05-02,PINC,29.09,406222.0
2014-05-05,PINC,28.92,205627.0
2014-05-06,PINC,28.67,180619.0
2014-05-07,PINC,28.3,258359.0
2014-05-08,PINC,27.84,316253.0
2014-05-09,PINC,27.9,509134.0
2014-05-12,PINC,29.22,127459.0
2014-05-13,PINC,28.18,433398.0
2014-05-14,PINC,26.92,142383.0
2014-05-15,PINC,27.71,89155.0
2014-05-16,PINC,28.16,83191.0
2014-05-19,PINC,28.13,374567.0
2014-05-20,PINC,28.46,208068.0
2014-05-21,PINC,29.03,166589.0
2014-05-22,PINC,29.01,148469.0
2014-05-23,PINC,29.55,64392.0
2014-05-27,PINC,29.98,197500.0
2014-05-28,PINC,29.96,247282.0
2014-05-29,PINC,30.23,268858.0
2014-05-30,PINC,29.64,298620.0
2014-06-02,PINC,29.61,90380.0
2014-06-03,PINC,29.53,535669.0
2014-06-04,PINC,29.37,403623.0
2014-06-05,PINC,29.35,133975.0
2014-06-06,PINC,29.22,328517.0
2014-06-09,PINC,30.25,287710.0
2014-06-10,PINC,30.11,108105.0
2014-06-11,PINC,29.57,77168.0
2014-06-12,PINC,29.56,36483.0
2014-06-13,PINC,29.62,62283.0
2014-06-16,PINC,29.24,212089.0
2014-06-17,PINC,29.4,209871.0
2014-06-18,PINC,29.16,210739.0
2014-06-19,PINC,29.11,229651.0
2014-06-20,PINC,28.97,209566.0
2014-06-23,PINC,28.95,675996.0
2014-06-24,PINC,28.89,352255.0
2014-06-25,PINC,28.99,353156.0
2014-06-26,PINC,28.69,182775.0
2014-06-27,PINC,28.73,422076.0
2014-06-30,PINC,29.0,309054.0
2014-07-01,PINC,28.54,497931.0
2014-07-02,PINC,28.9,313630.0
2014-07-03,PINC,28.86,118955.0
2014-07-07,PINC,28.94,346680.0
2014-07-08,PINC,28.71,107216.0
2014-07-09,PINC,28.64,127765.0
2014-07-10,PINC,28.5,147080.0
2014-07-11,PINC,28.68,149552.0
2014-07-14,PINC,28.21,250985.0
2014-07-15,PINC,28.22,138211.0
2014-07-16,PINC,28.34,211357.0
2014-07-17,PINC,28.5,252686.0
2014-07-18,PINC,28.56,146313.0
2014-07-21,PINC,28.86,205727.0
2014-07-22,PINC,28.93,135428.0
2014-07-23,PINC,28.26,414906.0
2014-07-24,PINC,28.47,240320.0
2014-07-25,PINC,28.49,189997.0
2014-07-28,PINC,28.14,134055.0
2014-07-29,PINC,28.65,194005.0
2014-07-30,PINC,28.75,147872.0
2014-07-31,PINC,28.3,152797.0
2014-08-01,PINC,28.54,138108.0
2014-08-04,PINC,28.17,165749.0
2014-08-05,PINC,28.46,319946.0
2014-08-06,PINC,28.48,207110.0
2014-08-07,PINC,28.67,96713.0
2014-08-08,PINC,28.51,120607.0
2014-08-11,PINC,28.37,109414.0
2014-08-12,PINC,28.33,142670.0
2014-08-13,PINC,28.58,85521.0
2014-08-14,PINC,28.74,126251.0
2014-08-15,PINC,28.55,77718.0
2014-08-18,PINC,28.87,194999.0
2014-08-19,PINC,29.1,177340.0
2014-08-20,PINC,29.16,129201.0
2014-08-21,PINC,29.5,51533.0
2014-08-22,PINC,29.68,49804.0
2014-08-25,PINC,30.36,213146.0
2014-08-26,PINC,32.0,628010.0
2014-08-27,PINC,31.97,197039.0
2014-08-28,PINC,31.91,91719.0
2014-08-29,PINC,31.58,94022.0
2014-09-02,PINC,31.55,99369.0
2014-09-03,PINC,31.575,102310.0
2014-09-04,PINC,31.37,222477.0
2014-09-05,PINC,31.32,63606.0
2014-09-08,PINC,31.66,157630.0
2014-09-09,PINC,31.7,205642.0
2014-09-10,PINC,32.05,181088.0
2014-09-11,PINC,31.98,101926.0
2014-09-12,PINC,32.04,208806.0
2014-09-15,PINC,31.67,171527.0
2014-09-16,PINC,32.02,363713.0
2014-09-17,PINC,32.16,534772.0
2014-09-18,PINC,32.42,573347.0
2014-09-19,PINC,32.53,368941.0
2014-09-22,PINC,31.91,205026.0
2014-09-23,PINC,32.29,237205.0
2014-09-24,PINC,32.26,103682.0
2014-09-25,PINC,32.06,196862.0
2014-09-26,PINC,32.25,220658.0
2014-09-29,PINC,32.91,187730.0
2014-09-30,PINC,32.86,220381.0
2014-10-01,PINC,32.63,263243.0
2014-10-02,PINC,31.69,290894.0
2014-10-03,PINC,31.9,233956.0
2014-10-06,PINC,31.69,185250.0
2014-10-07,PINC,31.65,188887.0
2014-10-08,PINC,31.98,192522.0
2014-10-09,PINC,31.29,221326.0
2014-10-10,PINC,30.88,259043.0
2014-10-13,PINC,30.97,138677.0
2014-10-14,PINC,30.12,305013.0
2014-10-15,PINC,30.0,362661.0
2014-10-16,PINC,30.7,471503.0
2014-10-17,PINC,30.47,239409.0
2014-10-20,PINC,30.89,279820.0
2014-10-21,PINC,31.45,156898.0
2014-10-22,PINC,31.61,235203.0
2014-10-23,PINC,31.73,145194.0
2014-10-24,PINC,32.01,135769.0
2014-10-27,PINC,32.06,131615.0
2014-10-28,PINC,32.3,129233.0
2014-10-29,PINC,32.71,157415.0
2014-10-30,PINC,33.07,126596.0
2014-10-31,PINC,33.38,199859.0
2014-11-03,PINC,33.89,915881.0
2014-11-04,PINC,33.78,231870.0
2014-11-05,PINC,33.49,135273.0
2014-11-06,PINC,33.43,134309.0
2014-11-07,PINC,32.73,158794.0
2014-11-10,PINC,32.82,289616.0
2014-11-11,PINC,31.25,963569.0
2014-11-12,PINC,31.52,655456.0
2014-11-13,PINC,32.35,962665.0
2014-11-14,PINC,33.05,2268767.0
2014-11-17,PINC,33.43,515262.0
2014-11-18,PINC,33.87,471750.0
2014-11-19,PINC,34.15,217195.0
2014-11-20,PINC,33.63,155889.0
2014-11-21,PINC,33.3,187278.0
2014-11-24,PINC,33.67,151975.0
2014-11-25,PINC,34.35,308239.0
2014-11-26,PINC,34.57,214089.0
2014-11-28,PINC,34.02,110045.0
2014-12-01,PINC,33.26,456432.0
2014-12-02,PINC,33.42,530650.0
2014-12-03,PINC,33.5,326547.0
2014-12-04,PINC,33.27,307909.0
2014-12-05,PINC,33.37,175325.0
2014-12-08,PINC,33.05,316063.0
2014-12-09,PINC,33.98,317628.0
2014-12-10,PINC,32.89,243152.0
2014-12-11,PINC,33.01,185333.0
2014-12-12,PINC,32.07,177054.0
2014-12-15,PINC,31.57,189228.0
2014-12-16,PINC,31.73,248845.0
2014-12-17,PINC,32.18,109052.0
2014-12-18,PINC,33.03,192136.0
2014-12-19,PINC,33.36,198958.0
2014-12-22,PINC,33.3,130968.0
2014-12-23,PINC,33.48,77131.0
2014-12-24,PINC,33.6,24725.0
2014-12-26,PINC,33.52,34845.0
2014-12-29,PINC,33.0,126190.0
2014-12-30,PINC,33.38,87856.0
2014-12-31,PINC,33.53,143105.0
2015-01-02,PINC,33.23,151748
2015-01-05,PINC,32.94,190443
2015-01-06,PINC,32.59,244650
2015-01-07,PINC,33.16,101007
2015-01-08,PINC,33.72,276337
