ds,symbol,close,volume
2015-01-02,PIRS,2.75,1000
2015-01-05,PIRS,2.75,0
2015-01-06,PIRS,2.75,0
2015-01-07,PIRS,2.75,0
2015-01-08,PIRS,2.75,0
2015-01-09,PIRS,2.75,500
2015-01-12,PIRS,2.75,1000
2015-01-13,PIRS,2.75,0
2015-01-14,PIRS,2.75,0
2015-01-15,PIRS,2.75,0
2015-01-16,PIRS,2.75,0
2015-01-20,PIRS,2.75,0
2015-01-21,PIRS,2.76,1500
2015-01-22,PIRS,2.76,0
2015-01-23,PIRS,2.76,0
2015-01-26,PIRS,2.76,0
2015-01-27,PIRS,2.76,0
2015-01-28,PIRS,2.76,0
2015-01-29,PIRS,2.8,1500
2015-01-30,PIRS,2.8,0
2015-02-02,PIRS,2.8,0
2015-02-03,PIRS,2.8,0
2015-02-04,PIRS,2.8,0
2015-02-05,PIRS,2.8,0
2015-02-06,PIRS,2.8,0
2015-02-09,PIRS,2.8,0
2015-02-10,PIRS,2.8,0
2015-02-11,PIRS,2.85,9000
2015-02-12,PIRS,2.85,0
2015-02-13,PIRS,2.85,0
2015-02-17,PIRS,2.85,2000
2015-02-18,PIRS,3.0,5000
2015-02-19,PIRS,3.2,100
2015-02-20,PIRS,3.2,0
2015-02-23,PIRS,3.2,0
2015-02-24,PIRS,3.2,0
2015-02-25,PIRS,3.2,0
2015-02-26,PIRS,3.25,300
2015-02-27,PIRS,3.25,0
2015-03-02,PIRS,3.25,0
2015-03-03,PIRS,3.25,0
2015-03-04,PIRS,3.25,0
2015-03-05,PIRS,3.16,1500
2015-03-06,PIRS,3.16,0
2015-03-09,PIRS,3.25,3300
2015-03-10,PIRS,3.2,200
2015-03-11,PIRS,3.0,1000
2015-03-12,PIRS,3.0,0
2015-03-13,PIRS,3.0,0
2015-03-16,PIRS,3.0,0
2015-03-17,PIRS,3.2,500
2015-03-18,PIRS,3.2,0
2015-03-19,PIRS,3.2,0
2015-03-20,PIRS,3.2,0
2015-03-23,PIRS,3.2,1000
2015-03-24,PIRS,3.2,0
2015-03-25,PIRS,3.2,0
2015-03-26,PIRS,3.2,0
2015-03-27,PIRS,3.2,0
2015-03-30,PIRS,3.2,500
2015-03-31,PIRS,3.2,0
2015-04-01,PIRS,3.2,2000
2015-04-02,PIRS,3.2,0
2015-04-06,PIRS,3.2,0
2015-04-07,PIRS,3.2,0
2015-04-08,PIRS,3.2,0
2015-04-09,PIRS,3.2,3100
2015-04-10,PIRS,3.45,8800
2015-04-13,PIRS,3.65,106568
2015-04-14,PIRS,3.5,570
2015-04-15,PIRS,3.75,2450
2015-04-16,PIRS,3.735,10316
2015-04-17,PIRS,3.75,1011
2015-04-20,PIRS,3.5,2120
2015-04-21,PIRS,3.4,3920
2015-04-22,PIRS,2.99,19240
2015-04-23,PIRS,2.99,0
2015-04-24,PIRS,2.99,250
2015-04-27,PIRS,2.95,7256
2015-04-28,PIRS,2.96,320
2015-04-29,PIRS,3.2,100
2015-04-30,PIRS,3.0,600
2015-05-01,PIRS,2.89,600
2015-05-04,PIRS,2.8,500
2015-05-05,PIRS,2.745,22575
2015-05-06,PIRS,2.8,5100
2015-05-07,PIRS,2.65,6000
2015-05-08,PIRS,2.65,0
2015-05-11,PIRS,2.65,0
2015-05-12,PIRS,2.8,16210
2015-05-13,PIRS,3.01,9900
2015-05-14,PIRS,2.92,7650
2015-05-15,PIRS,2.99,500
2015-05-18,PIRS,3.0,2200
2015-05-19,PIRS,3.1,1810
2015-05-20,PIRS,3.2,3985
2015-05-21,PIRS,3.25,5280
2015-05-22,PIRS,3.1,26401
2015-05-26,PIRS,3.15,7810
2015-05-27,PIRS,3.0,6600
2015-05-28,PIRS,3.0,8990
2015-05-29,PIRS,3.1,1515
2015-06-01,PIRS,3.0,5600
2015-06-02,PIRS,3.0,0
2015-06-03,PIRS,3.0,0
2015-06-04,PIRS,2.97,13800
2015-06-05,PIRS,3.01,26122
2015-06-08,PIRS,3.085,10301
2015-06-09,PIRS,3.06,2200
2015-06-10,PIRS,3.09,1700
2015-06-11,PIRS,3.21,37060
2015-06-12,PIRS,3.21,1172
2015-06-15,PIRS,3.18,1115
2015-06-16,PIRS,3.12,4129
2015-06-17,PIRS,3.45,36988
2015-06-18,PIRS,3.4,10910
2015-06-19,PIRS,3.85,71314
2015-06-22,PIRS,4.0,237766
2015-06-23,PIRS,4.2,262821
2015-06-24,PIRS,4.15,110037
2015-06-25,PIRS,3.98,36508
2015-06-26,PIRS,3.26,70540
2015-06-29,PIRS,3.26,18043
2015-06-30,PIRS,2.75,1203230
2015-07-01,PIRS,2.74,242232
2015-07-02,PIRS,2.75,157635
2015-07-06,PIRS,2.53,312190
2015-07-07,PIRS,2.65,121887
2015-07-08,PIRS,2.5,102049
2015-07-09,PIRS,2.51,47895
