ds,symbol,close,volume
2007-04-19,PNNT,14.4,8623090
2007-04-20,PNNT,14.77,2351157
2007-04-23,PNNT,14.83,178706
2007-04-24,PNNT,15.0,239188
2007-04-25,PNNT,14.9,311499
2007-04-26,PNNT,14.94,145905
2007-04-27,PNNT,14.91,98394
2007-04-30,PNNT,14.98,288164
2007-05-01,PNNT,15.0,1052568
2007-05-02,PNNT,15.02,196332
2007-05-03,PNNT,14.9,271003
2007-05-04,PNNT,14.9,42992
2007-05-07,PNNT,14.88,91992
2007-05-08,PNNT,14.79,35488
2007-05-09,PNNT,14.89,89881
2007-05-10,PNNT,14.91,46120
2007-05-11,PNNT,14.899,42975
2007-05-14,PNNT,14.851,29944
2007-05-15,PNNT,14.79,120331
2007-05-16,PNNT,14.75,243871
2007-05-17,PNNT,14.49,74183
2007-05-18,PNNT,14.57,28279
2007-05-21,PNNT,14.42,53495
2007-05-22,PNNT,14.55,46586
2007-05-23,PNNT,14.4,92848
2007-05-24,PNNT,14.49,21707
2007-05-25,PNNT,14.4,9877
2007-05-29,PNNT,14.5,25375
2007-05-30,PNNT,14.949,250842
2007-05-31,PNNT,14.97,103393
2007-06-01,PNNT,14.95,93053
2007-06-04,PNNT,14.95,75136
2007-06-05,PNNT,14.92,49423
2007-06-06,PNNT,14.98,131574
2007-06-07,PNNT,15.0,231834
2007-06-08,PNNT,14.95,119781
2007-06-11,PNNT,15.0,115308
2007-06-12,PNNT,14.94,99593
2007-06-13,PNNT,15.0,181500
2007-06-14,PNNT,15.04,78805
2007-06-15,PNNT,15.0,24017
2007-06-18,PNNT,15.01,21164
2007-06-19,PNNT,14.8,55496
2007-06-20,PNNT,14.9,62946
2007-06-21,PNNT,14.46,75368
2007-06-22,PNNT,14.31,2092367
2007-06-25,PNNT,14.35,224827
2007-06-26,PNNT,14.21,159998
2007-06-27,PNNT,14.46,47298
2007-06-28,PNNT,14.26,50630
2007-06-29,PNNT,14.05,72687
2007-07-02,PNNT,14.48,154475
2007-07-03,PNNT,14.72,35597
2007-07-05,PNNT,14.5,94382
2007-07-06,PNNT,14.76,79938
2007-07-09,PNNT,14.51,33357
2007-07-10,PNNT,14.3,121602
2007-07-11,PNNT,14.28,72600
2007-07-12,PNNT,14.65,81873
2007-07-13,PNNT,14.5,91846
2007-07-16,PNNT,14.36,48346
2007-07-17,PNNT,14.42,120084
2007-07-18,PNNT,14.4,50699
2007-07-19,PNNT,14.42,57392
2007-07-20,PNNT,14.32,62919
2007-07-23,PNNT,14.3,99118
2007-07-24,PNNT,14.21,102215
2007-07-25,PNNT,13.94,339418
2007-07-26,PNNT,13.25,326391
2007-07-27,PNNT,13.2,190346
2007-07-30,PNNT,13.2,92980
2007-07-31,PNNT,13.38,89689
2007-08-01,PNNT,13.63,298228
2007-08-02,PNNT,13.61,58353
2007-08-03,PNNT,13.25,218486
2007-08-06,PNNT,13.45,165391
2007-08-07,PNNT,13.25,298541
2007-08-08,PNNT,13.5,257951
2007-08-09,PNNT,13.23,72857
2007-08-10,PNNT,12.97,363740
2007-08-13,PNNT,13.25,119084
2007-08-14,PNNT,13.11,68599
2007-08-15,PNNT,12.88,323063
2007-08-16,PNNT,12.85,176717
2007-08-17,PNNT,12.69,187493
2007-08-20,PNNT,12.8,56232
2007-08-21,PNNT,12.95,68017
2007-08-22,PNNT,13.26,83134
2007-08-23,PNNT,13.02,45873
2007-08-24,PNNT,13.12,25353
2007-08-27,PNNT,13.0,49715
2007-08-28,PNNT,12.89,40809
2007-08-29,PNNT,13.04,44318
2007-08-30,PNNT,13.06,38049
2007-08-31,PNNT,12.99,40168
2007-09-04,PNNT,12.96,85394
2007-09-05,PNNT,12.73,64447
2007-09-06,PNNT,12.78,49987
2007-09-07,PNNT,12.65,52493
2007-09-10,PNNT,12.92,54106
2007-09-11,PNNT,12.98,33112
2007-09-12,PNNT,12.75,29502
2007-09-13,PNNT,13.0,135362
2007-09-14,PNNT,12.97,54567
2007-09-17,PNNT,13.0,62232
2007-09-18,PNNT,13.18,94498
2007-09-19,PNNT,13.4,191619
2007-09-20,PNNT,13.16,121965
2007-09-21,PNNT,13.05,104680
2007-09-24,PNNT,13.1,31846
2007-09-25,PNNT,12.97,151079
2007-09-26,PNNT,13.1,94057
2007-09-27,PNNT,13.6,213474
2007-09-28,PNNT,13.4,97225
2007-10-01,PNNT,13.96,127797
2007-10-02,PNNT,14.24,38467
2007-10-03,PNNT,14.11,78443
2007-10-04,PNNT,14.13,20535
2007-10-05,PNNT,14.49,49464
2007-10-08,PNNT,14.25,66321
2007-10-09,PNNT,14.26,83641
2007-10-10,PNNT,14.0,84325
2007-10-11,PNNT,14.0,139259
2007-10-12,PNNT,14.0,80537
2007-10-15,PNNT,14.2,76632
2007-10-16,PNNT,14.45,208567
2007-10-17,PNNT,14.38,69368
2007-10-18,PNNT,13.93,60006
2007-10-19,PNNT,13.19,120684
2007-10-22,PNNT,13.53,106737
2007-10-23,PNNT,13.7,166524
2007-10-24,PNNT,13.55,116840
2007-10-25,PNNT,13.45,64139
2007-10-26,PNNT,13.68,107689
2007-10-29,PNNT,13.71,28946
2007-10-30,PNNT,13.21,35743
2007-10-31,PNNT,13.06,68905
2007-11-01,PNNT,12.41,165630
2007-11-02,PNNT,12.72,109693
2007-11-05,PNNT,12.32,57967
2007-11-06,PNNT,12.49,78921
2007-11-07,PNNT,11.61,77514
2007-11-08,PNNT,11.92,114663
2007-11-09,PNNT,11.95,52913
2007-11-12,PNNT,12.29,62639
2007-11-13,PNNT,12.27,65748
2007-11-14,PNNT,11.89,38682
2007-11-15,PNNT,11.34,52964
2007-11-16,PNNT,11.8,49765
2007-11-19,PNNT,11.55,117957
2007-11-20,PNNT,11.02,104782
2007-11-21,PNNT,10.4,843427
2007-11-23,PNNT,10.39,47391
2007-11-26,PNNT,9.96,274765
2007-11-27,PNNT,10.95,92724
2007-11-28,PNNT,11.51,234264
2007-11-29,PNNT,11.1,117776
2007-11-30,PNNT,11.49,198671
2007-12-03,PNNT,11.27,98307
2007-12-04,PNNT,10.62,74340
2007-12-05,PNNT,10.91,76458
2007-12-06,PNNT,11.02,139559
2007-12-07,PNNT,10.71,87385
2007-12-10,PNNT,10.38,204034
2007-12-11,PNNT,10.07,149995
2007-12-12,PNNT,9.96,181333
2007-12-13,PNNT,10.11,313744
2007-12-14,PNNT,9.64,230412
2007-12-17,PNNT,9.08,263746
2007-12-18,PNNT,9.57,231617
2007-12-19,PNNT,9.74,142695
2007-12-20,PNNT,10.0,227567
2007-12-21,PNNT,9.87,296744
2007-12-24,PNNT,10.87,127720
2007-12-26,PNNT,10.98,111826
2007-12-27,PNNT,9.93,165363
2007-12-28,PNNT,9.9,179857
2007-12-31,PNNT,10.02,253797
2008-01-02,PNNT,10.19,157401
2008-01-03,PNNT,10.15,159911
2008-01-04,PNNT,10.05,243334
2008-01-07,PNNT,10.18,152636
2008-01-08,PNNT,10.03,140866
2008-01-09,PNNT,10.29,98751
2008-01-10,PNNT,10.54,84726
2008-01-11,PNNT,10.27,133483
2008-01-14,PNNT,10.2,94618
2008-01-15,PNNT,10.1,79153
2008-01-16,PNNT,10.3,72065
2008-01-17,PNNT,10.16,92475
2008-01-18,PNNT,9.96,144904
2008-01-22,PNNT,9.75,93906
2008-01-23,PNNT,10.55,134916
2008-01-24,PNNT,10.48,103730
2008-01-25,PNNT,10.47,53305
2008-01-28,PNNT,11.18,262887
2008-01-29,PNNT,11.07,163266
2008-01-30,PNNT,10.95,61031
2008-01-31,PNNT,11.27,97041
2008-02-01,PNNT,11.25,179823
2008-02-04,PNNT,11.31,110200
2008-02-05,PNNT,11.17,130494
2008-02-06,PNNT,10.56,114620
2008-02-07,PNNT,10.99,96678
2008-02-08,PNNT,10.68,117746
2008-02-11,PNNT,10.39,90309
2008-02-12,PNNT,10.36,53421
2008-02-13,PNNT,10.03,226355
2008-02-14,PNNT,9.72,98654
2008-02-15,PNNT,9.76,78176
2008-02-19,PNNT,9.81,52380
2008-02-20,PNNT,9.98,73553
2008-02-21,PNNT,9.84,226501
2008-02-22,PNNT,9.89,55219
2008-02-25,PNNT,9.88,53734
2008-02-26,PNNT,9.89,137064
2008-02-27,PNNT,9.74,58853
2008-02-28,PNNT,9.68,84242
2008-02-29,PNNT,9.29,66384
2008-03-03,PNNT,9.21,73053
2008-03-04,PNNT,9.27,45271
2008-03-05,PNNT,9.51,68498
2008-03-06,PNNT,8.98,135057
2008-03-07,PNNT,8.89,62408
2008-03-10,PNNT,8.68,66884
2008-03-11,PNNT,8.86,139432
2008-03-12,PNNT,8.75,75418
2008-03-13,PNNT,8.82,98788
2008-03-14,PNNT,8.56,75245
2008-03-17,PNNT,8.38,51662
2008-03-18,PNNT,8.6,133611
2008-03-19,PNNT,8.51,48817
2008-03-20,PNNT,8.59,455847
2008-03-24,PNNT,8.7,99545
2008-03-25,PNNT,8.68,90686
2008-03-26,PNNT,8.6,159183
2008-03-27,PNNT,8.56,81570
2008-03-28,PNNT,8.41,43633
2008-03-31,PNNT,8.51,88211
2008-04-01,PNNT,8.6,155094
2008-04-02,PNNT,8.57,55998
2008-04-03,PNNT,8.5,41679
2008-04-04,PNNT,8.39,113486
2008-04-07,PNNT,8.38,51172
2008-04-08,PNNT,8.41,84283
2008-04-09,PNNT,8.03,360969
2008-04-10,PNNT,7.92,171248
2008-04-11,PNNT,7.31,307065
2008-04-14,PNNT,7.3,229171
2008-04-15,PNNT,7.3,195001
2008-04-16,PNNT,7.29,176995
2008-04-17,PNNT,7.19,58226
2008-04-18,PNNT,7.29,204520
2008-04-21,PNNT,7.31,42047
2008-04-22,PNNT,7.09,81730
2008-04-23,PNNT,7.06,29803
2008-04-24,PNNT,7.82,59544
2008-04-25,PNNT,7.49,102016
2008-04-28,PNNT,7.4,147831
2008-04-29,PNNT,7.4,119694
2008-04-30,PNNT,7.41,122508
2008-05-01,PNNT,8.07,228093
2008-05-02,PNNT,8.19,154661
2008-05-05,PNNT,8.32,98388
2008-05-06,PNNT,8.28,73825
2008-05-07,PNNT,8.05,86360
2008-05-08,PNNT,8.05,99085
2008-05-09,PNNT,7.85,82204
2008-05-12,PNNT,8.01,79561
2008-05-13,PNNT,7.93,87963
2008-05-14,PNNT,7.93,399666
2008-05-15,PNNT,8.04,109836
2008-05-16,PNNT,7.95,95042
2008-05-19,PNNT,8.1,123320
2008-05-20,PNNT,8.15,83439
2008-05-21,PNNT,8.01,107818
2008-05-22,PNNT,8.12,61179
2008-05-23,PNNT,8.02,80340
2008-05-27,PNNT,8.25,56637
2008-05-28,PNNT,8.19,92696
2008-05-29,PNNT,8.32,89426
2008-05-30,PNNT,8.15,54248
2008-06-02,PNNT,8.03,327525
2008-06-03,PNNT,7.99,115796
2008-06-04,PNNT,7.98,122773
2008-06-05,PNNT,8.36,121483
2008-06-06,PNNT,8.01,82751
2008-06-09,PNNT,7.88,50290
2008-06-10,PNNT,8.26,67256
2008-06-11,PNNT,8.09,213333
2008-06-12,PNNT,8.2,49683
2008-06-13,PNNT,8.25,70180
2008-06-16,PNNT,8.25,33739
2008-06-17,PNNT,8.01,65119
2008-06-18,PNNT,7.96,70907
2008-06-19,PNNT,8.01,86605
2008-06-20,PNNT,7.81,105271
2008-06-23,PNNT,7.58,118562
2008-06-24,PNNT,7.38,42190
2008-06-25,PNNT,7.51,65533
2008-06-26,PNNT,7.05,102821
2008-06-27,PNNT,7.21,968333
2008-06-30,PNNT,7.21,168030
2008-07-01,PNNT,7.35,117093
2008-07-02,PNNT,7.01,119950
2008-07-03,PNNT,6.81,75283
2008-07-07,PNNT,6.53,80342
2008-07-08,PNNT,7.15,100915
2008-07-09,PNNT,7.11,76657
2008-07-10,PNNT,7.28,93147
2008-07-11,PNNT,7.3,51798
2008-07-14,PNNT,6.65,142158
2008-07-15,PNNT,6.61,103158
2008-07-16,PNNT,7.15,77525
2008-07-17,PNNT,7.37,72695
2008-07-18,PNNT,6.96,54931
2008-07-21,PNNT,7.05,79470
2008-07-22,PNNT,7.55,69065
2008-07-23,PNNT,7.25,79998
2008-07-24,PNNT,6.93,49617
2008-07-25,PNNT,7.15,52786
2008-07-28,PNNT,6.4,211161
2008-07-29,PNNT,6.48,119496
2008-07-30,PNNT,6.76,103096
2008-07-31,PNNT,6.94,84327
2008-08-01,PNNT,6.3,166066
2008-08-04,PNNT,5.92,289013
2008-08-05,PNNT,6.53,143571
2008-08-06,PNNT,7.12,137337
2008-08-07,PNNT,6.95,124826
2008-08-08,PNNT,7.24,85218
2008-08-11,PNNT,7.43,102902
2008-08-12,PNNT,7.46,103940
2008-08-13,PNNT,7.74,82819
2008-08-14,PNNT,7.97,201442
2008-08-15,PNNT,8.07,168511
2008-08-18,PNNT,8.15,42429
2008-08-19,PNNT,8.0,91174
2008-08-20,PNNT,8.02,130830
2008-08-21,PNNT,8.16,104151
2008-08-22,PNNT,8.43,60900
2008-08-25,PNNT,8.12,42845
2008-08-26,PNNT,8.07,56972
2008-08-27,PNNT,8.18,23980
2008-08-28,PNNT,8.45,33054
2008-08-29,PNNT,7.99,58706
2008-09-02,PNNT,8.22,53637
2008-09-03,PNNT,8.2,58535
2008-09-04,PNNT,8.11,242588
2008-09-05,PNNT,8.07,30997
2008-09-08,PNNT,8.29,54586
2008-09-09,PNNT,8.07,64198
2008-09-10,PNNT,8.27,60901
2008-09-11,PNNT,8.17,105750
2008-09-12,PNNT,8.05,100407
2008-09-15,PNNT,7.87,96423
2008-09-16,PNNT,7.99,80957
2008-09-17,PNNT,7.19,56234
2008-09-18,PNNT,7.93,164263
2008-09-19,PNNT,8.5,320883
2008-09-22,PNNT,8.04,92735
2008-09-23,PNNT,8.11,53625
2008-09-24,PNNT,8.1,66837
2008-09-25,PNNT,8.04,85035
2008-09-26,PNNT,8.06,71034
2008-09-29,PNNT,7.09,130678
2008-09-30,PNNT,7.41,98036
2008-10-01,PNNT,7.81,198678
2008-10-02,PNNT,7.52,106850
2008-10-03,PNNT,7.21,79239
2008-10-06,PNNT,6.89,164401
2008-10-07,PNNT,6.94,149096
2008-10-08,PNNT,6.31,181772
2008-10-09,PNNT,5.41,125652
2008-10-10,PNNT,6.31,133864
