ds,symbol,close,volume
1998-01-29,PRDO,2.40625,22820800
1998-01-30,PRDO,2.5,2928000
1998-02-02,PRDO,2.453125,585600
1998-02-03,PRDO,2.375,673600
1998-02-04,PRDO,2.375,877600
1998-02-05,PRDO,2.34375,804800
1998-02-06,PRDO,2.28125,777600
1998-02-09,PRDO,2.3125,1488000
1998-02-10,PRDO,2.320313,52000
1998-02-11,PRDO,2.484375,740000
1998-02-12,PRDO,2.4375,663200
1998-02-13,PRDO,2.453125,615200
1998-02-17,PRDO,2.53125,671200
1998-02-18,PRDO,2.546875,245600
1998-02-19,PRDO,2.609375,156800
1998-02-20,PRDO,2.609375,307200
1998-02-23,PRDO,2.625,43200
1998-02-24,PRDO,2.65625,41600
1998-02-25,PRDO,2.671875,547200
1998-02-26,PRDO,2.671875,105600
1998-02-27,PRDO,2.703125,96800
1998-03-02,PRDO,2.671875,1313600
1998-03-03,PRDO,2.625,269600
1998-03-04,PRDO,2.59375,82400
1998-03-05,PRDO,2.46875,880000
1998-03-06,PRDO,2.515625,903200
1998-03-09,PRDO,2.53125,758400
1998-03-10,PRDO,2.5625,101600
1998-03-11,PRDO,2.59375,160000
1998-03-12,PRDO,2.625,783200
1998-03-13,PRDO,2.640625,93600
1998-03-16,PRDO,2.625,132800
1998-03-17,PRDO,2.625,12000
1998-03-18,PRDO,2.65625,106400
1998-03-19,PRDO,2.671875,177600
1998-03-20,PRDO,2.65625,168800
1998-03-23,PRDO,2.671875,20000
1998-03-24,PRDO,2.59375,87200
1998-03-25,PRDO,2.6875,1600800
1998-03-26,PRDO,2.59375,944000
1998-03-27,PRDO,2.578125,13600
1998-03-30,PRDO,2.75,394400
1998-03-31,PRDO,2.75,168800
1998-04-01,PRDO,2.71875,24800
1998-04-02,PRDO,2.78125,344000
1998-04-03,PRDO,2.734375,394400
1998-04-06,PRDO,2.742188,121600
1998-04-07,PRDO,2.75,1808800
1998-04-08,PRDO,2.9375,453600
1998-04-09,PRDO,2.828125,842400
1998-04-13,PRDO,2.8125,16000
1998-04-14,PRDO,2.828125,1280800
1998-04-15,PRDO,2.875,65600
1998-04-16,PRDO,2.875,80000
1998-04-17,PRDO,2.890625,24000
