ds,symbol,close,volume
2016-06-09,PROF,10.185,35
2016-06-10,PROF,10.185,0
2016-06-13,PROF,10.185,0
2016-06-14,PROF,10.185,0
2016-06-15,PROF,10.185,0
2016-06-16,PROF,10.185,0
2016-06-17,PROF,10.185,0
2016-06-20,PROF,10.185,0
2016-06-21,PROF,10.185,0
2016-06-22,PROF,10.185,0
2016-06-23,PROF,10.185,0
2016-06-24,PROF,10.185,0
2016-06-27,PROF,10.185,0
2016-06-28,PROF,10.185,0
2016-06-29,PROF,10.185,0
2016-06-30,PROF,10.185,0
2016-07-01,PROF,10.185,0
2016-07-05,PROF,10.185,0
2016-07-06,PROF,10.713,270
2016-07-07,PROF,10.713,0
2016-07-08,PROF,10.713,0
2016-07-11,PROF,10.713,0
2016-07-12,PROF,10.713,0
2016-07-13,PROF,10.713,0
2016-07-14,PROF,10.713,0
2016-07-15,PROF,10.713,0
2016-07-18,PROF,10.713,0
2016-07-19,PROF,10.713,0
2016-07-20,PROF,10.713,0
2016-07-21,PROF,10.651,25
2016-07-22,PROF,10.651,0
2016-07-25,PROF,10.651,0
2016-07-26,PROF,10.651,0
2016-07-27,PROF,9.9,40
2016-07-28,PROF,9.9,0
2016-07-29,PROF,9.9,0
2016-08-01,PROF,9.9,0
2016-08-02,PROF,9.97,160
2016-08-03,PROF,9.97,0
2016-08-04,PROF,9.97,0
2016-08-05,PROF,9.97,0
2016-08-08,PROF,9.97,0
2016-08-09,PROF,9.97,0
2016-08-10,PROF,11.18,112
2016-08-11,PROF,11.18,0
2016-08-12,PROF,11.18,0
2016-08-15,PROF,11.18,0
2016-08-16,PROF,11.312,900
2016-08-17,PROF,11.312,0
2016-08-18,PROF,11.449,2600
2016-08-19,PROF,11.449,0
2016-08-22,PROF,11.338,110
2016-08-23,PROF,11.338,0
2016-08-24,PROF,11.248,10
2016-08-25,PROF,11.248,0
2016-08-26,PROF,11.047,93
2016-08-29,PROF,11.047,0
2016-08-30,PROF,11.05,70
2016-08-31,PROF,11.05,0
2016-09-01,PROF,10.497,92
2016-09-02,PROF,10.497,0
2016-09-06,PROF,10.497,0
