ds,symbol,close,volume
1991-12-13,QCOM,0.5625,143667200
1991-12-16,QCOM,0.554688,22585600
1991-12-17,QCOM,0.554688,16176000
1991-12-18,QCOM,0.570313,10899200
1991-12-19,QCOM,0.546875,7299200
1991-12-20,QCOM,0.5625,5235200
1991-12-23,QCOM,0.558594,7894400
1991-12-24,QCOM,0.601563,7129600
1991-12-26,QCOM,0.6875,8672000
1991-12-27,QCOM,0.664063,6396800
1991-12-30,QCOM,0.679688,6627200
1991-12-31,QCOM,0.773438,12572800
1992-01-02,QCOM,0.863281,22121600
1992-01-03,QCOM,0.875,6092800
1992-01-06,QCOM,0.820313,15987200
1992-01-07,QCOM,0.796875,4940800
1992-01-08,QCOM,0.703125,36828800
1992-01-09,QCOM,0.773438,20809600
1992-01-10,QCOM,0.75,7961600
1992-01-13,QCOM,0.8125,8499200
1992-01-14,QCOM,0.820313,3628800
1992-01-15,QCOM,0.828125,5910400
1992-01-16,QCOM,0.804688,3654400
1992-01-17,QCOM,0.789063,1574400
1992-01-20,QCOM,0.78125,3350400
1992-01-21,QCOM,0.75,3724800
1992-01-22,QCOM,0.78125,5132800
1992-01-23,QCOM,0.734375,3248000
1992-01-24,QCOM,0.742188,355200
1992-01-27,QCOM,0.726563,2675200
1992-01-28,QCOM,0.703125,3673600
1992-01-29,QCOM,0.71875,1702400
1992-01-30,QCOM,0.742188,2505600
1992-01-31,QCOM,0.75,1702400
1992-02-03,QCOM,0.769531,2611200
1992-02-04,QCOM,0.78125,4233600
1992-02-05,QCOM,0.773438,3280000
1992-02-06,QCOM,0.757813,7232000
1992-02-07,QCOM,0.734375,8979200
1992-02-10,QCOM,0.703125,4940800
1992-02-11,QCOM,0.710938,1667200
1992-02-12,QCOM,0.75,3603200
1992-02-13,QCOM,0.710938,1398400
1992-02-14,QCOM,0.726563,2825600
1992-02-18,QCOM,0.710938,1078400
1992-02-19,QCOM,0.6875,1408000
1992-02-20,QCOM,0.726563,5705600
1992-02-21,QCOM,0.65625,3836800
1992-02-24,QCOM,0.613281,12384000
1992-02-25,QCOM,0.625,3513600
1992-02-26,QCOM,0.648438,3200000
1992-02-27,QCOM,0.632813,1209600
1992-02-28,QCOM,0.640625,3011200
1992-03-02,QCOM,0.640625,1257600
1992-03-03,QCOM,0.617188,4022400
1992-03-04,QCOM,0.609375,5580800
1992-03-05,QCOM,0.59375,1920000
1992-03-06,QCOM,0.578125,6329600
1992-03-09,QCOM,0.578125,2809600
1992-03-10,QCOM,0.617188,1900800
1992-03-11,QCOM,0.578125,5577600
1992-03-12,QCOM,0.601563,1644800
1992-03-13,QCOM,0.601563,4976000
1992-03-16,QCOM,0.578125,739200
1992-03-17,QCOM,0.585938,1865600
1992-03-18,QCOM,0.636719,3753600
1992-03-19,QCOM,0.679688,6108800
1992-03-20,QCOM,0.695313,5392000
1992-03-23,QCOM,0.671875,5219200
1992-03-24,QCOM,0.671875,5760000
1992-03-25,QCOM,0.6875,3718400
1992-03-26,QCOM,0.695313,2089600
1992-03-27,QCOM,0.671875,1456000
1992-03-30,QCOM,0.671875,2339200
1992-03-31,QCOM,0.71875,5353600
1992-04-01,QCOM,0.683594,3868800
1992-04-02,QCOM,0.648438,2947200
1992-04-03,QCOM,0.648438,3414400
1992-04-06,QCOM,0.660156,2742400
1992-04-07,QCOM,0.664063,2579200
1992-04-08,QCOM,0.664063,3123200
1992-04-09,QCOM,0.65625,4313600
1992-04-10,QCOM,0.671875,592000
1992-04-13,QCOM,0.6875,2115200
1992-04-14,QCOM,0.703125,1955200
1992-04-15,QCOM,0.726563,6112000
1992-04-16,QCOM,0.714844,2646400
1992-04-20,QCOM,0.71875,3318400
1992-04-21,QCOM,0.726563,1952000
1992-04-22,QCOM,0.75,2198400
1992-04-23,QCOM,0.726563,1555200
1992-04-24,QCOM,0.710938,2112000
1992-04-27,QCOM,0.703125,1984000
1992-04-28,QCOM,0.664063,1923200
1992-04-29,QCOM,0.679688,563200
1992-04-30,QCOM,0.65625,3433600
1992-05-01,QCOM,0.664063,1120000
1992-05-04,QCOM,0.664063,3014400
1992-05-05,QCOM,0.671875,300800
1992-05-06,QCOM,0.671875,1779200
1992-05-07,QCOM,0.664063,412800
1992-05-08,QCOM,0.664063,179200
1992-05-11,QCOM,0.664063,1318400
1992-05-12,QCOM,0.625,1654400
1992-05-13,QCOM,0.601563,3331200
1992-05-14,QCOM,0.601563,6102400
1992-05-15,QCOM,0.585938,1612800
1992-05-18,QCOM,0.582031,2275200
1992-05-19,QCOM,0.578125,1500800
1992-05-20,QCOM,0.554688,7673600
1992-05-21,QCOM,0.5625,4457600
1992-05-22,QCOM,0.570313,1846400
1992-05-26,QCOM,0.589844,3257600
1992-05-27,QCOM,0.566406,4080000
1992-05-28,QCOM,0.5625,630400
1992-05-29,QCOM,0.574219,1504000
1992-06-01,QCOM,0.59375,2649600
1992-06-02,QCOM,0.578125,2208000
1992-06-03,QCOM,0.609375,3337600
1992-06-04,QCOM,0.632813,8780800
1992-06-05,QCOM,0.632813,1609600
1992-06-08,QCOM,0.59375,2060800
1992-06-09,QCOM,0.570313,2982400
1992-06-10,QCOM,0.554688,5728000
1992-06-11,QCOM,0.585938,11107200
1992-06-12,QCOM,0.640625,4480000
1992-06-15,QCOM,0.640625,3379200
1992-06-16,QCOM,0.609375,857600
1992-06-17,QCOM,0.570313,2147200
1992-06-18,QCOM,0.558594,4064000
1992-06-19,QCOM,0.5625,1315200
1992-06-22,QCOM,0.550781,2668800
1992-06-23,QCOM,0.5625,2051200
1992-06-24,QCOM,0.554688,496000
1992-06-25,QCOM,0.5625,1321600
1992-06-26,QCOM,0.5625,451200
1992-06-29,QCOM,0.59375,1881600
