ds,symbol,close,volume
2017-01-27,REVG,25.0,8868729
2017-01-30,REVG,25.65,838716
2017-01-31,REVG,25.24,462244
2017-02-01,REVG,25.25,551139
2017-02-02,REVG,25.0,277883
2017-02-03,REVG,25.86,266466
2017-02-06,REVG,25.78,287887
2017-02-07,REVG,25.78,60862
2017-02-08,REVG,26.81,448944
2017-02-09,REVG,27.52,363794
2017-02-10,REVG,28.0,449427
2017-02-13,REVG,28.86,594961
2017-02-14,REVG,28.51,235381
2017-02-15,REVG,28.69,219018
2017-02-16,REVG,27.22,223421
2017-02-17,REVG,27.59,280065
2017-02-21,REVG,26.65,425205
2017-02-22,REVG,27.49,217422
2017-02-23,REVG,27.0,172188
2017-02-24,REVG,27.74,191957
2017-02-27,REVG,28.61,232919
2017-02-28,REVG,28.45,214044
2017-03-01,REVG,28.4,139409
2017-03-02,REVG,27.9,86966
2017-03-03,REVG,28.04,151388
2017-03-06,REVG,27.84,210671
2017-03-07,REVG,26.03,388923
2017-03-08,REVG,26.49,421415
2017-03-09,REVG,26.69,180557
2017-03-10,REVG,25.92,270967
2017-03-13,REVG,26.55,170472
2017-03-14,REVG,26.21,117884
2017-03-15,REVG,26.43,189159
2017-03-16,REVG,26.5,289842
2017-03-17,REVG,27.27,1492400
2017-03-20,REVG,27.65,205927
2017-03-21,REVG,27.11,250051
2017-03-22,REVG,27.6,102943
2017-03-23,REVG,27.78,175922
2017-03-24,REVG,27.84,191374
2017-03-27,REVG,27.74,164285
2017-03-28,REVG,27.81,163680
2017-03-29,REVG,27.8,221093
2017-03-30,REVG,27.9,166950
2017-03-31,REVG,27.57,1287477
2017-04-03,REVG,27.62,347335
2017-04-04,REVG,27.54,194605
2017-04-05,REVG,27.28,329962
2017-04-06,REVG,27.69,125367
2017-04-07,REVG,27.68,102454
2017-04-10,REVG,27.72,107836
2017-04-11,REVG,27.57,79553
2017-04-12,REVG,27.12,185603
2017-04-13,REVG,27.36,180473
2017-04-17,REVG,27.52,65243
2017-04-18,REVG,27.86,64935
2017-04-19,REVG,28.67,166965
2017-04-20,REVG,28.58,87246
2017-04-21,REVG,28.29,115961
2017-04-24,REVG,28.9,133826
2017-04-25,REVG,28.52,153424
2017-04-26,REVG,28.38,146375
2017-04-27,REVG,28.85,109175
2017-04-28,REVG,28.2,96516
2017-05-01,REVG,28.16,117283
2017-05-02,REVG,28.34,66877
2017-05-03,REVG,28.1,59429
2017-05-04,REVG,28.26,98184
2017-05-05,REVG,28.27,58868
2017-05-08,REVG,28.68,69469
2017-05-09,REVG,27.99,119910
2017-05-10,REVG,26.97,121523
2017-05-11,REVG,26.53,187639
2017-05-12,REVG,25.84,100237
2017-05-15,REVG,25.83,62574
2017-05-16,REVG,26.02,497067
2017-05-17,REVG,26.19,277729
2017-05-18,REVG,25.81,368108
2017-05-19,REVG,26.05,227573
2017-05-22,REVG,26.67,185119
2017-05-23,REVG,26.56,139392
2017-05-24,REVG,26.67,148927
2017-05-25,REVG,27.54,170123
2017-05-26,REVG,28.43,312923
2017-05-30,REVG,26.9,163484
2017-05-31,REVG,26.85,257715
2017-06-01,REVG,27.99,109412
2017-06-02,REVG,27.72,183456
2017-06-05,REVG,26.91,120745
2017-06-06,REVG,27.0,313734
2017-06-07,REVG,27.22,479533
2017-06-08,REVG,27.85,507585
2017-06-09,REVG,28.58,395184
2017-06-12,REVG,28.39,192842
2017-06-13,REVG,28.97,148753
2017-06-14,REVG,29.03,140004
2017-06-15,REVG,29.0,129657
2017-06-16,REVG,30.1,384222
2017-06-19,REVG,30.84,348587
2017-06-20,REVG,30.39,451649
2017-06-21,REVG,29.79,300191
2017-06-22,REVG,29.4,168537
2017-06-23,REVG,29.18,421627
