ds,symbol,close,volume
1990-01-02,ROST,0.441406,3225600
1990-01-03,ROST,0.449219,4169600
1990-01-04,ROST,0.445313,11123200
1990-01-05,ROST,0.449219,3366400
1990-01-08,ROST,0.441406,2236800
1990-01-09,ROST,0.414063,5244800
1990-01-10,ROST,0.402344,17542400
1990-01-11,ROST,0.40625,3964800
1990-01-12,ROST,0.378906,6022400
1990-01-15,ROST,0.363281,5536000
1990-01-16,ROST,0.375,3411200
1990-01-17,ROST,0.398438,17654400
1990-01-18,ROST,0.421875,12400000
1990-01-19,ROST,0.449219,17427200
1990-01-22,ROST,0.433594,9404800
1990-01-23,ROST,0.441406,7356800
1990-01-24,ROST,0.425781,6022400
1990-01-25,ROST,0.421875,1696000
1990-01-26,ROST,0.402344,3881600
1990-01-29,ROST,0.382813,2793600
1990-01-30,ROST,0.371094,332800
1990-01-31,ROST,0.375,1833600
1990-02-01,ROST,0.375,5148800
1990-02-02,ROST,0.375,4422400
1990-02-05,ROST,0.375,3260800
1990-02-06,ROST,0.363281,4732800
1990-02-07,ROST,0.367188,1427200
1990-02-08,ROST,0.371094,6995200
1990-02-09,ROST,0.363281,7129600
1990-02-12,ROST,0.347656,9100800
1990-02-13,ROST,0.316406,5507200
1990-02-14,ROST,0.332031,4544000
1990-02-15,ROST,0.339844,8518400
1990-02-16,ROST,0.332031,3968000
1990-02-20,ROST,0.320313,1932800
1990-02-21,ROST,0.316406,10121600
1990-02-22,ROST,0.320313,1740800
1990-02-23,ROST,0.328125,1344000
1990-02-26,ROST,0.332031,1302400
1990-02-27,ROST,0.34375,3276800
1990-02-28,ROST,0.363281,11820800
1990-03-01,ROST,0.375,12588800
1990-03-02,ROST,0.386719,8243200
1990-03-05,ROST,0.386719,4025600
1990-03-06,ROST,0.378906,3491200
1990-03-07,ROST,0.390625,3193600
1990-03-08,ROST,0.382813,5430400
1990-03-09,ROST,0.382813,7884800
1990-03-12,ROST,0.394531,3267200
1990-03-13,ROST,0.382813,2387200
1990-03-14,ROST,0.386719,2070400
1990-03-15,ROST,0.382813,1712000
1990-03-16,ROST,0.386719,5200000
1990-03-19,ROST,0.386719,4982400
1990-03-20,ROST,0.382813,5366400
1990-03-21,ROST,0.386719,16854400
1990-03-22,ROST,0.390625,2108800
1990-03-23,ROST,0.429688,10179200
1990-03-26,ROST,0.429688,1174400
1990-03-27,ROST,0.429688,1811200
1990-03-28,ROST,0.449219,3334400
1990-03-29,ROST,0.445313,2067200
1990-03-30,ROST,0.433594,1916800
1990-04-02,ROST,0.429688,1123200
1990-04-03,ROST,0.449219,2860800
1990-04-04,ROST,0.445313,2204800
1990-04-05,ROST,0.433594,1600000
1990-04-06,ROST,0.429688,1926400
1990-04-09,ROST,0.425781,2105600
1990-04-10,ROST,0.421875,1632000
1990-04-11,ROST,0.421875,809600
1990-04-12,ROST,0.386719,9833600
1990-04-16,ROST,0.367188,11625600
1990-04-17,ROST,0.339844,21363200
1990-04-18,ROST,0.328125,5673600
1990-04-19,ROST,0.316406,14163200
1990-04-20,ROST,0.320313,7907200
1990-04-23,ROST,0.308594,8825600
1990-04-24,ROST,0.3125,6505600
1990-04-25,ROST,0.328125,13043200
1990-04-26,ROST,0.332031,6451200
1990-04-27,ROST,0.332031,2492800
1990-04-30,ROST,0.324219,3795200
1990-05-01,ROST,0.324219,2889600
1990-05-02,ROST,0.316406,11846400
1990-05-03,ROST,0.3125,1612800
1990-05-04,ROST,0.3125,3024000
1990-05-07,ROST,0.296875,1942400
1990-05-08,ROST,0.28125,4000000
1990-05-09,ROST,0.277344,2553600
1990-05-10,ROST,0.265625,15561600
1990-05-11,ROST,0.277344,21324800
1990-05-14,ROST,0.289063,17731200
1990-05-15,ROST,0.292969,9932800
1990-05-16,ROST,0.296875,2288000
1990-05-17,ROST,0.292969,8640000
1990-05-18,ROST,0.292969,6489600
1990-05-21,ROST,0.296875,16032000
1990-05-22,ROST,0.300781,5430400
1990-05-23,ROST,0.339844,16588800
1990-05-24,ROST,0.371094,20502400
1990-05-25,ROST,0.371094,7539200
1990-05-29,ROST,0.378906,6576000
1990-05-30,ROST,0.367188,9299200
1990-05-31,ROST,0.339844,5552000
1990-06-01,ROST,0.324219,4348800
1990-06-04,ROST,0.308594,6873600
1990-06-05,ROST,0.316406,5497600
1990-06-06,ROST,0.339844,5334400
1990-06-07,ROST,0.34375,5932800
1990-06-08,ROST,0.332031,4688000
1990-06-11,ROST,0.328125,1558400
1990-06-12,ROST,0.328125,4624000
1990-06-13,ROST,0.328125,732800
1990-06-14,ROST,0.332031,1788800
1990-06-15,ROST,0.355469,3148800
1990-06-18,ROST,0.371094,2716800
1990-06-19,ROST,0.355469,2131200
1990-06-20,ROST,0.351563,3004800
1990-06-21,ROST,0.351563,2089600
1990-06-22,ROST,0.347656,883200
1990-06-25,ROST,0.351563,1363200
1990-06-26,ROST,0.335938,1734400
1990-06-27,ROST,0.355469,3200000
1990-06-28,ROST,0.351563,3686400
1990-06-29,ROST,0.355469,2883200
1990-07-02,ROST,0.363281,3228800
1990-07-03,ROST,0.367188,1718400
1990-07-05,ROST,0.367188,1024000
1990-07-06,ROST,0.367188,1209600
1990-07-09,ROST,0.351563,1702400
1990-07-10,ROST,0.339844,5945600
1990-07-11,ROST,0.332031,5616000
1990-07-12,ROST,0.332031,14428800
1990-07-13,ROST,0.328125,6540800
1990-07-16,ROST,0.339844,835200
1990-07-17,ROST,0.339844,1590400
1990-07-18,ROST,0.34375,3251200
1990-07-19,ROST,0.335938,1936000
1990-07-20,ROST,0.335938,950400
1990-07-23,ROST,0.328125,3494400
1990-07-24,ROST,0.324219,2659200
1990-07-25,ROST,0.324219,5280000
1990-07-26,ROST,0.328125,2508800
1990-07-27,ROST,0.324219,5622400
1990-07-30,ROST,0.316406,2060800
1990-07-31,ROST,0.316406,1216000
1990-08-01,ROST,0.308594,5987200
1990-08-02,ROST,0.304688,7548800
1990-08-03,ROST,0.289063,6457600
1990-08-06,ROST,0.277344,3248000
1990-08-07,ROST,0.277344,10729600
1990-08-08,ROST,0.277344,1276800
1990-08-09,ROST,0.28125,278400
1990-08-10,ROST,0.269531,10873600
1990-08-13,ROST,0.265625,2892800
1990-08-14,ROST,0.269531,1267200
1990-08-15,ROST,0.273438,518400
1990-08-16,ROST,0.273438,403200
1990-08-17,ROST,0.257813,2972800
1990-08-20,ROST,0.257813,262400
1990-08-21,ROST,0.25,2640000
1990-08-22,ROST,0.246094,2534400
1990-08-23,ROST,0.242188,1203200
1990-08-24,ROST,0.246094,2604800
1990-08-27,ROST,0.261719,1395200
1990-08-28,ROST,0.265625,2028800
1990-08-29,ROST,0.261719,1001600
1990-08-30,ROST,0.261719,1478400
1990-08-31,ROST,0.261719,2617600
1990-09-04,ROST,0.265625,348800
1990-09-05,ROST,0.253906,1267200
1990-09-06,ROST,0.238281,13753600
1990-09-07,ROST,0.234375,15312000
1990-09-10,ROST,0.238281,11411200
1990-09-11,ROST,0.222656,5936000
1990-09-12,ROST,0.207031,3587200
1990-09-13,ROST,0.207031,2700800
1990-09-14,ROST,0.203125,1961600
1990-09-17,ROST,0.199219,918400
1990-09-18,ROST,0.199219,1804800
1990-09-19,ROST,0.1875,4291200
1990-09-20,ROST,0.183594,2828800
1990-09-21,ROST,0.183594,1622400
1990-09-24,ROST,0.167969,1916800
1990-09-25,ROST,0.164063,5017600
1990-09-26,ROST,0.140625,2844800
1990-09-27,ROST,0.148438,636800
1990-09-28,ROST,0.15625,4787200
1990-10-01,ROST,0.164063,2006400
1990-10-02,ROST,0.183594,1715200
1990-10-03,ROST,0.164063,2659200
1990-10-04,ROST,0.175781,1142400
1990-10-05,ROST,0.164063,1472000
1990-10-08,ROST,0.160156,201600
1990-10-09,ROST,0.144531,2272000
1990-10-10,ROST,0.160156,2156800
1990-10-11,ROST,0.15625,4035200
1990-10-12,ROST,0.15625,1395200
1990-10-15,ROST,0.148438,5465600
1990-10-16,ROST,0.142578,1267200
1990-10-17,ROST,0.148438,777600
1990-10-18,ROST,0.142578,2771200
1990-10-19,ROST,0.148438,3257600
1990-10-22,ROST,0.164063,6409600
1990-10-23,ROST,0.160156,11705600
1990-10-24,ROST,0.15625,748800
1990-10-25,ROST,0.160156,640000
1990-10-26,ROST,0.148438,5603200
1990-10-29,ROST,0.152344,224000
1990-10-30,ROST,0.148438,467200
1990-10-31,ROST,0.140625,2524800
1990-11-01,ROST,0.136719,9984000
1990-11-02,ROST,0.148438,11129600
1990-11-05,ROST,0.152344,416000
1990-11-06,ROST,0.15625,3478400
1990-11-07,ROST,0.152344,5676800
1990-11-08,ROST,0.140625,3366400
1990-11-09,ROST,0.140625,2201600
1990-11-12,ROST,0.15625,3062400
1990-11-13,ROST,0.15625,6012800
1990-11-14,ROST,0.15625,556800
1990-11-15,ROST,0.179688,8796800
1990-11-16,ROST,0.167969,6982400
1990-11-19,ROST,0.173828,7689600
1990-11-20,ROST,0.167969,1875200
1990-11-21,ROST,0.167969,1052800
1990-11-23,ROST,0.171875,396800
1990-11-26,ROST,0.15625,1414400
1990-11-27,ROST,0.171875,1920000
1990-11-28,ROST,0.175781,291200
1990-11-29,ROST,0.177734,3731200
1990-11-30,ROST,0.171875,937600
1990-12-03,ROST,0.177734,1120000
1990-12-04,ROST,0.173828,3667200
1990-12-05,ROST,0.175781,2172800
1990-12-06,ROST,0.195313,7430400
1990-12-07,ROST,0.1875,1804800
1990-12-10,ROST,0.1875,2227200
1990-12-11,ROST,0.195313,6537600
1990-12-12,ROST,0.214844,6243200
1990-12-13,ROST,0.214844,3148800
1990-12-14,ROST,0.210938,3164800
1990-12-17,ROST,0.214844,1148800
1990-12-18,ROST,0.212891,6777600
1990-12-19,ROST,0.216797,2291200
1990-12-20,ROST,0.222656,6396800
1990-12-21,ROST,0.222656,2118400
1990-12-24,ROST,0.226563,611200
1990-12-26,ROST,0.222656,1452800
