ds,symbol,close,volume
1995-06-07,SBGI,12.0625,7806200
1995-06-08,SBGI,11.8125,1036400
1995-06-09,SBGI,11.875,702000
1995-06-12,SBGI,12.0,492600
1995-06-13,SBGI,11.75,397800
1995-06-14,SBGI,12.25,468200
1995-06-15,SBGI,12.25,409200
1995-06-16,SBGI,14.0,1093000
1995-06-19,SBGI,14.0,296000
1995-06-20,SBGI,14.0,283400
1995-06-21,SBGI,14.0,233400
1995-06-22,SBGI,14.5,351000
1995-06-23,SBGI,14.0,316600
1995-06-26,SBGI,14.0,87600
1995-06-27,SBGI,13.875,211600
1995-06-28,SBGI,13.75,337600
1995-06-29,SBGI,13.75,16800
1995-06-30,SBGI,14.0,602200
1995-07-03,SBGI,13.6875,6200
1995-07-05,SBGI,14.0,49800
1995-07-06,SBGI,14.25,96400
1995-07-07,SBGI,14.25,122000
1995-07-10,SBGI,13.75,29200
1995-07-11,SBGI,13.75,158800
1995-07-12,SBGI,13.875,320800
1995-07-13,SBGI,13.875,19200
1995-07-14,SBGI,14.25,19200
1995-07-17,SBGI,13.9375,108400
1995-07-18,SBGI,14.75,223400
1995-07-19,SBGI,14.625,338600
1995-07-20,SBGI,14.625,29600
1995-07-21,SBGI,14.5,246800
1995-07-24,SBGI,14.625,11200
1995-07-25,SBGI,14.125,10000
1995-07-26,SBGI,14.75,93000
1995-07-27,SBGI,14.625,307600
1995-07-28,SBGI,14.875,105600
1995-07-31,SBGI,15.25,53800
1995-08-01,SBGI,15.0,53400
1995-08-02,SBGI,15.0,35600
1995-08-03,SBGI,14.75,600
1995-08-04,SBGI,15.375,47800
1995-08-07,SBGI,15.5,22000
1995-08-08,SBGI,15.5,63000
1995-08-09,SBGI,15.0,227400
1995-08-10,SBGI,15.0,152800
1995-08-11,SBGI,15.0,4400
1995-08-14,SBGI,15.0,800
1995-08-15,SBGI,15.0625,12200
1995-08-16,SBGI,15.0,217800
1995-08-17,SBGI,15.0625,47800
1995-08-18,SBGI,15.0,53800
1995-08-21,SBGI,15.0,98200
1995-08-22,SBGI,15.125,45000
1995-08-23,SBGI,15.0,3000
1995-08-24,SBGI,15.1875,8600
1995-08-25,SBGI,15.0,30400
1995-08-28,SBGI,15.125,97400
1995-08-29,SBGI,15.5,59800
1995-08-30,SBGI,15.0,1200
1995-08-31,SBGI,15.125,55600
1995-09-01,SBGI,15.0,1800
1995-09-05,SBGI,15.5,3000
1995-09-06,SBGI,15.0,6600
1995-09-07,SBGI,15.0,7000
1995-09-08,SBGI,15.5,3200
1995-09-11,SBGI,15.0,2000
1995-09-12,SBGI,15.0,9800
1995-09-13,SBGI,15.0,4000
1995-09-14,SBGI,15.0,25200
1995-09-15,SBGI,15.0,5200
1995-09-18,SBGI,14.375,38400
1995-09-19,SBGI,14.4375,160200
1995-09-20,SBGI,14.4375,163600
1995-09-21,SBGI,14.375,2400
1995-09-22,SBGI,14.875,10000
1995-09-25,SBGI,14.375,2800
1995-09-26,SBGI,14.8125,2000
1995-09-27,SBGI,14.375,2000
1995-09-28,SBGI,14.375,5800
1995-09-29,SBGI,14.375,11600
1995-10-02,SBGI,13.875,19600
1995-10-03,SBGI,12.625,213000
1995-10-04,SBGI,12.625,9200
1995-10-05,SBGI,12.625,5000
1995-10-06,SBGI,12.625,600
1995-10-09,SBGI,12.625,155000
1995-10-10,SBGI,12.625,10400
1995-10-11,SBGI,12.375,3000
1995-10-12,SBGI,12.875,8600
1995-10-13,SBGI,12.75,3400
1995-10-16,SBGI,12.375,7000
1995-10-17,SBGI,12.875,1000
1995-10-18,SBGI,12.625,30200
1995-10-19,SBGI,12.875,600
1995-10-20,SBGI,12.5,49200
1995-10-23,SBGI,12.6875,160200
1995-10-24,SBGI,12.125,549600
1995-10-25,SBGI,12.125,91200
1995-10-26,SBGI,11.625,22200
1995-10-27,SBGI,11.375,16400
1995-10-30,SBGI,11.25,555400
1995-10-31,SBGI,10.375,26600
1995-11-01,SBGI,10.875,280400
1995-11-02,SBGI,10.625,28600
1995-11-03,SBGI,10.6875,34400
1995-11-06,SBGI,10.03125,205800
1995-11-07,SBGI,9.625,66200
1995-11-08,SBGI,10.125,14800
1995-11-09,SBGI,10.0,15800
1995-11-10,SBGI,10.0,7800
1995-11-13,SBGI,9.625,19000
1995-11-14,SBGI,8.75,60800
1995-11-15,SBGI,8.6875,202600
1995-11-16,SBGI,8.125,966400
1995-11-17,SBGI,8.375,660400
1995-11-20,SBGI,8.625,1975600
1995-11-21,SBGI,8.875,202800
1995-11-22,SBGI,8.875,40000
1995-11-24,SBGI,9.125,16600
1995-11-27,SBGI,9.25,32400
1995-11-28,SBGI,9.5,47800
1995-11-29,SBGI,9.625,71200
1995-11-30,SBGI,9.875,44800
1995-12-01,SBGI,9.9375,219800
1995-12-04,SBGI,10.125,37000
1995-12-05,SBGI,10.125,733200
1995-12-06,SBGI,10.375,17800
1995-12-07,SBGI,10.0,774600
1995-12-08,SBGI,10.375,49400
1995-12-11,SBGI,10.125,16000
1995-12-12,SBGI,10.125,12800
1995-12-13,SBGI,9.875,97400
1995-12-14,SBGI,10.0,4200
1995-12-15,SBGI,9.9375,5000
1995-12-18,SBGI,9.875,25600
1995-12-19,SBGI,9.875,400
1995-12-20,SBGI,9.875,19400
1995-12-21,SBGI,10.0,158800
1995-12-22,SBGI,9.625,11800
1995-12-26,SBGI,9.375,48800
1995-12-27,SBGI,8.625,722600
1995-12-28,SBGI,8.25,210600
1995-12-29,SBGI,8.625,51800
1996-01-02,SBGI,8.4375,69400
1996-01-03,SBGI,8.875,279600
1996-01-04,SBGI,9.125,441200
1996-01-05,SBGI,9.625,418400
1996-01-08,SBGI,9.625,9600
1996-01-09,SBGI,9.3125,516400
1996-01-10,SBGI,9.4375,701000
1996-01-11,SBGI,9.375,94800
1996-01-12,SBGI,9.25,20000
1996-01-15,SBGI,9.5,2000
1996-01-16,SBGI,9.5,75200
1996-01-17,SBGI,9.5,16000
1996-01-18,SBGI,9.5,21600
1996-01-19,SBGI,9.125,52800
1996-01-22,SBGI,9.125,8400
1996-01-23,SBGI,9.375,5600
1996-01-24,SBGI,9.375,60800
1996-01-25,SBGI,9.4375,67800
1996-01-26,SBGI,9.4375,9800
1996-01-29,SBGI,9.375,6400
1996-01-30,SBGI,8.5625,186400
1996-01-31,SBGI,9.0,23000
1996-02-01,SBGI,9.0,148000
1996-02-02,SBGI,8.875,308600
1996-02-05,SBGI,8.625,6400
1996-02-06,SBGI,8.875,61600
1996-02-07,SBGI,8.75,87600
1996-02-08,SBGI,8.5,48200
1996-02-09,SBGI,8.875,69200
1996-02-12,SBGI,8.6875,169600
1996-02-13,SBGI,9.0,869000
1996-02-14,SBGI,10.125,948400
1996-02-15,SBGI,10.75,519200
1996-02-16,SBGI,10.625,308400
1996-02-20,SBGI,10.625,50200
1996-02-21,SBGI,10.75,104000
1996-02-22,SBGI,10.75,155000
1996-02-23,SBGI,10.75,451000
1996-02-26,SBGI,10.625,176000
1996-02-27,SBGI,10.75,65200
1996-02-28,SBGI,10.5625,468800
1996-02-29,SBGI,11.75,343600
1996-03-01,SBGI,11.5,185800
1996-03-04,SBGI,11.625,67600
1996-03-05,SBGI,12.0,328600
1996-03-06,SBGI,12.5,295400
1996-03-07,SBGI,12.75,306200
1996-03-08,SBGI,12.625,121200
1996-03-11,SBGI,12.5,72000
1996-03-12,SBGI,12.625,35400
1996-03-13,SBGI,12.875,53600
1996-03-14,SBGI,12.5,65000
1996-03-15,SBGI,12.875,15000
1996-03-18,SBGI,13.0,57400
1996-03-19,SBGI,13.25,152600
1996-03-20,SBGI,13.0,69600
1996-03-21,SBGI,12.75,12800
1996-03-22,SBGI,12.75,29600
1996-03-25,SBGI,12.75,9000
1996-03-26,SBGI,13.25,58000
1996-03-27,SBGI,13.0,30600
1996-03-28,SBGI,12.75,101200
1996-03-29,SBGI,13.25,116600
1996-04-01,SBGI,12.75,4800
1996-04-02,SBGI,13.0,35600
1996-04-03,SBGI,13.625,328600
1996-04-04,SBGI,13.5,234800
1996-04-08,SBGI,13.25,102800
1996-04-09,SBGI,13.25,105400
