ds,symbol,close,volume
2016-04-21,SCWX,14.0,0
2016-04-22,SCWX,14.0,7988823
2016-04-25,SCWX,13.5,908976
2016-04-26,SCWX,13.73,630047
2016-04-27,SCWX,13.68,395986
2016-04-28,SCWX,13.44,225789
2016-04-29,SCWX,13.33,206388
2016-05-02,SCWX,13.34,91388
2016-05-03,SCWX,13.66,284955
2016-05-04,SCWX,13.53,136722
2016-05-05,SCWX,13.5,179859
2016-05-06,SCWX,13.27,219437
2016-05-09,SCWX,13.0,557377
2016-05-10,SCWX,13.105,445445
2016-05-11,SCWX,12.72,455575
2016-05-12,SCWX,12.21,404465
2016-05-13,SCWX,12.45,213820
2016-05-16,SCWX,13.81,297690
2016-05-17,SCWX,13.16,521875
2016-05-18,SCWX,13.53,84890
2016-05-19,SCWX,13.61,81119
2016-05-20,SCWX,13.86,98021
2016-05-23,SCWX,13.26,82339
2016-05-24,SCWX,13.65,74342
2016-05-25,SCWX,13.76,76612
2016-05-26,SCWX,13.63,102528
2016-05-27,SCWX,13.735,330473
2016-05-31,SCWX,13.815,111625
2016-06-01,SCWX,13.69,623156
2016-06-02,SCWX,13.28,181531
2016-06-03,SCWX,13.45,54773
2016-06-06,SCWX,13.53,261281
2016-06-07,SCWX,13.28,67829
2016-06-08,SCWX,13.49,58264
2016-06-09,SCWX,13.11,131435
2016-06-10,SCWX,13.34,164549
2016-06-13,SCWX,13.18,144455
2016-06-14,SCWX,14.92,832693
2016-06-15,SCWX,14.08,605306
2016-06-16,SCWX,15.49,533234
2016-06-17,SCWX,15.09,1111491
2016-06-20,SCWX,14.52,203057
2016-06-21,SCWX,14.16,111021
2016-06-22,SCWX,13.99,232828
2016-06-23,SCWX,14.12,184970
2016-06-24,SCWX,13.04,771061
2016-06-27,SCWX,13.09,185522
2016-06-28,SCWX,12.92,303181
2016-06-29,SCWX,13.77,241465
2016-06-30,SCWX,14.1,151117
2016-07-01,SCWX,14.0,50355
2016-07-05,SCWX,13.91,118784
2016-07-06,SCWX,14.04,179981
2016-07-07,SCWX,13.79,166278
2016-07-08,SCWX,13.86,190847
2016-07-11,SCWX,14.54,249267
2016-07-12,SCWX,14.75,103717
2016-07-13,SCWX,14.74,308897
2016-07-14,SCWX,14.83,94508
2016-07-15,SCWX,15.36,226084
2016-07-18,SCWX,15.14,70058
2016-07-19,SCWX,14.75,39172
2016-07-20,SCWX,14.44,70632
2016-07-21,SCWX,14.36,41787
2016-07-22,SCWX,14.51,71981
2016-07-25,SCWX,14.75,31430
2016-07-26,SCWX,15.0,43162
2016-07-27,SCWX,14.9,30134
2016-07-28,SCWX,14.93,68288
2016-07-29,SCWX,14.81,38208
2016-08-01,SCWX,14.83,44763
2016-08-02,SCWX,14.33,165375
2016-08-03,SCWX,14.54,28523
2016-08-04,SCWX,14.44,22730
2016-08-05,SCWX,14.37,37469
2016-08-08,SCWX,14.16,51644
2016-08-09,SCWX,14.11,24524
2016-08-10,SCWX,14.07,22081
2016-08-11,SCWX,14.11,94438
2016-08-12,SCWX,14.0,30566
2016-08-15,SCWX,14.13,33739
2016-08-16,SCWX,14.02,84252
2016-08-17,SCWX,13.95,57872
2016-08-18,SCWX,14.09,51755
2016-08-19,SCWX,14.34,63027
2016-08-22,SCWX,14.43,42978
2016-08-23,SCWX,14.48,29318
2016-08-24,SCWX,14.49,61444
2016-08-25,SCWX,14.57,93151
2016-08-26,SCWX,14.26,32799
2016-08-29,SCWX,14.37,15421
2016-08-30,SCWX,14.09,110084
2016-08-31,SCWX,14.2,28390
