ds,symbol,close,volume
2017-10-20,SE,16.26,37563794
2017-10-23,SE,15.26,5754030
2017-10-24,SE,15.24,3749132
2017-10-25,SE,13.73,4408321
2017-10-26,SE,14.02,1850303
2017-10-27,SE,14.01,2414473
2017-10-30,SE,14.1,1230906
2017-10-31,SE,15.08,1664553
2017-11-01,SE,15.43,1248346
2017-11-02,SE,15.24,1190838
2017-11-03,SE,14.99,510208
2017-11-06,SE,15.01,616808
2017-11-07,SE,15.0,1000470
2017-11-08,SE,14.84,734841
2017-11-09,SE,14.5,1092685
2017-11-10,SE,14.72,631716
2017-11-13,SE,14.73,992367
2017-11-14,SE,15.01,1124918
2017-11-15,SE,14.71,712289
2017-11-16,SE,15.03,733276
2017-11-17,SE,15.0,1254044
2017-11-20,SE,15.49,787452
2017-11-21,SE,14.78,1378005
2017-11-22,SE,13.85,3799855
2017-11-24,SE,13.33,2266325
2017-11-27,SE,12.67,2934382
2017-11-28,SE,11.45,4752809
2017-11-29,SE,10.97,3725904
2017-11-30,SE,11.6,2325672
2017-12-01,SE,12.43,1404261
2017-12-04,SE,11.98,1472085
2017-12-05,SE,12.73,2044992
2017-12-06,SE,12.13,1788278
2017-12-07,SE,12.92,1779740
2017-12-08,SE,13.29,938107
2017-12-11,SE,13.41,1209340
2017-12-12,SE,13.19,1054889
2017-12-13,SE,12.72,477962
2017-12-14,SE,11.77,1117723
2017-12-15,SE,12.0,1470310
2017-12-18,SE,11.92,1689666
2017-12-19,SE,11.87,746025
2017-12-20,SE,12.22,706370
2017-12-21,SE,12.77,569993
2017-12-22,SE,13.24,747326
2017-12-26,SE,13.0,336238
2017-12-27,SE,13.38,406648
2017-12-28,SE,13.5,558566
2017-12-29,SE,13.33,484795
2018-01-02,SE,13.01,685907
2018-01-03,SE,13.5,681440
2018-01-04,SE,13.0,703913
2018-01-05,SE,13.89,682719
2018-01-08,SE,13.87,1246005
2018-01-09,SE,13.82,830683
2018-01-10,SE,13.59,851203
2018-01-11,SE,14.23,829590
2018-01-12,SE,12.97,1161841
2018-01-16,SE,12.78,1619838
2018-01-17,SE,12.63,734077
2018-01-18,SE,12.58,759812
2018-01-19,SE,12.31,643340
2018-01-22,SE,12.59,1062994
2018-01-23,SE,12.9,2207900
2018-01-24,SE,12.76,1406770
2018-01-25,SE,12.75,1177211
2018-01-26,SE,13.29,1606190
2018-01-29,SE,12.22,924914
2018-01-30,SE,12.03,705937
2018-01-31,SE,12.26,806635
2018-02-01,SE,11.92,612736
2018-02-02,SE,11.93,948003
2018-02-05,SE,11.5,486076
2018-02-06,SE,11.18,687286
2018-02-07,SE,11.2,394351
2018-02-08,SE,10.88,625862
