ds,symbol,close,volume
2013-04-19,SEAS,33.52,21677969.0
2013-04-22,SEAS,32.92,1612314.0
2013-04-23,SEAS,32.85,822355.0
2013-04-24,SEAS,32.47,703575.0
2013-04-25,SEAS,33.2,719704.0
2013-04-26,SEAS,32.32,893639.0
2013-04-29,SEAS,33.16,368210.0
2013-04-30,SEAS,33.6,345444.0
2013-05-01,SEAS,33.05,151418.0
2013-05-02,SEAS,33.69,215708.0
2013-05-03,SEAS,33.13,213175.0
2013-05-06,SEAS,33.0,366662.0
2013-05-07,SEAS,33.72,711535.0
2013-05-08,SEAS,34.02,824626.0
2013-05-09,SEAS,34.35,296663.0
2013-05-10,SEAS,35.16,220995.0
2013-05-13,SEAS,36.86,593870.0
2013-05-14,SEAS,36.92,171022.0
2013-05-15,SEAS,37.35,506292.0
2013-05-16,SEAS,37.35,206776.0
2013-05-17,SEAS,38.88,1053489.0
2013-05-20,SEAS,38.85,452654.0
2013-05-21,SEAS,38.11,783330.0
2013-05-22,SEAS,37.73,451115.0
2013-05-23,SEAS,37.46,960056.0
2013-05-24,SEAS,37.99,155138.0
2013-05-28,SEAS,37.71,340101.0
2013-05-29,SEAS,36.15,572762.0
2013-05-30,SEAS,35.6,451597.0
2013-05-31,SEAS,35.39,455117.0
2013-06-03,SEAS,35.64,808354.0
2013-06-04,SEAS,36.6,286123.0
2013-06-05,SEAS,36.39,130361.0
2013-06-06,SEAS,37.45,253266.0
2013-06-07,SEAS,37.56,106275.0
2013-06-10,SEAS,37.73,256076.0
2013-06-11,SEAS,37.02,195998.0
2013-06-12,SEAS,36.63,206107.0
2013-06-13,SEAS,37.13,232476.0
2013-06-14,SEAS,37.95,271634.0
2013-06-17,SEAS,37.9,301451.0
2013-06-18,SEAS,37.99,474099.0
2013-06-19,SEAS,38.28,408111.0
2013-06-20,SEAS,38.0,580934.0
2013-06-21,SEAS,37.73,1200106.0
2013-06-24,SEAS,37.43,220891.0
2013-06-25,SEAS,36.3,271670.0
2013-06-26,SEAS,35.55,837272.0
2013-06-27,SEAS,35.1,395223.0
2013-06-28,SEAS,35.1,1666111.0
2013-07-01,SEAS,36.41,375888.0
2013-07-02,SEAS,35.7,248211.0
2013-07-03,SEAS,35.17,226367.0
2013-07-05,SEAS,35.45,188918.0
2013-07-08,SEAS,36.49,380482.0
2013-07-09,SEAS,38.47,1101939.0
2013-07-10,SEAS,38.53,271056.0
2013-07-11,SEAS,38.92,355434.0
2013-07-12,SEAS,38.32,199184.0
2013-07-15,SEAS,38.88,194441.0
2013-07-16,SEAS,38.71,171111.0
2013-07-17,SEAS,38.3,68524.0
2013-07-18,SEAS,38.18,107108.0
2013-07-19,SEAS,38.3,129011.0
2013-07-22,SEAS,38.05,76533.0
2013-07-23,SEAS,38.33,467276.0
2013-07-24,SEAS,37.81,847013.0
2013-07-25,SEAS,37.47,128787.0
2013-07-26,SEAS,37.63,108417.0
2013-07-29,SEAS,37.54,101848.0
2013-07-30,SEAS,36.81,369180.0
2013-07-31,SEAS,36.67,250712.0
2013-08-01,SEAS,37.01,105750.0
2013-08-02,SEAS,36.61,341133.0
2013-08-05,SEAS,37.0,320306.0
2013-08-06,SEAS,36.88,260900.0
2013-08-07,SEAS,36.51,153684.0
2013-08-08,SEAS,35.74,214807.0
2013-08-09,SEAS,35.95,194572.0
2013-08-12,SEAS,36.46,195466.0
2013-08-13,SEAS,36.31,353597.0
2013-08-14,SEAS,34.94,2259859.0
2013-08-15,SEAS,33.49,312623.0
2013-08-16,SEAS,33.88,133138.0
2013-08-19,SEAS,33.51,108863.0
2013-08-20,SEAS,33.47,91167.0
2013-08-21,SEAS,33.38,78727.0
2013-08-22,SEAS,33.54,227028.0
2013-08-23,SEAS,33.29,189318.0
2013-08-26,SEAS,33.07,79610.0
2013-08-27,SEAS,31.76,1150337.0
2013-08-28,SEAS,29.7,959478.0
2013-08-29,SEAS,29.59,1863789.0
2013-08-30,SEAS,29.93,396182.0
2013-09-03,SEAS,29.8,663997.0
2013-09-04,SEAS,29.34,999770.0
2013-09-05,SEAS,30.05,485313.0
2013-09-06,SEAS,30.0,847666.0
2013-09-09,SEAS,29.26,593377.0
2013-09-10,SEAS,29.78,526489.0
2013-09-11,SEAS,28.65,609121.0
2013-09-12,SEAS,30.84,1210858.0
2013-09-13,SEAS,31.43,348213.0
2013-09-16,SEAS,30.96,367419.0
2013-09-17,SEAS,31.21,237507.0
2013-09-18,SEAS,31.3,162082.0
2013-09-19,SEAS,31.56,267491.0
2013-09-20,SEAS,31.73,396043.0
2013-09-23,SEAS,31.73,585536.0
2013-09-24,SEAS,31.65,218712.0
2013-09-25,SEAS,30.78,1184890.0
2013-09-26,SEAS,30.53,175036.0
2013-09-27,SEAS,30.21,78265.0
2013-09-30,SEAS,29.63,310773.0
2013-10-01,SEAS,30.3,358373.0
2013-10-02,SEAS,30.08,77717.0
2013-10-03,SEAS,29.65,213325.0
2013-10-04,SEAS,29.3,883207.0
2013-10-07,SEAS,29.13,85363.0
2013-10-08,SEAS,28.19,259122.0
2013-10-09,SEAS,27.66,447493.0
2013-10-10,SEAS,28.05,500819.0
2013-10-11,SEAS,28.62,285902.0
2013-10-14,SEAS,28.74,491143.0
2013-10-15,SEAS,28.56,270880.0
2013-10-16,SEAS,29.21,270374.0
2013-10-17,SEAS,29.57,285883.0
2013-10-18,SEAS,29.98,287882.0
2013-10-21,SEAS,29.76,252306.0
2013-10-22,SEAS,29.43,232834.0
2013-10-23,SEAS,28.71,196786.0
2013-10-24,SEAS,29.76,260553.0
2013-10-25,SEAS,29.99,133832.0
2013-10-28,SEAS,30.33,329721.0
2013-10-29,SEAS,30.03,230116.0
2013-10-30,SEAS,29.85,176650.0
2013-10-31,SEAS,30.03,197509.0
2013-11-01,SEAS,29.73,256086.0
2013-11-04,SEAS,29.67,113688.0
2013-11-05,SEAS,29.33,146615.0
2013-11-06,SEAS,30.48,312659.0
2013-11-07,SEAS,30.87,536681.0
2013-11-08,SEAS,30.67,165803.0
2013-11-11,SEAS,31.2,503002.0
2013-11-12,SEAS,31.92,766425.0
2013-11-13,SEAS,32.82,562858.0
2013-11-14,SEAS,30.68,2573761.0
2013-11-15,SEAS,31.5,1520986.0
2013-11-18,SEAS,32.05,512613.0
2013-11-19,SEAS,31.81,386993.0
2013-11-20,SEAS,31.19,569323.0
2013-11-21,SEAS,30.59,270033.0
2013-11-22,SEAS,30.52,203537.0
2013-11-25,SEAS,29.86,314612.0
2013-11-26,SEAS,29.6,591986.0
2013-11-27,SEAS,29.65,320061.0
2013-11-29,SEAS,29.82,124050.0
2013-12-02,SEAS,30.01,416255.0
2013-12-03,SEAS,29.65,859565.0
2013-12-04,SEAS,29.55,303964.0
2013-12-05,SEAS,29.68,356226.0
2013-12-06,SEAS,29.66,200968.0
2013-12-09,SEAS,29.85,287923.0
2013-12-10,SEAS,29.63,1526769.0
2013-12-11,SEAS,30.08,1555872.0
2013-12-12,SEAS,29.41,7590289.0
2013-12-13,SEAS,29.31,3148702.0
2013-12-16,SEAS,29.49,1443942.0
2013-12-17,SEAS,29.33,644999.0
2013-12-18,SEAS,29.72,619118.0
2013-12-19,SEAS,29.27,545334.0
2013-12-20,SEAS,29.34,923533.0
2013-12-23,SEAS,28.79,3287216.0
2013-12-24,SEAS,29.07,972391.0
2013-12-26,SEAS,28.54,802997.0
2013-12-27,SEAS,28.63,1703054.0
2013-12-30,SEAS,28.12,1294301.0
2013-12-31,SEAS,28.77,2283291.0
2014-01-02,SEAS,29.02,1296371.0
2014-01-03,SEAS,28.9,1288374.0
2014-01-06,SEAS,28.21,1414396.0
2014-01-07,SEAS,28.11,1149262.0
2014-01-08,SEAS,27.79,2208425.0
2014-01-09,SEAS,27.97,1279085.0
2014-01-10,SEAS,29.45,3226041.0
2014-01-13,SEAS,30.1,3275366.0
2014-01-14,SEAS,30.78,2647976.0
2014-01-15,SEAS,30.99,1245984.0
2014-01-16,SEAS,33.59,2735318.0
2014-01-17,SEAS,33.25,1326200.0
2014-01-21,SEAS,32.99,730064.0
2014-01-22,SEAS,32.94,190606.0
2014-01-23,SEAS,33.44,687849.0
2014-01-24,SEAS,33.18,900371.0
2014-01-27,SEAS,33.15,542470.0
2014-01-28,SEAS,33.23,649670.0
2014-01-29,SEAS,32.62,1055387.0
2014-01-30,SEAS,32.05,1144132.0
2014-01-31,SEAS,32.42,501585.0
2014-02-03,SEAS,31.1,907273.0
2014-02-04,SEAS,31.51,227861.0
2014-02-05,SEAS,31.22,456824.0
2014-02-06,SEAS,31.9,661776.0
2014-02-07,SEAS,32.6,548051.0
2014-02-10,SEAS,32.52,535964.0
2014-02-11,SEAS,32.54,388670.0
2014-02-12,SEAS,32.52,571798.0
2014-02-13,SEAS,32.81,255752.0
2014-02-14,SEAS,33.25,304199.0
2014-02-18,SEAS,33.4,707464.0
2014-02-19,SEAS,33.74,311113.0
2014-02-20,SEAS,33.76,296392.0
2014-02-21,SEAS,33.5,413685.0
2014-02-24,SEAS,34.0,363899.0
2014-02-25,SEAS,34.56,447718.0
2014-02-26,SEAS,34.29,536869.0
2014-02-27,SEAS,34.25,256560.0
2014-02-28,SEAS,34.14,424306.0
2014-03-03,SEAS,33.77,719625.0
2014-03-04,SEAS,34.4,466121.0
2014-03-05,SEAS,34.92,596499.0
2014-03-06,SEAS,35.11,266034.0
2014-03-07,SEAS,33.12,3018839.0
2014-03-10,SEAS,33.87,921008.0
2014-03-11,SEAS,33.6,629402.0
2014-03-12,SEAS,32.37,1852411.0
2014-03-13,SEAS,31.51,1241823.0
2014-03-14,SEAS,32.56,2405676.0
2014-03-17,SEAS,31.68,1300687.0
2014-03-18,SEAS,31.97,626216.0
2014-03-19,SEAS,32.3,490759.0
2014-03-20,SEAS,32.8,647095.0
2014-03-21,SEAS,33.17,1354607.0
2014-03-24,SEAS,31.98,1111253.0
2014-03-25,SEAS,31.87,1108010.0
2014-03-26,SEAS,31.06,1024150.0
2014-03-27,SEAS,30.36,1408284.0
2014-03-28,SEAS,30.14,1154121.0
2014-03-31,SEAS,30.23,1285339.0
