ds,symbol,close,volume
2009-09-25,SEM,10.09,11968105
2009-09-28,SEM,10.45,1655524
2009-09-29,SEM,10.088,680535
2009-09-30,SEM,10.07,384489
2009-10-01,SEM,10.0,535912
2009-10-02,SEM,9.99,323619
2009-10-05,SEM,9.99,247993
2009-10-06,SEM,9.8,349732
2009-10-07,SEM,9.75,384625
2009-10-08,SEM,9.78,662435
2009-10-09,SEM,9.75,288038
2009-10-12,SEM,9.75,231245
2009-10-13,SEM,9.75,322035
2009-10-14,SEM,9.78,656051
2009-10-15,SEM,9.77,288943
2009-10-16,SEM,9.76,271465
2009-10-19,SEM,9.73,217331
2009-10-20,SEM,9.75,116672
2009-10-21,SEM,9.7,133976
2009-10-22,SEM,9.73,154299
2009-10-23,SEM,9.67,400375
2009-10-26,SEM,9.6,316358
2009-10-27,SEM,9.62,273093
2009-10-28,SEM,9.48,299058
2009-10-29,SEM,9.63,357400
2009-10-30,SEM,9.7,62681
2009-11-02,SEM,9.74,152617
2009-11-03,SEM,9.65,101616
2009-11-04,SEM,9.89,346709
2009-11-05,SEM,10.0,136187
2009-11-06,SEM,9.9,206836
2009-11-09,SEM,9.76,129440
2009-11-10,SEM,9.72,147284
2009-11-11,SEM,9.75,313448
2009-11-12,SEM,9.74,165047
2009-11-13,SEM,9.39,133826
2009-11-16,SEM,9.4,169687
2009-11-17,SEM,9.34,48467
2009-11-18,SEM,9.2,247969
2009-11-19,SEM,8.98,261092
2009-11-20,SEM,9.14,144192
2009-11-23,SEM,9.18,134148
2009-11-24,SEM,9.23,117345
2009-11-25,SEM,9.24,110064
2009-11-27,SEM,9.06,52663
2009-11-30,SEM,9.05,139144
2009-12-01,SEM,9.36,309849
2009-12-02,SEM,9.29,162954
2009-12-03,SEM,9.44,70293
2009-12-04,SEM,9.29,299608
2009-12-07,SEM,9.42,125295
2009-12-08,SEM,9.71,101753
2009-12-09,SEM,9.65,71618
2009-12-10,SEM,9.8,172408
2009-12-11,SEM,9.85,126252
2009-12-14,SEM,9.82,108208
2009-12-15,SEM,9.81,460104
2009-12-16,SEM,9.8,356779
2009-12-17,SEM,10.03,528381
2009-12-18,SEM,10.27,3923341
2009-12-21,SEM,10.25,301879
2009-12-22,SEM,10.03,334856
2009-12-23,SEM,10.47,288916
2009-12-24,SEM,10.43,68499
2009-12-28,SEM,10.45,147564
2009-12-29,SEM,10.78,288015
2009-12-30,SEM,10.55,136617
2009-12-31,SEM,10.62,270418
2010-01-04,SEM,10.75,195122.0
2010-01-05,SEM,10.56,83302.0
2010-01-06,SEM,10.26,139417.0
2010-01-07,SEM,10.3,132199.0
2010-01-08,SEM,10.32,140259.0
2010-01-11,SEM,10.3,96247.0
2010-01-12,SEM,10.2,77616.0
2010-01-13,SEM,10.39,111870.0
2010-01-14,SEM,10.5,118578.0
2010-01-15,SEM,10.37,138539.0
2010-01-19,SEM,10.5,169424.0
2010-01-20,SEM,10.12,137147.0
2010-01-21,SEM,9.94,98697.0
2010-01-22,SEM,9.9,206668.0
2010-01-25,SEM,9.9,90088.0
2010-01-26,SEM,9.87,121402.0
2010-01-27,SEM,10.03,80683.0
2010-01-28,SEM,9.77,170488.0
2010-01-29,SEM,9.91,179822.0
2010-02-01,SEM,9.62,172454.0
2010-02-02,SEM,9.76,282143.0
2010-02-03,SEM,9.59,186661.0
2010-02-04,SEM,9.33,145403.0
2010-02-05,SEM,9.19,168139.0
2010-02-08,SEM,9.06,232538.0
2010-02-09,SEM,9.11,236161.0
2010-02-10,SEM,8.9,973637.0
2010-02-11,SEM,8.9,200343.0
2010-02-12,SEM,8.84,148708.0
2010-02-16,SEM,8.81,189292.0
2010-02-17,SEM,8.84,621379.0
2010-02-18,SEM,8.8,715046.0
2010-02-19,SEM,8.3,846451.0
2010-02-22,SEM,8.29,202320.0
2010-02-23,SEM,8.15,115919.0
2010-02-24,SEM,8.18,144962.0
2010-02-25,SEM,8.09,215118.0
2010-02-26,SEM,8.19,775115.0
2010-03-01,SEM,8.23,236047.0
2010-03-02,SEM,8.47,243385.0
2010-03-03,SEM,8.66,488732.0
2010-03-04,SEM,8.55,182936.0
2010-03-05,SEM,8.76,316352.0
2010-03-08,SEM,8.74,178920.0
2010-03-09,SEM,8.31,987854.0
2010-03-10,SEM,8.13,438264.0
2010-03-11,SEM,8.17,336312.0
2010-03-12,SEM,8.07,405297.0
2010-03-15,SEM,7.87,375890.0
2010-03-16,SEM,8.09,175708.0
2010-03-17,SEM,8.33,237192.0
2010-03-18,SEM,8.5,95862.0
2010-03-19,SEM,8.5,446228.0
2010-03-22,SEM,8.7,252555.0
2010-03-23,SEM,8.75,356808.0
2010-03-24,SEM,8.66,150599.0
2010-03-25,SEM,8.48,323692.0
2010-03-26,SEM,8.23,163869.0
2010-03-29,SEM,8.34,160170.0
2010-03-30,SEM,8.44,122555.0
2010-03-31,SEM,8.44,177656.0
2010-04-01,SEM,8.39,162176.0
2010-04-05,SEM,8.41,254671.0
2010-04-06,SEM,8.4,321045.0
2010-04-07,SEM,8.29,425200.0
2010-04-08,SEM,8.26,83543.0
2010-04-09,SEM,8.16,256174.0
2010-04-12,SEM,8.26,230749.0
2010-04-13,SEM,8.17,163959.0
2010-04-14,SEM,8.3,193621.0
2010-04-15,SEM,8.29,241879.0
2010-04-16,SEM,8.43,625629.0
2010-04-19,SEM,8.35,109855.0
2010-04-20,SEM,8.63,298845.0
2010-04-21,SEM,8.68,179643.0
2010-04-22,SEM,8.71,187171.0
2010-04-23,SEM,8.95,311002.0
2010-04-26,SEM,8.91,319843.0
2010-04-27,SEM,8.69,253944.0
2010-04-28,SEM,8.56,161261.0
2010-04-29,SEM,8.8,217265.0
2010-04-30,SEM,8.69,187023.0
2010-05-03,SEM,8.83,299066.0
2010-05-04,SEM,8.31,156552.0
2010-05-05,SEM,8.36,133425.0
2010-05-06,SEM,8.33,177665.0
2010-05-07,SEM,8.25,179918.0
2010-05-10,SEM,8.48,191466.0
2010-05-11,SEM,8.66,164269.0
2010-05-12,SEM,8.98,459159.0
2010-05-13,SEM,8.76,472879.0
2010-05-14,SEM,8.48,441056.0
2010-05-17,SEM,8.13,449299.0
2010-05-18,SEM,8.04,332805.0
2010-05-19,SEM,8.21,429854.0
2010-05-20,SEM,8.01,336859.0
2010-05-21,SEM,8.08,351902.0
2010-05-24,SEM,7.91,225510.0
2010-05-25,SEM,8.04,284338.0
2010-05-26,SEM,8.19,2513912.0
2010-05-27,SEM,8.2,370027.0
2010-05-28,SEM,8.1,246516.0
2010-06-01,SEM,7.85,216132.0
2010-06-02,SEM,7.96,156717.0
2010-06-03,SEM,7.89,159042.0
2010-06-04,SEM,7.6,188418.0
2010-06-07,SEM,7.46,424025.0
2010-06-08,SEM,7.22,740464.0
2010-06-09,SEM,7.31,485022.0
2010-06-10,SEM,7.05,411648.0
2010-06-11,SEM,7.13,358486.0
2010-06-14,SEM,7.63,552082.0
2010-06-15,SEM,7.65,499876.0
2010-06-16,SEM,7.58,154194.0
2010-06-17,SEM,7.54,234986.0
2010-06-18,SEM,7.61,352903.0
2010-06-21,SEM,7.64,332702.0
2010-06-22,SEM,7.4,321681.0
2010-06-23,SEM,7.41,162683.0
2010-06-24,SEM,7.43,310587.0
2010-06-25,SEM,7.57,2300096.0
2010-06-28,SEM,7.4,364583.0
2010-06-29,SEM,6.81,513134.0
2010-06-30,SEM,6.78,382244.0
2010-07-01,SEM,6.32,425598.0
2010-07-02,SEM,6.29,232112.0
2010-07-06,SEM,6.17,245497.0
2010-07-07,SEM,6.37,273882.0
2010-07-08,SEM,6.41,160614.0
2010-07-09,SEM,6.51,98920.0
2010-07-12,SEM,6.22,370294.0
2010-07-13,SEM,6.33,313636.0
2010-07-14,SEM,6.29,84420.0
2010-07-15,SEM,6.32,281222.0
2010-07-16,SEM,6.06,332586.0
2010-07-19,SEM,6.05,311841.0
2010-07-20,SEM,6.15,145588.0
2010-07-21,SEM,5.96,172460.0
2010-07-22,SEM,6.33,212311.0
2010-07-23,SEM,6.4,147602.0
2010-07-26,SEM,6.72,179167.0
2010-07-27,SEM,6.7,102728.0
2010-07-28,SEM,6.38,117061.0
2010-07-29,SEM,6.53,92176.0
2010-07-30,SEM,6.55,129405.0
2010-08-02,SEM,6.79,343764.0
2010-08-03,SEM,6.7,198341.0
2010-08-04,SEM,6.73,1010553.0
2010-08-05,SEM,6.66,434096.0
2010-08-06,SEM,7.19,392024.0
2010-08-09,SEM,7.31,298410.0
2010-08-10,SEM,7.29,161731.0
2010-08-11,SEM,6.94,268787.0
2010-08-12,SEM,7.05,172965.0
2010-08-13,SEM,6.99,151096.0
2010-08-16,SEM,7.11,186420.0
2010-08-17,SEM,7.22,158189.0
2010-08-18,SEM,7.26,142233.0
2010-08-19,SEM,7.11,292580.0
2010-08-20,SEM,7.26,250060.0
2010-08-23,SEM,7.25,369919.0
2010-08-24,SEM,7.29,244266.0
2010-08-25,SEM,7.53,345626.0
2010-08-26,SEM,7.2,222730.0
2010-08-27,SEM,7.36,127436.0
2010-08-30,SEM,7.15,188311.0
2010-08-31,SEM,7.15,205483.0
2010-09-01,SEM,7.43,177049.0
2010-09-02,SEM,7.64,153900.0
2010-09-03,SEM,7.78,335124.0
2010-09-07,SEM,7.66,121281.0
2010-09-08,SEM,7.62,145960.0
2010-09-09,SEM,7.55,239119.0
2010-09-10,SEM,7.43,464171.0
2010-09-13,SEM,7.48,259146.0
2010-09-14,SEM,7.78,390534.0
2010-09-15,SEM,7.85,250425.0
2010-09-16,SEM,7.74,94263.0
2010-09-17,SEM,7.77,381623.0
2010-09-20,SEM,7.95,208341.0
2010-09-21,SEM,7.81,107549.0
2010-09-22,SEM,7.68,169299.0
2010-09-23,SEM,7.48,120341.0
2010-09-24,SEM,7.75,162875.0
2010-09-27,SEM,7.69,120445.0
2010-09-28,SEM,7.75,118187.0
2010-09-29,SEM,7.76,293262.0
2010-09-30,SEM,7.7,231537.0
2010-10-01,SEM,7.68,90926.0
2010-10-04,SEM,7.36,137401.0
2010-10-05,SEM,7.49,210291.0
2010-10-06,SEM,7.48,100666.0
2010-10-07,SEM,7.46,249744.0
2010-10-08,SEM,7.66,416057.0
2010-10-11,SEM,7.63,56788.0
2010-10-12,SEM,7.48,86240.0
2010-10-13,SEM,7.54,797207.0
2010-10-14,SEM,7.52,578554.0
2010-10-15,SEM,7.6,304128.0
2010-10-18,SEM,7.67,158639.0
2010-10-19,SEM,7.49,145376.0
2010-10-20,SEM,7.55,67652.0
2010-10-21,SEM,7.53,508997.0
2010-10-22,SEM,7.51,78387.0
2010-10-25,SEM,7.51,112982.0
2010-10-26,SEM,7.51,360855.0
2010-10-27,SEM,7.5,93244.0
2010-10-28,SEM,7.46,101679.0
2010-10-29,SEM,7.48,190217.0
2010-11-01,SEM,7.28,140805.0
2010-11-02,SEM,7.39,167349.0
2010-11-03,SEM,7.34,113963.0
2010-11-04,SEM,7.25,459928.0
2010-11-05,SEM,6.49,1825504.0
2010-11-08,SEM,6.4,910633.0
2010-11-09,SEM,6.28,1029502.0
2010-11-10,SEM,6.38,547474.0
2010-11-11,SEM,6.29,741104.0
2010-11-12,SEM,6.2,366723.0
2010-11-15,SEM,6.23,452082.0
2010-11-16,SEM,6.17,512986.0
2010-11-17,SEM,6.13,1379479.0
2010-11-18,SEM,6.24,411116.0
2010-11-19,SEM,6.29,229240.0
2010-11-22,SEM,5.76,1518512.0
2010-11-23,SEM,5.84,399376.0
2010-11-24,SEM,6.02,379297.0
2010-11-26,SEM,6.1,293103.0
2010-11-29,SEM,6.18,248319.0
2010-11-30,SEM,6.19,1115006.0
2010-12-01,SEM,6.19,526918.0
2010-12-02,SEM,6.39,277704.0
2010-12-03,SEM,6.45,254461.0
2010-12-06,SEM,6.44,321329.0
2010-12-07,SEM,6.28,2004524.0
2010-12-08,SEM,6.27,259087.0
2010-12-09,SEM,6.47,230588.0
2010-12-10,SEM,6.71,535641.0
2010-12-13,SEM,6.51,754206.0
2010-12-14,SEM,6.73,253708.0
2010-12-15,SEM,6.89,281154.0
2010-12-16,SEM,7.03,346376.0
2010-12-17,SEM,7.07,381024.0
2010-12-20,SEM,7.1,264380.0
2010-12-21,SEM,7.19,334555.0
2010-12-22,SEM,7.31,274340.0
2010-12-23,SEM,7.27,192398.0
2010-12-27,SEM,7.29,138460.0
2010-12-28,SEM,7.27,92034.0
2010-12-29,SEM,7.32,49046.0
2010-12-30,SEM,7.32,92467.0
2010-12-31,SEM,7.31,204879.0
2011-01-03,SEM,7.21,234687.0
2011-01-04,SEM,7.04,231648.0
2011-01-05,SEM,7.05,197934.0
2011-01-06,SEM,7.0,199402.0
2011-01-07,SEM,7.17,229854.0
2011-01-10,SEM,7.32,193842.0
2011-01-11,SEM,7.28,123476.0
2011-01-12,SEM,7.25,192079.0
2011-01-13,SEM,7.22,105432.0
2011-01-14,SEM,7.22,111257.0
2011-01-18,SEM,7.2,114319.0
2011-01-19,SEM,7.02,171483.0
2011-01-20,SEM,6.92,169253.0
2011-01-21,SEM,7.01,532886.0
2011-01-24,SEM,7.05,296210.0
2011-01-25,SEM,7.04,402332.0
2011-01-26,SEM,7.0,329394.0
2011-01-27,SEM,6.94,189094.0
2011-01-28,SEM,6.7,215821.0
2011-01-31,SEM,6.74,124058.0
2011-02-01,SEM,7.0,161853.0
2011-02-02,SEM,6.82,137498.0
2011-02-03,SEM,6.95,171918.0
2011-02-04,SEM,6.84,120837.0
2011-02-07,SEM,6.8,196880.0
2011-02-08,SEM,7.13,755788.0
2011-02-09,SEM,7.02,201759.0
2011-02-10,SEM,7.06,366989.0
2011-02-11,SEM,7.28,412775.0
2011-02-14,SEM,7.37,433295.0
2011-02-15,SEM,7.45,280868.0
2011-02-16,SEM,7.69,439641.0
2011-02-17,SEM,7.72,342458.0
2011-02-18,SEM,7.62,384059.0
2011-02-22,SEM,7.45,213475.0
2011-02-23,SEM,7.6,231681.0
2011-02-24,SEM,7.63,223865.0
2011-02-25,SEM,7.71,191481.0
2011-02-28,SEM,7.8,216846.0
2011-03-01,SEM,7.76,169564.0
2011-03-02,SEM,7.65,200732.0
2011-03-03,SEM,7.66,218156.0
2011-03-04,SEM,7.62,239970.0
2011-03-07,SEM,7.45,161423.0
2011-03-08,SEM,7.71,206195.0
2011-03-09,SEM,7.82,268814.0
