ds,symbol,close,volume
2004-06-14,SFL,12.1,2700
2004-06-15,SFL,13.95,19600
2004-06-16,SFL,14.15,132000
2004-06-17,SFL,14.65,568900
2004-06-18,SFL,13.45,742200
2004-06-21,SFL,13.08,248200
2004-06-22,SFL,13.1,442800
2004-06-23,SFL,14.24,402300
2004-06-24,SFL,14.88,248200
2004-06-25,SFL,15.19,244800
2004-06-28,SFL,15.5,466200
2004-06-29,SFL,15.04,415400
2004-06-30,SFL,14.95,379000
2004-07-01,SFL,14.85,212700
2004-07-02,SFL,14.4,139300
2004-07-06,SFL,14.8,91300
2004-07-07,SFL,14.78,238600
2004-07-08,SFL,15.05,547300
2004-07-09,SFL,16.03,303300
2004-07-12,SFL,15.95,141600
2004-07-13,SFL,15.53,132200
2004-07-14,SFL,15.56,206300
2004-07-15,SFL,15.55,106400
2004-07-16,SFL,15.75,241100
2004-07-19,SFL,15.85,161300
2004-07-20,SFL,16.35,130800
2004-07-21,SFL,17.0,322500
2004-07-22,SFL,17.1,107200
2004-07-23,SFL,16.81,32400
2004-07-26,SFL,15.9,141800
2004-07-27,SFL,16.15,94700
2004-07-28,SFL,16.35,67600
2004-07-29,SFL,16.45,177300
2004-07-30,SFL,16.61,68600
2004-08-02,SFL,16.47,44500
2004-08-03,SFL,16.05,119200
2004-08-04,SFL,16.35,184400
2004-08-05,SFL,15.75,135100
2004-08-06,SFL,15.94,68800
2004-08-09,SFL,16.23,109600
2004-08-10,SFL,16.33,97800
2004-08-11,SFL,16.2,129600
2004-08-12,SFL,15.93,109200
2004-08-13,SFL,15.83,104900
2004-08-16,SFL,16.2,81900
2004-08-17,SFL,16.59,61500
2004-08-18,SFL,16.67,95500
2004-08-19,SFL,17.25,237300
2004-08-20,SFL,17.45,214200
2004-08-23,SFL,18.2,303800
2004-08-24,SFL,18.09,88300
2004-08-25,SFL,17.91,114600
2004-08-26,SFL,17.47,74500
2004-08-27,SFL,17.6,43900
2004-08-30,SFL,17.64,39800
2004-08-31,SFL,17.5,109700
2004-09-01,SFL,17.51,128500
2004-09-02,SFL,18.0,112500
2004-09-03,SFL,18.2,93700
