ds,symbol,close,volume
1996-03-01,SGRP,15.5,2249700
1996-03-04,SGRP,16.75,450000
1996-03-05,SGRP,17.75,265600
1996-03-06,SGRP,18.0,151100
1996-03-07,SGRP,18.5,67700
1996-03-08,SGRP,17.75,49600
1996-03-11,SGRP,17.5,77100
1996-03-12,SGRP,17.25,18100
1996-03-13,SGRP,18.25,96900
1996-03-14,SGRP,18.75,25900
1996-03-15,SGRP,18.25,68700
1996-03-18,SGRP,19.25,18300
1996-03-19,SGRP,19.0,89800
1996-03-20,SGRP,18.75,105100
1996-03-21,SGRP,18.75,2200
1996-03-22,SGRP,18.5,30500
1996-03-25,SGRP,18.5,23500
1996-03-26,SGRP,18.625,55000
1996-03-27,SGRP,18.25,38700
1996-03-28,SGRP,18.75,103300
1996-03-29,SGRP,18.625,11800
1996-04-01,SGRP,19.0,42000
1996-04-02,SGRP,18.75,41100
1996-04-03,SGRP,18.75,35100
1996-04-04,SGRP,19.75,44200
1996-04-08,SGRP,19.625,20400
1996-04-09,SGRP,19.5,17800
1996-04-10,SGRP,19.75,1700
1996-04-11,SGRP,19.25,7200
1996-04-12,SGRP,19.5,21900
1996-04-15,SGRP,22.25,73300
1996-04-16,SGRP,23.5,293600
1996-04-17,SGRP,23.5,195900
1996-04-18,SGRP,23.25,16000
1996-04-19,SGRP,23.25,400
1996-04-22,SGRP,23.75,12000
1996-04-23,SGRP,23.25,8400
1996-04-24,SGRP,22.375,183600
1996-04-25,SGRP,25.75,253100
1996-04-26,SGRP,25.75,73800
1996-04-29,SGRP,25.75,10000
1996-04-30,SGRP,26.25,130400
1996-05-01,SGRP,25.3125,13200
1996-05-02,SGRP,25.0,33500
1996-05-03,SGRP,25.0,38300
1996-05-06,SGRP,25.5,1600
1996-05-07,SGRP,27.0,76500
1996-05-08,SGRP,27.875,19800
1996-05-09,SGRP,27.75,36600
1996-05-10,SGRP,27.25,27800
1996-05-13,SGRP,27.375,97000
1996-05-14,SGRP,28.0,7500
1996-05-15,SGRP,28.375,117000
1996-05-16,SGRP,28.375,2100
1996-05-17,SGRP,27.75,17100
1996-05-20,SGRP,26.875,78300
1996-05-21,SGRP,25.75,38400
1996-05-22,SGRP,25.0,32400
1996-05-23,SGRP,24.25,18000
1996-05-24,SGRP,26.0,165600
1996-05-28,SGRP,17.25,1377000
1996-05-29,SGRP,16.0,308500
1996-05-30,SGRP,16.375,199000
1996-05-31,SGRP,16.25,287600
1996-06-03,SGRP,16.75,49300
