ds,symbol,close,volume
1996-11-18,SID,1.067708,36000
1996-11-19,SID,1.072917,0
1996-11-20,SID,1.026042,4800
1996-11-21,SID,0.989583,748800
1996-11-22,SID,0.989583,0
1996-11-25,SID,0.989583,0
1996-11-26,SID,0.989583,0
1996-11-27,SID,1.083333,2400
1996-11-29,SID,1.083333,0
1996-12-02,SID,1.114583,69600
1996-12-03,SID,1.125,28800
1996-12-04,SID,1.114583,120000
1996-12-05,SID,1.114583,0
1996-12-06,SID,1.114583,0
1996-12-09,SID,1.114583,0
1996-12-10,SID,1.083333,4800
1996-12-11,SID,1.104167,14400
1996-12-12,SID,1.104167,0
1996-12-13,SID,1.104167,0
1996-12-16,SID,1.09375,28800
1996-12-17,SID,1.177083,374400
1996-12-18,SID,1.177083,0
1996-12-19,SID,1.135417,24000
1996-12-20,SID,1.135417,0
1996-12-23,SID,1.151042,160800
1996-12-24,SID,1.161458,7200
1996-12-26,SID,1.166667,84000
1996-12-27,SID,1.140625,1723200
1996-12-30,SID,1.15625,36000
1996-12-31,SID,1.15625,0
1997-01-02,SID,1.177083,532800
1997-01-03,SID,1.136068,307200
1997-01-06,SID,1.145833,105600
1997-01-07,SID,1.145833,0
1997-01-08,SID,1.145833,0
1997-01-09,SID,1.291667,844800
1997-01-10,SID,1.273438,141600
1997-01-13,SID,1.273438,0
1997-01-14,SID,1.307292,26400
1997-01-15,SID,1.322917,199200
1997-01-16,SID,1.291667,7200
1997-01-17,SID,1.291667,0
1997-01-20,SID,1.291667,0
1997-01-21,SID,1.259766,208800
1997-01-22,SID,1.270833,4800
1997-01-23,SID,1.3125,124800
1997-01-24,SID,1.333333,7200
1997-01-27,SID,1.317708,290400
1997-01-28,SID,1.302083,7200
1997-01-29,SID,1.302083,0
1997-01-30,SID,1.302083,0
1997-01-31,SID,1.34375,259200
1997-02-03,SID,1.34375,0
1997-02-04,SID,1.385417,136800
1997-02-05,SID,1.401693,55200
1997-02-06,SID,1.401693,0
1997-02-07,SID,1.417318,2748000
1997-02-10,SID,1.458333,14400
1997-02-11,SID,1.458333,367200
1997-02-12,SID,1.489583,228000
1997-02-13,SID,1.520833,285600
1997-02-14,SID,1.510417,408000
1997-02-18,SID,1.520833,55200
1997-02-19,SID,1.520833,50400
1997-02-20,SID,1.5,456000
