ds,symbol,close,volume
1990-01-02,SLB,12.3125,1270800
1990-01-03,SLB,12.34375,2768800
1990-01-04,SLB,12.0,1940800
1990-01-05,SLB,11.9375,2252800
1990-01-08,SLB,11.96875,1550000
1990-01-09,SLB,11.78125,1054400
1990-01-10,SLB,11.875,1570400
1990-01-11,SLB,11.9375,1256000
1990-01-12,SLB,11.65625,1736000
1990-01-15,SLB,11.59375,812800
1990-01-16,SLB,11.65625,1498800
1990-01-17,SLB,11.65625,1479600
1990-01-18,SLB,11.84375,2308800
1990-01-19,SLB,12.09375,1858400
1990-01-22,SLB,11.6875,1418000
1990-01-23,SLB,11.40625,1968800
1990-01-24,SLB,11.34375,3626000
1990-01-25,SLB,11.3125,1343600
1990-01-26,SLB,11.375,2506400
1990-01-29,SLB,11.28125,2147200
1990-01-30,SLB,11.5625,2534800
1990-01-31,SLB,11.8125,2231200
1990-02-01,SLB,11.71875,979200
1990-02-02,SLB,11.78125,2199600
1990-02-05,SLB,11.75,2610400
1990-02-06,SLB,11.75,2115200
1990-02-07,SLB,12.34375,4554000
1990-02-08,SLB,12.1875,3884800
1990-02-09,SLB,12.0625,2159600
1990-02-12,SLB,12.1875,2170000
1990-02-13,SLB,12.34375,6024000
1990-02-14,SLB,12.21875,1854400
1990-02-15,SLB,12.46875,3981200
1990-02-16,SLB,12.3125,2925600
1990-02-20,SLB,12.4375,2277600
1990-02-21,SLB,12.59375,5889200
1990-02-22,SLB,12.125,5323200
1990-02-23,SLB,11.90625,2650000
1990-02-26,SLB,12.09375,2398800
1990-02-27,SLB,11.75,2060000
1990-02-28,SLB,11.84375,3784800
1990-03-01,SLB,12.15625,3189600
1990-03-02,SLB,12.125,2568400
1990-03-05,SLB,12.03125,1842400
1990-03-06,SLB,12.28125,2672000
1990-03-07,SLB,12.28125,2357200
1990-03-08,SLB,12.4375,2654400
1990-03-09,SLB,12.28125,1874400
1990-03-12,SLB,12.28125,1316000
1990-03-13,SLB,12.09375,1540400
1990-03-14,SLB,12.3125,2039200
1990-03-15,SLB,12.34375,1537600
1990-03-16,SLB,12.5625,4205600
1990-03-19,SLB,12.75,2491200
1990-03-20,SLB,12.71875,3143200
1990-03-21,SLB,12.65625,1303200
1990-03-22,SLB,12.3125,2368800
1990-03-23,SLB,12.34375,928400
1990-03-26,SLB,12.4375,2211200
1990-03-27,SLB,12.59375,1316400
1990-03-28,SLB,13.09375,10184400
1990-03-29,SLB,13.21875,4630400
1990-03-30,SLB,13.125,2169200
1990-04-02,SLB,13.0625,2071200
1990-04-03,SLB,13.3125,4588400
1990-04-04,SLB,13.0625,1918000
1990-04-05,SLB,12.96875,3107200
1990-04-06,SLB,12.96875,1792800
1990-04-09,SLB,12.96875,1127600
1990-04-10,SLB,12.75,2245600
1990-04-11,SLB,12.5,5607200
1990-04-12,SLB,12.46875,3298000
1990-04-16,SLB,12.53125,2539200
1990-04-17,SLB,12.71875,2613200
1990-04-18,SLB,12.625,1750800
1990-04-19,SLB,12.6875,3492000
1990-04-20,SLB,12.75,2509600
1990-04-23,SLB,12.5625,1738800
1990-04-24,SLB,12.4375,1981200
1990-04-25,SLB,12.5,2796400
1990-04-26,SLB,12.5625,2588000
1990-04-27,SLB,12.46875,1858400
1990-04-30,SLB,12.53125,1306000
1990-05-01,SLB,12.6875,2880000
1990-05-02,SLB,12.875,5039600
1990-05-03,SLB,13.09375,6109200
1990-05-04,SLB,13.5625,2524800
1990-05-07,SLB,13.625,3498400
1990-05-08,SLB,13.625,2338800
1990-05-09,SLB,13.53125,2309200
1990-05-10,SLB,13.75,2267600
1990-05-11,SLB,14.1875,3954400
1990-05-14,SLB,14.21875,3749600
1990-05-15,SLB,13.90625,2614800
1990-05-16,SLB,13.84375,2641600
1990-05-17,SLB,14.21875,3327200
1990-05-18,SLB,14.21875,2023600
1990-05-21,SLB,14.5,3168400
1990-05-22,SLB,14.4375,2399200
1990-05-23,SLB,14.25,1828800
1990-05-24,SLB,14.0625,1415600
1990-05-25,SLB,13.78125,1658800
1990-05-29,SLB,14.40625,2050000
1990-05-30,SLB,14.4375,2816800
1990-05-31,SLB,14.59375,2634800
1990-06-01,SLB,14.5,2322400
1990-06-04,SLB,14.625,1939200
1990-06-05,SLB,13.9375,7260800
1990-06-06,SLB,14.0625,4098400
1990-06-07,SLB,13.9375,1820000
1990-06-08,SLB,14.0625,1364400
1990-06-11,SLB,14.15625,1503200
1990-06-12,SLB,14.25,2144800
1990-06-13,SLB,14.40625,2354800
1990-06-14,SLB,14.3125,1851600
1990-06-15,SLB,14.71875,3819200
1990-06-18,SLB,14.5,2824000
1990-06-19,SLB,14.625,2478800
1990-06-20,SLB,14.84375,3132000
1990-06-21,SLB,14.625,2852800
1990-06-22,SLB,14.4375,1986000
1990-06-25,SLB,14.34375,1087200
1990-06-26,SLB,14.34375,1637200
1990-06-27,SLB,14.4375,1411200
1990-06-28,SLB,14.4375,2056000
1990-06-29,SLB,14.375,1503600
1990-07-02,SLB,14.28125,2014400
1990-07-03,SLB,14.09375,1558400
1990-07-05,SLB,14.09375,1867200
1990-07-06,SLB,14.09375,926400
1990-07-09,SLB,14.1875,1525200
1990-07-10,SLB,14.0625,861200
1990-07-11,SLB,14.40625,2490000
1990-07-12,SLB,15.0625,3767200
1990-07-13,SLB,15.25,3034400
1990-07-16,SLB,15.28125,1510800
1990-07-17,SLB,15.375,1902800
1990-07-18,SLB,15.78125,2182800
1990-07-19,SLB,16.0625,3306400
1990-07-20,SLB,16.125,4746800
1990-07-23,SLB,15.875,3787600
1990-07-24,SLB,16.21875,4303600
1990-07-25,SLB,16.25,2276400
1990-07-26,SLB,16.03125,1823600
1990-07-27,SLB,15.6875,2236400
1990-07-30,SLB,15.78125,1732800
1990-07-31,SLB,16.34375,2224400
1990-08-01,SLB,16.625,3528800
1990-08-02,SLB,17.1875,7340000
1990-08-03,SLB,16.875,6868800
1990-08-06,SLB,16.75,4319200
1990-08-07,SLB,16.59375,5122800
