ds,symbol,close,volume
2012-02-01,SLCA,16.0,11512601.0
2012-02-02,SLCA,16.0,1379691.0
2012-02-03,SLCA,16.12,554135.0
2012-02-06,SLCA,16.35,336639.0
2012-02-07,SLCA,17.34,880455.0
2012-02-08,SLCA,17.2,777537.0
2012-02-09,SLCA,17.25,157310.0
2012-02-10,SLCA,17.05,200731.0
2012-02-13,SLCA,17.25,140698.0
2012-02-14,SLCA,16.85,329848.0
2012-02-15,SLCA,16.66,168589.0
2012-02-16,SLCA,16.79,71835.0
2012-02-17,SLCA,16.54,371674.0
2012-02-21,SLCA,16.75,251666.0
2012-02-22,SLCA,17.0,199574.0
2012-02-23,SLCA,17.01,407747.0
2012-02-24,SLCA,17.43,346857.0
2012-02-27,SLCA,17.4,167344.0
2012-02-28,SLCA,17.05,148728.0
2012-02-29,SLCA,16.92,113321.0
2012-03-01,SLCA,17.09,114841.0
2012-03-02,SLCA,16.94,101946.0
2012-03-05,SLCA,16.24,337996.0
2012-03-06,SLCA,16.25,489296.0
2012-03-07,SLCA,16.45,251587.0
2012-03-08,SLCA,16.56,200310.0
2012-03-09,SLCA,17.06,691586.0
2012-03-12,SLCA,17.34,753608.0
2012-03-13,SLCA,17.47,355144.0
2012-03-14,SLCA,18.3,553374.0
2012-03-15,SLCA,19.33,570973.0
2012-03-16,SLCA,19.94,884101.0
2012-03-19,SLCA,19.81,552144.0
2012-03-20,SLCA,21.09,1171067.0
2012-03-21,SLCA,21.4,794508.0
2012-03-22,SLCA,20.13,477214.0
2012-03-23,SLCA,20.62,259207.0
2012-03-26,SLCA,21.69,320617.0
2012-03-27,SLCA,21.87,303259.0
2012-03-28,SLCA,20.94,273002.0
2012-03-29,SLCA,20.72,349034.0
2012-03-30,SLCA,20.94,1028263.0
2012-04-02,SLCA,21.11,309007.0
2012-04-03,SLCA,21.21,362848.0
2012-04-04,SLCA,20.42,174074.0
2012-04-05,SLCA,20.01,381980.0
2012-04-09,SLCA,19.72,142427.0
2012-04-10,SLCA,19.09,304111.0
2012-04-11,SLCA,18.75,420968.0
2012-04-12,SLCA,18.79,381162.0
2012-04-13,SLCA,18.0,786894.0
2012-04-16,SLCA,17.63,433660.0
2012-04-17,SLCA,17.47,480845.0
2012-04-18,SLCA,16.88,547285.0
2012-04-19,SLCA,16.75,655726.0
2012-04-20,SLCA,16.56,188256.0
2012-04-23,SLCA,16.28,429016.0
2012-04-24,SLCA,16.83,303354.0
2012-04-25,SLCA,17.12,355992.0
2012-04-26,SLCA,17.84,435572.0
2012-04-27,SLCA,18.19,441457.0
2012-04-30,SLCA,18.12,200200.0
2012-05-01,SLCA,18.12,235239.0
2012-05-02,SLCA,18.52,159679.0
2012-05-03,SLCA,18.48,119061.0
2012-05-04,SLCA,17.78,263756.0
2012-05-07,SLCA,17.68,227740.0
2012-05-08,SLCA,15.58,1001734.0
2012-05-09,SLCA,15.15,356073.0
2012-05-10,SLCA,14.85,440474.0
2012-05-11,SLCA,14.02,273746.0
2012-05-14,SLCA,13.11,275930.0
2012-05-15,SLCA,12.67,480513.0
2012-05-16,SLCA,11.94,685845.0
2012-05-17,SLCA,11.94,626600.0
2012-05-18,SLCA,11.71,293485.0
2012-05-21,SLCA,11.67,518229.0
2012-05-22,SLCA,12.05,339288.0
2012-05-23,SLCA,12.08,267366.0
2012-05-24,SLCA,12.05,103712.0
