ds,symbol,close,volume
1990-01-02,SLM,1.650839,5772974
1990-01-03,SLM,1.697641,9645126
1990-01-04,SLM,1.680622,4694764
1990-01-05,SLM,1.659349,4871038
1990-01-08,SLM,1.625311,5593762
1990-01-09,SLM,1.595527,6692536
1990-01-10,SLM,1.578508,4021985
1990-01-11,SLM,1.595527,8431773
1990-01-12,SLM,1.578508,10447172
1990-01-15,SLM,1.548725,7121470
1990-01-16,SLM,1.561489,14651307
1990-01-17,SLM,1.578508,7535714
1990-01-18,SLM,1.557235,5608451
1990-01-19,SLM,1.561489,4638944
1990-01-22,SLM,1.531706,4415664
1990-01-23,SLM,1.523197,7097966
1990-01-24,SLM,1.514687,6713102
1990-01-25,SLM,1.518942,3957351
1990-01-26,SLM,1.493414,10300277
1990-01-29,SLM,1.446612,24763559
1990-01-30,SLM,1.421083,30521843
1990-01-31,SLM,1.476395,10629322
1990-02-01,SLM,1.489159,8390642
1990-02-02,SLM,1.510433,5282344
1990-02-05,SLM,1.518942,4518490
1990-02-06,SLM,1.506178,9477665
1990-02-07,SLM,1.518942,7641478
1990-02-08,SLM,1.527452,7447577
1990-02-09,SLM,1.531706,4362782
1990-02-12,SLM,1.506178,3748760
1990-02-13,SLM,1.484904,7368253
1990-02-14,SLM,1.47214,7797187
1990-02-15,SLM,1.467885,6930506
1990-02-16,SLM,1.476395,4624255
1990-02-20,SLM,1.433847,6428125
1990-02-21,SLM,1.429593,9595181
1990-02-22,SLM,1.446612,15371093
1990-02-23,SLM,1.429593,8778445
1990-02-26,SLM,1.429593,9263199
1990-02-27,SLM,1.467885,17930004
1990-02-28,SLM,1.484904,7012767
1990-03-01,SLM,1.489159,6245975
1990-03-02,SLM,1.514687,6642592
1990-03-05,SLM,1.518942,4127750
1990-03-06,SLM,1.506178,8190865
1990-03-07,SLM,1.493414,10961305
1990-03-08,SLM,1.510433,8461152
1990-03-09,SLM,1.501923,11537133
1990-03-12,SLM,1.531706,4606627
1990-03-13,SLM,1.518942,7597409
1990-03-14,SLM,1.540216,6198969
1990-03-15,SLM,1.565744,3622431
1990-03-16,SLM,1.548725,3440281
1990-03-19,SLM,1.55298,4445043
1990-03-20,SLM,1.565744,3669437
1990-03-21,SLM,1.569999,5214773
1990-03-22,SLM,1.535961,8337760
1990-03-23,SLM,1.531706,3948538
1990-03-26,SLM,1.548725,2097661
1990-03-27,SLM,1.565744,5802353
1990-03-28,SLM,1.582763,3075981
1990-03-29,SLM,1.587018,5523252
1990-03-30,SLM,1.578508,4771150
1990-04-02,SLM,1.578508,3531356
1990-04-03,SLM,1.608292,4821094
1990-04-04,SLM,1.599782,5109008
1990-04-05,SLM,1.582763,4356906
1990-04-06,SLM,1.548725,6384057
1990-04-09,SLM,1.565744,5279406
1990-04-10,SLM,1.587018,4897479
1990-04-11,SLM,1.591273,3428529
1990-04-12,SLM,1.616801,5317599
1990-04-16,SLM,1.625311,12850375
1990-04-17,SLM,1.616801,6260665
1990-04-18,SLM,1.591273,1692230
1990-04-19,SLM,1.574254,4982678
1990-04-20,SLM,1.565744,5255903
1990-04-23,SLM,1.544471,3875090
1990-04-24,SLM,1.514687,3540170
1990-04-25,SLM,1.540216,4430353
1990-04-26,SLM,1.557235,4212949
1990-04-27,SLM,1.565744,2564787
1990-04-30,SLM,1.565744,4168880
1990-05-01,SLM,1.574254,4856349
1990-05-02,SLM,1.616801,4744709
1990-05-03,SLM,1.612546,5297034
1990-05-04,SLM,1.650839,6771860
1990-05-07,SLM,1.667858,6169590
1990-05-08,SLM,1.663603,4630130
1990-05-09,SLM,1.638075,6554455
1990-05-10,SLM,1.667858,6078515
1990-05-11,SLM,1.706151,8696184
1990-05-14,SLM,1.659349,20039416
1990-05-15,SLM,1.646584,34038509
1990-05-16,SLM,1.684877,22066567
1990-05-17,SLM,1.684877,10194513
1990-05-18,SLM,1.650839,5182456
1990-05-21,SLM,1.693386,6334112
1990-05-22,SLM,1.735934,14663059
1990-05-23,SLM,1.752953,8854831
1990-05-24,SLM,1.740189,4130687
1990-05-25,SLM,1.731679,2770440
1990-05-29,SLM,1.752953,3880966
1990-05-30,SLM,1.748698,5916931
1990-05-31,SLM,1.744443,5561445
1990-06-01,SLM,1.752953,6043260
1990-06-04,SLM,1.791245,7744304
1990-06-05,SLM,1.799755,9180938
1990-06-06,SLM,1.791245,5000306
1990-06-07,SLM,1.778481,4459732
1990-06-08,SLM,1.786991,4356906
1990-06-11,SLM,1.769972,6154901
1990-06-12,SLM,1.80401,8934154
1990-06-13,SLM,1.821029,11645836
1990-06-14,SLM,1.816774,7059774
