ds,symbol,close,volume
1999-05-24,SMED,1.875,100
1999-05-25,SMED,1.88,0
1999-05-26,SMED,1.88,0
1999-05-27,SMED,1.88,0
1999-05-28,SMED,1.88,0
1999-06-01,SMED,1.75,1900
1999-06-02,SMED,1.75,0
1999-06-03,SMED,1.312,1900
1999-06-04,SMED,1.31,0
1999-06-07,SMED,1.31,0
1999-06-08,SMED,1.31,0
1999-06-09,SMED,1.31,0
1999-06-10,SMED,1.312,200
1999-06-11,SMED,1.31,0
1999-06-14,SMED,1.31,0
1999-06-15,SMED,1.5,4000
1999-06-16,SMED,1.5,0
1999-06-17,SMED,1.5,0
1999-06-18,SMED,1.5,0
1999-06-21,SMED,1.5,0
1999-06-22,SMED,1.5,0
1999-06-23,SMED,1.5,0
1999-06-24,SMED,1.5,3500
1999-06-25,SMED,1.5,0
1999-06-28,SMED,1.375,1100
1999-06-29,SMED,1.75,1800
1999-06-30,SMED,1.75,0
1999-07-01,SMED,1.75,0
1999-07-02,SMED,1.75,0
1999-07-06,SMED,1.75,0
1999-07-07,SMED,1.75,0
1999-07-08,SMED,1.875,400
1999-07-09,SMED,1.312,1900
1999-07-12,SMED,1.5,1700
1999-07-13,SMED,1.5,400
1999-07-14,SMED,1.5,0
1999-07-15,SMED,1.5,0
1999-07-16,SMED,1.5,0
1999-07-19,SMED,1.5,0
1999-07-20,SMED,1.312,700
1999-07-21,SMED,1.31,0
1999-07-22,SMED,1.312,400
1999-07-23,SMED,1.75,8500
1999-07-26,SMED,1.75,0
1999-07-27,SMED,1.75,0
1999-07-28,SMED,1.75,0
1999-07-29,SMED,1.75,0
1999-07-30,SMED,1.875,2000
1999-08-02,SMED,1.88,0
1999-08-03,SMED,1.88,0
1999-08-04,SMED,1.88,0
1999-08-05,SMED,1.312,600
1999-08-06,SMED,1.31,0
1999-08-09,SMED,1.312,400
1999-08-10,SMED,1.31,0
1999-08-11,SMED,1.75,5200
1999-08-12,SMED,1.75,0
1999-08-13,SMED,1.75,0
1999-08-16,SMED,1.75,0
1999-08-17,SMED,0.875,13200
1999-08-18,SMED,1.125,3000
1999-08-19,SMED,1.375,7700
1999-08-20,SMED,1.5,1000
1999-08-23,SMED,1.5,0
1999-08-24,SMED,1.5,0
1999-08-25,SMED,1.843,700
1999-08-26,SMED,1.84,0
1999-08-27,SMED,1.84,0
1999-08-30,SMED,1.125,60100
