ds,symbol,close,volume
2014-02-21,SMLR,6.99,461271.0
2014-02-24,SMLR,6.99,138858.0
2014-02-25,SMLR,6.99,148082.0
2014-02-26,SMLR,7.0,34810.0
2014-02-27,SMLR,6.99,16020.0
2014-02-28,SMLR,6.95,30078.0
2014-03-03,SMLR,6.76,35763.0
2014-03-04,SMLR,6.54,46031.0
2014-03-05,SMLR,6.7497,6406.0
2014-03-06,SMLR,6.4,22220.0
2014-03-07,SMLR,6.19,23178.0
2014-03-10,SMLR,6.19,5945.0
2014-03-11,SMLR,6.58,31110.0
2014-03-12,SMLR,6.34,36968.0
2014-03-13,SMLR,6.39,9059.0
2014-03-14,SMLR,6.4,1293.0
2014-03-17,SMLR,6.24,19262.0
2014-03-18,SMLR,6.48,9052.0
2014-03-19,SMLR,6.38,4583.0
2014-03-20,SMLR,6.47,4048.0
2014-03-21,SMLR,5.65,26768.0
2014-03-24,SMLR,5.51,10799.0
2014-03-25,SMLR,5.15,10379.0
2014-03-26,SMLR,5.15,32027.0
2014-03-27,SMLR,5.25,19444.0
2014-03-28,SMLR,4.89,28913.0
2014-03-31,SMLR,5.23,10746.0
2014-04-01,SMLR,5.17,3120.0
2014-04-02,SMLR,5.48,5678.0
2014-04-03,SMLR,4.93,19552.0
2014-04-04,SMLR,4.86,8877.0
2014-04-07,SMLR,4.78,4400.0
2014-04-08,SMLR,4.78,0.0
2014-04-09,SMLR,4.79,4200.0
2014-04-10,SMLR,4.76,6694.0
2014-04-11,SMLR,4.7,800.0
2014-04-14,SMLR,4.42,2370.0
2014-04-15,SMLR,4.35,1500.0
2014-04-16,SMLR,4.92,1027.0
2014-04-17,SMLR,4.85,530.0
2014-04-21,SMLR,4.9321,4351.0
2014-04-22,SMLR,4.99,1050.0
2014-04-23,SMLR,4.9999,1064.0
2014-04-24,SMLR,5.1768,1000.0
2014-04-25,SMLR,5.01,5154.0
2014-04-28,SMLR,4.6,11992.0
2014-04-29,SMLR,4.6,0.0
2014-04-30,SMLR,4.95,2734.0
2014-05-01,SMLR,5.1901,7065.0
2014-05-02,SMLR,5.01,9029.0
2014-05-05,SMLR,4.98,2496.0
2014-05-06,SMLR,5.085,200.0
2014-05-07,SMLR,4.45,6033.0
2014-05-08,SMLR,4.26,8100.0
2014-05-09,SMLR,4.034,7725.0
2014-05-12,SMLR,3.92,11229.0
2014-05-13,SMLR,3.975,450.0
2014-05-14,SMLR,4.15,15509.0
2014-05-15,SMLR,3.9201,1250.0
2014-05-16,SMLR,4.13,989.0
2014-05-19,SMLR,3.9,6886.0
2014-05-20,SMLR,3.9,0.0
2014-05-21,SMLR,5.1546,300.0
2014-05-22,SMLR,4.18,1470.0
2014-05-23,SMLR,4.52,492.0
2014-05-27,SMLR,5.17,1172.0
2014-05-28,SMLR,4.7899,628.0
2014-05-29,SMLR,4.7899,0.0
2014-05-30,SMLR,4.7899,0.0
2014-06-02,SMLR,4.3,400.0
2014-06-03,SMLR,4.5,656.0
2014-06-04,SMLR,4.64,3776.0
2014-06-05,SMLR,5.0,4846.0
2014-06-06,SMLR,4.915,2384.0
