ds,symbol,close,volume
1990-01-02,SOR,42.875,2100
1990-01-03,SOR,43.0,2500
1990-01-04,SOR,42.625,2400
1990-01-05,SOR,42.5,3500
1990-01-08,SOR,43.375,2700
1990-01-09,SOR,43.25,3700
1990-01-10,SOR,43.0,3500
1990-01-11,SOR,43.25,800
1990-01-12,SOR,42.75,1800
1990-01-15,SOR,42.0,6900
1990-01-16,SOR,41.625,6700
1990-01-17,SOR,41.75,2900
1990-01-18,SOR,41.375,3900
1990-01-19,SOR,42.375,4200
1990-01-22,SOR,41.375,3200
1990-01-23,SOR,41.375,1400
1990-01-24,SOR,40.875,3800
1990-01-25,SOR,40.375,3800
1990-01-26,SOR,40.375,2100
1990-01-29,SOR,40.625,1900
1990-01-30,SOR,39.875,3000
1990-01-31,SOR,39.75,3800
1990-02-01,SOR,40.125,2800
1990-02-02,SOR,40.25,2000
1990-02-05,SOR,40.875,2100
1990-02-06,SOR,40.5,4800
1990-02-07,SOR,40.25,3000
1990-02-08,SOR,40.75,1000
1990-02-09,SOR,41.375,1600
1990-02-12,SOR,40.125,2300
1990-02-13,SOR,40.0,3100
1990-02-14,SOR,40.125,1000
1990-02-15,SOR,40.625,1200
1990-02-16,SOR,40.5,3200
1990-02-20,SOR,39.75,2800
1990-02-21,SOR,39.5,2700
1990-02-22,SOR,39.75,900
1990-02-23,SOR,39.625,2400
1990-02-26,SOR,39.25,2600
1990-02-27,SOR,40.0,2400
1990-02-28,SOR,39.875,2900
1990-03-01,SOR,39.875,1700
1990-03-02,SOR,39.75,1400
1990-03-05,SOR,40.125,2300
1990-03-06,SOR,40.125,2300
1990-03-07,SOR,40.125,1700
1990-03-08,SOR,40.5,2200
1990-03-09,SOR,40.75,1600
1990-03-12,SOR,41.0,1100
1990-03-13,SOR,41.5,1700
1990-03-14,SOR,41.375,3800
1990-03-15,SOR,41.625,2600
1990-03-16,SOR,41.25,2700
1990-03-19,SOR,41.25,4000
1990-03-20,SOR,41.125,7800
1990-03-21,SOR,41.0,1900
1990-03-22,SOR,40.75,1800
1990-03-23,SOR,40.75,7200
1990-03-26,SOR,40.5,1500
1990-03-27,SOR,40.5,1300
1990-03-28,SOR,40.125,1100
