ds,symbol,close,volume
2004-05-26,SP,4.65,35000
2004-05-27,SP,4.5,239600
2004-05-28,SP,4.51,211600
2004-06-01,SP,4.6,125000
2004-06-02,SP,4.535,44600
2004-06-03,SP,4.575,241400
2004-06-04,SP,4.56,15200
2004-06-07,SP,4.525,16200
2004-06-08,SP,4.655,28400
2004-06-09,SP,4.72,54200
2004-06-10,SP,4.775,62000
2004-06-14,SP,4.76,35600
2004-06-15,SP,4.845,54000
2004-06-16,SP,4.86,28600
2004-06-17,SP,4.875,22400
2004-06-18,SP,4.835,52200
2004-06-21,SP,4.79,26000
2004-06-22,SP,4.805,17400
2004-06-23,SP,4.75,16400
2004-06-24,SP,4.595,35600
2004-06-25,SP,4.67,116600
2004-06-28,SP,4.5,76600
2004-06-29,SP,4.495,157000
2004-06-30,SP,4.48,68200
2004-07-01,SP,4.56,60000
2004-07-02,SP,4.65,22400
2004-07-06,SP,4.525,28600
2004-07-07,SP,4.5,20000
2004-07-08,SP,4.5,50800
2004-07-09,SP,4.625,25800
2004-07-12,SP,4.605,23800
2004-07-13,SP,4.59,19800
2004-07-14,SP,4.515,26200
2004-07-15,SP,4.51,48600
2004-07-16,SP,4.53,55400
2004-07-19,SP,4.595,24000
2004-07-20,SP,4.61,33000
2004-07-21,SP,4.755,67200
2004-07-22,SP,5.175,108800
2004-07-23,SP,5.59,260200
2004-07-26,SP,5.64,116200
2004-07-27,SP,5.255,39400
2004-07-28,SP,5.045,53600
2004-07-29,SP,5.025,49000
2004-07-30,SP,5.04,38200
2004-08-02,SP,5.01,40800
2004-08-03,SP,5.095,40600
2004-08-04,SP,5.23,47800
2004-08-05,SP,4.905,22400
2004-08-06,SP,4.88,46600
2004-08-09,SP,4.91,31800
2004-08-10,SP,4.965,12200
2004-08-11,SP,5.0,33200
2004-08-12,SP,4.765,21600
2004-08-13,SP,4.88,18200
2004-08-16,SP,5.095,53400
2004-08-17,SP,5.1,11000
2004-08-18,SP,5.855,51200
2004-08-19,SP,5.5,80800
2004-08-20,SP,5.45,20800
2004-08-23,SP,5.175,59200
2004-08-24,SP,5.49,33200
2004-08-25,SP,5.795,73600
2004-08-26,SP,5.625,21600
2004-08-27,SP,5.675,3000
2004-08-30,SP,5.575,9600
2004-08-31,SP,5.6,17200
2004-09-01,SP,5.46,20000
2004-09-02,SP,5.625,20600
2004-09-03,SP,5.695,19000
2004-09-07,SP,5.835,52400
2004-09-08,SP,5.63,30200
2004-09-09,SP,5.575,127800
2004-09-10,SP,5.5,14800
2004-09-13,SP,5.64,34000
2004-09-14,SP,5.555,21000
2004-09-15,SP,5.485,13800
2004-09-16,SP,5.495,23200
2004-09-17,SP,5.49,36200
2004-09-20,SP,5.51,16600
2004-09-21,SP,5.495,8200
2004-09-22,SP,5.415,157200
2004-09-23,SP,5.305,61400
2004-09-24,SP,5.45,23400
2004-09-27,SP,5.25,14000
2004-09-28,SP,5.285,8600
2004-09-29,SP,5.375,6800
2004-09-30,SP,5.25,24800
2004-10-01,SP,5.5,27800
2004-10-04,SP,5.48,176600
2004-10-05,SP,5.41,27400
2004-10-06,SP,5.475,158400
2004-10-07,SP,5.39,92000
2004-10-08,SP,5.425,20000
2004-10-11,SP,5.5,153800
