ds,symbol,close,volume
1996-08-23,SRCL,2.3125,5035200
1996-08-26,SRCL,2.3125,590000
1996-08-27,SRCL,2.46875,936800
1996-08-28,SRCL,2.5625,766400
1996-08-29,SRCL,2.5,594400
1996-08-30,SRCL,2.4375,178400
1996-09-03,SRCL,2.28125,329200
1996-09-04,SRCL,2.375,162000
1996-09-05,SRCL,2.28125,132000
1996-09-06,SRCL,2.25,190800
1996-09-09,SRCL,2.375,254000
1996-09-10,SRCL,2.3125,14400
1996-09-11,SRCL,2.34375,233600
1996-09-12,SRCL,2.34375,32800
1996-09-13,SRCL,2.34375,78800
1996-09-16,SRCL,2.34375,146400
1996-09-17,SRCL,2.3125,172400
1996-09-18,SRCL,2.25,88800
1996-09-19,SRCL,2.1875,6000
1996-09-20,SRCL,2.28125,15200
1996-09-23,SRCL,2.21875,33600
1996-09-24,SRCL,2.1875,214000
1996-09-25,SRCL,2.34375,60800
1996-09-26,SRCL,2.375,117200
1996-09-27,SRCL,2.34375,106800
1996-09-30,SRCL,2.28125,46000
1996-10-01,SRCL,2.1875,46400
1996-10-02,SRCL,2.28125,58000
1996-10-03,SRCL,2.28125,6800
1996-10-04,SRCL,2.21875,60000
1996-10-07,SRCL,2.21875,154000
1996-10-08,SRCL,2.1875,290800
1996-10-09,SRCL,2.09375,166000
1996-10-10,SRCL,2.125,98000
1996-10-11,SRCL,2.0625,99200
1996-10-14,SRCL,2.09375,112800
1996-10-15,SRCL,2.125,99200
1996-10-16,SRCL,2.0,182800
1996-10-17,SRCL,1.90625,100000
1996-10-18,SRCL,2.0625,163200
1996-10-21,SRCL,2.03125,66400
1996-10-22,SRCL,1.96875,43200
1996-10-23,SRCL,2.0625,13600
1996-10-24,SRCL,1.9375,52800
1996-10-25,SRCL,2.0,288800
1996-10-28,SRCL,1.96875,74800
1996-10-29,SRCL,1.96875,15200
1996-10-30,SRCL,1.96875,15600
1996-10-31,SRCL,1.84375,2316000
1996-11-01,SRCL,1.90625,234000
1996-11-04,SRCL,1.9375,123200
1996-11-05,SRCL,1.9375,0
1996-11-06,SRCL,1.9375,50000
1996-11-07,SRCL,2.125,116000
1996-11-08,SRCL,2.0625,9200
1996-11-11,SRCL,2.125,14800
1996-11-12,SRCL,2.125,9200
1996-11-13,SRCL,2.09375,810000
1996-11-14,SRCL,2.09375,12000
1996-11-15,SRCL,2.0625,53600
1996-11-18,SRCL,2.125,774400
1996-11-19,SRCL,1.9375,22400
1996-11-20,SRCL,2.0,8000
1996-11-21,SRCL,1.90625,86400
1996-11-22,SRCL,1.921875,23600
1996-11-25,SRCL,2.0,50400
1996-11-26,SRCL,2.0,4400
1996-11-27,SRCL,1.9375,27200
1996-11-29,SRCL,1.96875,400
1996-12-02,SRCL,1.90625,40800
1996-12-03,SRCL,1.9375,50800
1996-12-04,SRCL,2.0,25200
1996-12-05,SRCL,1.9375,58000
1996-12-06,SRCL,1.9375,0
1996-12-09,SRCL,1.84375,24000
1996-12-10,SRCL,1.9375,24400
1996-12-11,SRCL,1.765625,72000
1996-12-12,SRCL,1.875,4400
1996-12-13,SRCL,1.75,40000
1996-12-16,SRCL,1.78125,140000
1996-12-17,SRCL,1.875,162400
1996-12-18,SRCL,1.875,39200
1996-12-19,SRCL,1.9375,284800
1996-12-20,SRCL,1.9375,800
1996-12-23,SRCL,2.3125,148400
1996-12-24,SRCL,2.1875,3200
1996-12-26,SRCL,2.3125,34400
1996-12-27,SRCL,2.3125,36000
1996-12-30,SRCL,2.28125,66400
1996-12-31,SRCL,2.875,302000
1997-01-02,SRCL,2.5625,372800
1997-01-03,SRCL,2.53125,212000
1997-01-06,SRCL,2.5,39600
1997-01-07,SRCL,2.5,51200
1997-01-08,SRCL,2.5625,26000
1997-01-09,SRCL,2.5625,4000
1997-01-10,SRCL,2.5,1200
1997-01-13,SRCL,2.46875,14400
1997-01-14,SRCL,2.6875,130400
1997-01-15,SRCL,2.78125,589200
1997-01-16,SRCL,2.71875,316800
1997-01-17,SRCL,2.71875,0
1997-01-20,SRCL,2.6875,58800
1997-01-21,SRCL,2.6875,0
1997-01-22,SRCL,2.6875,4000
1997-01-23,SRCL,2.75,160000
1997-01-24,SRCL,2.53125,118000
1997-01-27,SRCL,2.5625,800
1997-01-28,SRCL,2.5625,42800
1997-01-29,SRCL,2.6875,51200
1997-01-30,SRCL,2.75,221200
1997-01-31,SRCL,2.6875,362400
1997-02-03,SRCL,2.625,30400
1997-02-04,SRCL,2.6875,30400
1997-02-05,SRCL,2.625,34800
1997-02-06,SRCL,2.5625,38000
1997-02-07,SRCL,2.59375,16400
1997-02-10,SRCL,2.5625,164400
1997-02-11,SRCL,2.5,58000
1997-02-12,SRCL,2.625,3200
1997-02-13,SRCL,2.5,4400
1997-02-14,SRCL,2.625,5200
1997-02-18,SRCL,2.5,60800
1997-02-19,SRCL,2.3125,68000
1997-02-20,SRCL,2.25,27600
1997-02-21,SRCL,2.375,962400
1997-02-24,SRCL,2.25,1200
1997-02-25,SRCL,2.25,6400
1997-02-26,SRCL,2.28125,4000
1997-02-27,SRCL,2.25,208000
1997-02-28,SRCL,2.34375,8400
1997-03-03,SRCL,2.25,102000
1997-03-04,SRCL,2.21875,466800
1997-03-05,SRCL,2.1875,140400
1997-03-06,SRCL,2.21875,20000
1997-03-07,SRCL,2.25,1600
1997-03-10,SRCL,2.1875,14400
1997-03-11,SRCL,2.21875,21200
1997-03-12,SRCL,2.28125,85200
1997-03-13,SRCL,2.28125,0
1997-03-14,SRCL,2.28125,14400
1997-03-17,SRCL,2.28125,21200
1997-03-18,SRCL,2.21875,52800
1997-03-19,SRCL,2.25,259200
1997-03-20,SRCL,2.1875,8000
1997-03-21,SRCL,2.125,64400
1997-03-24,SRCL,2.125,0
1997-03-25,SRCL,2.125,243200
1997-03-26,SRCL,2.0625,91600
1997-03-27,SRCL,2.0,49600
1997-03-31,SRCL,2.0,63600
1997-04-01,SRCL,2.0,5200
1997-04-02,SRCL,2.0,16000
1997-04-03,SRCL,2.125,22800
1997-04-04,SRCL,2.125,10800
1997-04-07,SRCL,2.0,12800
1997-04-08,SRCL,2.0,0
1997-04-09,SRCL,2.0,1600
1997-04-10,SRCL,2.0,400
1997-04-11,SRCL,1.9375,27200
1997-04-14,SRCL,1.875,53600
1997-04-15,SRCL,1.9375,13200
1997-04-16,SRCL,1.875,6400
1997-04-17,SRCL,1.9375,12000
1997-04-18,SRCL,1.9375,0
