ds,symbol,close,volume
1997-06-04,SRPT,39.0,54633
1997-06-05,SRPT,39.375,28717
1997-06-06,SRPT,39.0,14450
1997-06-09,SRPT,38.25,15417
1997-06-10,SRPT,39.375,9417
1997-06-11,SRPT,37.875,6833
1997-06-12,SRPT,38.625,8083
1997-06-13,SRPT,37.5,8383
1997-06-16,SRPT,36.75,7367
1997-06-17,SRPT,36.375,18633
1997-06-18,SRPT,36.75,9433
1997-06-19,SRPT,37.5,8683
1997-06-20,SRPT,37.5,9517
1997-06-23,SRPT,36.75,3367
1997-06-24,SRPT,37.875,4450
1997-06-25,SRPT,37.125,12133
1997-06-26,SRPT,37.5,4467
1997-06-27,SRPT,40.875,18400
1997-06-30,SRPT,42.75,15583
1997-07-01,SRPT,45.0,20967
1997-07-02,SRPT,43.5,13017
1997-07-03,SRPT,43.125,8450
1997-07-07,SRPT,43.5,6517
1997-07-08,SRPT,42.0,9600
1997-07-09,SRPT,39.0,5500
1997-07-10,SRPT,40.125,283
1997-07-11,SRPT,39.0,650
1997-07-14,SRPT,39.0,5033
1997-07-15,SRPT,39.0,2850
1997-07-16,SRPT,40.6875,3883
1997-07-17,SRPT,42.0,5400
1997-07-18,SRPT,42.0,3900
1997-07-21,SRPT,40.5,5733
1997-07-22,SRPT,40.125,4083
1997-07-23,SRPT,38.625,4333
1997-07-24,SRPT,39.75,8967
1997-07-25,SRPT,39.0,3167
1997-07-28,SRPT,39.375,4850
1997-07-29,SRPT,40.125,4183
1997-07-30,SRPT,39.375,5133
1997-07-31,SRPT,40.125,10050
1997-08-01,SRPT,40.125,2100
1997-08-04,SRPT,39.0,1483
1997-08-05,SRPT,38.625,1333
1997-08-06,SRPT,39.75,3300
1997-08-07,SRPT,41.25,16750
1997-08-08,SRPT,41.25,1383
1997-08-11,SRPT,42.0,10200
1997-08-12,SRPT,44.625,14400
1997-08-13,SRPT,42.375,3900
1997-08-14,SRPT,44.25,9350
1997-08-15,SRPT,42.75,2450
1997-08-18,SRPT,40.125,4600
1997-08-19,SRPT,40.5,4133
1997-08-20,SRPT,40.125,4367
1997-08-21,SRPT,41.25,5700
1997-08-22,SRPT,41.25,11033
1997-08-25,SRPT,41.625,7300
1997-08-26,SRPT,42.0,6367
1997-08-27,SRPT,40.125,7267
1997-08-28,SRPT,39.75,3633
1997-08-29,SRPT,39.375,3683
1997-09-02,SRPT,39.75,1300
1997-09-03,SRPT,40.875,18633
1997-09-04,SRPT,41.25,13800
1997-09-05,SRPT,40.3125,3517
1997-09-08,SRPT,40.875,5217
1997-09-09,SRPT,41.25,4800
1997-09-10,SRPT,41.25,5800
1997-09-11,SRPT,40.3125,5100
1997-09-12,SRPT,39.75,7850
1997-09-15,SRPT,41.25,1250
1997-09-16,SRPT,40.3125,11833
