ds,symbol,close,volume
1990-01-02,STAR,91.121498,364
1990-01-03,STAR,91.121498,1027
1990-01-04,STAR,89.95327,300
1990-01-05,STAR,89.369156,107
1990-01-08,STAR,88.200935,235
1990-01-09,STAR,88.785049,107
1990-01-10,STAR,88.785049,0
1990-01-11,STAR,88.785049,0
1990-01-12,STAR,89.369156,107
1990-01-15,STAR,89.369156,107
1990-01-16,STAR,88.785049,86
1990-01-17,STAR,89.95327,171
1990-01-18,STAR,89.95327,321
1990-01-19,STAR,88.785049,514
1990-01-22,STAR,89.95327,385
1990-01-23,STAR,88.785049,342
1990-01-24,STAR,88.200935,107
1990-01-25,STAR,88.200935,0
1990-01-26,STAR,85.280373,449
1990-01-29,STAR,85.280373,0
1990-01-30,STAR,84.112152,86
1990-01-31,STAR,84.112152,107
1990-02-01,STAR,84.112152,0
1990-02-02,STAR,85.864487,364
1990-02-05,STAR,85.280373,64
1990-02-06,STAR,85.280373,171
1990-02-07,STAR,85.280373,150
1990-02-08,STAR,85.280373,0
1990-02-09,STAR,85.864487,171
1990-02-12,STAR,87.032707,64
1990-02-13,STAR,88.200935,257
1990-02-14,STAR,85.864487,556
1990-02-15,STAR,87.616821,107
1990-02-16,STAR,88.200935,257
1990-02-20,STAR,88.200935,300
1990-02-21,STAR,87.616821,321
1990-02-22,STAR,87.032707,150
1990-02-23,STAR,87.032707,150
1990-02-26,STAR,87.616821,64
1990-02-27,STAR,87.032707,43
1990-02-28,STAR,87.032707,0
1990-03-01,STAR,87.032707,0
1990-03-02,STAR,86.448601,21
1990-03-05,STAR,86.448601,64
1990-03-06,STAR,87.032707,107
1990-03-07,STAR,86.448601,107
1990-03-08,STAR,87.032707,86
1990-03-09,STAR,86.448601,128
1990-03-12,STAR,85.864487,64
1990-03-13,STAR,85.864487,150
1990-03-14,STAR,85.864487,0
1990-03-15,STAR,85.864487,321
1990-03-16,STAR,87.032707,235
1990-03-19,STAR,87.032707,342
1990-03-20,STAR,87.032707,0
1990-03-21,STAR,86.448601,214
1990-03-22,STAR,87.032707,107
1990-03-23,STAR,85.864487,706
1990-03-26,STAR,83.528038,514
1990-03-27,STAR,84.112152,21
1990-03-28,STAR,84.112152,0
1990-03-29,STAR,82.35981,278
1990-03-30,STAR,82.35981,0
