ds,symbol,close,volume
1990-01-02,STKL,2.0,70000
1990-01-03,STKL,1.875,2600
1990-01-04,STKL,1.875,24800
1990-01-05,STKL,1.75,10900
1990-01-08,STKL,1.875,32300
1990-01-09,STKL,1.75,11300
1990-01-10,STKL,1.8125,20200
1990-01-11,STKL,1.75,500
1990-01-12,STKL,1.875,4500
1990-01-15,STKL,1.75,31200
1990-01-16,STKL,1.625,3600
1990-01-17,STKL,1.625,4700
1990-01-18,STKL,1.625,0
1990-01-19,STKL,1.625,200
1990-01-22,STKL,1.625,11200
1990-01-23,STKL,1.5625,14600
1990-01-24,STKL,1.625,2500
1990-01-25,STKL,1.5,3700
1990-01-26,STKL,1.5,10500
1990-01-29,STKL,1.5,0
1990-01-30,STKL,1.375,500
1990-01-31,STKL,1.75,8500
1990-02-01,STKL,1.875,500
1990-02-02,STKL,1.875,2000
1990-02-05,STKL,1.875,500
1990-02-06,STKL,1.75,180800
1990-02-07,STKL,2.0,1000
1990-02-08,STKL,2.0,0
1990-02-09,STKL,2.0,600
1990-02-12,STKL,2.0,0
1990-02-13,STKL,1.875,14100
1990-02-14,STKL,1.75,11200
1990-02-15,STKL,1.75,9000
1990-02-16,STKL,1.875,9600
1990-02-20,STKL,1.75,16700
1990-02-21,STKL,1.5,500
1990-02-22,STKL,1.75,19000
1990-02-23,STKL,1.75,16000
1990-02-26,STKL,1.6875,4000
1990-02-27,STKL,1.5,2100
1990-02-28,STKL,1.875,14000
1990-03-01,STKL,1.625,10100
1990-03-02,STKL,1.625,0
1990-03-05,STKL,1.625,3500
1990-03-06,STKL,1.625,400
1990-03-07,STKL,1.625,11000
1990-03-08,STKL,1.625,1600
1990-03-09,STKL,1.625,5000
1990-03-12,STKL,1.75,2600
1990-03-13,STKL,1.625,500
1990-03-14,STKL,1.625,300
1990-03-15,STKL,1.625,0
1990-03-16,STKL,1.5,9900
1990-03-19,STKL,1.625,5500
1990-03-20,STKL,1.5,15900
1990-03-21,STKL,1.375,17700
1990-03-22,STKL,1.375,4500
1990-03-23,STKL,1.125,9300
1990-03-26,STKL,1.375,1900
1990-03-27,STKL,1.375,2500
1990-03-28,STKL,1.125,1000
1990-03-29,STKL,1.125,5200
1990-03-30,STKL,1.25,5000
1990-04-02,STKL,1.125,41700
1990-04-03,STKL,1.25,1600
1990-04-04,STKL,1.125,1500
1990-04-05,STKL,1.125,100
1990-04-06,STKL,1.125,2400
1990-04-09,STKL,1.25,500
1990-04-10,STKL,1.375,34600
1990-04-11,STKL,1.25,13000
1990-04-12,STKL,1.1875,68200
1990-04-16,STKL,1.1875,4900
1990-04-17,STKL,1.125,10500
1990-04-18,STKL,1.125,42400
1990-04-19,STKL,1.125,2000
1990-04-20,STKL,1.125,6200
1990-04-23,STKL,1.0625,23500
1990-04-24,STKL,1.0,4000
1990-04-25,STKL,0.875,30700
1990-04-26,STKL,1.125,11500
1990-04-27,STKL,1.0,2000
