ds,symbol,close,volume
1999-05-13,STRN,1.437,200
1999-05-14,STRN,1.437,0
1999-05-17,STRN,1.437,0
1999-05-18,STRN,1.375,2000
1999-05-19,STRN,1.375,0
1999-05-20,STRN,1.375,0
1999-05-21,STRN,1.125,2000
1999-05-24,STRN,1.145,2000
1999-05-25,STRN,1.187,300
1999-05-26,STRN,1.437,4000
1999-05-27,STRN,1.437,0
1999-05-28,STRN,1.437,0
1999-06-01,STRN,1.25,2000
1999-06-02,STRN,1.25,0
1999-06-03,STRN,1.375,6000
1999-06-04,STRN,1.375,200
1999-06-07,STRN,1.375,0
1999-06-08,STRN,1.375,0
1999-06-09,STRN,1.375,0
1999-06-10,STRN,1.375,3000
1999-06-11,STRN,1.187,600
1999-06-14,STRN,1.375,200
1999-06-15,STRN,1.375,0
1999-06-16,STRN,1.375,0
1999-06-17,STRN,1.187,1000
1999-06-18,STRN,1.187,0
1999-06-21,STRN,1.312,1000
1999-06-22,STRN,1.312,0
1999-06-23,STRN,1.5,2100
1999-06-24,STRN,1.375,500
1999-06-25,STRN,1.375,0
1999-06-28,STRN,1.562,1000
1999-06-29,STRN,1.531,1100
1999-06-30,STRN,1.531,2200
1999-07-01,STRN,1.531,0
1999-07-02,STRN,1.531,0
1999-07-06,STRN,1.375,100
1999-07-07,STRN,1.375,0
1999-07-08,STRN,1.375,2000
1999-07-09,STRN,1.5,3000
1999-07-12,STRN,1.5,0
1999-07-13,STRN,1.312,6000
1999-07-14,STRN,1.375,1000
1999-07-15,STRN,1.4,2000
1999-07-16,STRN,1.5,2000
1999-07-19,STRN,1.5,0
1999-07-20,STRN,1.5,0
1999-07-21,STRN,1.5,0
1999-07-22,STRN,1.5,0
1999-07-23,STRN,1.5,7000
1999-07-26,STRN,1.5,0
1999-07-27,STRN,1.281,500
1999-07-28,STRN,1.281,0
1999-07-29,STRN,1.5,3000
1999-07-30,STRN,1.5,5000
1999-08-02,STRN,1.5,0
1999-08-03,STRN,1.375,100
1999-08-04,STRN,1.375,0
1999-08-05,STRN,1.75,1000
1999-08-06,STRN,1.75,0
1999-08-09,STRN,1.75,0
1999-08-10,STRN,1.75,0
1999-08-11,STRN,1.375,1000
1999-08-12,STRN,1.625,500
1999-08-13,STRN,1.625,0
1999-08-16,STRN,1.625,0
1999-08-17,STRN,1.875,4000
1999-08-18,STRN,1.875,0
1999-08-19,STRN,1.875,0
1999-08-20,STRN,1.875,0
1999-08-23,STRN,1.875,0
1999-08-24,STRN,1.875,1000
1999-08-25,STRN,1.875,1900
1999-08-26,STRN,1.875,0
1999-08-27,STRN,1.687,1000
1999-08-30,STRN,1.75,2400
1999-08-31,STRN,1.75,3500
1999-09-01,STRN,1.75,0
1999-09-02,STRN,1.875,8500
1999-09-03,STRN,1.875,0
1999-09-07,STRN,1.875,0
1999-09-08,STRN,1.968,2000
1999-09-09,STRN,1.843,5000
1999-09-10,STRN,1.843,0
1999-09-13,STRN,1.406,2000
1999-09-14,STRN,1.406,200
1999-09-15,STRN,1.406,0
1999-09-16,STRN,1.5,2500
1999-09-17,STRN,1.687,3900
1999-09-20,STRN,1.437,1400
1999-09-21,STRN,1.562,1000
1999-09-22,STRN,1.562,1000
1999-09-23,STRN,1.5,1000
1999-09-24,STRN,1.5,0
1999-09-27,STRN,1.5,1000
1999-09-28,STRN,1.687,4400
1999-09-29,STRN,1.687,0
1999-09-30,STRN,1.687,0
1999-10-01,STRN,1.687,1000
1999-10-04,STRN,1.75,2100
1999-10-05,STRN,1.687,500
1999-10-06,STRN,1.687,0
1999-10-07,STRN,1.875,2000
1999-10-08,STRN,1.718,600
1999-10-11,STRN,1.718,0
1999-10-12,STRN,1.718,0
1999-10-13,STRN,2.125,7500
1999-10-14,STRN,2.0,500
1999-10-15,STRN,2.0,0
1999-10-18,STRN,1.875,2500
1999-10-19,STRN,1.875,0
1999-10-20,STRN,1.625,3500
1999-10-21,STRN,2.0,6900
1999-10-22,STRN,2.0,0
1999-10-25,STRN,2.0,0
1999-10-26,STRN,2.0,0
1999-10-27,STRN,2.0,0
1999-10-28,STRN,2.0,0
1999-10-29,STRN,2.0,0
1999-11-01,STRN,2.0,0
1999-11-02,STRN,2.0,0
1999-11-03,STRN,2.0,0
1999-11-04,STRN,2.0,0
1999-11-05,STRN,2.0,0
1999-11-08,STRN,1.75,2000
1999-11-09,STRN,1.75,0
1999-11-10,STRN,1.75,0
1999-11-11,STRN,1.75,0
1999-11-12,STRN,1.75,0
1999-11-15,STRN,1.75,0
1999-11-16,STRN,1.75,0
1999-11-17,STRN,1.625,700
1999-11-18,STRN,1.75,5700
1999-11-19,STRN,1.75,5200
1999-11-22,STRN,1.75,0
1999-11-23,STRN,1.75,0
1999-11-24,STRN,1.75,0
1999-11-26,STRN,1.75,0
1999-11-29,STRN,1.5,2300
1999-11-30,STRN,1.5,0
1999-12-01,STRN,1.5,0
1999-12-02,STRN,1.5,0
1999-12-03,STRN,1.5,0
1999-12-06,STRN,1.5,0
1999-12-07,STRN,1.875,500
1999-12-08,STRN,1.625,100
1999-12-09,STRN,1.625,0
1999-12-10,STRN,1.625,200
1999-12-13,STRN,1.875,500
1999-12-14,STRN,1.875,0
1999-12-15,STRN,1.625,1000
1999-12-16,STRN,1.625,0
1999-12-17,STRN,1.875,3200
1999-12-20,STRN,1.343,600
1999-12-21,STRN,1.343,0
1999-12-22,STRN,1.343,0
1999-12-23,STRN,1.875,1500
1999-12-27,STRN,1.875,0
1999-12-28,STRN,1.875,0
1999-12-29,STRN,1.875,0
1999-12-30,STRN,1.375,400
1999-12-31,STRN,1.375,0
2000-01-03,STRN,1.375,0
2000-01-04,STRN,1.375,0
2000-01-05,STRN,1.375,0
2000-01-06,STRN,1.375,0
2000-01-07,STRN,1.5,1100
2000-01-10,STRN,1.5,0
2000-01-11,STRN,1.5,0
2000-01-12,STRN,1.87,200
2000-01-13,STRN,1.87,0
2000-01-14,STRN,1.87,0
2000-01-18,STRN,1.375,11100
2000-01-19,STRN,1.375,0
2000-01-20,STRN,1.375,0
2000-01-21,STRN,1.25,7300
2000-01-24,STRN,1.25,3000
2000-01-25,STRN,1.25,2000
2000-01-26,STRN,1.437,1000
2000-01-27,STRN,1.906,3900
2000-01-28,STRN,1.906,0
2000-01-31,STRN,1.312,1000
2000-02-01,STRN,1.25,500
2000-02-02,STRN,1.25,400
2000-02-03,STRN,1.25,0
2000-02-04,STRN,1.25,0
2000-02-07,STRN,1.25,1000
2000-02-08,STRN,1.25,0
2000-02-09,STRN,1.25,0
2000-02-10,STRN,1.25,1000
2000-02-11,STRN,1.25,200
2000-02-14,STRN,1.437,10600
