ds,symbol,close,volume
2018-05-10,TALO,36.35,53834
2018-05-11,TALO,33.85,180684
2018-05-14,TALO,33.18,157462
2018-05-15,TALO,32.79,286267
2018-05-16,TALO,32.39,208349
2018-05-17,TALO,32.66,203642
2018-05-18,TALO,32.96,168664
2018-05-21,TALO,33.62,109141
2018-05-22,TALO,33.42,195621
2018-05-23,TALO,32.08,172858
2018-05-24,TALO,32.13,183978
2018-05-25,TALO,32.12,168751
2018-05-29,TALO,32.15,170970
2018-05-30,TALO,33.48,336424
2018-05-31,TALO,32.12,204597
2018-06-01,TALO,32.91,120628
2018-06-04,TALO,31.47,161801
2018-06-05,TALO,31.41,103652
2018-06-06,TALO,31.37,134945
2018-06-07,TALO,31.94,76333
2018-06-08,TALO,31.44,123445
2018-06-11,TALO,32.1,221966
2018-06-12,TALO,32.25,180877
2018-06-13,TALO,33.11,216681
2018-06-14,TALO,33.25,207946
2018-06-15,TALO,32.99,578371
2018-06-18,TALO,32.78,255946
2018-06-19,TALO,32.78,163190
2018-06-20,TALO,32.45,183563
2018-06-21,TALO,30.79,264951
2018-06-22,TALO,33.26,343932
2018-06-25,TALO,32.94,105897
2018-06-26,TALO,33.63,86143
2018-06-27,TALO,33.65,90146
2018-06-28,TALO,32.43,100441
2018-06-29,TALO,32.13,160012
2018-07-02,TALO,32.15,48928
2018-07-03,TALO,33.15,57083
2018-07-05,TALO,33.18,85934
2018-07-06,TALO,34.07,59204
2018-07-09,TALO,35.21,74712
2018-07-10,TALO,34.74,110341
2018-07-11,TALO,33.76,46014
2018-07-12,TALO,33.4,91335
2018-07-13,TALO,33.19,39983
2018-07-16,TALO,32.53,62948
2018-07-17,TALO,32.41,33356
2018-07-18,TALO,33.09,90264
2018-07-19,TALO,34.11,115516
2018-07-20,TALO,34.55,92611
2018-07-23,TALO,34.94,62922
2018-07-24,TALO,35.27,131275
2018-07-25,TALO,35.37,67306
2018-07-26,TALO,35.47,63775
2018-07-27,TALO,34.25,61760
2018-07-30,TALO,36.91,136869
2018-07-31,TALO,37.14,142729
2018-08-01,TALO,36.83,46807
2018-08-02,TALO,37.47,64643
2018-08-03,TALO,36.92,45909
2018-08-06,TALO,37.09,76614
2018-08-07,TALO,35.84,95395
2018-08-08,TALO,35.28,93611
2018-08-09,TALO,34.29,81104
2018-08-10,TALO,33.95,35816
2018-08-13,TALO,32.45,93624
2018-08-14,TALO,32.45,86243
2018-08-15,TALO,31.37,133832
2018-08-16,TALO,31.01,86344
2018-08-17,TALO,31.44,59542
2018-08-20,TALO,30.33,134345
2018-08-21,TALO,30.36,79673
2018-08-22,TALO,30.97,112616
2018-08-23,TALO,30.82,182605
2018-08-24,TALO,30.86,128129
2018-08-27,TALO,33.63,236362
2018-08-28,TALO,33.83,194999
2018-08-29,TALO,34.17,101888
2018-08-30,TALO,34.31,106484
2018-08-31,TALO,34.52,162287
2018-09-04,TALO,33.41,115511
2018-09-05,TALO,33.94,452538
2018-09-06,TALO,33.8,219546
2018-09-07,TALO,34.42,180457
2018-09-10,TALO,35.07,201292
2018-09-11,TALO,35.47,195563
2018-09-12,TALO,36.04,306339
2018-09-13,TALO,34.44,187823
2018-09-14,TALO,34.84,142858
2018-09-17,TALO,32.62,105398
2018-09-18,TALO,31.95,95686
2018-09-19,TALO,32.5,107454
2018-09-20,TALO,31.17,155428
2018-09-21,TALO,31.6,443244
2018-09-24,TALO,32.54,126781
2018-09-25,TALO,32.53,92633
2018-09-26,TALO,32.16,70300
2018-09-27,TALO,32.27,53042
2018-09-28,TALO,32.82,111913
2018-10-01,TALO,33.63,220358
2018-10-02,TALO,33.3,65610
2018-10-03,TALO,33.83,155523
2018-10-04,TALO,33.33,92293
2018-10-05,TALO,33.44,71149
2018-10-08,TALO,33.17,108742
2018-10-09,TALO,33.26,161721
2018-10-10,TALO,31.94,166366
2018-10-11,TALO,30.84,169886
