ds,symbol,close,volume
2015-06-30,TDOC,19.0,0
2015-07-01,TDOC,28.5,10513718
2015-07-02,TDOC,28.0,1200001
2015-07-06,TDOC,26.69,512987
2015-07-07,TDOC,27.01,700872
2015-07-08,TDOC,26.25,404094
2015-07-09,TDOC,26.66,334139
2015-07-10,TDOC,29.28,1235090
2015-07-13,TDOC,30.96,681078
2015-07-14,TDOC,31.96,513037
2015-07-15,TDOC,30.69,303164
2015-07-16,TDOC,30.95,368393
2015-07-17,TDOC,30.6,200249
2015-07-20,TDOC,29.89,219212
2015-07-21,TDOC,30.5,286087
2015-07-22,TDOC,31.09,404579
2015-07-23,TDOC,30.54,374081
2015-07-24,TDOC,32.15,529528
2015-07-27,TDOC,31.31,385611
2015-07-28,TDOC,30.83,251817
2015-07-29,TDOC,31.57,166143
2015-07-30,TDOC,30.91,287494
2015-07-31,TDOC,31.57,143416
2015-08-03,TDOC,33.2,458620
2015-08-04,TDOC,34.82,264018
2015-08-05,TDOC,33.06,310912
2015-08-06,TDOC,32.07,554489
2015-08-07,TDOC,30.83,209347
2015-08-10,TDOC,30.47,209849
2015-08-11,TDOC,28.76,436301
2015-08-12,TDOC,28.51,253894
2015-08-13,TDOC,29.79,689124
2015-08-14,TDOC,28.52,524136
2015-08-17,TDOC,29.23,473079
2015-08-18,TDOC,28.3,378336
2015-08-19,TDOC,26.85,772627
2015-08-20,TDOC,26.5,564051
2015-08-21,TDOC,25.64,662502
2015-08-24,TDOC,23.88,961467
2015-08-25,TDOC,23.2,1178303
2015-08-26,TDOC,25.28,1480494
2015-08-27,TDOC,26.13,1597902
2015-08-28,TDOC,27.72,663623
2015-08-31,TDOC,25.74,564447
2015-09-01,TDOC,22.85,1686933
2015-09-02,TDOC,22.15,3360970
2015-09-03,TDOC,22.41,2480472
2015-09-04,TDOC,20.82,1714516
2015-09-08,TDOC,20.53,1089247
2015-09-09,TDOC,22.56,1115171
2015-09-10,TDOC,22.98,614776
2015-09-11,TDOC,23.5,594169
2015-09-14,TDOC,23.07,666224
2015-09-15,TDOC,22.99,524731
2015-09-16,TDOC,22.06,670861
2015-09-17,TDOC,22.15,324827
2015-09-18,TDOC,21.96,912526
2015-09-21,TDOC,22.24,495168
2015-09-22,TDOC,24.5,498305
2015-09-23,TDOC,24.46,702281
2015-09-24,TDOC,24.33,311018
2015-09-25,TDOC,22.35,852417
2015-09-28,TDOC,20.63,711502
2015-09-29,TDOC,21.0,938973
2015-09-30,TDOC,22.29,3006758
2015-10-01,TDOC,22.81,914424
2015-10-02,TDOC,18.24,3063531
2015-10-05,TDOC,17.49,2135494
2015-10-06,TDOC,16.64,1390709
2015-10-07,TDOC,16.23,578511
2015-10-08,TDOC,16.8,368329
2015-10-09,TDOC,17.25,557597
2015-10-12,TDOC,18.03,468463
2015-10-13,TDOC,18.0,284659
2015-10-14,TDOC,18.08,309191
2015-10-15,TDOC,18.12,218408
2015-10-16,TDOC,18.0,162546
2015-10-19,TDOC,18.21,229386
2015-10-20,TDOC,17.84,396468
2015-10-21,TDOC,18.59,331395
2015-10-22,TDOC,17.27,563980
2015-10-23,TDOC,18.2,162880
2015-10-26,TDOC,18.42,180837
2015-10-27,TDOC,18.94,209798
2015-10-28,TDOC,20.07,272808
2015-10-29,TDOC,19.67,192600
2015-10-30,TDOC,19.67,241105
2015-11-02,TDOC,19.59,317815
2015-11-03,TDOC,17.59,1914162
2015-11-04,TDOC,17.19,440782
2015-11-05,TDOC,16.0,470380
2015-11-06,TDOC,15.61,295638
2015-11-09,TDOC,16.2,410711
2015-11-10,TDOC,15.84,189490
2015-11-11,TDOC,16.25,166565
2015-11-12,TDOC,17.36,222349
2015-11-13,TDOC,17.58,115842
2015-11-16,TDOC,18.23,126775
2015-11-17,TDOC,19.36,213402
2015-11-18,TDOC,19.25,244744
2015-11-19,TDOC,18.46,117077
2015-11-20,TDOC,19.0,113184
