ds,symbol,close,volume
2009-02-13,THTX,1.06,21400
2009-02-17,THTX,1.07,8900
2009-02-18,THTX,1.04,1900
2009-02-19,THTX,1.08,7000
2009-02-20,THTX,1.0,11400
2009-02-23,THTX,1.01,1900
2009-02-24,THTX,1.01,7200
2009-02-25,THTX,1.16,18600
2009-02-26,THTX,1.17,4500
2009-02-27,THTX,1.2,7300
2009-03-02,THTX,1.15,7300
2009-03-03,THTX,1.15,19700
2009-03-04,THTX,1.32,51900
2009-03-05,THTX,1.21,3700
2009-03-06,THTX,1.24,20800
2009-03-09,THTX,1.15,5700
2009-03-10,THTX,1.2,22700
2009-03-11,THTX,1.3,56000
2009-03-12,THTX,1.27,15600
2009-03-13,THTX,1.29,22500
2009-03-16,THTX,1.29,9300
2009-03-17,THTX,1.31,11200
2009-03-18,THTX,1.35,3300
2009-03-19,THTX,1.37,17600
2009-03-20,THTX,1.35,2000
2009-03-23,THTX,1.4,11900
2009-03-24,THTX,1.43,63000
2009-03-25,THTX,1.5,21600
2009-03-26,THTX,1.52,200
2009-03-27,THTX,1.44,32600
2009-03-30,THTX,1.54,3800
2009-03-31,THTX,1.52,2800
2009-04-01,THTX,1.61,72800
2009-04-02,THTX,1.77,114500
2009-04-03,THTX,1.69,2000
2009-04-06,THTX,1.75,15400
2009-04-07,THTX,1.72,92400
2009-04-08,THTX,1.88,173200
2009-04-09,THTX,2.18,231500
2009-04-13,THTX,2.56,118900
2009-04-14,THTX,2.5,25500
2009-04-15,THTX,2.56,19300
2009-04-16,THTX,2.55,16100
2009-04-17,THTX,2.7,12500
2009-04-20,THTX,2.27,15600
2009-04-21,THTX,2.26,10000
2009-04-22,THTX,2.47,21400
2009-04-23,THTX,2.53,15200
2009-04-24,THTX,2.47,66100
2009-04-27,THTX,2.51,5500
2009-04-28,THTX,2.47,51000
2009-04-29,THTX,2.46,3700
2009-04-30,THTX,2.36,44600
2009-05-01,THTX,2.29,23900
2009-05-04,THTX,2.28,23100
2009-05-05,THTX,2.11,14700
2009-05-06,THTX,2.25,36100
2009-05-07,THTX,2.06,42300
2009-05-08,THTX,2.06,49600
2009-05-11,THTX,2.12,4700
2009-05-12,THTX,2.18,7900
2009-05-13,THTX,2.01,39500
2009-05-14,THTX,2.11,6400
2009-05-15,THTX,2.13,3000
2009-05-18,THTX,2.13,0
2009-05-19,THTX,2.27,25000
2009-05-20,THTX,2.3,12700
2009-05-21,THTX,2.32,41700
2009-05-22,THTX,2.31,13100
2009-05-26,THTX,2.31,0
2009-05-27,THTX,2.35,17300
2009-05-28,THTX,2.43,5000
2009-05-29,THTX,2.48,27000
2009-06-01,THTX,2.73,110600
2009-06-02,THTX,2.8,20200
2009-06-03,THTX,2.6,32200
2009-06-04,THTX,2.53,28300
2009-06-05,THTX,2.63,35400
2009-06-08,THTX,2.6,19900
2009-06-09,THTX,2.59,2200
2009-06-10,THTX,2.48,600
2009-06-11,THTX,2.55,21700
2009-06-12,THTX,2.29,41400
2009-06-15,THTX,2.16,27700
2009-06-16,THTX,2.15,9000
2009-06-17,THTX,2.12,6000
2009-06-18,THTX,2.22,2200
2009-06-19,THTX,2.23,4300
2009-06-22,THTX,2.06,1400
2009-06-23,THTX,2.05,9100
2009-06-24,THTX,2.05,0
2009-06-25,THTX,2.1,6100
2009-06-26,THTX,2.11,300
2009-06-29,THTX,2.08,18100
2009-06-30,THTX,2.07,2300
2009-07-01,THTX,2.07,0
2009-07-02,THTX,1.84,33200
2009-07-06,THTX,1.96,22100
2009-07-07,THTX,2.0,4500
2009-07-08,THTX,1.95,31300
2009-07-09,THTX,1.95,3500
2009-07-10,THTX,1.92,15100
2009-07-13,THTX,1.75,30600
2009-07-14,THTX,1.74,67000
2009-07-15,THTX,1.9,12200
2009-07-16,THTX,2.02,54900
2009-07-17,THTX,1.96,4700
2009-07-20,THTX,2.0,9300
2009-07-21,THTX,2.13,33500
2009-07-22,THTX,2.01,5500
2009-07-23,THTX,2.02,14100
2009-07-24,THTX,2.02,0
2009-07-27,THTX,2.06,12500
2009-07-28,THTX,2.09,32100
2009-07-29,THTX,2.05,5700
2009-07-30,THTX,2.05,2500
2009-07-31,THTX,2.1,6500
2009-08-03,THTX,2.1,0
2009-08-04,THTX,2.12,79100
2009-08-05,THTX,2.1,3700
