ds,symbol,close,volume
1990-01-02,TILE,8.8125,168400
1990-01-03,TILE,8.875,183400
1990-01-04,TILE,9.125,144800
1990-01-05,TILE,9.3125,362000
1990-01-08,TILE,9.25,533200
1990-01-09,TILE,9.4375,572200
1990-01-10,TILE,9.375,324400
1990-01-11,TILE,9.4375,34400
1990-01-12,TILE,9.25,37600
1990-01-15,TILE,8.625,141800
1990-01-16,TILE,8.6875,564800
1990-01-17,TILE,8.75,240800
1990-01-18,TILE,8.5,334200
1990-01-19,TILE,8.6875,164200
1990-01-22,TILE,8.625,160400
1990-01-23,TILE,8.625,148200
1990-01-24,TILE,8.625,270200
1990-01-25,TILE,8.8125,198400
1990-01-26,TILE,8.875,21600
1990-01-29,TILE,8.625,86800
1990-01-30,TILE,8.4375,65000
1990-01-31,TILE,8.3125,299200
1990-02-01,TILE,8.4375,186000
1990-02-02,TILE,8.4375,238000
1990-02-05,TILE,8.5,187200
1990-02-06,TILE,8.5625,230200
1990-02-07,TILE,8.5625,128600
1990-02-08,TILE,8.5,83600
1990-02-09,TILE,8.5,365200
1990-02-12,TILE,8.375,89600
1990-02-13,TILE,8.375,91000
1990-02-14,TILE,8.4375,44800
1990-02-15,TILE,8.5,69600
1990-02-16,TILE,8.5,39800
1990-02-20,TILE,8.4375,204000
1990-02-21,TILE,8.5,45200
1990-02-22,TILE,8.5,123800
1990-02-23,TILE,8.625,135200
1990-02-26,TILE,8.625,77200
1990-02-27,TILE,8.8125,175800
1990-02-28,TILE,8.9375,72600
1990-03-01,TILE,8.8125,30400
1990-03-02,TILE,8.875,51400
1990-03-05,TILE,8.9375,17400
1990-03-06,TILE,8.9375,16800
1990-03-07,TILE,9.0,57800
1990-03-08,TILE,9.0625,153600
1990-03-09,TILE,8.875,112000
1990-03-12,TILE,8.6875,34200
1990-03-13,TILE,8.75,65600
1990-03-14,TILE,8.75,83800
1990-03-15,TILE,8.6875,175800
1990-03-16,TILE,8.8125,14200
1990-03-19,TILE,9.0625,468600
1990-03-20,TILE,9.0625,197000
1990-03-21,TILE,9.0625,127600
1990-03-22,TILE,8.9375,114200
1990-03-23,TILE,9.125,2077000
1990-03-26,TILE,9.25,321000
1990-03-27,TILE,9.25,426000
1990-03-28,TILE,9.0625,75800
1990-03-29,TILE,9.0,21800
1990-03-30,TILE,8.875,319200
1990-04-02,TILE,8.9375,79200
1990-04-03,TILE,8.8125,43600
1990-04-04,TILE,8.8125,28200
1990-04-05,TILE,9.125,36200
1990-04-06,TILE,9.1875,84600
1990-04-09,TILE,9.125,33200
1990-04-10,TILE,9.0,59400
1990-04-11,TILE,8.9375,31600
1990-04-12,TILE,8.75,89800
1990-04-16,TILE,8.75,30400
1990-04-17,TILE,8.75,222600
1990-04-18,TILE,8.5625,185200
1990-04-19,TILE,8.4375,128000
1990-04-20,TILE,8.375,66800
1990-04-23,TILE,8.5,1181600
1990-04-24,TILE,8.375,146400
1990-04-25,TILE,8.5625,73200
1990-04-26,TILE,8.3125,73400
1990-04-27,TILE,8.4375,134000
1990-04-30,TILE,8.3125,223000
1990-05-01,TILE,8.3125,168000
1990-05-02,TILE,8.3125,81400
1990-05-03,TILE,8.375,653400
1990-05-04,TILE,8.5625,432800
1990-05-07,TILE,8.5,24600
1990-05-08,TILE,8.5,40400
1990-05-09,TILE,8.5,43400
1990-05-10,TILE,8.5625,92800
1990-05-11,TILE,8.5,177800
1990-05-14,TILE,8.4375,157600
1990-05-15,TILE,8.25,171600
1990-05-16,TILE,8.1875,908000
1990-05-17,TILE,8.4375,588800
1990-05-18,TILE,8.5625,83200
1990-05-21,TILE,8.4375,88000
1990-05-22,TILE,8.3125,150400
1990-05-23,TILE,8.3125,87600
1990-05-24,TILE,8.4375,95800
1990-05-25,TILE,8.5,150200
1990-05-29,TILE,8.5625,385600
1990-05-30,TILE,8.5625,232800
1990-05-31,TILE,8.5625,9800
1990-06-01,TILE,8.75,77000
1990-06-04,TILE,8.8125,102800
1990-06-05,TILE,8.6875,212200
1990-06-06,TILE,8.6875,39000
1990-06-07,TILE,9.0,449000
1990-06-08,TILE,8.9375,155400
1990-06-11,TILE,9.5,437600
1990-06-12,TILE,9.375,153600
1990-06-13,TILE,9.5625,104800
1990-06-14,TILE,9.3125,163400
1990-06-15,TILE,9.1875,23800
1990-06-18,TILE,9.0,85200
1990-06-19,TILE,9.3125,165400
1990-06-20,TILE,9.5625,414400
1990-06-21,TILE,9.5625,157000
1990-06-22,TILE,9.5,103400
1990-06-25,TILE,9.375,94400
1990-06-26,TILE,9.375,15800
1990-06-27,TILE,9.3125,13400
1990-06-28,TILE,9.3125,104600
1990-06-29,TILE,9.3125,37200
1990-07-02,TILE,9.5,89400
1990-07-03,TILE,9.625,80400
1990-07-05,TILE,9.5625,49800
1990-07-06,TILE,9.625,22400
1990-07-09,TILE,9.8125,40400
1990-07-10,TILE,9.8125,25000
1990-07-11,TILE,9.8125,154000
1990-07-12,TILE,9.75,111000
1990-07-13,TILE,9.625,49600
1990-07-16,TILE,9.5625,16800
1990-07-17,TILE,9.5625,95400
1990-07-18,TILE,9.5625,33400
1990-07-19,TILE,9.6875,64600
1990-07-20,TILE,9.5625,80600
1990-07-23,TILE,9.4375,160400
1990-07-24,TILE,9.1875,112000
1990-07-25,TILE,8.5,435800
1990-07-26,TILE,8.5625,221600
1990-07-27,TILE,8.5,106800
1990-07-30,TILE,8.4375,71200
1990-07-31,TILE,8.5,457200
1990-08-01,TILE,8.5625,169800
1990-08-02,TILE,8.375,246800
1990-08-03,TILE,8.125,85800
1990-08-06,TILE,8.0,389000
1990-08-07,TILE,8.0,197400
1990-08-08,TILE,7.9375,198200
1990-08-09,TILE,8.0,335600
1990-08-10,TILE,7.1875,231000
1990-08-13,TILE,7.0625,299800
1990-08-14,TILE,7.3125,46200
1990-08-15,TILE,7.0625,178800
1990-08-16,TILE,7.0625,107400
1990-08-17,TILE,7.0625,253000
1990-08-20,TILE,6.6875,352800
1990-08-21,TILE,6.5,250000
1990-08-22,TILE,6.375,215400
1990-08-23,TILE,6.0,461600
1990-08-24,TILE,6.4375,191000
1990-08-27,TILE,6.5625,299000
1990-08-28,TILE,6.9375,136800
1990-08-29,TILE,6.9375,94600
1990-08-30,TILE,6.875,39200
1990-08-31,TILE,6.75,22000
1990-09-04,TILE,6.8125,25400
1990-09-05,TILE,6.6875,105800
1990-09-06,TILE,6.8125,9600
1990-09-07,TILE,6.6875,77800
1990-09-10,TILE,6.6875,23200
1990-09-11,TILE,6.5,46600
1990-09-12,TILE,6.5625,75000
1990-09-13,TILE,6.3125,106600
1990-09-14,TILE,6.0625,200400
1990-09-17,TILE,5.875,60000
1990-09-18,TILE,5.8125,354400
1990-09-19,TILE,5.5,156800
1990-09-20,TILE,5.4375,93400
1990-09-21,TILE,5.5,120400
1990-09-24,TILE,5.5625,165800
1990-09-25,TILE,5.75,271600
1990-09-26,TILE,5.5625,58200
1990-09-27,TILE,5.5,34800
1990-09-28,TILE,5.4375,18400
1990-10-01,TILE,5.75,27000
1990-10-02,TILE,5.75,40200
1990-10-03,TILE,5.5,69000
1990-10-04,TILE,5.4375,43800
1990-10-05,TILE,5.75,118600
1990-10-08,TILE,6.0,56600
1990-10-09,TILE,5.875,38800
1990-10-10,TILE,5.6875,115600
1990-10-11,TILE,5.5625,22200
1990-10-12,TILE,5.5,33600
1990-10-15,TILE,5.5625,53200
1990-10-16,TILE,5.125,64800
1990-10-17,TILE,5.25,256800
1990-10-18,TILE,4.8125,242800
1990-10-19,TILE,4.75,104000
1990-10-22,TILE,4.3125,142600
1990-10-23,TILE,4.1875,322400
1990-10-24,TILE,4.125,196400
1990-10-25,TILE,4.125,104000
1990-10-26,TILE,4.125,108000
