ds,symbol,close,volume
2018-07-19,TLRY,26.7235,9999161
2018-07-20,TLRY,35.5319,11705084
2018-07-23,TLRY,35.15,8414304
2018-07-24,TLRY,30.2684,4628356
2018-07-25,TLRY,31.6171,3225255
2018-07-26,TLRY,31.5097,1238248
2018-07-27,TLRY,29.0032,1257744
2018-07-30,TLRY,27.2606,1143827
2018-07-31,TLRY,26.3774,1593188
2018-08-01,TLRY,27.3681,1317516
2018-08-02,TLRY,28.49,947768
2018-08-03,TLRY,28.8242,505744
2018-08-06,TLRY,29.6477,902484
2018-08-07,TLRY,29.4568,1078030
2018-08-08,TLRY,29.5284,281825
2018-08-09,TLRY,30.5548,755353
2018-08-10,TLRY,30.8174,396703
2018-08-13,TLRY,31.826,1748959
2018-08-14,TLRY,28.9435,1154915
2018-08-15,TLRY,34.7323,5161373
2018-08-16,TLRY,34.9352,2640024
2018-08-17,TLRY,36.63,1476326
2018-08-20,TLRY,42.8484,5075276
2018-08-21,TLRY,47.6703,8597812
2018-08-22,TLRY,46.5484,4549628
2018-08-23,TLRY,45.6532,2707153
2018-08-24,TLRY,52.349,7509915
2018-08-27,TLRY,63.7832,12521985
2018-08-28,TLRY,61.4677,9251844
2018-08-29,TLRY,74.1552,15177138
2018-08-30,TLRY,70.5029,7817851
2018-08-31,TLRY,77.8194,7118882
2018-09-04,TLRY,91.9152,13808175
2018-09-05,TLRY,107.2523,17261722
2018-09-06,TLRY,95.6032,11365257
2018-09-07,TLRY,92.9655,7553852
2018-09-10,TLRY,100.8548,10718689
2018-09-11,TLRY,114.33,13133796
2018-09-12,TLRY,125.2629,15789023
2018-09-13,TLRY,142.9394,18287895
2018-09-14,TLRY,130.1565,13911260
2018-09-17,TLRY,143.4526,9788427
2018-09-18,TLRY,184.9761,16719638
2018-09-19,TLRY,255.491,26574309
2018-09-20,TLRY,210.4823,17170267
2018-09-21,TLRY,146.8065,13487266
2018-09-24,TLRY,118.7581,10379843
2018-09-25,TLRY,128.76,7475489
2018-09-26,TLRY,136.6613,5691967
2018-09-27,TLRY,156.7129,10857093
2018-09-28,TLRY,171.4174,8375461
2018-10-01,TLRY,196.9116,12017612
2018-10-02,TLRY,164.9126,7425851
2018-10-03,TLRY,187.1842,6277816
2018-10-04,TLRY,173.7448,4814943
2018-10-05,TLRY,175.3442,4727722
2018-10-08,TLRY,167.0968,2948942
2018-10-09,TLRY,153.92,3940445
2018-10-10,TLRY,163.2774,3969634
2018-10-11,TLRY,157.4887,1676620
2018-10-12,TLRY,177.0032,3568425
2018-10-15,TLRY,197.6994,5135427
2018-10-16,TLRY,189.0342,6070094
2018-10-17,TLRY,176.9435,3399075
2018-10-18,TLRY,182.0519,2658756
2018-10-19,TLRY,173.4226,2547670
2018-10-22,TLRY,146.329,4530816
2018-10-23,TLRY,144.1687,3710006
2018-10-24,TLRY,130.4429,2040139
2018-10-25,TLRY,127.4113,1612149
2018-10-26,TLRY,128.9987,2014182
2018-10-29,TLRY,108.231,2956526
2018-10-30,TLRY,107.5387,2134325
2018-10-31,TLRY,113.1365,1988376
2018-11-01,TLRY,118.1374,1253255
2018-11-02,TLRY,118.7461,1052453
2018-11-05,TLRY,120.5245,1206881
2018-11-06,TLRY,127.5426,1960547
2018-11-07,TLRY,166.6194,8246351
2018-11-08,TLRY,141.6742,4639460
2018-11-09,TLRY,130.0848,2516647
2018-11-12,TLRY,135.3961,2431445
2018-11-13,TLRY,133.1403,1979019
2018-11-14,TLRY,122.1477,2380553
2018-11-15,TLRY,128.0319,2043187
2018-11-16,TLRY,131.8632,1363060
2018-11-19,TLRY,127.4352,1447395
2018-11-20,TLRY,124.129,1432603
2018-11-21,TLRY,130.4668,1166876
2018-11-23,TLRY,138.4874,1716171
2018-11-26,TLRY,136.2316,1681489
2018-11-27,TLRY,136.0645,1587509
2018-11-28,TLRY,132.3406,1445726
2018-11-29,TLRY,127.9484,981939
2018-11-30,TLRY,122.279,1448746
2018-12-03,TLRY,122.8639,2732738
2018-12-04,TLRY,119.6652,712841
2018-12-06,TLRY,118.1613,1010833
2018-12-07,TLRY,119.6532,1337004
2018-12-10,TLRY,115.9413,814612
2018-12-11,TLRY,112.2771,1184903
2018-12-12,TLRY,100.831,1990929
2018-12-13,TLRY,90.1368,3034739
2018-12-14,TLRY,89.6713,1570635
2018-12-17,TLRY,78.6429,1907393
2018-12-18,TLRY,91.3065,4686688
