ds,symbol,close,volume
1990-01-02,TMO,9.074074,166725
1990-01-03,TMO,9.740741,504563
1990-01-04,TMO,9.814815,242663
1990-01-05,TMO,9.740741,85050
1990-01-08,TMO,9.666667,78975
1990-01-09,TMO,9.740741,184950
1990-01-10,TMO,9.518519,207900
1990-01-11,TMO,9.666667,347288
1990-01-12,TMO,9.481481,208575
1990-01-15,TMO,9.444444,117450
1990-01-16,TMO,9.37037,123863
1990-01-17,TMO,9.37037,100238
1990-01-18,TMO,9.37037,45900
1990-01-19,TMO,9.444444,71550
1990-01-22,TMO,9.37037,84713
1990-01-23,TMO,9.259259,119813
1990-01-24,TMO,9.111111,120825
1990-01-25,TMO,9.111111,62438
1990-01-26,TMO,9.074074,234563
1990-01-29,TMO,9.037037,236588
1990-01-30,TMO,8.888889,148163
1990-01-31,TMO,8.851852,216000
1990-02-01,TMO,8.814815,128925
1990-02-02,TMO,8.962963,325688
1990-02-05,TMO,9.111111,59738
1990-02-06,TMO,9.074074,76950
1990-02-07,TMO,9.296296,53663
1990-02-08,TMO,9.555556,407025
1990-02-09,TMO,9.518519,104963
1990-02-12,TMO,9.444444,119475
1990-02-13,TMO,9.259259,45563
1990-02-14,TMO,9.296296,84375
1990-02-15,TMO,9.37037,62438
1990-02-16,TMO,9.333333,73913
1990-02-20,TMO,9.259259,116100
1990-02-21,TMO,9.259259,42525
1990-02-22,TMO,9.37037,76613
1990-02-23,TMO,9.259259,97538
1990-02-26,TMO,9.296296,71888
1990-02-27,TMO,9.333333,36113
1990-02-28,TMO,9.37037,243000
1990-03-01,TMO,9.37037,118125
1990-03-02,TMO,9.333333,358425
1990-03-05,TMO,9.407407,70200
1990-03-06,TMO,9.407407,47588
1990-03-07,TMO,9.555556,145800
1990-03-08,TMO,10.037037,218700
1990-03-09,TMO,10.333333,572063
1990-03-12,TMO,10.185185,155588
1990-03-13,TMO,10.037037,57713
1990-03-14,TMO,10.0,54675
1990-03-15,TMO,10.0,39150
1990-03-16,TMO,9.814815,125888
1990-03-19,TMO,9.888889,37800
1990-03-20,TMO,9.925926,67838
1990-03-21,TMO,9.814815,61763
1990-03-22,TMO,9.62963,84038
1990-03-23,TMO,9.62963,37463
1990-03-26,TMO,9.555556,108675
1990-03-27,TMO,9.555556,43200
1990-03-28,TMO,9.444444,120150
1990-03-29,TMO,9.444444,33750
1990-03-30,TMO,9.481481,61425
1990-04-02,TMO,9.185185,103950
1990-04-03,TMO,9.37037,64463
1990-04-04,TMO,9.296296,50625
1990-04-05,TMO,9.333333,39825
1990-04-06,TMO,9.814815,145125
1990-04-09,TMO,9.777778,47588
1990-04-10,TMO,9.814815,83363
1990-04-11,TMO,9.777778,35775
1990-04-12,TMO,9.740741,55688
1990-04-16,TMO,9.814815,80325
1990-04-17,TMO,9.666667,135675
1990-04-18,TMO,9.481481,111375
1990-04-19,TMO,9.444444,38138
1990-04-20,TMO,9.407407,49275
1990-04-23,TMO,9.444444,46575
1990-04-24,TMO,9.555556,17213
1990-04-25,TMO,9.481481,43538
1990-04-26,TMO,9.666667,85050
1990-04-27,TMO,9.555556,31388
1990-04-30,TMO,9.555556,51975
1990-05-01,TMO,9.481481,42188
1990-05-02,TMO,9.666667,74250
1990-05-03,TMO,9.814815,47250
1990-05-04,TMO,9.851852,162675
1990-05-07,TMO,9.777778,62438
1990-05-08,TMO,9.481481,116100
1990-05-09,TMO,9.555556,230850
1990-05-10,TMO,9.555556,106988
1990-05-11,TMO,9.666667,259538
1990-05-14,TMO,9.481481,72225
1990-05-15,TMO,9.333333,61088
1990-05-16,TMO,9.592593,245363
