ds,symbol,close,volume
2014-06-19,TMST,36.802172497,26450.0
2014-06-20,TMST,36.0805612716,177212.0
2014-06-23,TMST,36.1390702899,365486.0
2014-06-24,TMST,36.5193789087,58508.0
2014-06-25,TMST,36.4706213935,77043.0
2014-06-26,TMST,36.8704330184,105949.0
2014-06-27,TMST,37.006954061,129320.0
2014-06-30,TMST,37.5920442438,520456.0
2014-07-01,TMST,40.41,2100905.0
2014-07-02,TMST,41.65,3084662.0
2014-07-03,TMST,43.0,2100970.0
2014-07-07,TMST,44.0,1706231.0
2014-07-08,TMST,43.39,1392140.0
2014-07-09,TMST,44.8,1281002.0
2014-07-10,TMST,44.63,854131.0
2014-07-11,TMST,42.91,672305.0
2014-07-14,TMST,42.91,533283.0
2014-07-15,TMST,43.53,509620.0
2014-07-16,TMST,43.6,451935.0
2014-07-17,TMST,42.71,557998.0
2014-07-18,TMST,44.09,640638.0
2014-07-21,TMST,42.79,677666.0
2014-07-22,TMST,43.25,499374.0
2014-07-23,TMST,42.89,294367.0
2014-07-24,TMST,41.78,661558.0
2014-07-25,TMST,41.87,660112.0
2014-07-28,TMST,42.66,378697.0
2014-07-29,TMST,43.87,350421.0
2014-07-30,TMST,42.21,637368.0
2014-07-31,TMST,43.51,636384.0
2014-08-01,TMST,46.61,456462.0
2014-08-04,TMST,46.42,408198.0
2014-08-05,TMST,45.09,484733.0
2014-08-06,TMST,46.93,351582.0
2014-08-07,TMST,46.78,197325.0
2014-08-08,TMST,48.2,332701.0
2014-08-11,TMST,47.13,618192.0
2014-08-12,TMST,47.77,367974.0
2014-08-13,TMST,48.64,540466.0
2014-08-14,TMST,47.36,454644.0
2014-08-15,TMST,47.74,319191.0
2014-08-18,TMST,48.24,450311.0
2014-08-19,TMST,48.45,290807.0
2014-08-20,TMST,47.15,414496.0
2014-08-21,TMST,46.5,562006.0
2014-08-22,TMST,47.27,531519.0
2014-08-25,TMST,46.99,237969.0
2014-08-26,TMST,47.49,314975.0
2014-08-27,TMST,47.14,357726.0
2014-08-28,TMST,47.67,214947.0
2014-08-29,TMST,47.78,224130.0
2014-09-02,TMST,48.45,420653.0
2014-09-03,TMST,48.77,377711.0
2014-09-04,TMST,48.65,287761.0
2014-09-05,TMST,48.66,229322.0
2014-09-08,TMST,47.96,253433.0
2014-09-09,TMST,48.35,243749.0
2014-09-10,TMST,49.94,434177.0
2014-09-11,TMST,49.47,502654.0
2014-09-12,TMST,49.08,273181.0
2014-09-15,TMST,48.59,500859.0
2014-09-16,TMST,48.74,515646.0
2014-09-17,TMST,49.89,620365.0
2014-09-18,TMST,48.65,459533.0
2014-09-19,TMST,49.37,1721962.0
2014-09-22,TMST,46.36,369658.0
2014-09-23,TMST,47.92,490233.0
2014-09-24,TMST,48.96,433989.0
2014-09-25,TMST,47.9,333722.0
2014-09-26,TMST,47.32,305253.0
2014-09-29,TMST,46.8,544199.0
2014-09-30,TMST,46.49,330647.0
2014-10-01,TMST,43.68,746742.0
2014-10-02,TMST,43.35,569490.0
2014-10-03,TMST,44.55,1680899.0
2014-10-06,TMST,44.5,484978.0
2014-10-07,TMST,44.03,537165.0
2014-10-08,TMST,42.95,715258.0
2014-10-09,TMST,39.99,488912.0
2014-10-10,TMST,37.53,642282.0
2014-10-13,TMST,35.47,970310.0
2014-10-14,TMST,38.7,1011018.0
2014-10-15,TMST,37.94,1030947.0
2014-10-16,TMST,36.8,629193.0
2014-10-17,TMST,37.42,475436.0
2014-10-20,TMST,36.31,541213.0
2014-10-21,TMST,39.08,857635.0
2014-10-22,TMST,39.69,401530.0
2014-10-23,TMST,40.83,332089.0
2014-10-24,TMST,40.85,160137.0
2014-10-27,TMST,38.68,405029.0
2014-10-28,TMST,39.99,292045.0
2014-10-29,TMST,40.7,418014.0
2014-10-30,TMST,41.1,373898.0
2014-10-31,TMST,40.58,374156.0
2014-11-03,TMST,38.17,355773.0
2014-11-04,TMST,36.45,631066.0
2014-11-05,TMST,37.6,536791.0
2014-11-06,TMST,37.69,455977.0
2014-11-07,TMST,39.04,449615.0
2014-11-10,TMST,38.4,306728.0
2014-11-11,TMST,37.85,211011.0
2014-11-12,TMST,38.35,197862.0
2014-11-13,TMST,37.46,335746.0
2014-11-14,TMST,38.11,296314.0
2014-11-17,TMST,37.2,435258.0
2014-11-18,TMST,37.17,252020.0
2014-11-19,TMST,35.88,294710.0
2014-11-20,TMST,35.73,372828.0
2014-11-21,TMST,36.24,381923.0
2014-11-24,TMST,36.68,582436.0
2014-11-25,TMST,37.27,264046.0
2014-11-26,TMST,36.74,203577.0
2014-11-28,TMST,35.62,228031.0
2014-12-01,TMST,32.88,401679.0
2014-12-02,TMST,32.12,335191.0
2014-12-03,TMST,32.88,431427.0
2014-12-04,TMST,32.54,192076.0
2014-12-05,TMST,32.72,237008.0
2014-12-08,TMST,32.76,312414.0
2014-12-09,TMST,32.99,381815.0
2014-12-10,TMST,32.41,419450.0
2014-12-11,TMST,32.14,393031.0
2014-12-12,TMST,31.34,346537.0
2014-12-15,TMST,31.19,536092.0
2014-12-16,TMST,31.17,582224.0
2014-12-17,TMST,32.06,994569.0
2014-12-18,TMST,33.16,781876.0
2014-12-19,TMST,34.3,803089.0
2014-12-22,TMST,34.0,842745.0
2014-12-23,TMST,34.27,568826.0
2014-12-24,TMST,34.0,121837.0
2014-12-26,TMST,34.72,272113.0
2014-12-29,TMST,35.25,262910.0
2014-12-30,TMST,36.96,658892.0
2014-12-31,TMST,37.03,299803.0
2015-01-02,TMST,37.21,560394
2015-01-05,TMST,36.26,734533
2015-01-06,TMST,34.61,1118119
2015-01-07,TMST,36.65,1303295
2015-01-08,TMST,36.55,831169
2015-01-09,TMST,35.03,767886
2015-01-12,TMST,33.01,1115183
2015-01-13,TMST,31.54,1042566
2015-01-14,TMST,30.39,706612
2015-01-15,TMST,29.64,600020
2015-01-16,TMST,30.13,564037
2015-01-20,TMST,30.5,501374
2015-01-21,TMST,30.38,341426
2015-01-22,TMST,30.85,452822
2015-01-23,TMST,29.52,488707
2015-01-26,TMST,30.39,325282
2015-01-27,TMST,29.83,619817
2015-01-28,TMST,29.16,813579
2015-01-29,TMST,27.95,817588
2015-01-30,TMST,27.0,1535390
2015-02-02,TMST,27.38,678514
2015-02-03,TMST,26.89,607517
2015-02-04,TMST,27.03,484321
2015-02-05,TMST,28.27,883912
2015-02-06,TMST,29.13,781988
2015-02-09,TMST,30.36,621327
2015-02-10,TMST,29.9,407633
2015-02-11,TMST,29.76,525991
2015-02-12,TMST,30.52,431752
2015-02-13,TMST,31.07,450779
2015-02-17,TMST,30.99,396250
2015-02-18,TMST,29.77,344239
2015-02-19,TMST,30.47,485372
2015-02-20,TMST,30.43,355201
2015-02-23,TMST,29.19,414432
2015-02-24,TMST,29.91,340151
2015-02-25,TMST,29.48,182292
2015-02-26,TMST,30.09,247376
2015-02-27,TMST,30.06,254186
2015-03-02,TMST,29.76,329273
2015-03-03,TMST,29.04,246872
2015-03-04,TMST,28.56,296669
2015-03-05,TMST,28.51,152915
2015-03-06,TMST,27.68,299130
2015-03-09,TMST,27.2,346593
2015-03-10,TMST,26.14,230644
2015-03-11,TMST,26.62,256408
2015-03-12,TMST,26.79,186515
2015-03-13,TMST,26.05,344542
2015-03-16,TMST,25.64,462454
2015-03-17,TMST,25.91,337703
2015-03-18,TMST,27.21,274506
2015-03-19,TMST,26.69,288984
2015-03-20,TMST,27.43,728258
2015-03-23,TMST,27.64,354000
2015-03-24,TMST,27.14,282186
2015-03-25,TMST,26.58,367708
2015-03-26,TMST,25.9,276845
2015-03-27,TMST,26.0,332128
2015-03-30,TMST,27.14,231901
2015-03-31,TMST,26.47,384630
2015-04-01,TMST,25.91,383994
2015-04-02,TMST,26.7,188605
2015-04-06,TMST,26.76,503168
2015-04-07,TMST,26.88,333048
2015-04-08,TMST,26.61,437806
2015-04-09,TMST,26.81,152098
2015-04-10,TMST,26.96,157897
2015-04-13,TMST,26.79,243788
2015-04-14,TMST,27.02,280218
2015-04-15,TMST,27.65,635805
2015-04-16,TMST,27.47,392943
2015-04-17,TMST,27.08,601215
2015-04-20,TMST,26.96,580926
2015-04-21,TMST,27.19,331623
2015-04-22,TMST,27.12,227058
2015-04-23,TMST,27.35,361154
2015-04-24,TMST,27.1,168721
2015-04-27,TMST,26.71,348006
2015-04-28,TMST,29.55,643157
2015-04-29,TMST,29.27,441253
2015-04-30,TMST,29.19,352711
2015-05-01,TMST,31.22,1070651
2015-05-04,TMST,32.77,570149
2015-05-05,TMST,32.31,340135
2015-05-06,TMST,31.89,258531
2015-05-07,TMST,31.89,298545
2015-05-08,TMST,31.32,186285
2015-05-11,TMST,31.7,251581
2015-05-12,TMST,31.93,301162
2015-05-13,TMST,32.31,211512
2015-05-14,TMST,32.87,168557
2015-05-15,TMST,32.4,213045
2015-05-18,TMST,31.85,206804
2015-05-19,TMST,32.09,219617
2015-05-20,TMST,31.45,163359
2015-05-21,TMST,31.7,223441
2015-05-22,TMST,31.36,222069
2015-05-26,TMST,30.33,234587
2015-05-27,TMST,30.24,202184
2015-05-28,TMST,30.09,198427
2015-05-29,TMST,29.75,267976
2015-06-01,TMST,30.19,266172
2015-06-02,TMST,31.28,242250
2015-06-03,TMST,31.67,214092
2015-06-04,TMST,31.26,156742
2015-06-05,TMST,31.16,189597
2015-06-08,TMST,30.81,265308
2015-06-09,TMST,30.43,253572
2015-06-10,TMST,31.23,317418
2015-06-11,TMST,30.68,650895
2015-06-12,TMST,29.89,269989
2015-06-15,TMST,29.01,288883
2015-06-16,TMST,28.98,322558
2015-06-17,TMST,29.37,198934
2015-06-18,TMST,29.21,304674
2015-06-19,TMST,28.65,845666
2015-06-22,TMST,29.03,523119
2015-06-23,TMST,29.31,488003
2015-06-24,TMST,29.82,504162
2015-06-25,TMST,29.56,373970
2015-06-26,TMST,28.67,3005799
2015-06-29,TMST,27.86,474335
2015-06-30,TMST,26.99,661570
2015-07-01,TMST,26.89,485373
2015-07-02,TMST,26.17,324867
2015-07-06,TMST,25.25,859938
2015-07-07,TMST,25.39,707859
2015-07-08,TMST,24.2,616435
2015-07-09,TMST,24.03,253064
2015-07-10,TMST,23.75,309852
2015-07-13,TMST,23.96,486651
2015-07-14,TMST,23.57,478754
2015-07-15,TMST,23.27,555550
2015-07-16,TMST,23.51,417603
2015-07-17,TMST,23.5,456059
2015-07-20,TMST,21.87,589971
2015-07-21,TMST,21.11,473777
2015-07-22,TMST,20.69,334917
2015-07-23,TMST,20.66,313499
2015-07-24,TMST,19.86,877383
2015-07-27,TMST,19.42,431759
2015-07-28,TMST,19.89,523993
2015-07-29,TMST,19.92,1057833
2015-07-30,TMST,19.76,710720
2015-07-31,TMST,18.63,5539281
2015-08-03,TMST,18.81,1320032
2015-08-04,TMST,18.28,618307
2015-08-05,TMST,17.56,598948
2015-08-06,TMST,19.8,1051694
2015-08-07,TMST,18.54,533936
2015-08-10,TMST,19.71,511062
2015-08-11,TMST,19.02,443429
2015-08-12,TMST,18.85,263386
2015-08-13,TMST,17.82,257559
2015-08-14,TMST,18.84,323046
2015-08-17,TMST,18.62,268366
2015-08-18,TMST,18.33,375691
2015-08-19,TMST,17.82,369227
2015-08-20,TMST,17.3,290833
2015-08-21,TMST,17.12,463245
2015-08-24,TMST,16.41,503816
2015-08-25,TMST,14.97,643737
2015-08-26,TMST,15.57,424827
2015-08-27,TMST,17.25,469612
2015-08-28,TMST,17.98,486420
2015-08-31,TMST,17.87,360606
2015-09-01,TMST,17.71,485829
2015-09-02,TMST,18.02,370136
2015-09-03,TMST,17.4,249211
2015-09-04,TMST,16.82,286396
2015-09-08,TMST,16.79,257310
2015-09-09,TMST,16.12,245162
