ds,symbol,close,volume
1990-01-02,TOL,0.75,135200
1990-01-03,TOL,0.90625,279200
1990-01-04,TOL,0.90625,136800
1990-01-05,TOL,0.875,68400
1990-01-08,TOL,0.875,32800
1990-01-09,TOL,0.9375,159200
1990-01-10,TOL,0.9375,118400
1990-01-11,TOL,0.90625,60400
1990-01-12,TOL,0.84375,201200
1990-01-15,TOL,0.84375,42000
1990-01-16,TOL,0.8125,44000
1990-01-17,TOL,0.8125,74400
1990-01-18,TOL,0.8125,17600
1990-01-19,TOL,0.84375,116400
1990-01-22,TOL,0.8125,34000
1990-01-23,TOL,0.8125,70000
1990-01-24,TOL,0.8125,17200
1990-01-25,TOL,0.8125,31600
1990-01-26,TOL,0.8125,51600
1990-01-29,TOL,0.78125,40800
1990-01-30,TOL,0.78125,9200
1990-01-31,TOL,0.8125,39600
1990-02-01,TOL,0.8125,14000
1990-02-02,TOL,0.75,43200
1990-02-05,TOL,0.78125,12000
1990-02-06,TOL,0.71875,119600
1990-02-07,TOL,0.75,120400
1990-02-08,TOL,0.75,87600
1990-02-09,TOL,0.75,52400
1990-02-12,TOL,0.75,22800
1990-02-13,TOL,0.78125,22000
1990-02-14,TOL,0.78125,62400
1990-02-15,TOL,0.8125,194800
1990-02-16,TOL,0.84375,17600
1990-02-20,TOL,0.8125,28800
1990-02-21,TOL,0.875,303200
1990-02-22,TOL,0.84375,15600
1990-02-23,TOL,0.84375,14800
1990-02-26,TOL,0.84375,1200
1990-02-27,TOL,0.875,96800
1990-02-28,TOL,0.875,182000
1990-03-01,TOL,0.84375,62800
1990-03-02,TOL,0.875,4000
1990-03-05,TOL,0.90625,57200
1990-03-06,TOL,0.9375,133600
1990-03-07,TOL,0.96875,100400
1990-03-08,TOL,0.96875,108000
1990-03-09,TOL,0.9375,27600
1990-03-12,TOL,0.96875,34800
1990-03-13,TOL,0.96875,41600
1990-03-14,TOL,0.96875,37200
1990-03-15,TOL,0.9375,97600
1990-03-16,TOL,0.96875,22400
1990-03-19,TOL,0.9375,39600
1990-03-20,TOL,0.90625,102400
1990-03-21,TOL,0.84375,113200
1990-03-22,TOL,0.84375,20400
1990-03-23,TOL,0.875,21600
1990-03-26,TOL,0.84375,23200
1990-03-27,TOL,0.84375,28000
1990-03-28,TOL,0.84375,2800
1990-03-29,TOL,0.875,96400
1990-03-30,TOL,0.875,30800
1990-04-02,TOL,0.90625,80000
1990-04-03,TOL,0.90625,8000
1990-04-04,TOL,0.875,31200
1990-04-05,TOL,0.875,33200
1990-04-06,TOL,0.90625,20000
1990-04-09,TOL,0.84375,136800
1990-04-10,TOL,0.84375,248000
1990-04-11,TOL,0.875,28000
1990-04-12,TOL,0.84375,22000
1990-04-16,TOL,0.875,72800
1990-04-17,TOL,0.875,15600
1990-04-18,TOL,0.875,10000
1990-04-19,TOL,0.875,17200
1990-04-20,TOL,0.84375,15600
1990-04-23,TOL,0.8125,36400
1990-04-24,TOL,0.8125,5600
1990-04-25,TOL,0.84375,26000
1990-04-26,TOL,0.8125,18800
1990-04-27,TOL,0.8125,7600
1990-04-30,TOL,0.8125,16400
1990-05-01,TOL,0.8125,18000
1990-05-02,TOL,0.8125,41600
1990-05-03,TOL,0.8125,12400
1990-05-04,TOL,0.84375,27600
1990-05-07,TOL,0.8125,17200
1990-05-08,TOL,0.8125,18400
1990-05-09,TOL,0.84375,32400
1990-05-10,TOL,0.84375,16800
1990-05-11,TOL,0.90625,102800
1990-05-14,TOL,0.84375,101200
1990-05-15,TOL,0.875,24400
1990-05-16,TOL,0.84375,23200
1990-05-17,TOL,0.8125,72000
1990-05-18,TOL,0.84375,34400
1990-05-21,TOL,0.8125,24000
1990-05-22,TOL,0.84375,59200
1990-05-23,TOL,0.84375,16400
1990-05-24,TOL,0.84375,50800
1990-05-25,TOL,0.84375,190800
1990-05-29,TOL,0.84375,54800
1990-05-30,TOL,0.84375,24400
1990-05-31,TOL,0.84375,19600
1990-06-01,TOL,0.875,121600
1990-06-04,TOL,0.84375,83600
1990-06-05,TOL,0.84375,6000
1990-06-06,TOL,0.875,14000
1990-06-07,TOL,0.96875,233200
1990-06-08,TOL,0.9375,76800
1990-06-11,TOL,0.96875,35600
1990-06-12,TOL,0.9375,8400
1990-06-13,TOL,0.9375,75600
1990-06-14,TOL,0.90625,38400
1990-06-15,TOL,0.90625,9200
1990-06-18,TOL,0.90625,18400
1990-06-19,TOL,0.875,58800
1990-06-20,TOL,0.90625,14400
1990-06-21,TOL,0.875,23600
1990-06-22,TOL,0.90625,29200
1990-06-25,TOL,0.875,61200
1990-06-26,TOL,0.84375,10400
1990-06-27,TOL,0.8125,28800
1990-06-28,TOL,0.8125,11200
1990-06-29,TOL,0.84375,104800
1990-07-02,TOL,0.84375,4400
1990-07-03,TOL,0.78125,748400
1990-07-05,TOL,0.75,52400
1990-07-06,TOL,0.71875,1535200
1990-07-09,TOL,0.75,226000
1990-07-10,TOL,0.75,120000
1990-07-11,TOL,0.75,31200
1990-07-12,TOL,0.71875,51200
1990-07-13,TOL,0.71875,203200
1990-07-16,TOL,0.75,103200
1990-07-17,TOL,0.78125,63600
1990-07-18,TOL,0.78125,29200
1990-07-19,TOL,0.75,81200
1990-07-20,TOL,0.6875,172000
1990-07-23,TOL,0.75,76000
1990-07-24,TOL,0.75,31200
1990-07-25,TOL,0.75,12800
1990-07-26,TOL,0.75,34400
1990-07-27,TOL,0.75,24800
1990-07-30,TOL,0.8125,204800
1990-07-31,TOL,0.78125,16000
1990-08-01,TOL,0.8125,38800
1990-08-02,TOL,0.78125,39200
1990-08-03,TOL,0.75,42000
1990-08-06,TOL,0.75,17600
1990-08-07,TOL,0.6875,32400
1990-08-08,TOL,0.75,46000
1990-08-09,TOL,0.75,30000
1990-08-10,TOL,0.71875,3200
1990-08-13,TOL,0.75,8800
1990-08-14,TOL,0.71875,15200
1990-08-15,TOL,0.6875,78000
1990-08-16,TOL,0.65625,44000
1990-08-17,TOL,0.625,173600
1990-08-20,TOL,0.65625,44800
1990-08-21,TOL,0.65625,76000
1990-08-22,TOL,0.5625,114400
1990-08-23,TOL,0.625,50000
1990-08-24,TOL,0.625,64400
1990-08-27,TOL,0.625,72800
1990-08-28,TOL,0.625,36000
1990-08-29,TOL,0.59375,21600
1990-08-30,TOL,0.59375,84800
1990-08-31,TOL,0.65625,26000
1990-09-04,TOL,0.625,18000
1990-09-05,TOL,0.625,6400
1990-09-06,TOL,0.625,18000
1990-09-07,TOL,0.625,24000
1990-09-10,TOL,0.59375,16000
1990-09-11,TOL,0.625,12000
1990-09-12,TOL,0.59375,88000
1990-09-13,TOL,0.59375,24800
1990-09-14,TOL,0.59375,37200
1990-09-17,TOL,0.625,96800
1990-09-18,TOL,0.625,34400
1990-09-19,TOL,0.59375,30400
1990-09-20,TOL,0.59375,56000
1990-09-21,TOL,0.59375,61600
1990-09-24,TOL,0.59375,20800
1990-09-25,TOL,0.59375,5200
1990-09-26,TOL,0.59375,12400
1990-09-27,TOL,0.5625,89200
1990-09-28,TOL,0.5625,83600
1990-10-01,TOL,0.65625,56800
1990-10-02,TOL,0.59375,23600
1990-10-03,TOL,0.65625,92400
1990-10-04,TOL,0.6875,94000
1990-10-05,TOL,0.71875,40400
1990-10-08,TOL,0.75,66400
1990-10-09,TOL,0.75,20000
1990-10-10,TOL,0.6875,26000
1990-10-11,TOL,0.6875,32000
1990-10-12,TOL,0.6875,18400
1990-10-15,TOL,0.6875,34800
1990-10-16,TOL,0.6875,26800
1990-10-17,TOL,0.6875,17600
1990-10-18,TOL,0.71875,8000
1990-10-19,TOL,0.6875,19200
1990-10-22,TOL,0.71875,104000
1990-10-23,TOL,0.65625,27200
1990-10-24,TOL,0.625,7200
1990-10-25,TOL,0.65625,64800
1990-10-26,TOL,0.65625,6400
1990-10-29,TOL,0.625,32800
1990-10-30,TOL,0.625,13200
1990-10-31,TOL,0.625,119600
1990-11-01,TOL,0.65625,26000
1990-11-02,TOL,0.625,24400
1990-11-05,TOL,0.59375,4400
1990-11-06,TOL,0.625,8400
1990-11-07,TOL,0.59375,11600
1990-11-08,TOL,0.59375,10400
1990-11-09,TOL,0.625,9600
1990-11-12,TOL,0.59375,70000
1990-11-13,TOL,0.59375,56800
1990-11-14,TOL,0.5625,29600
1990-11-15,TOL,0.59375,5600
1990-11-16,TOL,0.5625,11600
1990-11-19,TOL,0.59375,22400
1990-11-20,TOL,0.59375,15600
1990-11-21,TOL,0.5625,77200
1990-11-23,TOL,0.59375,1200
1990-11-26,TOL,0.5625,8000
1990-11-27,TOL,0.59375,18800
1990-11-28,TOL,0.5625,64000
1990-11-29,TOL,0.5625,43600
1990-11-30,TOL,0.5625,58400
1990-12-03,TOL,0.5625,24400
1990-12-04,TOL,0.59375,33200
1990-12-05,TOL,0.59375,64400
1990-12-06,TOL,0.65625,293200
1990-12-07,TOL,0.625,46800
1990-12-10,TOL,0.625,58800
1990-12-11,TOL,0.625,41600
1990-12-12,TOL,0.625,33600
1990-12-13,TOL,0.625,9200
1990-12-14,TOL,0.65625,26800
1990-12-17,TOL,0.625,48000
1990-12-18,TOL,0.59375,30000
1990-12-19,TOL,0.625,77600
1990-12-20,TOL,0.625,71600
1990-12-21,TOL,0.625,55200
1990-12-24,TOL,0.625,28400
1990-12-26,TOL,0.65625,50800
1990-12-27,TOL,0.625,50400
1990-12-28,TOL,0.625,58000
1990-12-31,TOL,0.65625,114800
1991-01-02,TOL,0.6875,66800
1991-01-03,TOL,0.6875,47600
1991-01-04,TOL,0.6875,14800
1991-01-07,TOL,0.65625,52400
1991-01-08,TOL,0.6875,85200
1991-01-09,TOL,0.6875,181600
1991-01-10,TOL,0.625,58400
1991-01-11,TOL,0.59375,32000
1991-01-14,TOL,0.625,16400
1991-01-15,TOL,0.59375,16000
1991-01-16,TOL,0.625,15200
1991-01-17,TOL,0.6875,36400
1991-01-18,TOL,0.6875,10000
1991-01-21,TOL,0.6875,73600
1991-01-22,TOL,0.6875,78400
1991-01-23,TOL,0.71875,70000
1991-01-24,TOL,0.78125,180400
1991-01-25,TOL,0.8125,157200
1991-01-28,TOL,0.875,69600
1991-01-29,TOL,0.90625,48400
1991-01-30,TOL,0.875,148000
1991-01-31,TOL,0.84375,331600
1991-02-01,TOL,0.78125,80800
1991-02-04,TOL,0.90625,141600
1991-02-05,TOL,0.90625,179200
1991-02-06,TOL,0.90625,91200
1991-02-07,TOL,0.875,110000
1991-02-08,TOL,0.875,74800
1991-02-11,TOL,1.0625,493600
1991-02-12,TOL,1.21875,969600
1991-02-13,TOL,1.1875,734800
1991-02-14,TOL,1.21875,408400
1991-02-15,TOL,1.1875,308800
1991-02-19,TOL,1.1875,205200
1991-02-20,TOL,1.1875,166000
1991-02-21,TOL,1.15625,131200
1991-02-22,TOL,1.21875,418000
1991-02-25,TOL,1.34375,682800
1991-02-26,TOL,1.34375,820400
1991-02-27,TOL,1.375,253600
1991-02-28,TOL,1.5,1008400
1991-03-01,TOL,1.4375,675200
1991-03-04,TOL,1.4375,915600
1991-03-05,TOL,1.75,1596800
1991-03-06,TOL,1.625,2239200
1991-03-07,TOL,1.65625,548400
1991-03-08,TOL,1.8125,796000
1991-03-11,TOL,1.75,320800
1991-03-12,TOL,1.75,498400
1991-03-13,TOL,1.8125,262400
1991-03-14,TOL,1.6875,350800
1991-03-15,TOL,1.59375,1057600
1991-03-18,TOL,1.59375,340800
1991-03-19,TOL,1.625,220000
1991-03-20,TOL,1.625,86000
1991-03-21,TOL,1.625,158800
1991-03-22,TOL,1.625,50000
1991-03-25,TOL,1.53125,52000
1991-03-26,TOL,1.59375,156800
1991-03-27,TOL,1.65625,282400
1991-03-28,TOL,1.65625,308400
1991-04-01,TOL,1.625,157600
1991-04-02,TOL,1.5625,103600
1991-04-03,TOL,1.46875,214000
1991-04-04,TOL,1.5,260800
1991-04-05,TOL,1.53125,95600
1991-04-08,TOL,1.5625,158000
1991-04-09,TOL,1.5625,70000
1991-04-10,TOL,1.5625,44400
1991-04-11,TOL,1.53125,44400
1991-04-12,TOL,1.53125,59600
1991-04-15,TOL,1.53125,134400
1991-04-16,TOL,1.53125,140400
1991-04-17,TOL,1.75,974800
1991-04-18,TOL,1.65625,521200
1991-04-19,TOL,1.6875,76800
1991-04-22,TOL,1.65625,42000
1991-04-23,TOL,1.625,40400
1991-04-24,TOL,1.6875,240800
1991-04-25,TOL,1.65625,194800
1991-04-26,TOL,1.65625,547600
1991-04-29,TOL,1.6875,354800
1991-04-30,TOL,1.6875,2109600
1991-05-01,TOL,1.75,796400
1991-05-02,TOL,1.9375,2380000
1991-05-03,TOL,1.875,700400
1991-05-06,TOL,1.96875,583600
1991-05-07,TOL,2.0,795200
1991-05-08,TOL,1.96875,341600
1991-05-09,TOL,2.0,717600
1991-05-10,TOL,2.0,490400
1991-05-13,TOL,1.96875,417600
1991-05-14,TOL,1.90625,387600
1991-05-15,TOL,1.90625,575600
1991-05-16,TOL,1.875,154400
1991-05-17,TOL,1.875,292000
1991-05-20,TOL,1.8125,122800
1991-05-21,TOL,1.8125,139600
1991-05-22,TOL,1.875,267600
1991-05-23,TOL,1.875,59200
1991-05-24,TOL,1.90625,15600
1991-05-28,TOL,1.90625,20800
1991-05-29,TOL,1.9375,281600
1991-05-30,TOL,2.0,490800
1991-05-31,TOL,2.0625,338000
1991-06-03,TOL,1.96875,282400
1991-06-04,TOL,2.03125,505600
1991-06-05,TOL,2.125,436800
1991-06-06,TOL,2.0625,185200
1991-06-07,TOL,2.0,170800
1991-06-10,TOL,2.0,34000
1991-06-11,TOL,2.0,142800
1991-06-12,TOL,2.0,298400
1991-06-13,TOL,1.9375,221600
1991-06-14,TOL,2.0,75200
1991-06-17,TOL,2.03125,94000
1991-06-18,TOL,2.0,236000
1991-06-19,TOL,2.0,281600
1991-06-20,TOL,1.96875,86400
1991-06-21,TOL,1.90625,114400
1991-06-24,TOL,1.8125,143200
1991-06-25,TOL,1.6875,775600
1991-06-26,TOL,1.65625,268800
1991-06-27,TOL,1.75,165200
1991-06-28,TOL,2.0,533200
1991-07-01,TOL,1.96875,207600
1991-07-02,TOL,1.875,79200
1991-07-03,TOL,1.78125,112400
1991-07-05,TOL,1.78125,67200
1991-07-08,TOL,1.875,161200
1991-07-09,TOL,1.78125,103600
1991-07-10,TOL,1.71875,261600
1991-07-11,TOL,1.6875,1116400
1991-07-12,TOL,1.6875,114800
1991-07-15,TOL,1.71875,136400
1991-07-16,TOL,1.78125,111600
1991-07-17,TOL,1.71875,269200
1991-07-18,TOL,1.875,271200
1991-07-19,TOL,1.84375,191200
1991-07-22,TOL,1.875,556400
1991-07-23,TOL,1.875,274400
1991-07-24,TOL,1.78125,59600
1991-07-25,TOL,1.8125,147600
1991-07-26,TOL,1.875,115200
1991-07-29,TOL,1.8125,40400
1991-07-30,TOL,1.8125,64800
1991-07-31,TOL,1.875,123200
1991-08-01,TOL,1.8125,56400
1991-08-02,TOL,1.875,280000
1991-08-05,TOL,1.9375,272800
1991-08-06,TOL,2.0,60400
1991-08-07,TOL,1.9375,37200
1991-08-08,TOL,1.9375,42800
1991-08-09,TOL,1.9375,23600
1991-08-12,TOL,1.9375,43200
1991-08-13,TOL,1.875,24800
1991-08-14,TOL,1.84375,25200
1991-08-15,TOL,1.8125,60800
1991-08-16,TOL,1.78125,39600
1991-08-19,TOL,1.75,300400
1991-08-20,TOL,1.75,48400
1991-08-21,TOL,1.9375,706400
1991-08-22,TOL,1.90625,40400
1991-08-23,TOL,1.9375,99200
1991-08-26,TOL,1.9375,46000
1991-08-27,TOL,1.90625,56800
1991-08-28,TOL,1.875,88800
1991-08-29,TOL,1.9375,106800
1991-08-30,TOL,1.96875,46800
1991-09-03,TOL,1.875,159600
1991-09-04,TOL,1.875,180400
1991-09-05,TOL,1.9375,186800
1991-09-06,TOL,1.9375,446400
1991-09-09,TOL,2.0,392400
1991-09-10,TOL,2.0,362400
1991-09-11,TOL,1.9375,54000
1991-09-12,TOL,1.9375,62400
1991-09-13,TOL,2.03125,258400
1991-09-16,TOL,2.0,591200
1991-09-17,TOL,1.96875,74000
1991-09-18,TOL,2.0,32400
1991-09-19,TOL,2.0,108000
1991-09-20,TOL,2.03125,184400
1991-09-23,TOL,2.03125,64800
1991-09-24,TOL,2.0,169200
1991-09-25,TOL,2.0,124000
1991-09-26,TOL,2.03125,174400
1991-09-27,TOL,1.96875,63600
1991-09-30,TOL,2.03125,110400
1991-10-01,TOL,2.0,97200
1991-10-02,TOL,2.0,54000
1991-10-03,TOL,2.0,248000
1991-10-04,TOL,2.0,58800
1991-10-07,TOL,2.0,32000
1991-10-08,TOL,1.9375,74800
1991-10-09,TOL,1.875,146800
1991-10-10,TOL,1.8125,65200
1991-10-11,TOL,1.84375,118000
1991-10-14,TOL,1.84375,72800
1991-10-15,TOL,1.8125,72400
1991-10-16,TOL,1.84375,72400
1991-10-17,TOL,1.875,32800
1991-10-18,TOL,1.875,17200
1991-10-21,TOL,1.8125,37200
1991-10-22,TOL,1.8125,86800
1991-10-23,TOL,1.75,221200
1991-10-24,TOL,1.8125,252800
