ds,symbol,close,volume
2013-01-31,TPH,19.05,12753148.0
2013-02-01,TPH,19.0,1468604.0
2013-02-04,TPH,18.4,529053.0
2013-02-05,TPH,18.18,689292.0
2013-02-06,TPH,18.16,427654.0
2013-02-07,TPH,18.45,786780.0
2013-02-08,TPH,18.64,375903.0
2013-02-11,TPH,19.02,388350.0
2013-02-12,TPH,18.86,310492.0
2013-02-13,TPH,19.03,290224.0
2013-02-14,TPH,18.97,62830.0
2013-02-15,TPH,18.76,418851.0
2013-02-19,TPH,18.59,751269.0
2013-02-20,TPH,17.97,342295.0
2013-02-21,TPH,18.03,317893.0
2013-02-22,TPH,18.06,145656.0
2013-02-25,TPH,18.19,461135.0
2013-02-26,TPH,18.27,405897.0
2013-02-27,TPH,18.49,338855.0
2013-02-28,TPH,18.4,219867.0
2013-03-01,TPH,18.3,299958.0
2013-03-04,TPH,18.12,105863.0
2013-03-05,TPH,18.26,251143.0
2013-03-06,TPH,18.55,313872.0
2013-03-07,TPH,18.35,317971.0
2013-03-08,TPH,19.03,324938.0
2013-03-11,TPH,19.28,184939.0
2013-03-12,TPH,19.15,110120.0
2013-03-13,TPH,18.97,209429.0
2013-03-14,TPH,19.06,98475.0
2013-03-15,TPH,18.99,284496.0
2013-03-18,TPH,19.64,453906.0
2013-03-19,TPH,19.73,389337.0
2013-03-20,TPH,20.51,569285.0
2013-03-21,TPH,19.95,438320.0
2013-03-22,TPH,19.51,206660.0
2013-03-25,TPH,19.93,144033.0
2013-03-26,TPH,20.5,749018.0
2013-03-27,TPH,20.48,149402.0
2013-03-28,TPH,20.15,1687203.0
2013-04-01,TPH,20.02,663358.0
2013-04-02,TPH,19.74,217176.0
2013-04-03,TPH,19.16,300347.0
2013-04-04,TPH,19.03,292052.0
2013-04-05,TPH,19.39,236261.0
2013-04-08,TPH,19.59,403685.0
2013-04-09,TPH,19.65,71986.0
2013-04-10,TPH,19.28,230510.0
2013-04-11,TPH,19.26,165135.0
2013-04-12,TPH,19.25,280269.0
2013-04-15,TPH,18.5,209446.0
2013-04-16,TPH,18.73,187906.0
2013-04-17,TPH,18.7,167964.0
2013-04-18,TPH,18.75,175223.0
2013-04-19,TPH,18.76,193232.0
2013-04-22,TPH,18.85,111195.0
2013-04-23,TPH,19.4,129252.0
2013-04-24,TPH,19.45,55402.0
2013-04-25,TPH,19.62,90917.0
2013-04-26,TPH,19.63,78333.0
2013-04-29,TPH,19.32,244047.0
2013-04-30,TPH,19.0,278640.0
2013-05-01,TPH,18.5,329282.0
2013-05-02,TPH,18.86,166631.0
2013-05-03,TPH,18.86,175870.0
2013-05-06,TPH,18.99,111346.0
2013-05-07,TPH,19.1,102572.0
2013-05-08,TPH,19.08,124158.0
2013-05-09,TPH,18.7,62106.0
2013-05-10,TPH,18.88,84238.0
2013-05-13,TPH,18.73,56512.0
2013-05-14,TPH,19.2,203981.0
2013-05-15,TPH,19.0,586970.0
2013-05-16,TPH,18.26,347257.0
2013-05-17,TPH,18.25,123641.0
