ds,symbol,close,volume
2014-07-18,TRUP,11.4,4233670.0
2014-07-21,TRUP,11.6,636899.0
2014-07-22,TRUP,11.2,510294.0
2014-07-23,TRUP,11.16,190478.0
2014-07-24,TRUP,10.67,232260.0
2014-07-25,TRUP,10.52,157957.0
2014-07-28,TRUP,10.17,154954.0
2014-07-29,TRUP,10.3,145139.0
2014-07-30,TRUP,10.21,45755.0
2014-07-31,TRUP,10.0,48704.0
2014-08-01,TRUP,9.9,67299.0
2014-08-04,TRUP,10.03,102605.0
2014-08-05,TRUP,9.71,38381.0
2014-08-06,TRUP,9.69,103889.0
2014-08-07,TRUP,10.05,129556.0
2014-08-08,TRUP,10.21,87499.0
2014-08-11,TRUP,10.14,86079.0
2014-08-12,TRUP,9.8,310823.0
2014-08-13,TRUP,9.54,337392.0
2014-08-14,TRUP,9.53,107510.0
2014-08-15,TRUP,9.05,102544.0
2014-08-18,TRUP,8.66,285034.0
2014-08-19,TRUP,8.58,145679.0
2014-08-20,TRUP,8.79,138757.0
2014-08-21,TRUP,9.12,96624.0
2014-08-22,TRUP,9.1,65604.0
2014-08-25,TRUP,9.17,109371.0
2014-08-26,TRUP,9.02,99709.0
2014-08-27,TRUP,9.07,140527.0
2014-08-28,TRUP,8.88,259334.0
2014-08-29,TRUP,8.95,118742.0
2014-09-02,TRUP,8.7,118485.0
2014-09-03,TRUP,8.56,132951.0
2014-09-04,TRUP,8.5,312247.0
2014-09-05,TRUP,8.63,153689.0
2014-09-08,TRUP,8.57,187790.0
2014-09-09,TRUP,8.5,129970.0
2014-09-10,TRUP,8.71,127845.0
2014-09-11,TRUP,8.74,158516.0
2014-09-12,TRUP,8.53,53902.0
2014-09-15,TRUP,8.58,68464.0
2014-09-16,TRUP,8.46,109330.0
2014-09-17,TRUP,8.45,62751.0
2014-09-18,TRUP,8.06,264821.0
2014-09-19,TRUP,7.85,406699.0
2014-09-22,TRUP,7.8,192623.0
2014-09-23,TRUP,8.17,155603.0
2014-09-24,TRUP,8.54,133071.0
2014-09-25,TRUP,8.29,149644.0
2014-09-26,TRUP,8.74,125894.0
2014-09-29,TRUP,8.58,180372.0
2014-09-30,TRUP,8.5,745326.0
2014-10-01,TRUP,8.1,242125.0
2014-10-02,TRUP,8.08,119704.0
2014-10-03,TRUP,8.05,36826.0
2014-10-06,TRUP,7.65,126064.0
2014-10-07,TRUP,7.51,66175.0
2014-10-08,TRUP,7.43,114630.0
2014-10-09,TRUP,7.37,50268.0
2014-10-10,TRUP,6.79,430783.0
2014-10-13,TRUP,6.85,66480.0
2014-10-14,TRUP,6.9,74013.0
2014-10-15,TRUP,6.82,100483.0
2014-10-16,TRUP,6.97,235869.0
2014-10-17,TRUP,6.99,107641.0
2014-10-20,TRUP,7.02,83865.0
2014-10-21,TRUP,7.1,385582.0
2014-10-22,TRUP,7.19,65137.0
2014-10-23,TRUP,6.9,82107.0
2014-10-24,TRUP,7.05,41366.0
2014-10-27,TRUP,7.09,57769.0
2014-10-28,TRUP,7.18,37357.0
2014-10-29,TRUP,7.1,45900.0
2014-10-30,TRUP,7.01,75720.0
2014-10-31,TRUP,6.66,289158.0
2014-11-03,TRUP,6.66,103974.0
2014-11-04,TRUP,6.58,87490.0
2014-11-05,TRUP,6.51,88135.0
2014-11-06,TRUP,6.75,35907.0
2014-11-07,TRUP,6.54,69556.0
2014-11-10,TRUP,6.35,58789.0
