ds,symbol,close,volume
2010-06-29,TSLA,1.5927,281749140.0
2010-06-30,TSLA,1.5887,257915910.0
2010-07-01,TSLA,1.464,123447945.0
2010-07-02,TSLA,1.28,77127105.0
2010-07-06,TSLA,1.074,103189440.0
2010-07-07,TSLA,1.0533,103873710.0
2010-07-08,TSLA,1.164,115793085.0
2010-07-09,TSLA,1.16,60879090.0
2010-07-12,TSLA,1.1367,33053550.0
2010-07-13,TSLA,1.2093,40200900.0
2010-07-14,TSLA,1.3227,62941650.0
2010-07-15,TSLA,1.326,56179455.0
2010-07-16,TSLA,1.376,39318150.0
2010-07-19,TSLA,1.4607,37297335.0
2010-07-20,TSLA,1.3533,27378465.0
2010-07-21,TSLA,1.348,18801630.0
2010-07-22,TSLA,1.4,14435175.0
2010-07-23,TSLA,1.4193,9810735.0
2010-07-26,TSLA,1.3967,13836795.0
2010-07-27,TSLA,1.37,9295125.0
2010-07-28,TSLA,1.3813,7007745.0
2010-07-29,TSLA,1.3567,9238650.0
2010-07-30,TSLA,1.3293,6402450.0
2010-08-02,TSLA,1.3947,10787175.0
2010-08-03,TSLA,1.4633,18465345.0
2010-08-04,TSLA,1.4173,13811340.0
2010-08-05,TSLA,1.3633,11945700.0
2010-08-06,TSLA,1.306,11132070.0
2010-08-09,TSLA,1.3067,12189840.0
2010-08-10,TSLA,1.2687,19219290.0
2010-08-11,TSLA,1.1933,11964750.0
2010-08-12,TSLA,1.1733,10369215.0
2010-08-13,TSLA,1.2213,9517695.0
2010-08-16,TSLA,1.252,7293165.0
2010-08-17,TSLA,1.2767,6718215.0
2010-08-18,TSLA,1.2513,9019980.0
2010-08-19,TSLA,1.2527,8686230.0
2010-08-20,TSLA,1.2733,4462485.0
2010-08-23,TSLA,1.342,16320435.0
2010-08-24,TSLA,1.28,10096110.0
2010-08-25,TSLA,1.3267,7549335.0
2010-08-26,TSLA,1.3167,6506040.0
2010-08-27,TSLA,1.3133,5694630.0
2010-08-30,TSLA,1.3247,10990965.0
2010-08-31,TSLA,1.2987,3015180.0
2010-09-01,TSLA,1.3633,7435275.0
2010-09-02,TSLA,1.404,7305900.0
2010-09-03,TSLA,1.4033,6521340.0
2010-09-07,TSLA,1.3693,3650025.0
2010-09-08,TSLA,1.3933,4325730.0
2010-09-09,TSLA,1.3807,5642955.0
2010-09-10,TSLA,1.3447,5798565.0
2010-09-13,TSLA,1.3813,5410545.0
2010-09-14,TSLA,1.408,9819435.0
2010-09-15,TSLA,1.4653,10271370.0
2010-09-16,TSLA,1.396,40288200.0
2010-09-17,TSLA,1.3487,17976870.0
2010-09-20,TSLA,1.4037,14212125.0
2010-09-21,TSLA,1.3847,11940000.0
2010-09-22,TSLA,1.3247,14442240.0
2010-09-23,TSLA,1.304,10021140.0
2010-09-24,TSLA,1.34,8684805.0
2010-09-27,TSLA,1.3687,6278955.0
2010-09-28,TSLA,1.4267,18216975.0
2010-09-29,TSLA,1.4653,29541855.0
2010-09-30,TSLA,1.3603,32949375.0
2010-10-01,TSLA,1.3733,8986065.0
2010-10-04,TSLA,1.3993,9653985.0
2010-10-05,TSLA,1.408,4979040.0
2010-10-06,TSLA,1.364,4703280.0
2010-10-07,TSLA,1.362,2115300.0
2010-10-08,TSLA,1.362,4021650.0
2010-10-11,TSLA,1.3493,2567910.0
2010-10-12,TSLA,1.3493,3658680.0
2010-10-13,TSLA,1.3693,4808115.0
2010-10-14,TSLA,1.3833,4419300.0
2010-10-15,TSLA,1.3693,4272600.0
2010-10-18,TSLA,1.3487,2440935.0
2010-10-19,TSLA,1.3367,3676905.0
2010-10-20,TSLA,1.3767,4686660.0
2010-10-21,TSLA,1.3833,6269985.0
2010-10-22,TSLA,1.3813,2415315.0
2010-10-25,TSLA,1.39,1779210.0
2010-10-26,TSLA,1.424,9732090.0
2010-10-27,TSLA,1.4,5347500.0
2010-10-28,TSLA,1.4127,3362850.0
2010-10-29,TSLA,1.456,4210230.0
2010-11-01,TSLA,1.4273,6836760.0
2010-11-02,TSLA,1.4167,4836975.0
2010-11-03,TSLA,1.4513,5612985.0
2010-11-04,TSLA,1.66,28122015.0
2010-11-05,TSLA,1.6293,15164190.0
2010-11-08,TSLA,1.6653,7642125.0
2010-11-09,TSLA,1.642,14366235.0
2010-11-10,TSLA,1.9573,45915570.0
2010-11-11,TSLA,1.869,29176410.0
2010-11-12,TSLA,1.9893,40937535.0
2010-11-15,TSLA,2.0533,39376995.0
2010-11-16,TSLA,1.978,20215965.0
2010-11-17,TSLA,1.966,11255115.0
2010-11-18,TSLA,1.9927,14343720.0
2010-11-19,TSLA,2.066,17257410.0
2010-11-22,TSLA,2.2267,22949580.0
2010-11-23,TSLA,2.3047,23671050.0
2010-11-24,TSLA,2.3647,21374385.0
2010-11-26,TSLA,2.3547,5258310.0
2010-11-29,TSLA,2.2887,17183145.0
2010-11-30,TSLA,2.3553,33344370.0
2010-12-01,TSLA,2.29,19487625.0
2010-12-02,TSLA,2.1567,30104505.0
2010-12-03,TSLA,2.0993,17406900.0
2010-12-06,TSLA,2.0207,19115625.0
2010-12-07,TSLA,2.104,19673220.0
2010-12-08,TSLA,2.158,9914700.0
2010-12-09,TSLA,2.1367,6089745.0
2010-12-10,TSLA,2.1013,6440715.0
2010-12-13,TSLA,2.0367,6154965.0
2010-12-14,TSLA,1.902,26503650.0
2010-12-15,TSLA,1.9733,11143500.0
2010-12-16,TSLA,2.054,11851050.0
2010-12-17,TSLA,2.0907,12207255.0
2010-12-20,TSLA,2.1133,7849800.0
2010-12-21,TSLA,2.1507,11665170.0
2010-12-22,TSLA,2.1753,12498840.0
2010-12-23,TSLA,2.006,23356875.0
2010-12-27,TSLA,1.7033,138891300.0
2010-12-28,TSLA,1.7607,60848835.0
2010-12-29,TSLA,1.8487,49791450.0
2010-12-30,TSLA,1.7667,30616005.0
2010-12-31,TSLA,1.7753,21267705.0
2011-01-03,TSLA,1.7747,19261260.0
2011-01-04,TSLA,1.778,17836065.0
2011-01-05,TSLA,1.7887,21703035.0
2011-01-06,TSLA,1.8587,30918255.0
2011-01-07,TSLA,1.8827,33743100.0
2011-01-10,TSLA,1.8967,20142180.0
2011-01-11,TSLA,1.7973,25670325.0
2011-01-12,TSLA,1.7973,14470830.0
2011-01-13,TSLA,1.748,10852830.0
2011-01-14,TSLA,1.7167,17881815.0
2011-01-18,TSLA,1.7093,24357585.0
2011-01-19,TSLA,1.602,35572710.0
2011-01-20,TSLA,1.508,34199370.0
