ds,symbol,close,volume
2014-07-24,TSQ,10.25,5550342.0
2014-07-25,TSQ,10.5,708623.0
2014-07-28,TSQ,10.7,1020877.0
2014-07-29,TSQ,10.7,100203.0
2014-07-30,TSQ,10.85,431078.0
2014-07-31,TSQ,10.95,649854.0
2014-08-01,TSQ,10.93,145071.0
2014-08-04,TSQ,10.93,193923.0
2014-08-05,TSQ,10.97,296354.0
2014-08-06,TSQ,10.98,353377.0
2014-08-07,TSQ,10.91,424842.0
2014-08-08,TSQ,10.9,95564.0
2014-08-11,TSQ,10.9,156922.0
2014-08-12,TSQ,10.9,36067.0
2014-08-13,TSQ,10.87,70616.0
2014-08-14,TSQ,10.92,69493.0
2014-08-15,TSQ,11.19,54246.0
2014-08-18,TSQ,11.26,82964.0
2014-08-19,TSQ,11.31,62160.0
2014-08-20,TSQ,11.4,22246.0
2014-08-21,TSQ,11.4,69478.0
2014-08-22,TSQ,11.33,23730.0
2014-08-25,TSQ,11.35,35967.0
2014-08-26,TSQ,11.39,52103.0
2014-08-27,TSQ,11.29,19566.0
2014-08-28,TSQ,11.25,47539.0
2014-08-29,TSQ,11.35,13309.0
2014-09-02,TSQ,11.36,67144.0
2014-09-03,TSQ,11.39,67671.0
2014-09-04,TSQ,11.16,49254.0
2014-09-05,TSQ,10.99,104332.0
2014-09-08,TSQ,11.12,57952.0
2014-09-09,TSQ,11.48,58774.0
2014-09-10,TSQ,11.29,50677.0
2014-09-11,TSQ,11.49,75650.0
2014-09-12,TSQ,11.12,70984.0
2014-09-15,TSQ,11.17,57941.0
2014-09-16,TSQ,11.34,65171.0
2014-09-17,TSQ,11.43,135557.0
2014-09-18,TSQ,11.66,227084.0
2014-09-19,TSQ,11.44,225843.0
2014-09-22,TSQ,11.62,73330.0
2014-09-23,TSQ,11.75,50683.0
2014-09-24,TSQ,12.3,72336.0
2014-09-25,TSQ,12.1,72585.0
2014-09-26,TSQ,12.0,52874.0
2014-09-29,TSQ,12.04,102642.0
2014-09-30,TSQ,12.02,1025467.0
2014-10-01,TSQ,11.93,212265.0
2014-10-02,TSQ,12.23,85654.0
2014-10-03,TSQ,12.48,125981.0
2014-10-06,TSQ,12.21,176483.0
2014-10-07,TSQ,12.47,113588.0
2014-10-08,TSQ,12.3,113033.0
2014-10-09,TSQ,12.21,92064.0
2014-10-10,TSQ,12.35,149519.0
2014-10-13,TSQ,12.22,118969.0
