ds,symbol,close,volume
2000-09-25,TTMI,23.125,2082900
2000-09-26,TTMI,23.5,875900
2000-09-27,TTMI,22.0,676500
2000-09-28,TTMI,22.5625,366500
2000-09-29,TTMI,23.5,625500
2000-10-02,TTMI,23.875,643500
2000-10-03,TTMI,22.125,319100
2000-10-04,TTMI,22.125,446500
2000-10-05,TTMI,20.0,239300
2000-10-06,TTMI,18.625,949900
2000-10-09,TTMI,18.625,379700
2000-10-10,TTMI,16.3125,453700
2000-10-11,TTMI,13.5625,964800
2000-10-12,TTMI,13.25,644500
2000-10-13,TTMI,15.8125,857200
2000-10-16,TTMI,17.5,666800
2000-10-17,TTMI,16.6875,609200
2000-10-18,TTMI,16.75,178900
2000-10-19,TTMI,17.5,181100
2000-10-20,TTMI,19.6875,342800
2000-10-23,TTMI,21.6875,288600
2000-10-24,TTMI,23.125,842300
2000-10-25,TTMI,18.875,278100
2000-10-26,TTMI,17.625,199400
2000-10-27,TTMI,17.75,168400
2000-10-30,TTMI,17.125,200600
2000-10-31,TTMI,20.0,310800
2000-11-01,TTMI,20.75,195400
2000-11-02,TTMI,21.875,378800
2000-11-03,TTMI,22.0,168300
2000-11-06,TTMI,21.75,63800
2000-11-07,TTMI,20.5,125000
2000-11-08,TTMI,20.0,183500
2000-11-09,TTMI,19.375,62700
2000-11-10,TTMI,20.125,81200
2000-11-13,TTMI,18.625,165400
2000-11-14,TTMI,19.625,71800
2000-11-15,TTMI,19.125,55400
2000-11-16,TTMI,18.75,7300
2000-11-17,TTMI,17.0,72000
2000-11-20,TTMI,16.375,78600
2000-11-21,TTMI,16.0,27000
2000-11-22,TTMI,13.75,94800
2000-11-24,TTMI,14.25,120300
2000-11-27,TTMI,15.1875,183700
2000-11-28,TTMI,15.125,55200
2000-11-29,TTMI,15.375,196400
2000-11-30,TTMI,15.375,431700
2000-12-01,TTMI,16.5,58600
2000-12-04,TTMI,13.875,41400
2000-12-05,TTMI,13.5,181700
2000-12-06,TTMI,12.5,299900
2000-12-07,TTMI,11.875,85400
2000-12-08,TTMI,15.125,373600
2000-12-11,TTMI,17.5625,348500
2000-12-12,TTMI,17.5,77900
2000-12-13,TTMI,16.75,94600
2000-12-14,TTMI,14.875,67200
2000-12-15,TTMI,14.4375,153600
2000-12-18,TTMI,14.8125,141500
2000-12-19,TTMI,10.0,1438500
2000-12-20,TTMI,9.75,384900
2000-12-21,TTMI,9.625,115800
2000-12-22,TTMI,11.4375,70100
2000-12-26,TTMI,10.0625,62500
2000-12-27,TTMI,10.0,128900
2000-12-28,TTMI,11.625,218300
2000-12-29,TTMI,14.1875,262700
2001-01-02,TTMI,11.875,83900
2001-01-03,TTMI,12.5,82500
2001-01-04,TTMI,11.875,176000
2001-01-05,TTMI,10.125,81200
2001-01-08,TTMI,9.03125,119800
2001-01-09,TTMI,8.625,72200
2001-01-10,TTMI,9.28125,283100
2001-01-11,TTMI,10.375,605100
2001-01-12,TTMI,12.25,1319900
2001-01-16,TTMI,12.5,352900
2001-01-17,TTMI,12.625,288200
2001-01-18,TTMI,13.125,251700
2001-01-19,TTMI,13.125,360500
2001-01-22,TTMI,13.5,149400
2001-01-23,TTMI,13.3125,267400
2001-01-24,TTMI,13.75,53200
2001-01-25,TTMI,14.0,103600
2001-01-26,TTMI,13.5625,53100
2001-01-29,TTMI,13.625,53700
2001-01-30,TTMI,14.5,87800
2001-01-31,TTMI,15.4375,128400
2001-02-01,TTMI,14.875,82500
2001-02-02,TTMI,12.75,122400
2001-02-05,TTMI,10.75,161600
2001-02-06,TTMI,10.75,109000
2001-02-07,TTMI,10.1875,159200
2001-02-08,TTMI,9.3125,189100
2001-02-09,TTMI,9.0625,1079600
2001-02-12,TTMI,9.0,303400
2001-02-13,TTMI,8.375,130400
2001-02-14,TTMI,8.125,156500
2001-02-15,TTMI,8.625,217700
2001-02-16,TTMI,8.625,49800
2001-02-20,TTMI,8.5,99600
2001-02-21,TTMI,9.125,154700
2001-02-22,TTMI,8.375,178600
2001-02-23,TTMI,8.0,80700
2001-02-26,TTMI,8.15625,124200
2001-02-27,TTMI,7.9375,51100
2001-02-28,TTMI,7.0,90200
2001-03-01,TTMI,7.0,61700
2001-03-02,TTMI,7.40625,307800
2001-03-05,TTMI,7.65625,59800
2001-03-06,TTMI,8.125,148700
2001-03-07,TTMI,8.4375,40000
2001-03-08,TTMI,8.1875,67100
2001-03-09,TTMI,8.125,57600
2001-03-12,TTMI,6.96875,165300
2001-03-13,TTMI,7.0,70800
2001-03-14,TTMI,6.875,26500
2001-03-15,TTMI,6.15625,45700
2001-03-16,TTMI,5.5625,125700
2001-03-19,TTMI,5.625,200200
2001-03-20,TTMI,4.9375,286700
2001-03-21,TTMI,5.0,193800
2001-03-22,TTMI,4.9375,403300
2001-03-23,TTMI,5.875,178200
2001-03-26,TTMI,6.625,199700
2001-03-27,TTMI,6.71875,106000
2001-03-28,TTMI,6.0,81200
2001-03-29,TTMI,5.4375,280600
2001-03-30,TTMI,5.0625,467200
2001-04-02,TTMI,4.9375,162000
2001-04-03,TTMI,4.9375,51500
2001-04-04,TTMI,4.03125,104400
2001-04-05,TTMI,5.0,183200
2001-04-06,TTMI,4.5625,6400
2001-04-09,TTMI,5.0,26500
2001-04-10,TTMI,5.14,230800
2001-04-11,TTMI,5.7,60000
2001-04-12,TTMI,6.73,66900
2001-04-16,TTMI,6.71,70200
2001-04-17,TTMI,6.94,21400
2001-04-18,TTMI,7.35,90100
2001-04-19,TTMI,7.45,40700
2001-04-20,TTMI,6.7,66400
2001-04-23,TTMI,6.4,43000
2001-04-24,TTMI,6.26,34000
2001-04-25,TTMI,6.5,154300
2001-04-26,TTMI,6.0,156400
2001-04-27,TTMI,6.35,1154400
2001-04-30,TTMI,6.38,385300
2001-05-01,TTMI,6.73,220700
2001-05-02,TTMI,8.23,725700
2001-05-03,TTMI,8.98,516400
2001-05-04,TTMI,9.25,184000
2001-05-07,TTMI,10.25,628200
2001-05-08,TTMI,10.94,225600
2001-05-09,TTMI,10.67,255300
2001-05-10,TTMI,10.8,123100
2001-05-11,TTMI,10.75,126600
2001-05-14,TTMI,10.49,122000
2001-05-15,TTMI,9.53,165700
2001-05-16,TTMI,8.86,224400
2001-05-17,TTMI,8.31,180000
2001-05-18,TTMI,8.5,114400
2001-05-21,TTMI,9.49,192200
2001-05-22,TTMI,10.06,177000
2001-05-23,TTMI,8.81,78100
2001-05-24,TTMI,9.95,53100
2001-05-25,TTMI,9.75,36800
2001-05-29,TTMI,9.42,320000
2001-05-30,TTMI,8.77,159800
2001-05-31,TTMI,8.96,166000
2001-06-01,TTMI,8.7,59800
2001-06-04,TTMI,8.75,153700
2001-06-05,TTMI,9.2,146500
2001-06-06,TTMI,9.02,156200
2001-06-07,TTMI,9.06,41800
2001-06-08,TTMI,9.2,91200
2001-06-11,TTMI,8.75,44500
2001-06-12,TTMI,8.75,81800
2001-06-13,TTMI,9.35,41100
2001-06-14,TTMI,8.75,115200
2001-06-15,TTMI,9.1,42400
2001-06-18,TTMI,8.75,72900
2001-06-19,TTMI,7.73,220400
2001-06-20,TTMI,7.65,69100
2001-06-21,TTMI,7.95,65500
2001-06-22,TTMI,8.35,64900
2001-06-25,TTMI,8.11,140600
2001-06-26,TTMI,8.3,23200
2001-06-27,TTMI,7.87,154700
2001-06-28,TTMI,8.0,97800
2001-06-29,TTMI,8.8,326500
2001-07-02,TTMI,8.47,115300
2001-07-03,TTMI,8.5,34300
2001-07-05,TTMI,8.44,33700
2001-07-06,TTMI,8.45,30500
2001-07-09,TTMI,8.79,38500
2001-07-10,TTMI,8.45,26100
2001-07-11,TTMI,8.59,31500
2001-07-12,TTMI,9.22,14600
2001-07-13,TTMI,8.94,19100
2001-07-16,TTMI,8.75,30200
2001-07-17,TTMI,8.88,18500
2001-07-18,TTMI,8.66,16400
2001-07-19,TTMI,9.2,95100
2001-07-20,TTMI,9.2,61800
2001-07-23,TTMI,9.3,24700
2001-07-24,TTMI,9.0,29400
2001-07-25,TTMI,9.1,67000
2001-07-26,TTMI,9.3,76300
2001-07-27,TTMI,9.38,64900
2001-07-30,TTMI,9.4,59800
2001-07-31,TTMI,9.49,70300
2001-08-01,TTMI,9.8,146700
2001-08-02,TTMI,11.0,233600
2001-08-03,TTMI,10.9,179600
2001-08-06,TTMI,10.75,227900
2001-08-07,TTMI,10.95,95400
2001-08-08,TTMI,10.9,356600
2001-08-09,TTMI,11.0,299500
2001-08-10,TTMI,10.97,73600
2001-08-13,TTMI,11.0,70400
2001-08-14,TTMI,11.0,128400
