ds,symbol,close,volume
1993-12-14,TV,15.9375,16357200
1993-12-15,TV,15.875,2894800
1993-12-16,TV,15.96875,2921600
1993-12-17,TV,16.1875,1894000
1993-12-20,TV,16.46875,2244800
1993-12-21,TV,16.5625,2350000
1993-12-22,TV,17.21875,2035200
1993-12-23,TV,17.625,3963200
1993-12-27,TV,17.8125,780800
1993-12-28,TV,17.75,798000
1993-12-29,TV,17.4375,1238800
1993-12-30,TV,17.40625,590400
1993-12-31,TV,17.5,226000
1994-01-03,TV,16.96875,1462400
1994-01-04,TV,17.28125,3899200
1994-01-05,TV,17.5625,1864400
1994-01-06,TV,17.25,1054000
1994-01-07,TV,16.9375,1199200
1994-01-10,TV,16.46875,1662800
1994-01-11,TV,16.78125,3570000
1994-01-12,TV,16.6875,1450800
1994-01-13,TV,16.6875,1152400
1994-01-14,TV,16.59375,878800
1994-01-17,TV,16.71875,566400
1994-01-18,TV,17.0625,946000
1994-01-19,TV,17.3125,1796400
1994-01-20,TV,17.5,1570000
1994-01-21,TV,17.5625,790400
1994-01-24,TV,17.625,719600
1994-01-25,TV,17.375,1471600
1994-01-26,TV,17.21875,778400
1994-01-27,TV,17.59375,577600
1994-01-28,TV,17.53125,1367600
1994-01-31,TV,17.75,1448000
1994-02-01,TV,18.0625,1081200
1994-02-02,TV,18.3125,587200
1994-02-03,TV,18.25,1025600
1994-02-04,TV,18.0,908000
1994-02-07,TV,18.15625,961200
1994-02-08,TV,18.125,437600
1994-02-09,TV,17.9375,991600
1994-02-10,TV,17.28125,1051200
1994-02-11,TV,17.25,910000
1994-02-14,TV,17.28125,1770000
1994-02-15,TV,17.4375,764000
1994-02-16,TV,17.5625,716800
1994-02-17,TV,17.125,547600
1994-02-18,TV,16.59375,1192400
1994-02-22,TV,16.625,1115200
1994-02-23,TV,16.46875,1532800
1994-02-24,TV,16.09375,622800
1994-02-25,TV,16.03125,1674000
1994-02-28,TV,16.09375,226800
1994-03-01,TV,15.5,3279600
1994-03-02,TV,15.5,2366000
1994-03-03,TV,15.34375,2355200
1994-03-04,TV,15.40625,1356000
1994-03-07,TV,15.75,1864000
1994-03-08,TV,15.5,3793600
1994-03-09,TV,14.875,2237200
1994-03-10,TV,14.875,1534400
1994-03-11,TV,14.46875,1116000
1994-03-14,TV,14.375,692000
1994-03-15,TV,14.0,3340000
1994-03-16,TV,14.03125,4101200
1994-03-17,TV,14.09375,1150800
1994-03-18,TV,13.875,582400
1994-03-21,TV,13.5,685600
1994-03-22,TV,14.40625,2711200
1994-03-23,TV,14.6875,2040000
1994-03-24,TV,14.09375,2685200
1994-03-25,TV,14.21875,1981200
1994-03-28,TV,13.65625,1943600
1994-03-29,TV,13.1875,3414800
1994-03-30,TV,12.6875,4877200
1994-03-31,TV,12.75,1761600
1994-04-04,TV,12.1875,1484000
1994-04-05,TV,12.3125,4002000
1994-04-06,TV,12.125,3582800
1994-04-07,TV,12.46875,1703600
1994-04-08,TV,12.21875,1205200
1994-04-11,TV,12.15625,1892800
1994-04-12,TV,12.1875,1630000
1994-04-13,TV,12.1875,931600
1994-04-14,TV,12.15625,1003200
