ds,symbol,close,volume
1999-05-19,TVE,24.8125,101300
1999-05-20,TVE,24.765625,114400
1999-05-21,TVE,24.8125,26600
1999-05-24,TVE,24.6875,24600
1999-05-25,TVE,24.6875,40400
1999-05-26,TVE,24.6875,3100
1999-05-27,TVE,24.75,9700
1999-05-28,TVE,24.6875,12700
1999-06-01,TVE,24.5,30300
1999-06-02,TVE,24.5625,41000
1999-06-03,TVE,24.625,98200
1999-06-04,TVE,24.75,38300
1999-06-07,TVE,24.6875,16400
1999-06-08,TVE,24.625,20700
1999-06-09,TVE,24.4375,12000
1999-06-10,TVE,24.4375,23600
1999-06-11,TVE,24.3125,42700
1999-06-14,TVE,24.125,8100
1999-06-15,TVE,24.0,14600
1999-06-16,TVE,24.0,28100
1999-06-17,TVE,24.0625,26800
1999-06-18,TVE,24.125,18900
1999-06-21,TVE,24.125,6800
1999-06-22,TVE,24.0,25700
1999-06-23,TVE,24.0625,16100
1999-06-24,TVE,23.9375,3700
1999-06-25,TVE,23.875,3300
1999-06-28,TVE,23.75,10400
1999-06-29,TVE,23.6875,9600
1999-06-30,TVE,23.8125,70700
1999-07-01,TVE,23.75,10500
1999-07-02,TVE,23.625,9600
1999-07-06,TVE,23.75,3100
1999-07-07,TVE,24.0,104000
1999-07-08,TVE,24.0,71700
1999-07-09,TVE,24.0,30300
1999-07-12,TVE,23.8125,18600
1999-07-13,TVE,23.875,10400
1999-07-14,TVE,23.9375,26100
1999-07-15,TVE,24.0,14100
1999-07-16,TVE,23.875,25600
1999-07-19,TVE,23.875,8500
1999-07-20,TVE,23.875,5900
1999-07-21,TVE,23.75,45600
1999-07-22,TVE,23.8125,10600
1999-07-23,TVE,23.8125,3600
1999-07-26,TVE,23.75,5700
1999-07-27,TVE,23.4375,20100
1999-07-28,TVE,23.0,8300
1999-07-29,TVE,23.0625,22800
1999-07-30,TVE,22.625,31100
1999-08-02,TVE,22.6875,6300
1999-08-03,TVE,22.625,16800
1999-08-04,TVE,22.3125,19000
1999-08-05,TVE,21.8125,17400
1999-08-06,TVE,21.6875,9000
1999-08-09,TVE,21.125,20700
1999-08-10,TVE,21.5625,23600
1999-08-11,TVE,21.5625,12700
1999-08-12,TVE,21.875,11900
1999-08-13,TVE,21.875,10400
1999-08-16,TVE,21.875,4400
1999-08-17,TVE,22.125,4700
1999-08-18,TVE,22.3125,5800
1999-08-19,TVE,22.625,8700
1999-08-20,TVE,22.75,6100
1999-08-23,TVE,22.9375,5400
1999-08-24,TVE,23.0,15200
1999-08-25,TVE,22.5625,16200
1999-08-26,TVE,22.625,11000
1999-08-27,TVE,22.625,16900
1999-08-30,TVE,22.375,3200
1999-08-31,TVE,22.375,3500
1999-09-01,TVE,22.25,8400
1999-09-02,TVE,22.0,3600
1999-09-03,TVE,22.125,10800
1999-09-07,TVE,22.0,5400
1999-09-08,TVE,22.0,8700
1999-09-09,TVE,21.75,11600
1999-09-10,TVE,22.0,12700
1999-09-13,TVE,22.0,10100
1999-09-14,TVE,22.0,8500
1999-09-15,TVE,22.0,8900
1999-09-16,TVE,21.9375,5700
1999-09-17,TVE,21.9375,10600
1999-09-20,TVE,21.625,7500
1999-09-21,TVE,21.5625,19500
1999-09-22,TVE,21.5,15700
1999-09-23,TVE,21.6875,7400
1999-09-24,TVE,21.8125,5900
1999-09-27,TVE,21.8125,16100
1999-09-28,TVE,22.0,86500
1999-09-29,TVE,22.125,24100
1999-09-30,TVE,22.25,50300
1999-10-01,TVE,22.4375,22800
1999-10-04,TVE,22.375,4900
1999-10-05,TVE,22.375,11900
1999-10-06,TVE,22.375,14700
1999-10-07,TVE,22.375,12700
1999-10-08,TVE,22.0625,28000
1999-10-11,TVE,22.0,4600
1999-10-12,TVE,21.9375,18600
1999-10-13,TVE,21.75,17400
1999-10-14,TVE,21.75,16900
1999-10-15,TVE,21.125,26300
1999-10-18,TVE,21.4375,25700
1999-10-19,TVE,21.109375,226300
1999-10-20,TVE,21.375,28600
1999-10-21,TVE,21.359375,20900
1999-10-22,TVE,21.5625,21400
1999-10-25,TVE,21.3125,15600
1999-10-26,TVE,21.375,32200
1999-10-27,TVE,21.0625,16200
1999-10-28,TVE,21.25,16300
1999-10-29,TVE,21.3125,18800
1999-11-01,TVE,21.5625,29100
1999-11-02,TVE,21.5,19900
1999-11-03,TVE,21.625,29700
1999-11-04,TVE,22.0,12800
1999-11-05,TVE,22.25,11100
1999-11-08,TVE,22.0,5400
1999-11-09,TVE,22.125,8000
1999-11-10,TVE,21.875,25700
1999-11-11,TVE,21.9375,9900
1999-11-12,TVE,21.875,19600
1999-11-15,TVE,21.5625,53600
1999-11-16,TVE,21.75,16300
1999-11-17,TVE,21.5625,30500
1999-11-18,TVE,21.4375,29900
1999-11-19,TVE,21.625,16000
1999-11-22,TVE,21.4375,11500
1999-11-23,TVE,21.25,16800
1999-11-24,TVE,21.5,7500
1999-11-26,TVE,21.375,3400
1999-11-29,TVE,21.25,38200
1999-11-30,TVE,21.1875,28400
1999-12-01,TVE,21.5,27400
1999-12-02,TVE,21.375,21200
1999-12-03,TVE,21.5625,49800
1999-12-06,TVE,21.125,39900
1999-12-07,TVE,21.1875,70500
1999-12-08,TVE,20.75,36300
1999-12-09,TVE,20.75,41900
1999-12-10,TVE,20.5625,49400
1999-12-13,TVE,20.625,70600
1999-12-14,TVE,20.625,101300
1999-12-15,TVE,20.625,29700
1999-12-16,TVE,20.625,49500
1999-12-17,TVE,21.25,37400
1999-12-20,TVE,20.875,64100
1999-12-21,TVE,20.5,117900
1999-12-22,TVE,20.5,66500
1999-12-23,TVE,20.25,50200
1999-12-27,TVE,20.4375,109700
1999-12-28,TVE,20.4375,88100
1999-12-29,TVE,20.75,44300
1999-12-30,TVE,20.75,471300
1999-12-31,TVE,20.75,15000
2000-01-03,TVE,20.6875,13400
2000-01-04,TVE,20.5,21400
2000-01-05,TVE,20.5,74000
2000-01-06,TVE,20.75,45200
2000-01-07,TVE,20.9375,15800
2000-01-10,TVE,21.0,17600
2000-01-11,TVE,21.0,13300
2000-01-12,TVE,20.75,43100
2000-01-13,TVE,20.6875,50900
2000-01-14,TVE,20.75,25700
2000-01-18,TVE,20.625,31900
2000-01-19,TVE,20.75,13600
2000-01-20,TVE,20.4375,32400
2000-01-21,TVE,20.6875,17900
2000-01-24,TVE,20.625,20500
2000-01-25,TVE,20.65625,13500
2000-01-26,TVE,20.5,10600
2000-01-27,TVE,20.75,21700
2000-01-28,TVE,21.0,22000
2000-01-31,TVE,21.0625,27900
2000-02-01,TVE,21.1875,25700
2000-02-02,TVE,21.125,17500
2000-02-03,TVE,21.25,20900
2000-02-04,TVE,21.3125,21800
2000-02-07,TVE,21.25,33700
2000-02-08,TVE,21.1875,30200
2000-02-09,TVE,21.0625,20700
2000-02-10,TVE,21.125,5400
2000-02-11,TVE,21.125,10900
2000-02-14,TVE,21.0,14000
2000-02-15,TVE,20.6875,27500
2000-02-16,TVE,20.75,11600
2000-02-17,TVE,20.4375,34700
2000-02-18,TVE,20.375,38500
2000-02-22,TVE,20.4375,13500
2000-02-23,TVE,20.5,21200
2000-02-24,TVE,20.5625,19800
2000-02-25,TVE,20.625,13000
2000-02-28,TVE,20.625,11300
2000-02-29,TVE,20.5,22700
2000-03-01,TVE,20.375,6000
2000-03-02,TVE,20.5,17000
2000-03-03,TVE,20.75,18600
2000-03-06,TVE,20.75,5100
2000-03-07,TVE,20.375,49100
2000-03-08,TVE,20.3125,16300
2000-03-09,TVE,20.625,8200
2000-03-10,TVE,20.625,27200
2000-03-13,TVE,20.875,3100
2000-03-14,TVE,21.0,6600
2000-03-15,TVE,20.875,4700
2000-03-16,TVE,20.75,19100
2000-03-17,TVE,20.5625,45500
2000-03-20,TVE,20.6875,19300
2000-03-21,TVE,20.625,9200
2000-03-22,TVE,20.75,9900
2000-03-23,TVE,20.6875,19700
2000-03-24,TVE,20.75,7800
2000-03-27,TVE,20.9375,14900
2000-03-28,TVE,21.0,5300
2000-03-29,TVE,20.75,178200
2000-03-30,TVE,20.625,5900
2000-03-31,TVE,20.5625,11100
2000-04-03,TVE,20.5,32100
2000-04-04,TVE,20.625,33000
2000-04-05,TVE,20.5,4600
2000-04-06,TVE,20.5625,12000
2000-04-07,TVE,20.5625,10700
2000-04-10,TVE,20.5,12300
2000-04-11,TVE,20.625,19500
2000-04-12,TVE,20.625,355400
2000-04-13,TVE,20.6875,13500
2000-04-14,TVE,20.5,7300
2000-04-17,TVE,20.5,14800
2000-04-18,TVE,20.5,13500
2000-04-19,TVE,20.5625,20500
2000-04-20,TVE,20.625,125500
2000-04-24,TVE,20.8125,22300
2000-04-25,TVE,20.75,31800
2000-04-26,TVE,20.5,22100
2000-04-27,TVE,20.5,9600
2000-04-28,TVE,20.5625,13100
2000-05-01,TVE,20.5625,31300
2000-05-02,TVE,20.5,18500
2000-05-03,TVE,20.5,18900
2000-05-04,TVE,20.4375,31000
2000-05-05,TVE,20.4375,4000
2000-05-08,TVE,20.3125,13100
2000-05-09,TVE,20.3125,11900
2000-05-10,TVE,20.5,17200
2000-05-11,TVE,20.25,166200
2000-05-12,TVE,19.875,190600
2000-05-15,TVE,20.0,20000
2000-05-16,TVE,19.828125,40300
2000-05-17,TVE,19.9375,51100
2000-05-18,TVE,20.0,57300
2000-05-19,TVE,19.8125,94400
2000-05-22,TVE,19.8125,30800
2000-05-23,TVE,19.875,77400
2000-05-24,TVE,19.875,2821300
2000-05-25,TVE,19.875,38900
2000-05-26,TVE,19.9375,40100
2000-05-30,TVE,19.921875,31700
2000-05-31,TVE,19.890625,108100
2000-06-01,TVE,19.9375,74800
2000-06-02,TVE,20.953125,274800
2000-06-05,TVE,20.25,38600
2000-06-06,TVE,20.5,20900
2000-06-07,TVE,20.75,82200
2000-06-08,TVE,20.625,35000
2000-06-09,TVE,20.6875,29000
2000-06-12,TVE,20.6875,11100
2000-06-13,TVE,20.6875,115100
2000-06-14,TVE,20.8125,43800
2000-06-15,TVE,21.0,10900
2000-06-16,TVE,21.0,22400
2000-06-19,TVE,20.9375,16300
2000-06-20,TVE,21.015625,85000
2000-06-21,TVE,21.015625,20200
2000-06-22,TVE,20.75,14200
2000-06-23,TVE,20.875,16900
2000-06-26,TVE,20.859375,26100
2000-06-27,TVE,21.015625,13000
2000-06-28,TVE,21.0625,33600
2000-06-29,TVE,21.0625,12200
2000-06-30,TVE,21.0,7900
2000-07-03,TVE,21.125,3100
2000-07-05,TVE,21.0625,47600
2000-07-06,TVE,21.0,43500
2000-07-07,TVE,21.0,12200
2000-07-10,TVE,21.0625,35400
2000-07-11,TVE,21.0,21800
2000-07-12,TVE,21.0625,31200
