ds,symbol,close,volume
1990-01-02,TYL,2.916667,73800
1990-01-03,TYL,2.875,49800
1990-01-04,TYL,2.875,83400
1990-01-05,TYL,2.875,150900
1990-01-08,TYL,2.875,36600
1990-01-09,TYL,2.833333,106500
1990-01-10,TYL,2.875,75600
1990-01-11,TYL,2.833333,202800
1990-01-12,TYL,2.791667,41100
1990-01-15,TYL,2.75,11100
1990-01-16,TYL,2.75,27900
1990-01-17,TYL,2.666667,47400
1990-01-18,TYL,2.708333,9000
1990-01-19,TYL,2.666667,6000
1990-01-22,TYL,2.666667,283500
1990-01-23,TYL,2.75,63300
1990-01-24,TYL,2.75,85200
1990-01-25,TYL,2.666667,11100
1990-01-26,TYL,2.791667,86400
1990-01-29,TYL,2.708333,33000
1990-01-30,TYL,2.666667,26700
1990-01-31,TYL,2.625,19200
1990-02-01,TYL,2.625,13200
1990-02-02,TYL,2.666667,39000
1990-02-05,TYL,2.75,32400
1990-02-06,TYL,2.75,26100
1990-02-07,TYL,2.75,18000
1990-02-08,TYL,2.791667,23400
1990-02-09,TYL,2.791667,16200
1990-02-12,TYL,2.791667,49500
1990-02-13,TYL,2.833333,11700
1990-02-14,TYL,2.833333,36000
1990-02-15,TYL,2.791667,3600
1990-02-16,TYL,2.833333,34200
1990-02-20,TYL,2.791667,10500
1990-02-21,TYL,2.791667,600
1990-02-22,TYL,2.833333,28800
1990-02-23,TYL,2.833333,41100
1990-02-26,TYL,2.833333,21900
1990-02-27,TYL,2.833333,21000
1990-02-28,TYL,2.875,17100
1990-03-01,TYL,2.791667,19200
1990-03-02,TYL,2.916667,7200
1990-03-05,TYL,2.875,18600
1990-03-06,TYL,2.833333,21000
1990-03-07,TYL,2.875,18600
1990-03-08,TYL,2.875,60600
1990-03-09,TYL,2.875,54600
1990-03-12,TYL,2.916667,66600
1990-03-13,TYL,2.916667,119400
1990-03-14,TYL,2.75,478200
1990-03-15,TYL,2.75,226200
1990-03-16,TYL,2.75,93300
1990-03-19,TYL,2.75,86400
1990-03-20,TYL,2.958333,347700
1990-03-21,TYL,2.916667,54600
1990-03-22,TYL,2.916667,73800
1990-03-23,TYL,2.958333,92400
1990-03-26,TYL,2.916667,41100
1990-03-27,TYL,2.958333,64800
1990-03-28,TYL,2.875,85800
1990-03-29,TYL,2.958333,2100
1990-03-30,TYL,2.958333,39300
1990-04-02,TYL,2.916667,3300
1990-04-03,TYL,2.916667,168000
1990-04-04,TYL,2.875,16200
1990-04-05,TYL,2.958333,15000
1990-04-06,TYL,2.958333,14700
1990-04-09,TYL,2.916667,57600
1990-04-10,TYL,2.958333,19500
1990-04-11,TYL,2.916667,176700
1990-04-12,TYL,2.916667,2700
1990-04-16,TYL,3.0,28500
1990-04-17,TYL,3.0,85200
1990-04-18,TYL,2.958333,48000
1990-04-19,TYL,2.958333,4500
1990-04-20,TYL,3.0,8400
1990-04-23,TYL,3.0,78000
1990-04-24,TYL,3.0,132600
1990-04-25,TYL,3.0,74400
1990-04-26,TYL,2.958333,35400
1990-04-27,TYL,3.0,4500
1990-04-30,TYL,2.958333,32100
1990-05-01,TYL,2.916667,186600
1990-05-02,TYL,2.916667,92400
1990-05-03,TYL,2.916667,92100
1990-05-04,TYL,2.916667,3300
1990-05-07,TYL,2.916667,18600
1990-05-08,TYL,2.875,9900
1990-05-09,TYL,2.958333,144600
1990-05-10,TYL,2.958333,15000
1990-05-11,TYL,3.0,144300
1990-05-14,TYL,3.0,60300
1990-05-15,TYL,3.5,94800
1990-05-16,TYL,3.5,58800
1990-05-17,TYL,3.5,59200
1990-05-18,TYL,3.5,24100
1990-05-21,TYL,3.5,43400
1990-05-22,TYL,3.5,29100
1990-05-23,TYL,3.375,52000
1990-05-24,TYL,3.5,33100
1990-05-25,TYL,3.75,55900
1990-05-29,TYL,3.875,52200
1990-05-30,TYL,3.875,44100
1990-05-31,TYL,4.0,64300
1990-06-01,TYL,4.0,49400
1990-06-04,TYL,4.0,27500
1990-06-05,TYL,4.0,97600
1990-06-06,TYL,4.0,27600
1990-06-07,TYL,4.0,12200
1990-06-08,TYL,4.0,55900
1990-06-11,TYL,4.0,12200
