ds,symbol,close,volume
2019-11-14,UGRO,15.3,141
2019-11-15,UGRO,15.3,0
2019-11-18,UGRO,15.3,16
2019-11-19,UGRO,15.0,33
2019-11-20,UGRO,13.5,100
2019-11-21,UGRO,15.0,433
2019-11-22,UGRO,13.5,83
2019-11-25,UGRO,13.5,0
2019-11-26,UGRO,13.5,408
2019-11-27,UGRO,13.5,0
2019-11-29,UGRO,13.5,383
2019-12-02,UGRO,13.5,0
2019-12-03,UGRO,13.5,0
2019-12-04,UGRO,13.8,25
2019-12-05,UGRO,13.8,0
2019-12-06,UGRO,13.8,0
2019-12-09,UGRO,13.8,0
2019-12-10,UGRO,9.0,16
2019-12-11,UGRO,9.0,0
2019-12-12,UGRO,7.5,66
2019-12-13,UGRO,7.5,0
2019-12-16,UGRO,7.5,0
2019-12-17,UGRO,7.5,4
2019-12-18,UGRO,7.5,0
2019-12-19,UGRO,9.0,2176
2019-12-20,UGRO,8.1,16
2019-12-23,UGRO,7.8,1666
2019-12-24,UGRO,7.8,3050
2019-12-26,UGRO,7.2,533
2019-12-27,UGRO,7.2,0
2019-12-30,UGRO,7.2,0
2019-12-31,UGRO,7.2,0
