ds,symbol,close,volume
2000-09-19,UMC,14.875877,10133896
2000-09-20,UMC,15.80562,4005034
2000-09-21,UMC,15.80562,3352367
2000-09-22,UMC,14.942288,2335015
2000-09-25,UMC,14.743057,1958002
2000-09-26,UMC,14.012545,2667984
2000-09-27,UMC,14.012545,2592600
2000-09-28,UMC,13.547674,1319169
2000-09-29,UMC,12.617932,1431069
2000-10-02,UMC,11.289728,1962143
2000-10-03,UMC,11.223318,2275442
2000-10-04,UMC,11.621779,1574589
2000-10-05,UMC,13.016393,2514487
2000-10-06,UMC,13.813315,2584789
2000-10-09,UMC,13.282033,1422034
2000-10-10,UMC,12.219471,1871607
2000-10-11,UMC,11.88742,1970896
2000-10-12,UMC,11.82101,871478
2000-10-13,UMC,12.551522,1607905
2000-10-16,UMC,10.492806,1005776
2000-10-17,UMC,10.492806,865172
2000-10-18,UMC,10.160756,926439
2000-10-19,UMC,11.7546,2698947
2000-10-20,UMC,12.153061,3152379
2000-10-23,UMC,12.485111,1072125
2000-10-24,UMC,13.547674,1664937
2000-10-25,UMC,13.016393,1153250
2000-10-26,UMC,13.082803,783201
2000-10-27,UMC,11.7546,1043609
2000-10-30,UMC,11.356139,856044
2000-10-31,UMC,12.08665,1051044
2000-11-01,UMC,11.95383,1201059
2000-11-02,UMC,13.149213,920887
2000-11-03,UMC,13.481264,1345050
2000-11-06,UMC,14.278186,1682630
2000-11-07,UMC,14.610237,1473701
2000-11-08,UMC,14.078955,1493653
2000-11-09,UMC,13.614084,2018328
2000-11-10,UMC,12.551522,1157579
2000-11-13,UMC,11.95383,1373190
2000-11-14,UMC,12.617932,1160214
2000-11-15,UMC,12.352291,596859
2000-11-16,UMC,10.692037,1894006
2000-11-17,UMC,10.625627,726263
2000-11-20,UMC,9.629474,1414411
2000-11-21,UMC,10.293576,1436527
2000-11-22,UMC,9.695884,837221
2000-11-24,UMC,10.824857,1223175
2000-11-27,UMC,10.359986,563920
2000-11-28,UMC,10.094345,894724
2000-11-29,UMC,9.762295,425198
2000-11-30,UMC,9.098193,806823
2000-12-01,UMC,9.563064,922110
2000-12-04,UMC,9.164603,516299
2000-12-05,UMC,9.961525,2149520
2000-12-06,UMC,9.031783,1421375
2000-12-07,UMC,9.231013,859338
2000-12-08,UMC,10.227166,3499182
2000-12-11,UMC,10.426396,1086336
2000-12-12,UMC,10.094345,543215
2000-12-13,UMC,9.828705,677137
2000-12-14,UMC,9.563064,415787
2000-12-15,UMC,9.430244,703017
2000-12-18,UMC,9.231013,487783
2000-12-19,UMC,8.500501,973025
2000-12-20,UMC,8.10204,1172448
2000-12-21,UMC,7.90281,775390
2000-12-22,UMC,8.500501,894818
2000-12-26,UMC,8.367681,337110
2000-12-27,UMC,8.699732,709699
2000-12-28,UMC,8.766142,1228257
2000-12-29,UMC,8.766142,731910
2001-01-02,UMC,8.766142,928698
2001-01-03,UMC,9.695884,2384612
2001-01-04,UMC,9.563064,1180166
2001-01-05,UMC,9.961525,611823
2001-01-08,UMC,9.496654,839009
2001-01-09,UMC,10.426396,1263361
2001-01-10,UMC,10.359986,1042668
2001-01-11,UMC,10.492806,1094806
2001-01-12,UMC,10.824857,1329710
2001-01-16,UMC,10.891267,1504476
2001-01-17,UMC,11.88742,1535909
2001-01-18,UMC,12.883572,3288653
2001-01-19,UMC,13.082803,1911040
2001-01-22,UMC,12.684342,1143274
