ds,symbol,close,volume
2015-04-20,UNIT,30.0300007,35100
2015-04-21,UNIT,30.0499992,49400
2015-04-22,UNIT,30.2700005,218300
2015-04-23,UNIT,30.1499996,307900
2015-04-24,UNIT,28.6000004,1920500
2015-04-27,UNIT,27.5100002,3688300
2015-04-28,UNIT,29.4799995,6802300
2015-04-29,UNIT,30.3199997,2839800
2015-04-30,UNIT,30.0799999,2204900
2015-05-01,UNIT,29.9699993,1281900
2015-05-04,UNIT,30.1599998,1716800
2015-05-05,UNIT,30.2399998,1280400
2015-05-06,UNIT,28.5599995,1775600
2015-05-07,UNIT,27.6200008,2251900
2015-05-08,UNIT,27.6499996,1405600
2015-05-11,UNIT,27.4099998,1376600
2015-05-12,UNIT,28.1100006,1140600
2015-05-13,UNIT,27.7999992,1052900
2015-05-14,UNIT,27.8099995,1047000
2015-05-15,UNIT,27.5300007,553300
2015-05-18,UNIT,26.8600006,866100
2015-05-19,UNIT,26.2199993,1405300
2015-05-20,UNIT,25.6900005,834500
2015-05-21,UNIT,26.5,1425900
2015-05-22,UNIT,26.7800007,923500
2015-05-26,UNIT,26.4899998,685300
2015-05-27,UNIT,26.1299992,872900
2015-05-28,UNIT,25.9799995,627500
2015-05-29,UNIT,26.0499992,941300
2015-06-01,UNIT,25.8600006,634100
2015-06-02,UNIT,26.4200001,1034900
2015-06-03,UNIT,26.0,767300
2015-06-04,UNIT,25.4500008,828200
2015-06-05,UNIT,25.5200005,696200
2015-06-08,UNIT,25.6000004,780300
2015-06-09,UNIT,25.4899998,1168100
2015-06-10,UNIT,25.3899994,916800
2015-06-11,UNIT,25.8400002,909600
2015-06-12,UNIT,26.1200008,775300
2015-06-15,UNIT,25.6800003,813800
2015-06-16,UNIT,26.1700001,1090200
2015-06-17,UNIT,26.3299999,947800
2015-06-18,UNIT,26.4200001,595100
2015-06-19,UNIT,26.7399998,1776800
2015-06-22,UNIT,27.3600006,758600
2015-06-23,UNIT,27.5100002,695600
2015-06-24,UNIT,27.4200001,1013500
2015-06-25,UNIT,27.6000004,1461500
2015-06-26,UNIT,25.7900009,4269300
2015-06-29,UNIT,24.8199997,1129300
2015-06-30,UNIT,24.7199993,1171400
2015-07-01,UNIT,23.9699993,1339500
2015-07-02,UNIT,23.5200005,858500
2015-07-06,UNIT,23.75,763000
2015-07-07,UNIT,23.0599995,1322900
2015-07-08,UNIT,22.6000004,1512600
2015-07-09,UNIT,22.4300003,1247900
2015-07-10,UNIT,23.1399994,606800
2015-07-13,UNIT,23.2700005,849100
2015-07-14,UNIT,23.4200001,1211500
2015-07-15,UNIT,23.7999992,963300
2015-07-16,UNIT,24.2399998,994500
2015-07-17,UNIT,23.8600006,606100
2015-07-20,UNIT,24.2299995,817000
2015-07-21,UNIT,23.3799992,1175200
2015-07-22,UNIT,22.4400005,948600
2015-07-23,UNIT,21.9099998,828000
2015-07-24,UNIT,21.1900005,1046000
2015-07-27,UNIT,20.7099991,1155900
2015-07-28,UNIT,20.8500004,1202200
2015-07-29,UNIT,20.9799995,577300
2015-07-30,UNIT,20.9400005,693700
2015-07-31,UNIT,20.8500004,1243200
2015-08-03,UNIT,21.1900005,592200
2015-08-04,UNIT,21.4699993,636000
2015-08-05,UNIT,21.2299995,828800
2015-08-06,UNIT,21.3400002,1241000
2015-08-07,UNIT,21.2600002,692800
2015-08-10,UNIT,22.0100002,518600
2015-08-11,UNIT,21.5499992,648700
2015-08-12,UNIT,21.2099991,863300
2015-08-13,UNIT,22.2099991,908300
2015-08-14,UNIT,23.0599995,803000
2015-08-17,UNIT,23.2800007,944500
2015-08-18,UNIT,23.1399994,672000
2015-08-19,UNIT,22.7700005,660600
2015-08-20,UNIT,21.7700005,799000
2015-08-21,UNIT,20.6100006,1123100
2015-08-24,UNIT,19.7099991,1069300
2015-08-25,UNIT,19.7600002,806000
2015-08-26,UNIT,20.1900005,773200
2015-08-27,UNIT,20.6800003,635800
2015-08-28,UNIT,20.6000004,690000
2015-08-31,UNIT,20.1000004,1248700
2015-09-01,UNIT,20.0699997,1136600
2015-09-02,UNIT,20.4400005,769500
2015-09-03,UNIT,20.4699993,1246500
2015-09-04,UNIT,20.2000008,656600
2015-09-08,UNIT,20.2099991,758500
2015-09-09,UNIT,20.2900009,641600
2015-09-10,UNIT,20.5200005,806500
2015-09-11,UNIT,20.8500004,599700
2015-09-14,UNIT,20.4799995,409600
2015-09-15,UNIT,21.0100002,500200
2015-09-16,UNIT,21.3899994,678100
2015-09-17,UNIT,21.4400005,583900
2015-09-18,UNIT,20.8500004,1170300
2015-09-21,UNIT,20.8899994,403600
2015-09-22,UNIT,20.6000004,432700
2015-09-23,UNIT,20.7299995,502700
2015-09-24,UNIT,20.4899998,486700
2015-09-25,UNIT,20.0900002,653200
2015-09-28,UNIT,18.1900005,830000
2015-09-29,UNIT,17.6299992,994300
2015-09-30,UNIT,17.8999996,786400
2015-10-01,UNIT,17.4300003,761700
2015-10-02,UNIT,18.2600002,1722800
2015-10-05,UNIT,18.6399994,641600
2015-10-06,UNIT,18.8899994,895600
2015-10-07,UNIT,19.5499992,845900
2015-10-08,UNIT,19.6900005,569700
2015-10-09,UNIT,19.6000004,533700
2015-10-12,UNIT,19.2600002,374900
2015-10-13,UNIT,19.1599998,405000
2015-10-14,UNIT,18.8299999,400300
2015-10-15,UNIT,19.4099998,666500
2015-10-16,UNIT,19.7800007,793300
2015-10-19,UNIT,19.7600002,493600
2015-10-20,UNIT,20.3899994,657600
2015-10-21,UNIT,20.3799992,562100
2015-10-22,UNIT,20.4099998,728900
2015-10-23,UNIT,20.0599995,702800
2015-10-26,UNIT,19.7700005,492200
2015-10-27,UNIT,19.4599991,638200
2015-10-28,UNIT,20.0100002,776200
2015-10-29,UNIT,19.7700005,682700
2015-10-30,UNIT,20.0900002,533200
2015-11-02,UNIT,20.7199993,743800
2015-11-03,UNIT,20.4099998,803400
2015-11-04,UNIT,20.2299995,772100
2015-11-05,UNIT,20.4799995,596800
2015-11-06,UNIT,20.4200001,968800
2015-11-09,UNIT,20.2399998,1017500
2015-11-10,UNIT,19.7900009,1057500
2015-11-11,UNIT,19.1700001,1183100
2015-11-12,UNIT,19.7999992,1456300
2015-11-13,UNIT,19.0300007,1740000
2015-11-16,UNIT,19.3600006,1084200
2015-11-17,UNIT,19.3400002,1340500
2015-11-18,UNIT,19.3799992,1058400
2015-11-19,UNIT,18.6299992,1379100
2015-11-20,UNIT,18.3299999,1018400
2015-11-23,UNIT,18.6100006,1117900
2015-11-24,UNIT,18.4699993,1104900
2015-11-25,UNIT,18.8400002,665800
2015-11-27,UNIT,19.2000008,556800
2015-11-30,UNIT,19.4500008,6448000
2015-12-01,UNIT,19.6200008,970100
2015-12-02,UNIT,19.4599991,1172700
2015-12-03,UNIT,18.7099991,1244900
2015-12-04,UNIT,19.0799999,1100700
2015-12-07,UNIT,18.75,860000
2015-12-08,UNIT,18.5499992,845700
2015-12-09,UNIT,18.5900002,892900
2015-12-10,UNIT,19.0599995,879400
2015-12-11,UNIT,18.2199993,1346800
2015-12-14,UNIT,18.2299995,1133200
2015-12-15,UNIT,18.1200008,1413500
2015-12-16,UNIT,18.4899998,1021000
2015-12-17,UNIT,18.0200005,1026000
2015-12-18,UNIT,18.3299999,3740600
2015-12-21,UNIT,18.5100002,779800
2015-12-22,UNIT,18.6900005,809800
2015-12-23,UNIT,19.8400002,1005400
2015-12-24,UNIT,19.5599995,491700
2015-12-28,UNIT,19.9200001,1016500
2015-12-29,UNIT,19.1100006,982400
2015-12-30,UNIT,18.6499996,1137600
2015-12-31,UNIT,18.6900005,812700
2016-01-04,UNIT,19.8600006,1969400
2016-01-05,UNIT,19.9099998,1090200
2016-01-06,UNIT,19.7900009,1010800
2016-01-07,UNIT,20.7399998,2083500
