ds,symbol,close,volume
2012-03-23,VIPS,0.55,51740040.0
2012-03-26,VIPS,0.47,10426150.0
2012-03-27,VIPS,0.46,3158860.0
2012-03-28,VIPS,0.45,2101620.0
2012-03-29,VIPS,0.435,1821690.0
2012-03-30,VIPS,0.439,1282940.0
2012-04-02,VIPS,0.4379,1973790.0
2012-04-03,VIPS,0.426,1867970.0
2012-04-04,VIPS,0.43,1372070.0
2012-04-05,VIPS,0.435,516350.0
2012-04-09,VIPS,0.438,840180.0
2012-04-10,VIPS,0.452,1596130.0
2012-04-11,VIPS,0.465,1020550.0
2012-04-12,VIPS,0.465,1335770.0
2012-04-13,VIPS,0.482,2418460.0
2012-04-16,VIPS,0.501,2004310.0
2012-04-17,VIPS,0.544,2821900.0
2012-04-18,VIPS,0.59,3354160.0
2012-04-19,VIPS,0.595,1857880.0
2012-04-20,VIPS,0.596,1074490.0
2012-04-23,VIPS,0.6,1282580.0
2012-04-24,VIPS,0.602,1569870.0
2012-04-25,VIPS,0.525,3283450.0
2012-04-26,VIPS,0.531,1349330.0
2012-04-27,VIPS,0.53,594080.0
2012-04-30,VIPS,0.54,935540.0
2012-05-01,VIPS,0.546,732910.0
2012-05-02,VIPS,0.569,831890.0
2012-05-03,VIPS,0.556,510500.0
2012-05-04,VIPS,0.549,239330.0
2012-05-07,VIPS,0.538,464650.0
2012-05-08,VIPS,0.53,833090.0
2012-05-09,VIPS,0.537,313560.0
2012-05-10,VIPS,0.517,1601490.0
2012-05-11,VIPS,0.54,486220.0
2012-05-14,VIPS,0.565,1724280.0
2012-05-15,VIPS,0.529,835070.0
2012-05-16,VIPS,0.505,650820.0
2012-05-17,VIPS,0.511,646290.0
2012-05-18,VIPS,0.515,1083570.0
2012-05-21,VIPS,0.503,280440.0
2012-05-22,VIPS,0.486,518660.0
2012-05-23,VIPS,0.469,684760.0
2012-05-24,VIPS,0.48,203000.0
2012-05-25,VIPS,0.5,293850.0
2012-05-29,VIPS,0.506,698360.0
2012-05-30,VIPS,0.529,2238650.0
2012-05-31,VIPS,0.55,915170.0
2012-06-01,VIPS,0.551,671420.0
2012-06-04,VIPS,0.55,223070.0
2012-06-05,VIPS,0.562,484690.0
2012-06-06,VIPS,0.588,1166740.0
2012-06-07,VIPS,0.569,918060.0
2012-06-08,VIPS,0.573,304320.0
2012-06-11,VIPS,0.583,674940.0
2012-06-12,VIPS,0.59,1676790.0
2012-06-13,VIPS,0.574,639500.0
2012-06-14,VIPS,0.576,1346080.0
2012-06-15,VIPS,0.589,686390.0
2012-06-18,VIPS,0.6,694950.0
2012-06-19,VIPS,0.614,2156420.0
2012-06-20,VIPS,0.61,869640.0
2012-06-21,VIPS,0.61,1647100.0
2012-06-22,VIPS,0.61,1126750.0
2012-06-25,VIPS,0.6105,227470.0
2012-06-26,VIPS,0.615,307770.0
2012-06-27,VIPS,0.61,96300.0
2012-06-28,VIPS,0.61,106000.0
2012-06-29,VIPS,0.61,170210.0
2012-07-02,VIPS,0.61,161050.0
2012-07-03,VIPS,0.609,245350.0
2012-07-05,VIPS,0.619,902930.0
2012-07-06,VIPS,0.612,402380.0
2012-07-09,VIPS,0.611,296870.0
2012-07-10,VIPS,0.597,282400.0
2012-07-11,VIPS,0.6,186420.0
2012-07-12,VIPS,0.6,215110.0
2012-07-13,VIPS,0.595,130450.0
2012-07-16,VIPS,0.594,156220.0
2012-07-17,VIPS,0.594,151690.0
2012-07-18,VIPS,0.584,28000.0
2012-07-19,VIPS,0.554,445000.0
2012-07-20,VIPS,0.555,61000.0
2012-07-23,VIPS,0.538,232020.0
2012-07-24,VIPS,0.515,175140.0
2012-07-25,VIPS,0.525,108430.0
2012-07-26,VIPS,0.538,125370.0
2012-07-27,VIPS,0.57,214260.0
2012-07-30,VIPS,0.557,198700.0
2012-07-31,VIPS,0.556,58050.0
2012-08-01,VIPS,0.552,255480.0
2012-08-02,VIPS,0.551,340800.0
2012-08-03,VIPS,0.5545,92030.0
2012-08-06,VIPS,0.547,124000.0
2012-08-07,VIPS,0.544,118900.0
2012-08-08,VIPS,0.552,507100.0
2012-08-09,VIPS,0.546,420000.0
2012-08-10,VIPS,0.535,2668750.0
2012-08-13,VIPS,0.545,442050.0
2012-08-14,VIPS,0.545,231000.0
2012-08-15,VIPS,0.544,113500.0
2012-08-16,VIPS,0.54,327000.0
2012-08-17,VIPS,0.539,108500.0
2012-08-20,VIPS,0.523,119630.0
2012-08-21,VIPS,0.5145,13500.0
2012-08-22,VIPS,0.48,400100.0
2012-08-23,VIPS,0.5,283500.0
2012-08-24,VIPS,0.5,69000.0
2012-08-27,VIPS,0.505,433110.0
2012-08-28,VIPS,0.529,90440.0
2012-08-29,VIPS,0.577,304450.0
2012-08-30,VIPS,0.594,2039700.0
2012-08-31,VIPS,0.6,453320.0
2012-09-04,VIPS,0.6,992370.0
2012-09-05,VIPS,0.614,854900.0
2012-09-06,VIPS,0.619,390110.0
2012-09-07,VIPS,0.614,184330.0
2012-09-10,VIPS,0.614,47000.0
2012-09-11,VIPS,0.619,112000.0
2012-09-12,VIPS,0.615,176610.0
2012-09-13,VIPS,0.615,159480.0
2012-09-14,VIPS,0.616,148500.0
2012-09-17,VIPS,0.609,226000.0
2012-09-18,VIPS,0.614,181750.0
2012-09-19,VIPS,0.649,1153300.0
2012-09-20,VIPS,0.645,242010.0
2012-09-21,VIPS,0.65,213420.0
2012-09-24,VIPS,0.666,809050.0
2012-09-25,VIPS,0.69,526820.0
2012-09-26,VIPS,0.75,1200500.0
2012-09-27,VIPS,0.745,1894070.0
2012-09-28,VIPS,0.75,340180.0
