ds,symbol,close,volume
2014-06-18,VNOM,32.35,7080585.0
2014-06-19,VNOM,33.34,980100.0
2014-06-20,VNOM,33.99,238501.0
2014-06-23,VNOM,34.225,322905.0
2014-06-24,VNOM,33.0,237855.0
2014-06-25,VNOM,31.97,243094.0
2014-06-26,VNOM,32.43,144934.0
2014-06-27,VNOM,33.1,117578.0
2014-06-30,VNOM,33.8,188453.0
2014-07-01,VNOM,32.25,234803.0
2014-07-02,VNOM,33.29,72061.0
2014-07-03,VNOM,33.67,13894.0
2014-07-07,VNOM,33.97,41275.0
2014-07-08,VNOM,33.5,44180.0
2014-07-09,VNOM,33.36,27675.0
2014-07-10,VNOM,32.92,30379.0
2014-07-11,VNOM,32.68,90318.0
2014-07-14,VNOM,32.5,158876.0
2014-07-15,VNOM,32.47,95520.0
2014-07-16,VNOM,32.81,56103.0
2014-07-17,VNOM,33.22,35010.0
2014-07-18,VNOM,33.6,86913.0
2014-07-21,VNOM,33.04,60002.0
2014-07-22,VNOM,32.92,12016.0
2014-07-23,VNOM,32.72,18491.0
2014-07-24,VNOM,32.67,46794.0
2014-07-25,VNOM,32.35,23444.0
2014-07-28,VNOM,31.36,223202.0
2014-07-29,VNOM,31.34,209969.0
2014-07-30,VNOM,30.36,340974.0
2014-07-31,VNOM,30.45,128540.0
2014-08-01,VNOM,30.8,36377.0
2014-08-04,VNOM,30.64,9338.0
2014-08-05,VNOM,30.51,9239.0
2014-08-06,VNOM,30.57,20692.0
2014-08-07,VNOM,31.25,26295.0
2014-08-08,VNOM,31.96,18293.0
2014-08-11,VNOM,31.52,27097.0
2014-08-12,VNOM,31.5,18221.0
2014-08-13,VNOM,31.34,4086.0
2014-08-14,VNOM,31.7799,5282.0
2014-08-15,VNOM,31.39,2894.0
2014-08-18,VNOM,32.11,5685.0
2014-08-19,VNOM,32.84,6364.0
2014-08-20,VNOM,32.0,21488.0
2014-08-21,VNOM,32.4,3950.0
2014-08-22,VNOM,32.13,9735.0
2014-08-25,VNOM,31.51,26510.0
2014-08-26,VNOM,31.61,6664.0
2014-08-27,VNOM,32.32,16084.0
2014-08-28,VNOM,31.85,13503.0
2014-08-29,VNOM,32.04,15823.0
2014-09-02,VNOM,31.83,7313.0
2014-09-03,VNOM,31.35,23058.0
2014-09-04,VNOM,30.0,39371.0
2014-09-05,VNOM,30.2,23201.0
2014-09-08,VNOM,30.23,2135.0
2014-09-09,VNOM,30.01,9876.0
2014-09-10,VNOM,30.07,22671.0
2014-09-11,VNOM,30.08,10591.0
2014-09-12,VNOM,30.06,20261.0
2014-09-15,VNOM,28.5,216676.0
2014-09-16,VNOM,27.21,3644000.0
2014-09-17,VNOM,27.0,462965.0
2014-09-18,VNOM,26.67,359310.0
