ds,symbol,close,volume
2014-06-18,VRDN,2045.25,2317.0
2014-06-19,VRDN,1901.25,245.0
2014-06-20,VRDN,1881.0,252.0
2014-06-23,VRDN,1764.0,28.0
2014-06-24,VRDN,1777.5,20.0
2014-06-25,VRDN,1676.25,28.0
2014-06-26,VRDN,1642.5,47.0
2014-06-27,VRDN,1613.475,20.0
2014-06-30,VRDN,1586.2725,55.0
2014-07-01,VRDN,1489.05,33.0
2014-07-02,VRDN,1577.25,52.0
2014-07-03,VRDN,1662.75,6.0
2014-07-07,VRDN,1561.5,13.0
2014-07-08,VRDN,1417.4775,114.0
2014-07-09,VRDN,1359.0,21.0
2014-07-10,VRDN,1327.6125,28.0
2014-07-11,VRDN,1332.0,55.0
2014-07-14,VRDN,1197.0,127.0
2014-07-15,VRDN,1287.0,98.0
2014-07-16,VRDN,1257.75,57.0
2014-07-17,VRDN,1260.0,29.0
2014-07-18,VRDN,1260.0,4.0
2014-07-21,VRDN,1260.0,27.0
2014-07-22,VRDN,1260.045,24.0
2014-07-23,VRDN,1446.75,675.0
2014-07-24,VRDN,1433.25,3180.0
2014-07-25,VRDN,1354.5,141.0
2014-07-28,VRDN,1379.25,45.0
2014-07-29,VRDN,1417.05,47.0
2014-07-30,VRDN,1347.6825,15.0
2014-07-31,VRDN,1332.0,17.0
2014-08-01,VRDN,1239.75,13.0
2014-08-04,VRDN,1145.25,60.0
2014-08-05,VRDN,1071.0,27.0
2014-08-06,VRDN,1041.75,59.0
2014-08-07,VRDN,978.75,28.0
2014-08-08,VRDN,1012.5,9.0
2014-08-11,VRDN,947.25,11.0
2014-08-12,VRDN,1068.75,68.0
2014-08-13,VRDN,1068.75,27.0
2014-08-14,VRDN,1102.5,11.0
2014-08-15,VRDN,1170.0,43.0
2014-08-18,VRDN,1252.0125,37.0
2014-08-19,VRDN,1084.95,44.0
2014-08-20,VRDN,1187.9775,5.0
2014-08-21,VRDN,1183.5,6.0
2014-08-22,VRDN,1106.415,29.0
2014-08-25,VRDN,1064.25,25.0
2014-08-26,VRDN,1014.75,100.0
2014-08-27,VRDN,1064.25,22.0
2014-08-28,VRDN,1005.75,18.0
2014-08-29,VRDN,1021.5,4.0
2014-09-02,VRDN,1064.25,11.0
2014-09-03,VRDN,1048.5,12.0
2014-09-04,VRDN,1030.5,48.0
2014-09-05,VRDN,990.0,22.0
2014-09-08,VRDN,1057.5,78.0
2014-09-09,VRDN,1215.0,494.0
2014-09-10,VRDN,1174.5,66.0
2014-09-11,VRDN,1086.75,68.0
2014-09-12,VRDN,1122.75,44.0
2014-09-15,VRDN,1104.75,69.0
2014-09-16,VRDN,1089.0,28.0
2014-09-17,VRDN,1111.5,8.0
2014-09-18,VRDN,1055.25,23.0
2014-09-19,VRDN,1012.5,43.0
2014-09-22,VRDN,1066.5,15.0
2014-09-23,VRDN,1035.0,32.0
2014-09-24,VRDN,1062.0,51.0
2014-09-25,VRDN,1073.25,12.0
2014-09-26,VRDN,1030.5,19.0
2014-09-29,VRDN,1035.1125,7.0
2014-09-30,VRDN,1012.5,8.0
2014-10-01,VRDN,1125.0,14.0
2014-10-02,VRDN,1014.7725,16.0
2014-10-03,VRDN,1072.7775,20.0
2014-10-06,VRDN,1012.5,62.0
2014-10-07,VRDN,1012.5,3.0
2014-10-08,VRDN,1030.5,9.0
2014-10-09,VRDN,1012.5,2.0
2014-10-10,VRDN,965.25,7.0
2014-10-13,VRDN,902.25,1.0
2014-10-14,VRDN,776.2275,48.0
2014-10-15,VRDN,731.25,19.0
2014-10-16,VRDN,756.0,23.0
2014-10-17,VRDN,776.25,55.0
2014-10-20,VRDN,744.75,9.0
2014-10-21,VRDN,744.75,0.0
2014-10-22,VRDN,762.7275,0.0
2014-10-23,VRDN,713.25,12.0
2014-10-24,VRDN,761.0625,10.0
2014-10-27,VRDN,744.75,5.0
2014-10-28,VRDN,753.75,2.0
2014-10-29,VRDN,657.0,10.0
2014-10-30,VRDN,675.0,14.0
2014-10-31,VRDN,720.0,2.0
2014-11-03,VRDN,720.0,0.0
2014-11-04,VRDN,652.5,36.0
2014-11-05,VRDN,654.75,4.0
2014-11-06,VRDN,699.75,5.0
2014-11-07,VRDN,722.25,8.0
2014-11-10,VRDN,699.75,20.0
2014-11-11,VRDN,699.75,0.0
2014-11-12,VRDN,677.25,9.0
2014-11-13,VRDN,697.5,10.0
2014-11-14,VRDN,708.75,7.0
2014-11-17,VRDN,708.75,21.0
2014-11-18,VRDN,720.0,0.0
2014-11-19,VRDN,704.25,20.0
2014-11-20,VRDN,736.65,0.0
2014-11-21,VRDN,675.0,10.0
2014-11-24,VRDN,697.9725,12.0
2014-11-25,VRDN,697.9725,0.0
2014-11-26,VRDN,683.9775,44.0
2014-11-28,VRDN,652.5,6.0
2014-12-01,VRDN,652.5,8.0
2014-12-02,VRDN,720.0,42.0
2014-12-03,VRDN,659.25,15.0
2014-12-04,VRDN,657.0,13.0
2014-12-05,VRDN,652.5,13.0
2014-12-08,VRDN,670.5,31.0
2014-12-09,VRDN,668.25,0.0
2014-12-10,VRDN,688.5,29.0
2014-12-11,VRDN,686.25,24.0
2014-12-12,VRDN,659.25,10.0
2014-12-15,VRDN,600.75,75.0
2014-12-16,VRDN,652.5,128.0
2014-12-17,VRDN,585.0,130.0
2014-12-18,VRDN,562.5,34.0
2014-12-19,VRDN,535.4775,11.0
2014-12-22,VRDN,569.25,22.0
2014-12-23,VRDN,501.75,30.0
