ds,symbol,close,volume
2014-06-18,VRTV,39.5,168300.0
2014-06-19,VRTV,36.57,55100.0
2014-06-20,VRTV,35.759998,118600.0
2014-06-23,VRTV,36.099998,21600.0
2014-06-24,VRTV,36.5,59400.0
2014-06-25,VRTV,36.5,168900.0
2014-06-26,VRTV,37.5,79800.0
2014-06-27,VRTV,37.400002,27800.0
2014-06-30,VRTV,37.049999,87000.0
2014-07-01,VRTV,37.24,1447400.0
2014-07-02,VRTV,35.95,745946.0
2014-07-03,VRTV,32.5,967322.0
2014-07-07,VRTV,33.95,865664.0
2014-07-08,VRTV,35.04,757205.0
2014-07-09,VRTV,35.46,797643.0
2014-07-10,VRTV,37.83,753286.0
2014-07-11,VRTV,38.46,408491.0
2014-07-14,VRTV,38.28,545483.0
2014-07-15,VRTV,38.72,757912.0
2014-07-16,VRTV,38.48,432297.0
2014-07-17,VRTV,38.75,215486.0
2014-07-18,VRTV,38.0,232526.0
2014-07-21,VRTV,37.4,356944.0
2014-07-22,VRTV,37.6,144931.0
2014-07-23,VRTV,38.4,274102.0
2014-07-24,VRTV,38.65,144654.0
2014-07-25,VRTV,38.49,117107.0
2014-07-28,VRTV,38.85,109142.0
2014-07-29,VRTV,40.29,162598.0
2014-07-30,VRTV,39.15,162504.0
2014-07-31,VRTV,39.92,272788.0
2014-08-01,VRTV,38.23,95195.0
2014-08-04,VRTV,38.33,116491.0
2014-08-05,VRTV,37.9,156951.0
2014-08-06,VRTV,38.53,207762.0
2014-08-07,VRTV,38.65,112970.0
2014-08-08,VRTV,38.57,83873.0
2014-08-11,VRTV,44.99,239921.0
2014-08-12,VRTV,49.41,624428.0
2014-08-13,VRTV,45.79,244555.0
2014-08-14,VRTV,44.44,74053.0
2014-08-15,VRTV,44.54,68289.0
2014-08-18,VRTV,45.9,62411.0
2014-08-19,VRTV,44.57,67693.0
2014-08-20,VRTV,44.85,42631.0
2014-08-21,VRTV,44.76,75605.0
2014-08-22,VRTV,44.5,32180.0
2014-08-25,VRTV,44.7,67120.0
2014-08-26,VRTV,44.93,61294.0
2014-08-27,VRTV,44.94,84954.0
2014-08-28,VRTV,45.39,87886.0
2014-08-29,VRTV,44.52,63149.0
2014-09-02,VRTV,44.74,31837.0
2014-09-03,VRTV,46.0,75551.0
2014-09-04,VRTV,45.95,191592.0
2014-09-05,VRTV,46.22,31025.0
2014-09-08,VRTV,46.25,81196.0
2014-09-09,VRTV,46.28,56093.0
2014-09-10,VRTV,46.23,31555.0
2014-09-11,VRTV,45.99,92519.0
2014-09-12,VRTV,46.0,27201.0
2014-09-15,VRTV,45.73,25284.0
2014-09-16,VRTV,46.09,51787.0
2014-09-17,VRTV,45.68,33358.0
2014-09-18,VRTV,45.5,144550.0
