ds,symbol,close,volume
1991-07-24,VRTX,4.5,2001000
1991-07-25,VRTX,4.5625,314600
1991-07-26,VRTX,4.5,2001000
1991-07-29,VRTX,4.625,75400
1991-07-30,VRTX,4.5,354400
1991-07-31,VRTX,4.5,372000
1991-08-01,VRTX,4.5,157000
1991-08-02,VRTX,4.5625,220800
1991-08-05,VRTX,4.625,103800
1991-08-06,VRTX,4.625,124600
1991-08-07,VRTX,4.5,222400
1991-08-08,VRTX,4.5625,97000
1991-08-09,VRTX,4.5,172000
1991-08-12,VRTX,4.5,41600
1991-08-13,VRTX,4.5,63000
1991-08-14,VRTX,4.625,102200
1991-08-15,VRTX,4.5,31800
1991-08-16,VRTX,4.5,69800
1991-08-19,VRTX,4.375,75400
1991-08-20,VRTX,4.375,57800
1991-08-21,VRTX,4.4375,14000
1991-08-22,VRTX,4.375,41400
1991-08-23,VRTX,4.3125,17000
1991-08-26,VRTX,4.5625,77600
1991-08-27,VRTX,4.625,72600
1991-08-28,VRTX,4.6875,73400
1991-08-29,VRTX,4.9375,178000
1991-08-30,VRTX,5.1875,145800
1991-09-03,VRTX,5.125,326200
1991-09-04,VRTX,5.0,139000
1991-09-05,VRTX,5.0,145000
1991-09-06,VRTX,5.0,35800
1991-09-09,VRTX,4.875,33800
1991-09-10,VRTX,5.0625,30200
1991-09-11,VRTX,5.0,167400
1991-09-12,VRTX,5.1875,729400
1991-09-13,VRTX,5.5625,110600
1991-09-16,VRTX,5.5625,230800
1991-09-17,VRTX,5.5,90200
1991-09-18,VRTX,5.6875,82800
1991-09-19,VRTX,6.1875,443200
1991-09-20,VRTX,6.625,290400
1991-09-23,VRTX,6.5625,492200
1991-09-24,VRTX,6.5625,28400
1991-09-25,VRTX,7.0,106400
1991-09-26,VRTX,7.625,230400
1991-09-27,VRTX,7.375,277000
1991-09-30,VRTX,7.375,117600
1991-10-01,VRTX,7.8125,87800
1991-10-02,VRTX,7.8125,144400
1991-10-03,VRTX,7.375,532000
1991-10-04,VRTX,7.5,86600
1991-10-07,VRTX,6.625,237800
1991-10-08,VRTX,6.8125,157000
1991-10-09,VRTX,6.875,41200
1991-10-10,VRTX,6.875,35000
1991-10-11,VRTX,6.8125,12800
1991-10-14,VRTX,6.875,11400
1991-10-15,VRTX,7.25,97600
1991-10-16,VRTX,7.8125,164800
1991-10-17,VRTX,7.5,120200
1991-10-18,VRTX,7.625,44200
1991-10-21,VRTX,7.25,57000
1991-10-22,VRTX,6.75,64800
1991-10-23,VRTX,7.5,503400
1991-10-24,VRTX,7.5625,140200
1991-10-25,VRTX,7.25,127600
1991-10-28,VRTX,7.25,25400
1991-10-29,VRTX,7.25,9400
1991-10-30,VRTX,7.4375,53200
1991-10-31,VRTX,7.25,34200
1991-11-01,VRTX,7.5625,167400
1991-11-04,VRTX,7.6875,81000
1991-11-05,VRTX,7.6875,248400
1991-11-06,VRTX,7.75,51400
1991-11-07,VRTX,7.625,40400
1991-11-08,VRTX,7.75,86000
1991-11-11,VRTX,7.5625,8200
1991-11-12,VRTX,7.25,218000
