ds,symbol,close,volume
1990-01-02,VSEC,0.85,0
1990-01-03,VSEC,0.8625,10000
1990-01-04,VSEC,0.8625,0
1990-01-05,VSEC,0.8625,0
1990-01-08,VSEC,0.85,3000
1990-01-09,VSEC,0.85,0
1990-01-10,VSEC,0.85,0
1990-01-11,VSEC,0.85,0
1990-01-12,VSEC,0.85,0
1990-01-15,VSEC,0.85,1000
1990-01-16,VSEC,0.85,0
1990-01-17,VSEC,0.85,0
1990-01-18,VSEC,0.85,7000
1990-01-19,VSEC,0.95,13000
1990-01-22,VSEC,0.95,0
1990-01-23,VSEC,0.875,1000
1990-01-24,VSEC,0.8625,23000
1990-01-25,VSEC,0.8625,0
1990-01-26,VSEC,0.825,2000
1990-01-29,VSEC,0.825,0
1990-01-30,VSEC,0.825,0
1990-01-31,VSEC,0.825,2000
1990-02-01,VSEC,0.825,10000
1990-02-02,VSEC,0.825,0
1990-02-05,VSEC,0.825,0
1990-02-06,VSEC,0.825,0
1990-02-07,VSEC,0.825,0
1990-02-08,VSEC,0.85,1000
1990-02-09,VSEC,0.875,15000
1990-02-12,VSEC,0.9,22000
1990-02-13,VSEC,0.9,0
1990-02-14,VSEC,0.85,45000
1990-02-15,VSEC,0.85,14000
1990-02-16,VSEC,0.8875,9000
1990-02-20,VSEC,0.95,2000
1990-02-21,VSEC,0.85,6000
1990-02-22,VSEC,0.85,3000
1990-02-23,VSEC,0.875,5000
1990-02-26,VSEC,0.875,0
1990-02-27,VSEC,0.875,0
1990-02-28,VSEC,0.875,0
1990-03-01,VSEC,0.85,6000
1990-03-02,VSEC,0.85,0
1990-03-05,VSEC,0.85,3000
1990-03-06,VSEC,0.85,1000
1990-03-07,VSEC,0.85,8000
1990-03-08,VSEC,0.85,10000
1990-03-09,VSEC,0.85,21000
1990-03-12,VSEC,0.85,5000
1990-03-13,VSEC,0.85,0
1990-03-14,VSEC,0.85,0
1990-03-15,VSEC,0.85,0
1990-03-16,VSEC,0.875,6000
1990-03-19,VSEC,0.875,0
1990-03-20,VSEC,0.875,0
1990-03-21,VSEC,0.875,5000
1990-03-22,VSEC,0.875,0
1990-03-23,VSEC,0.875,0
1990-03-26,VSEC,0.85,10000
1990-03-27,VSEC,0.85,0
1990-03-28,VSEC,0.9,2000
1990-03-29,VSEC,0.9,0
1990-03-30,VSEC,0.875,11000
1990-04-02,VSEC,0.875,2000
1990-04-03,VSEC,0.875,5000
1990-04-04,VSEC,0.875,0
1990-04-05,VSEC,0.875,1000
1990-04-06,VSEC,0.9,5000
1990-04-09,VSEC,0.9,0
1990-04-10,VSEC,0.9,0
1990-04-11,VSEC,0.9,0
1990-04-12,VSEC,0.9,5000
1990-04-16,VSEC,0.9,0
1990-04-17,VSEC,0.875,4000
1990-04-18,VSEC,0.875,4000
1990-04-19,VSEC,0.875,0
1990-04-20,VSEC,0.875,0
1990-04-23,VSEC,0.875,7000
1990-04-24,VSEC,0.875,2000
1990-04-25,VSEC,0.875,0
1990-04-26,VSEC,0.9,3000
1990-04-27,VSEC,0.8875,5000
1990-04-30,VSEC,0.8875,0
1990-05-01,VSEC,0.8875,0
1990-05-02,VSEC,0.875,2000
1990-05-03,VSEC,0.875,0
1990-05-04,VSEC,0.875,0
1990-05-07,VSEC,0.875,0
1990-05-08,VSEC,0.875,20000
1990-05-09,VSEC,0.875,0
1990-05-10,VSEC,0.875,0
1990-05-11,VSEC,0.875,2000
1990-05-14,VSEC,0.875,0
1990-05-15,VSEC,0.875,0
1990-05-16,VSEC,0.875,0
1990-05-17,VSEC,0.875,2000
1990-05-18,VSEC,0.925,27000
1990-05-21,VSEC,0.925,0
1990-05-22,VSEC,0.925,0
1990-05-23,VSEC,0.925,0
1990-05-24,VSEC,0.925,0
1990-05-25,VSEC,0.875,2000
1990-05-29,VSEC,0.875,0
1990-05-30,VSEC,0.875,0
1990-05-31,VSEC,0.925,1000
1990-06-01,VSEC,0.925,0
1990-06-04,VSEC,0.925,0
1990-06-05,VSEC,0.925,0
1990-06-06,VSEC,0.925,0
1990-06-07,VSEC,0.925,0
1990-06-08,VSEC,0.875,5000
1990-06-11,VSEC,0.875,5000
1990-06-12,VSEC,0.975,1000
1990-06-13,VSEC,0.975,0
1990-06-14,VSEC,0.925,5000
1990-06-15,VSEC,0.925,0
1990-06-18,VSEC,0.875,2000
1990-06-19,VSEC,0.875,0
1990-06-20,VSEC,0.875,0
1990-06-21,VSEC,0.875,3000
1990-06-22,VSEC,0.925,5000
1990-06-25,VSEC,0.925,0
1990-06-26,VSEC,0.925,0
1990-06-27,VSEC,0.925,0
1990-06-28,VSEC,0.925,0
1990-06-29,VSEC,0.875,2000
1990-07-02,VSEC,0.875,1000
1990-07-03,VSEC,0.875,3000
1990-07-05,VSEC,0.875,3000
1990-07-06,VSEC,0.875,3000
1990-07-09,VSEC,0.875,0
1990-07-10,VSEC,0.875,6000
1990-07-11,VSEC,0.9,12000
1990-07-12,VSEC,0.925,27000
1990-07-13,VSEC,0.875,5000
1990-07-16,VSEC,0.875,3000
1990-07-17,VSEC,0.9,7000
1990-07-18,VSEC,0.9,10000
1990-07-19,VSEC,0.875,40000
1990-07-20,VSEC,0.875,4000
1990-07-23,VSEC,0.85,103000
1990-07-24,VSEC,0.85,0
1990-07-25,VSEC,0.85,0
1990-07-26,VSEC,0.875,1000
1990-07-27,VSEC,0.875,26000
1990-07-30,VSEC,0.875,0
1990-07-31,VSEC,0.9,1000
1990-08-01,VSEC,0.825,24000
1990-08-02,VSEC,0.8,49000
1990-08-03,VSEC,0.85,582000
1990-08-06,VSEC,0.8,10000
1990-08-07,VSEC,0.75,3000
1990-08-08,VSEC,0.75,0
1990-08-09,VSEC,0.75,0
1990-08-10,VSEC,0.75,0
1990-08-13,VSEC,0.75,0
1990-08-14,VSEC,0.75,1000
1990-08-15,VSEC,0.75,0
1990-08-16,VSEC,0.75,0
1990-08-17,VSEC,0.75,0
1990-08-20,VSEC,0.75,0
1990-08-21,VSEC,0.75,0
1990-08-22,VSEC,0.75,0
1990-08-23,VSEC,0.75,1000
1990-08-24,VSEC,0.775,5000
1990-08-27,VSEC,0.775,0
1990-08-28,VSEC,0.775,0
1990-08-29,VSEC,0.775,0
1990-08-30,VSEC,0.775,0
1990-08-31,VSEC,0.8,5000
1990-09-04,VSEC,0.8,0
1990-09-05,VSEC,0.8,0
1990-09-06,VSEC,0.8,8000
1990-09-07,VSEC,0.8,0
1990-09-10,VSEC,0.8,7000
1990-09-11,VSEC,0.8,0
1990-09-12,VSEC,0.775,4000
1990-09-13,VSEC,0.775,0
1990-09-14,VSEC,0.775,0
1990-09-17,VSEC,0.775,0
1990-09-18,VSEC,0.775,0
1990-09-19,VSEC,0.8125,5000
1990-09-20,VSEC,0.8125,24000
1990-09-21,VSEC,0.775,1000
1990-09-24,VSEC,0.775,0
1990-09-25,VSEC,0.8,1000
1990-09-26,VSEC,0.8,0
1990-09-27,VSEC,0.85,47000
1990-09-28,VSEC,0.8,1000
1990-10-01,VSEC,0.8,0
1990-10-02,VSEC,0.8,11000
1990-10-03,VSEC,0.8,2000
1990-10-04,VSEC,0.8,0
1990-10-05,VSEC,0.8,1000
1990-10-08,VSEC,0.8,0
1990-10-09,VSEC,0.8,0
1990-10-10,VSEC,0.825,1000
1990-10-11,VSEC,0.8,1000
1990-10-12,VSEC,0.825,5000
1990-10-15,VSEC,0.825,0
1990-10-16,VSEC,0.825,0
