ds,symbol,close,volume
2012-09-25,VTSI,1.4,4400.0
2012-09-26,VTSI,1.302,2270.0
2012-09-27,VTSI,1.46,2860.0
2012-09-28,VTSI,1.46,0.0
2012-10-01,VTSI,1.32,60.0
2012-10-02,VTSI,1.32,2525.0
2012-10-03,VTSI,1.3,2825.0
2012-10-04,VTSI,1.3,575.0
2012-10-05,VTSI,1.3,6785.0
2012-10-08,VTSI,1.262,2425.0
2012-10-09,VTSI,1.262,0.0
2012-10-10,VTSI,1.262,0.0
2012-10-11,VTSI,1.28,250.0
2012-10-12,VTSI,1.22,925.0
2012-10-15,VTSI,1.25,4000.0
2012-10-16,VTSI,1.26,5725.0
2012-10-17,VTSI,1.2,3010.0
2012-10-18,VTSI,1.2,3975.0
2012-10-19,VTSI,1.18,3500.0
2012-10-22,VTSI,1.18,0.0
2012-10-23,VTSI,1.22,425.0
2012-10-24,VTSI,1.22,0.0
2012-10-25,VTSI,1.14,2015.0
2012-10-26,VTSI,1.12,1485.0
2012-10-31,VTSI,1.12,12585.0
2012-11-01,VTSI,1.1,1385.0
2012-11-02,VTSI,1.12,6350.0
2012-11-05,VTSI,1.12,970.0
2012-11-06,VTSI,1.06,1375.0
2012-11-07,VTSI,1.02,3210.0
2012-11-08,VTSI,1.04,11665.0
2012-11-09,VTSI,1.04,0.0
2012-11-12,VTSI,1.04,0.0
2012-11-13,VTSI,1.17,6015.0
2012-11-14,VTSI,0.94,6150.0
2012-11-15,VTSI,0.93,9515.0
2012-11-16,VTSI,0.936,5320.0
2012-11-19,VTSI,0.97,3450.0
2012-11-20,VTSI,0.97,0.0
2012-11-21,VTSI,1.0,30.0
2012-11-23,VTSI,1.0,0.0
2012-11-26,VTSI,0.892,3715.0
2012-11-27,VTSI,1.0,9005.0
2012-11-28,VTSI,0.96,875.0
2012-11-29,VTSI,0.9,9980.0
2012-11-30,VTSI,1.06,1850.0
2012-12-03,VTSI,1.0,2435.0
2012-12-04,VTSI,1.06,125.0
2012-12-05,VTSI,0.9,15.0
2012-12-06,VTSI,1.06,7055.0
2012-12-07,VTSI,1.0,185.0
2012-12-10,VTSI,1.0,0.0
2012-12-11,VTSI,0.9,12065.0
2012-12-12,VTSI,0.9,1875.0
2012-12-13,VTSI,0.84,10.0
2012-12-14,VTSI,0.84,50.0
